"Time (ps)"	"Counts per bin"
0	296587
100000000	300342
200000000	301666
300000000	301051
400000000	300945
500000000	301741
600000000	302008
700000000	301376
800000000	301750
900000000	301927
1000000000	302715
1100000000	300532
1200000000	301361
1300000000	301979
1400000000	301114
1500000000	302031
1600000000	301686
1700000000	302337
1800000000	302658
1900000000	302171
2000000000	301195
2100000000	302416
2200000000	301106
2300000000	301379
2400000000	301618
2500000000	301202
2600000000	301638
2700000000	302763
2800000000	302871
2900000000	301545
3000000000	301968
3100000000	300717
3200000000	301403
3300000000	302201
3400000000	301875
3500000000	301460
3600000000	302032
3700000000	301951
3800000000	301313
3900000000	301655
4000000000	302575
4100000000	301546
4200000000	301786
4300000000	302008
4400000000	302058
4500000000	301624
4600000000	301150
4700000000	301309
4800000000	300975
4900000000	302124
5000000000	301950
5100000000	301071
5200000000	300841
5300000000	302207
5400000000	302660
5500000000	301538
5600000000	302033
5700000000	302589
5800000000	302059
5900000000	302533
6000000000	301443
6100000000	301920
6200000000	301285
6300000000	301160
6400000000	301873
6500000000	301904
6600000000	302547
6700000000	301322
6800000000	302204
6900000000	302620
7000000000	302228
7100000000	302190
7200000000	302368
7300000000	301357
7400000000	302816
7500000000	302820
7600000000	301452
7700000000	302001
7800000000	301235
7900000000	302249
8000000000	301774
8100000000	301404
8200000000	302002
8300000000	302367
8400000000	301597
8500000000	302505
8600000000	302294
8700000000	301150
8800000000	301547
8900000000	303030
9000000000	302139
9100000000	301859
9200000000	301975
9300000000	301659
9400000000	303022
9500000000	301942
9600000000	301595
9700000000	302990
9800000000	301921
9900000000	302626
10000000000	301501
10100000000	302301
10200000000	301106
10300000000	301995
10400000000	301253
10500000000	302304
10600000000	301406
10700000000	301018
10800000000	301675
10900000000	301339
11000000000	301598
11100000000	302035
11200000000	301432
11300000000	301154
11400000000	302372
11500000000	301279
11600000000	301189
11700000000	301440
11800000000	302378
11900000000	301167
12000000000	301760
12100000000	302078
12200000000	301905
12300000000	302642
12400000000	301248
12500000000	301711
12600000000	301255
12700000000	301262
12800000000	301501
12900000000	301988
13000000000	302190
13100000000	301069
13200000000	301141
13300000000	301929
13400000000	302616
13500000000	301449
13600000000	302057
13700000000	301716
13800000000	300607
13900000000	302046
14000000000	301040
14100000000	301178
14200000000	302591
14300000000	301658
14400000000	302361
14500000000	301730
14600000000	301167
14700000000	302721
14800000000	301767
14900000000	301596
15000000000	301615
15100000000	301705
15200000000	301871
15300000000	301212
15400000000	301705
15500000000	301752
15600000000	301733
15700000000	301890
15800000000	302170
15900000000	301683
16000000000	301556
16100000000	301605
16200000000	301861
16300000000	301758
16400000000	301741
16500000000	301525
16600000000	302538
16700000000	302079
16800000000	302085
16900000000	301676
17000000000	301692
17100000000	301322
17200000000	302468
17300000000	301500
17400000000	301461
17500000000	301564
17600000000	302451
17700000000	301769
17800000000	301971
17900000000	301919
18000000000	302332
18100000000	301448
18200000000	302907
18300000000	301675
18400000000	301281
18500000000	302338
18600000000	301492
18700000000	300809
18800000000	302087
18900000000	301371
19000000000	301945
19100000000	301480
19200000000	302421
19300000000	302112
19400000000	302003
19500000000	302552
19600000000	301615
19700000000	302180
19800000000	302915
19900000000	302022
20000000000	302688
20100000000	301691
20200000000	301273
20300000000	301557
20400000000	302878
20500000000	301143
20600000000	302406
20700000000	302012
20800000000	301773
20900000000	302785
21000000000	302312
21100000000	303279
21200000000	302761
21300000000	302858
21400000000	301751
21500000000	302741
21600000000	301968
21700000000	301961
21800000000	301915
21900000000	302642
22000000000	301695
22100000000	302833
22200000000	302069
22300000000	301479
22400000000	302320
22500000000	301670
22600000000	302406
22700000000	301359
22800000000	301518
22900000000	302589
23000000000	301866
23100000000	300831
23200000000	300609
23300000000	300900
23400000000	300465
23500000000	301166
23600000000	302693
23700000000	302524
23800000000	301479
23900000000	301910
24000000000	301774
24100000000	302518
24200000000	302013
24300000000	301043
24400000000	301428
24500000000	302192
24600000000	300967
24700000000	302598
24800000000	302604
24900000000	300499
25000000000	300695
25100000000	299664
25200000000	297851
25300000000	298291
25400000000	298324
25500000000	298061
25600000000	298294
25700000000	298305
25800000000	297556
25900000000	297936
26000000000	296782
26100000000	297628
26200000000	296464
26300000000	296983
26400000000	296990
26500000000	296851
26600000000	296916
26700000000	297016
