"Time (ps)"	"Counts per bin"
0	116189
25000000	115494
50000000	115403
75000000	115257
100000000	114374
125000000	114536
150000000	115135
175000000	114757
200000000	113656
225000000	115147
250000000	114409
275000000	114379
300000000	115138
325000000	115275
350000000	114568
375000000	114745
400000000	114687
425000000	114810
450000000	115373
475000000	114476
500000000	114329
525000000	114439
550000000	114441
575000000	114500
600000000	114886
625000000	115114
650000000	114191
675000000	114785
700000000	114579
725000000	114290
750000000	114452
775000000	114678
800000000	114762
825000000	114826
850000000	114345
875000000	114260
900000000	114095
925000000	114302
950000000	114827
975000000	114250
1000000000	113724
1025000000	114340
1050000000	114474
1075000000	114271
1100000000	114691
1125000000	114478
1150000000	114214
1175000000	115138
1200000000	114061
1225000000	113888
1250000000	114347
1275000000	114547
1300000000	114272
1325000000	114328
1350000000	113918
1375000000	114468
1400000000	113663
1425000000	114229
1450000000	113548
1475000000	114945
1500000000	114308
1525000000	114850
1550000000	114330
1575000000	114403
1600000000	114414
1625000000	113937
1650000000	114665
1675000000	114137
1700000000	114050
1725000000	113665
1750000000	114179
1775000000	113560
1800000000	114334
1825000000	114602
1850000000	113903
1875000000	114547
1900000000	114106
1925000000	114066
1950000000	114563
1975000000	114024
2000000000	114178
2025000000	114029
2050000000	113739
2075000000	113631
2100000000	113845
2125000000	114425
2150000000	113815
2175000000	114198
2200000000	114345
2225000000	114171
2250000000	113882
2275000000	114191
2300000000	113861
2325000000	113691
2350000000	113665
2375000000	114351
2400000000	113765
2425000000	114625
2450000000	114216
2475000000	113523
2500000000	113671
2525000000	113818
2550000000	113697
2575000000	114556
2600000000	113145
2625000000	113104
2650000000	113268
2675000000	113648
2700000000	114369
2725000000	114981
2750000000	114521
2775000000	113750
2800000000	114010
2825000000	114334
2850000000	113499
2875000000	113856
2900000000	114052
2925000000	113898
2950000000	113941
2975000000	113477
3000000000	113631
3025000000	114000
3050000000	114105
3075000000	114145
3100000000	113562
3125000000	113920
3150000000	114129
3175000000	113525
3200000000	113443
3225000000	113813
3250000000	113909
3275000000	114018
3300000000	113432
3325000000	114513
3350000000	113767
3375000000	114566
3400000000	113710
3425000000	113831
3450000000	113812
3475000000	113420
3500000000	113623
3525000000	113869
3550000000	113368
3575000000	113342
3600000000	113644
3625000000	114276
3650000000	113911
3675000000	112978
3700000000	113610
3725000000	113798
3750000000	114101
3775000000	113470
3800000000	113064
3825000000	113574
3850000000	113755
3875000000	112961
3900000000	113357
3925000000	113393
3950000000	113732
3975000000	113261
4000000000	113726
4025000000	113637
4050000000	113587
4075000000	114155
4100000000	113208
4125000000	113311
4150000000	113833
4175000000	113627
4200000000	113412
4225000000	113524
4250000000	113433
4275000000	114001
