"Time (ps)"	"Counts per bin"
0	163
100000	130
200000	142
300000	143
400000	140
500000	143
600000	143
700000	155
800000	124
900000	139
1000000	145
1100000	156
1200000	141
1300000	146
1400000	149
1500000	130
1600000	132
1700000	142
1800000	137
1900000	123
2000000	153
2100000	135
2200000	134
2300000	138
2400000	135
2500000	141
2600000	172
2700000	136
2800000	138
2900000	136
3000000	166
3100000	128
3200000	148
3300000	142
3400000	139
3500000	162
3600000	134
3700000	126
3800000	152
3900000	132
4000000	147
4100000	132
4200000	130
4300000	140
4400000	129
4500000	143
4600000	138
4700000	150
4800000	132
4900000	140
5000000	121
5100000	123
5200000	150
5300000	136
5400000	130
5500000	141
5600000	130
5700000	147
5800000	138
5900000	132
6000000	143
6100000	144
6200000	155
6300000	131
6400000	137
6500000	136
6600000	139
6700000	147
6800000	142
6900000	113
7000000	135
7100000	129
7200000	152
7300000	133
7400000	127
7500000	148
7600000	124
7700000	139
7800000	143
7900000	156
8000000	121
8100000	134
8200000	128
8300000	115
8400000	126
8500000	142
8600000	121
8700000	119
8800000	133
8900000	149
9000000	120
9100000	142
9200000	134
9300000	135
9400000	109
9500000	136
9600000	147
9700000	125
9800000	121
9900000	109
10000000	107
10100000	112
10200000	122
10300000	119
10400000	129
10500000	138
10600000	116
10700000	117
10800000	130
10900000	122
11000000	125
11100000	114
11200000	128
11300000	132
11400000	108
11500000	150
11600000	134
11700000	138
11800000	147
11900000	115
12000000	103
12100000	120
12200000	136
12300000	110
12400000	108
12500000	125
12600000	123
12700000	135
12800000	131
12900000	127
13000000	126
13100000	117
13200000	109
13300000	127
13400000	108
13500000	128
13600000	114
13700000	131
13800000	117
13900000	104
14000000	134
14100000	119
14200000	115
14300000	130
14400000	105
14500000	120
14600000	144
14700000	123
14800000	105
14900000	127
15000000	118
15100000	108
15200000	99
15300000	108
15400000	117
15500000	124
15600000	114
15700000	106
15800000	117
15900000	115
16000000	106
16100000	113
16200000	106
16300000	102
16400000	96
16500000	124
16600000	106
16700000	126
16800000	119
16900000	105
17000000	115
17100000	122
17200000	114
17300000	126
17400000	82
17500000	112
17600000	108
17700000	130
17800000	115
17900000	99
18000000	121
18100000	103
18200000	116
18300000	94
18400000	90
18500000	107
18600000	90
18700000	85
18800000	95
18900000	124
19000000	87
19100000	103
19200000	117
19300000	102
19400000	93
19500000	110
19600000	110
19700000	105
19800000	99
19900000	102
20000000	122
20100000	98
20200000	101
20300000	112
20400000	115
20500000	99
20600000	117
20700000	72
20800000	90
20900000	117
21000000	107
21100000	109
21200000	86
21300000	107
21400000	106
21500000	109
21600000	110
21700000	113
21800000	101
21900000	93
22000000	89
22100000	104
22200000	88
22300000	115
22400000	94
22500000	90
22600000	89
22700000	112
22800000	105
22900000	104
23000000	92
23100000	88
23200000	91
23300000	118
23400000	96
23500000	101
23600000	124
23700000	103
23800000	103
23900000	108
24000000	103
24100000	104
24200000	89
24300000	101
24400000	106
24500000	90
24600000	82
24700000	108
24800000	91
24900000	115
25000000	88
25100000	92
25200000	86
25300000	105
25400000	83
25500000	96
25600000	83
25700000	102
25800000	105
25900000	101
26000000	82
26100000	69
26200000	92
26300000	90
26400000	99
26500000	90
26600000	107
26700000	90
26800000	78
26900000	86
27000000	89
27100000	97
27200000	76
27300000	85
27400000	81
27500000	101
27600000	78
27700000	88
27800000	99
27900000	80
28000000	89
28100000	105
28200000	115
28300000	92
28400000	100
28500000	100
28600000	85
28700000	81
28800000	84
28900000	89
29000000	78
29100000	83
29200000	88
29300000	95
29400000	98
29500000	94
29600000	90
29700000	102
29800000	88
29900000	80
30000000	88
30100000	89
30200000	83
30300000	78
30400000	81
30500000	100
30600000	100
30700000	82
30800000	98
30900000	95
31000000	81
31100000	101
31200000	92
31300000	100
31400000	93
31500000	97
31600000	88
31700000	88
31800000	79
31900000	100
32000000	83
32100000	71
32200000	91
32300000	85
32400000	87
32500000	100
32600000	78
32700000	94
32800000	86
32900000	98
33000000	79
33100000	81
33200000	98
33300000	75
33400000	88
33500000	85
33600000	94
33700000	95
33800000	85
33900000	86
34000000	89
34100000	71
34200000	83
34300000	99
34400000	86
34500000	89
34600000	84
34700000	82
34800000	74
34900000	78
35000000	68
35100000	85
35200000	87
35300000	85
35400000	82
35500000	82
35600000	86
35700000	85
35800000	82
35900000	83
36000000	62
36100000	78
36200000	88
36300000	85
36400000	77
36500000	63
36600000	97
36700000	102
36800000	78
36900000	84
37000000	75
37100000	80
37200000	70
37300000	76
37400000	84
37500000	78
37600000	76
37700000	82
37800000	81
37900000	83
38000000	85
38100000	70
38200000	61
38300000	86
38400000	74
38500000	100
38600000	68
38700000	83
38800000	83
38900000	86
39000000	74
39100000	76
39200000	84
39300000	82
39400000	106
39500000	80
39600000	91
39700000	79
39800000	92
39900000	68
40000000	72
40100000	72
40200000	94
40300000	92
40400000	71
40500000	77
40600000	75
40700000	74
40800000	80
40900000	84
41000000	84
41100000	76
41200000	75
41300000	77
41400000	64
41500000	83
41600000	79
41700000	76
41800000	73
41900000	81
42000000	59
42100000	85
42200000	70
42300000	75
42400000	78
42500000	88
42600000	81
42700000	86
42800000	60
42900000	80
43000000	76
43100000	79
43200000	87
43300000	82
43400000	81
43500000	93
43600000	78
43700000	81
43800000	88
43900000	80
44000000	73
44100000	77
44200000	65
44300000	71
44400000	64
44500000	74
44600000	76
44700000	61
44800000	80
44900000	76
45000000	69
45100000	56
45200000	70
45300000	75
45400000	66
45500000	60
45600000	75
45700000	73
45800000	81
45900000	78
46000000	72
46100000	90
46200000	73
46300000	69
46400000	68
46500000	81
46600000	67
46700000	84
46800000	76
46900000	80
47000000	79
47100000	85
47200000	67
47300000	50
47400000	73
47500000	84
47600000	60
47700000	89
47800000	86
47900000	87
48000000	53
48100000	78
48200000	69
48300000	71
48400000	77
48500000	80
48600000	69
48700000	55
48800000	68
48900000	80
49000000	66
49100000	68
49200000	69
49300000	75
49400000	74
49500000	78
49600000	73
49700000	75
49800000	68
49900000	76
50000000	70
50100000	78
50200000	83
50300000	63
50400000	80
50500000	51
50600000	88
50700000	74
50800000	68
50900000	64
51000000	68
51100000	73
51200000	72
51300000	78
51400000	62
51500000	70
51600000	72
51700000	73
51800000	54
51900000	59
52000000	61
52100000	65
52200000	59
52300000	72
52400000	59
52500000	60
52600000	61
52700000	52
52800000	55
52900000	70
53000000	60
53100000	62
53200000	66
53300000	72
53400000	60
53500000	59
53600000	71
53700000	64
53800000	77
53900000	75
54000000	61
54100000	68
54200000	64
54300000	64
54400000	80
54500000	63
54600000	81
54700000	71
54800000	60
54900000	71
55000000	54
55100000	70
55200000	60
55300000	71
55400000	66
55500000	66
55600000	59
55700000	63
55800000	74
55900000	67
56000000	70
56100000	60
56200000	62
56300000	56
56400000	54
56500000	90
56600000	63
56700000	64
56800000	64
56900000	78
57000000	63
57100000	53
57200000	58
57300000	59
57400000	60
57500000	61
57600000	65
57700000	61
57800000	58
57900000	63
58000000	65
58100000	64
58200000	66
58300000	50
58400000	63
58500000	69
58600000	63
58700000	64
58800000	61
58900000	69
59000000	57
