"Time (ps)"	"Counts per bin"
0	666
500000	668
1000000	667
1500000	653
2000000	719
2500000	662
3000000	699
3500000	668
4000000	701
4500000	676
5000000	641
5500000	650
6000000	626
6500000	706
7000000	642
7500000	680
8000000	638
8500000	700
9000000	675
9500000	644
10000000	719
10500000	618
11000000	690
11500000	703
12000000	706
12500000	664
13000000	661
13500000	622
14000000	653
14500000	681
15000000	647
15500000	627
16000000	605
16500000	657
17000000	676
17500000	712
18000000	698
18500000	623
19000000	634
19500000	652
20000000	635
20500000	624
21000000	632
21500000	643
22000000	644
22500000	633
23000000	667
23500000	652
24000000	643
24500000	643
25000000	618
25500000	653
26000000	636
26500000	628
27000000	636
27500000	586
28000000	557
28500000	609
29000000	599
29500000	635
30000000	614
30500000	588
31000000	605
31500000	596
32000000	601
32500000	592
33000000	609
33500000	627
34000000	612
34500000	621
35000000	590
35500000	555
36000000	587
36500000	582
37000000	579
37500000	563
38000000	567
38500000	599
39000000	607
39500000	598
40000000	588
40500000	619
41000000	557
41500000	560
42000000	578
42500000	569
43000000	576
43500000	613
44000000	546
44500000	532
45000000	527
45500000	600
46000000	581
46500000	550
47000000	527
47500000	567
48000000	526
48500000	535
49000000	561
49500000	556
50000000	520
50500000	551
51000000	547
51500000	539
52000000	555
52500000	603
53000000	535
53500000	528
54000000	574
54500000	529
55000000	561
55500000	572
56000000	517
56500000	514
57000000	541
57500000	502
58000000	554
58500000	543
59000000	523
59500000	518
60000000	547
60500000	518
61000000	495
61500000	486
62000000	484
62500000	589
63000000	491
63500000	493
64000000	507
64500000	506
65000000	470
65500000	480
66000000	474
66500000	521
67000000	498
67500000	525
68000000	493
68500000	517
69000000	505
69500000	504
70000000	467
70500000	528
71000000	464
71500000	509
72000000	477
72500000	494
73000000	501
73500000	450
74000000	478
74500000	515
75000000	457
75500000	439
76000000	467
76500000	492
77000000	530
77500000	460
78000000	458
78500000	479
79000000	494
79500000	488
80000000	455
80500000	477
81000000	469
81500000	471
82000000	467
82500000	447
83000000	501
83500000	446
84000000	426
84500000	486
85000000	444
85500000	468
86000000	469
86500000	445
87000000	524
87500000	501
88000000	423
88500000	432
89000000	443
89500000	448
90000000	491
90500000	439
91000000	426
91500000	415
92000000	413
92500000	469
93000000	451
93500000	438
94000000	443
94500000	421
95000000	445
95500000	396
96000000	472
96500000	428
97000000	390
97500000	462
98000000	416
98500000	414
99000000	382
99500000	454
100000000	392
100500000	433
101000000	457
101500000	402
102000000	410
102500000	391
103000000	408
103500000	394
104000000	405
104500000	420
105000000	395
105500000	419
106000000	417
106500000	397
107000000	470
107500000	410
108000000	431
108500000	407
109000000	424
109500000	430
110000000	414
110500000	390
111000000	372
111500000	379
112000000	367
112500000	399
113000000	372
113500000	422
114000000	397
114500000	380
115000000	397
115500000	405
116000000	385
116500000	384
117000000	415
117500000	396
118000000	410
118500000	393
119000000	369
119500000	379
120000000	387
120500000	341
121000000	403
121500000	337
122000000	370
122500000	385
123000000	347
123500000	376
124000000	385
124500000	360
125000000	396
125500000	378
126000000	362
126500000	358
127000000	388
127500000	385
128000000	373
128500000	362
129000000	352
129500000	370
130000000	376
130500000	368
131000000	364
131500000	363
132000000	341
132500000	366
133000000	344
133500000	336
134000000	349
134500000	368
135000000	354
135500000	345
136000000	351
136500000	352
137000000	357
137500000	324
138000000	339
138500000	347
139000000	379
139500000	332
140000000	382
140500000	347
141000000	373
141500000	312
142000000	344
142500000	318
143000000	308
143500000	352
144000000	352
144500000	332
145000000	357
145500000	313
146000000	327
146500000	352
147000000	278
147500000	354
148000000	336
148500000	311
149000000	348
149500000	321
150000000	309
150500000	333
151000000	317
151500000	327
152000000	325
152500000	308
153000000	322
153500000	337
154000000	318
154500000	329
155000000	346
155500000	316
156000000	313
156500000	350
157000000	328
157500000	326
158000000	312
158500000	323
159000000	300
159500000	342
160000000	360
160500000	330
161000000	315
161500000	316
162000000	299
162500000	326
163000000	335
163500000	315
164000000	318
164500000	298
165000000	301
165500000	298
166000000	313
166500000	294
167000000	298
167500000	305
168000000	279
168500000	279
169000000	285
169500000	282
170000000	303
170500000	300
171000000	309
171500000	288
172000000	296
172500000	312
173000000	287
173500000	287
174000000	300
174500000	278
175000000	279
175500000	300
176000000	293
176500000	314
177000000	277
177500000	291
178000000	267
178500000	266
179000000	277
179500000	274
180000000	282
180500000	293
181000000	257
181500000	279
182000000	243
182500000	284
183000000	302
183500000	323
184000000	276
184500000	256
185000000	247
185500000	305
186000000	283
186500000	281
187000000	282
187500000	286
188000000	279
188500000	282
189000000	288
189500000	281
190000000	298
190500000	273
191000000	313
191500000	259
192000000	262
192500000	286
193000000	276
193500000	256
194000000	288
194500000	253
195000000	264
195500000	256
196000000	261
196500000	277
197000000	242
197500000	279
198000000	235
198500000	276
199000000	241
199500000	231
200000000	253
200500000	257
201000000	249
201500000	260
202000000	233
202500000	264
203000000	279
203500000	269
204000000	253
204500000	251
205000000	219
205500000	262
206000000	224
206500000	242
207000000	233
207500000	239
208000000	246
208500000	262
209000000	229
209500000	222
210000000	267
210500000	246
211000000	235
211500000	238
212000000	239
212500000	214
213000000	252
213500000	263
214000000	217
214500000	218
215000000	214
215500000	242
216000000	249
216500000	233
217000000	239
217500000	212
218000000	244
218500000	249
219000000	241
219500000	225
220000000	219
220500000	235
221000000	252
221500000	233
222000000	229
222500000	260
223000000	252
223500000	216
224000000	196
224500000	235
225000000	238
225500000	228
226000000	258
226500000	250
227000000	219
227500000	221
228000000	230
228500000	225
229000000	238
229500000	264
230000000	221
230500000	223
231000000	217
231500000	241
232000000	223
232500000	213
233000000	212
233500000	217
234000000	227
234500000	239
235000000	240
235500000	196
236000000	216
236500000	207
237000000	212
237500000	207
238000000	231
238500000	222
239000000	203
239500000	224
240000000	188
240500000	220
241000000	211
241500000	175
242000000	220
242500000	221
243000000	209
243500000	193
244000000	216
244500000	216
245000000	199
245500000	195
246000000	226
246500000	202
247000000	219
247500000	219
248000000	191
248500000	187
249000000	207
249500000	181
250000000	207
250500000	193
251000000	207
251500000	214
252000000	214
252500000	199
253000000	176
253500000	215
254000000	213
254500000	200
255000000	212
255500000	193
256000000	191
256500000	219
257000000	216
257500000	189
258000000	197
258500000	202
259000000	173
259500000	184
260000000	207
260500000	187
261000000	199
261500000	197
262000000	223
262500000	211
263000000	203
263500000	203
264000000	176
264500000	201
265000000	202
265500000	182
266000000	201
266500000	198
267000000	176
267500000	187
268000000	206
268500000	167
269000000	191
269500000	185
270000000	181
270500000	204
271000000	181
271500000	189
272000000	185
272500000	160
273000000	197
273500000	183
274000000	191
274500000	186
275000000	185
275500000	155
276000000	180
276500000	179
277000000	212
277500000	196
278000000	202
278500000	184
279000000	185
279500000	192
280000000	188
280500000	195
281000000	180
281500000	168
282000000	184
282500000	186
283000000	182
283500000	182
284000000	169
284500000	149
285000000	171
285500000	194
286000000	175
286500000	180
287000000	185
287500000	171
288000000	196
288500000	185
289000000	169
289500000	150
290000000	164
290500000	164
291000000	174
291500000	186
292000000	168
292500000	177
293000000	169
293500000	169
294000000	192
294500000	183
295000000	162
295500000	152
296000000	193
296500000	177
297000000	163
297500000	163
