"Time (ps)"	"Counts per bin"
0	302534
100000000	304334
200000000	305446
300000000	304712
400000000	304976
500000000	306022
600000000	306395
700000000	305860
800000000	306917
900000000	304743
1000000000	305103
1100000000	305656
1200000000	304970
1300000000	305461
1400000000	305167
1500000000	304297
1600000000	304883
1700000000	305900
1800000000	306345
1900000000	305335
2000000000	305602
2100000000	306274
2200000000	305297
2300000000	305739
2400000000	305552
2500000000	306176
2600000000	306577
2700000000	306372
2800000000	305655
2900000000	305464
3000000000	305593
3100000000	305393
3200000000	306393
3300000000	306756
3400000000	305164
3500000000	306463
3600000000	305935
3700000000	305227
3800000000	305284
3900000000	306222
4000000000	305360
4100000000	305915
4200000000	305061
4300000000	306172
4400000000	305955
4500000000	305334
4600000000	305142
4700000000	305235
4800000000	305254
4900000000	305128
5000000000	304714
5100000000	306417
5200000000	306739
5300000000	306365
5400000000	305870
5500000000	305155
5600000000	306245
5700000000	306656
5800000000	307172
5900000000	306931
6000000000	306255
6100000000	306372
6200000000	306057
6300000000	304973
6400000000	306079
6500000000	306037
6600000000	307002
6700000000	306014
6800000000	306998
6900000000	306366
7000000000	306625
7100000000	306951
7200000000	305894
7300000000	305760
7400000000	305585
7500000000	305780
7600000000	306273
7700000000	306163
7800000000	305986
7900000000	306697
8000000000	307088
8100000000	305662
8200000000	306268
8300000000	306094
8400000000	307161
8500000000	306292
8600000000	305654
8700000000	307191
8800000000	306669
8900000000	306399
9000000000	306232
9100000000	305700
9200000000	305930
9300000000	305910
9400000000	306065
9500000000	305042
9600000000	304574
9700000000	305472
9800000000	305962
9900000000	305294
10000000000	305702
10100000000	305194
10200000000	305559
10300000000	305490
10400000000	305670
10500000000	306365
10600000000	305851
10700000000	306193
10800000000	304738
10900000000	306719
11000000000	305437
11100000000	305340
11200000000	306130
11300000000	304750
11400000000	304257
11500000000	305151
11600000000	305000
11700000000	305780
11800000000	307094
11900000000	306624
12000000000	306304
12100000000	305426
12200000000	305327
12300000000	306658
12400000000	305106
12500000000	305185
12600000000	305703
12700000000	305492
12800000000	304656
12900000000	306374
13000000000	305537
13100000000	305142
13200000000	305103
13300000000	305766
13400000000	305753
13500000000	306109
13600000000	305429
13700000000	306752
13800000000	305123
13900000000	304932
14000000000	305002
14100000000	304922
14200000000	305699
14300000000	306242
14400000000	304433
14500000000	305818
14600000000	304875
14700000000	305841
14800000000	305487
14900000000	306363
15000000000	305166
15100000000	305260
15200000000	306378
15300000000	305912
15400000000	305234
15500000000	305608
15600000000	305304
15700000000	305460
15800000000	305987
15900000000	305757
16000000000	305128
16100000000	305564
16200000000	305889
16300000000	305252
16400000000	305350
16500000000	304685
16600000000	304829
16700000000	305282
16800000000	305471
16900000000	303917
17000000000	305692
17100000000	305101
17200000000	305302
17300000000	304768
17400000000	305057
17500000000	305689
17600000000	304802
17700000000	304583
17800000000	303920
17900000000	303975
18000000000	303674
18100000000	304232
18200000000	305142
18300000000	303824
18400000000	303912
