"Time (ps)"	"Counts per bin"
0	854429
2000000	855851
4000000	857770
6000000	857113
8000000	856314
10000000	856038
12000000	855852
14000000	857652
16000000	856215
18000000	859096
20000000	858448
22000000	859136
24000000	859797
26000000	857559
28000000	859510
30000000	859149
32000000	858777
34000000	859777
36000000	861839
38000000	861303
40000000	860629
42000000	860942
44000000	860591
46000000	860135
48000000	861829
50000000	861381
52000000	860401
54000000	861386
56000000	862997
58000000	862169
60000000	862820
62000000	862642
64000000	861059
66000000	859755
68000000	861777
70000000	862723
72000000	862110
74000000	862706
76000000	862619
78000000	860669
80000000	863036
82000000	862423
84000000	862484
86000000	863385
88000000	863828
90000000	862913
92000000	861591
94000000	861863
96000000	863224
98000000	862629
100000000	862925
102000000	862668
104000000	862343
106000000	862063
108000000	863196
110000000	863133
112000000	862139
114000000	861567
116000000	862291
118000000	861048
120000000	861828
122000000	863787
124000000	864829
126000000	863968
128000000	862325
130000000	861727
132000000	862034
134000000	861650
136000000	861974
138000000	861126
140000000	862482
142000000	864189
144000000	861922
146000000	863306
148000000	862788
150000000	862905
152000000	863532
154000000	862138
156000000	861703
158000000	863049
160000000	863103
162000000	863903
164000000	861413
166000000	862501
168000000	862989
170000000	861997
172000000	863878
174000000	862910
176000000	863248
178000000	862647
180000000	863326
182000000	863605
184000000	862963
186000000	862714
188000000	862770
190000000	861830
192000000	863378
194000000	863663
196000000	862912
198000000	862394
200000000	863208
202000000	863908
204000000	863722
206000000	862676
208000000	862979
210000000	864841
212000000	859259
214000000	862278
216000000	863837
218000000	864857
220000000	863098
222000000	861566
224000000	862600
226000000	864506
228000000	862030
230000000	863850
232000000	863528
234000000	863574
236000000	862824
238000000	864289
240000000	862329
242000000	862344
244000000	862558
246000000	862526
248000000	863100
250000000	864157
252000000	862785
254000000	862805
256000000	863422
258000000	862331
260000000	863112
262000000	862887
264000000	864102
266000000	860668
268000000	864004
270000000	861546
272000000	861400
274000000	864138
276000000	863259
278000000	863213
280000000	862572
282000000	863914
284000000	863228
286000000	863424
288000000	862187
290000000	862648
292000000	861990
294000000	862200
296000000	862504
298000000	862166
300000000	862563
302000000	863650
304000000	864047
306000000	863173
308000000	864876
310000000	866178
312000000	862810
314000000	865086
316000000	863396
318000000	862776
320000000	864471
322000000	862820
324000000	863325
326000000	861681
328000000	864587
330000000	862552
332000000	862285
334000000	862409
336000000	862776
338000000	861923
340000000	863497
342000000	863640
344000000	862875
346000000	863934
348000000	863970
350000000	864617
352000000	861584
354000000	863669
356000000	862932
358000000	863802
360000000	863305
362000000	863075
364000000	862632
366000000	862441
368000000	862843
370000000	862235
372000000	862432
374000000	862423
376000000	863252
378000000	861958
380000000	863100
382000000	863112
384000000	862958
386000000	863096
388000000	864401
390000000	862763
392000000	862768
394000000	862966
396000000	864377
398000000	861902
400000000	864022
402000000	863138
404000000	863873
406000000	864386
408000000	862072
410000000	862478
412000000	863184
414000000	863579
416000000	864368
418000000	862494
420000000	863261
422000000	863655
424000000	863173
426000000	862757
428000000	863170
430000000	863581
432000000	863830
434000000	863564
436000000	863855
438000000	861623
440000000	861614
442000000	861705
444000000	863805
446000000	863227
448000000	862351
450000000	863654
452000000	861764
454000000	863976
456000000	864054
458000000	862998
460000000	862325
462000000	862838
464000000	864324
466000000	862336
468000000	862442
470000000	862968
472000000	864500
474000000	862438
476000000	862737
478000000	861921
480000000	862603
482000000	862366
484000000	863328
486000000	864813
488000000	861258
490000000	864016
492000000	861435
494000000	865480
496000000	863024
498000000	864056
500000000	861871
502000000	863655
504000000	864894
506000000	863457
508000000	864039
510000000	862578
512000000	863275
514000000	864257
516000000	860735
518000000	862400
520000000	861230
522000000	861630
524000000	860711
526000000	862371
528000000	860598
530000000	861858
532000000	864657
534000000	860003
536000000	862239
538000000	861619
540000000	861126
542000000	861423
544000000	859787
546000000	861840
548000000	861040
550000000	860333
552000000	860226
554000000	861444
556000000	860071
558000000	859080
560000000	860677
562000000	859175
564000000	861530
566000000	860500
568000000	857877
570000000	858739
572000000	859060
574000000	858391
576000000	858729
578000000	858819
580000000	859549
582000000	857517
584000000	858280
586000000	859380
588000000	858551
590000000	857225
592000000	858170
594000000	859243
596000000	856981
598000000	857098
600000000	858288
602000000	857916
604000000	858486
606000000	856154
608000000	858423
610000000	857775
612000000	858040
614000000	856367
616000000	858215
618000000	859169
620000000	857486
622000000	858993
624000000	858445
626000000	856575
628000000	858011
630000000	856221
632000000	856674
634000000	858000
636000000	857464
638000000	857276
640000000	857170
642000000	857520
644000000	856609
646000000	857648
648000000	857492
650000000	857006
652000000	857325
654000000	858163
656000000	855680
658000000	858239
660000000	857484
662000000	855825
664000000	854905
666000000	854844
668000000	857483
670000000	857487
672000000	856872
674000000	856893
676000000	857543
678000000	856315
680000000	856970
682000000	856053
684000000	857033
686000000	855893
688000000	857304
690000000	856415
692000000	858150
694000000	856160
696000000	858504
698000000	857029
700000000	856920
702000000	858883
704000000	856798
706000000	856736
708000000	854726
710000000	856961
712000000	857286
714000000	857719
716000000	856500
718000000	856631
720000000	856620
722000000	857522
724000000	857137
726000000	856300
728000000	856647
730000000	856361
732000000	857744
734000000	858226
736000000	857176
738000000	855262
740000000	856896
742000000	854997
744000000	855781
746000000	855717
748000000	857042
750000000	856602
752000000	857424
754000000	856953
756000000	856576
758000000	855063
760000000	855471
762000000	856618
764000000	857536
766000000	855509
768000000	856534
770000000	857881
772000000	856372
774000000	856511
776000000	854928
778000000	855585
780000000	855501
782000000	856848
784000000	855427
786000000	857294
788000000	854977
790000000	857659
792000000	855920
794000000	855297
796000000	855514
798000000	855194
800000000	855406
802000000	857371
804000000	855110
806000000	856595
808000000	855307
810000000	856041
812000000	855178
814000000	853865
816000000	855829
818000000	855468
820000000	856052
822000000	856370
824000000	855024
826000000	855099
828000000	854039
830000000	856413
832000000	855096
834000000	853884
836000000	855914
838000000	855525
840000000	854637
842000000	855062
844000000	856074
846000000	857378
848000000	857056
850000000	856097
852000000	856480
854000000	853089
856000000	856740
858000000	854872
860000000	856162
862000000	853443
864000000	854283
866000000	854897
868000000	856459
870000000	855574
872000000	855428
874000000	856434
876000000	855262
878000000	855962
880000000	855592
882000000	855595
884000000	857834
886000000	855191
888000000	855896
890000000	855829
892000000	856055
894000000	856443
896000000	855482
898000000	856582
900000000	855252
902000000	855553
904000000	857190
906000000	854652
908000000	855995
910000000	855328
912000000	854160
914000000	854793
916000000	856854
918000000	855995
920000000	855731
922000000	854375
924000000	855774
926000000	854480
928000000	856417
930000000	854412
932000000	856280
934000000	855838
936000000	855981
938000000	854467
940000000	856562
942000000	854971
944000000	856389
946000000	855145
948000000	854628
950000000	854517
952000000	854310
954000000	856328
956000000	855656
958000000	854752
960000000	857245
962000000	855707
964000000	856116
966000000	856049
968000000	854045
970000000	855007
972000000	854216
974000000	854807
976000000	855378
978000000	856349
980000000	854754
982000000	855699
984000000	855237
986000000	854757
988000000	856103
990000000	854491
992000000	855757
994000000	853248
996000000	852500
998000000	852728
1000000000	854342
1002000000	855886
1004000000	857477
1006000000	857274
1008000000	856539
1010000000	855935
1012000000	855744
1014000000	857598
1016000000	856032
1018000000	859300
1020000000	858623
1022000000	858851
1024000000	860101
1026000000	857216
1028000000	859676
1030000000	859024
1032000000	858986
1034000000	859706
1036000000	861712
1038000000	861572
1040000000	860398
1042000000	860936
1044000000	860353
1046000000	860323
1048000000	861995
1050000000	861236
1052000000	860510
1054000000	861172
1056000000	863142
1058000000	862068
1060000000	862769
1062000000	862807
1064000000	860958
1066000000	859849
1068000000	861826
1070000000	862554
1072000000	862355
1074000000	862778
1076000000	862267
1078000000	860757
1080000000	863370
1082000000	861870
1084000000	862704
1086000000	863575
1088000000	863494
1090000000	863130
1092000000	861364
1094000000	862166
1096000000	863142
1098000000	862547
1100000000	863078
1102000000	862569
1104000000	862380
1106000000	861926
1108000000	863496
1110000000	862758
1112000000	862165
1114000000	861759
1116000000	862291
1118000000	861164
1120000000	861516
1122000000	863737
1124000000	865184
1126000000	863797
1128000000	861983
1130000000	862057
1132000000	861951
1134000000	861683
1136000000	861984
1138000000	861173
1140000000	862618
1142000000	864111
1144000000	861779
1146000000	863274
1148000000	863179
1150000000	862707
1152000000	863593
1154000000	861816
1156000000	862122
1158000000	862623
1160000000	863088
1162000000	863899
1164000000	861517
1166000000	862527
1168000000	863108
1170000000	861931
1172000000	863895
1174000000	862647
1176000000	863169
1178000000	862921
1180000000	863134
1182000000	863527
1184000000	863253
1186000000	862622
1188000000	863000
1190000000	861712
1192000000	863423
1194000000	863626
1196000000	863022
1198000000	862188
1200000000	863225
1202000000	863665
1204000000	863776
1206000000	862831
1208000000	863122
1210000000	864596
1212000000	859535
1214000000	862076
1216000000	864048
1218000000	864409
1220000000	863287
1222000000	861610
1224000000	862520
1226000000	864780
1228000000	861715
1230000000	863959
1232000000	863501
1234000000	863568
1236000000	863048
1238000000	864190
1240000000	862204
1242000000	862590
1244000000	862345
1246000000	862598
1248000000	863231
1250000000	863736
1252000000	863052
1254000000	862841
1256000000	863690
1258000000	862174
1260000000	862934
1262000000	862769
1264000000	864367
1266000000	860699
1268000000	863830
1270000000	861760
1272000000	861583
1274000000	863542
1276000000	863295
1278000000	863314
1280000000	862741
1282000000	863631
1284000000	863213
1286000000	863484
1288000000	862455
1290000000	862535
1292000000	861801
1294000000	862417
1296000000	862414
1298000000	862150
1300000000	862587
1302000000	863850
1304000000	863913
1306000000	863206
1308000000	864983
1310000000	865795
1312000000	863165
1314000000	864855
1316000000	863361
1318000000	862751
1320000000	864414
1322000000	863104
1324000000	863286
1326000000	861730
1328000000	864569
1330000000	862664
1332000000	861915
1334000000	862682
1336000000	862496
1338000000	862118
1340000000	863251
1342000000	863775
1344000000	863060
1346000000	863690
1348000000	864191
1350000000	864640
1352000000	861290
1354000000	863641
1356000000	862904
1358000000	864124
1360000000	863231
1362000000	863038
1364000000	862532
1366000000	862759
1368000000	862453
1370000000	862531
1372000000	862182
1374000000	862586
1376000000	863158
1378000000	861962
1380000000	863128
1382000000	863379
1384000000	862904
1386000000	862978
1388000000	864097
1390000000	863022
1392000000	862823
1394000000	862820
1396000000	864415
1398000000	861973
1400000000	863882
1402000000	863279
1404000000	863809
1406000000	864317
1408000000	862364
1410000000	862576
1412000000	862974
