"Time (ps)"	"Counts per bin"
0	256625
100000000	258011
200000000	257608
300000000	256946
400000000	257264
500000000	257960
600000000	257472
700000000	258760
800000000	257327
900000000	256187
1000000000	256418
1100000000	257913
1200000000	258029
1300000000	256799
1400000000	257362
1500000000	258134
1600000000	257336
1700000000	256615
1800000000	256380
1900000000	257549
2000000000	256423
2100000000	258252
2200000000	257315
2300000000	256551
2400000000	256434
2500000000	256557
2600000000	256109
2700000000	256723
2800000000	258064
2900000000	256544
3000000000	256481
3100000000	256941
3200000000	256349
3300000000	255993
3400000000	256866
3500000000	257389
3600000000	257156
3700000000	257354
3800000000	257340
3900000000	257586
4000000000	256919
4100000000	258487
4200000000	257290
4300000000	256846
4400000000	257657
4500000000	256942
4600000000	257042
4700000000	257296
4800000000	257017
4900000000	257280
5000000000	256942
5100000000	258260
5200000000	257165
5300000000	257457
5400000000	257807
5500000000	257781
5600000000	257936
5700000000	257274
5800000000	258403
5900000000	258125
6000000000	257912
6100000000	257521
6200000000	257821
6300000000	258473
6400000000	258197
6500000000	257822
6600000000	258446
6700000000	257274
6800000000	257437
6900000000	258101
7000000000	258048
7100000000	257129
7200000000	257830
7300000000	257995
7400000000	258151
7500000000	256959
7600000000	257828
7700000000	256886
7800000000	257286
7900000000	257639
8000000000	257653
8100000000	257707
8200000000	258434
8300000000	257628
8400000000	257121
8500000000	257022
8600000000	256370
8700000000	257123
8800000000	256228
8900000000	257441
9000000000	257726
9100000000	257756
9200000000	256518
9300000000	257122
9400000000	257425
9500000000	257132
9600000000	257131
9700000000	257251
9800000000	257860
9900000000	257573
10000000000	257235
10100000000	256765
10200000000	258010
10300000000	257002
10400000000	257665
10500000000	256668
10600000000	256891
10700000000	257643
10800000000	256910
10900000000	256479
11000000000	257264
11100000000	257531
11200000000	256916
11300000000	257797
11400000000	258763
11500000000	258321
11600000000	257449
11700000000	257889
11800000000	257266
11900000000	258103
12000000000	257729
12100000000	256944
12200000000	258108
12300000000	258170
12400000000	257886
12500000000	257041
12600000000	257958
12700000000	258334
12800000000	256981
12900000000	257760
13000000000	257181
13100000000	258048
13200000000	257809
13300000000	257415
13400000000	258620
13500000000	257802
13600000000	257629
13700000000	258273
13800000000	257945
13900000000	257515
14000000000	257987
14100000000	258697
14200000000	257828
14300000000	257989
14400000000	257685
14500000000	257453
14600000000	258233
14700000000	256904
14800000000	258773
14900000000	257172
15000000000	256753
15100000000	257866
15200000000	258332
15300000000	256603
15400000000	256769
15500000000	257837
15600000000	257646
15700000000	256870
15800000000	257373
15900000000	257307
16000000000	256938
16100000000	256843
16200000000	256577
16300000000	256152
16400000000	257111
16500000000	256819
16600000000	257753
16700000000	256532
16800000000	256910
16900000000	257547
17000000000	257252
17100000000	256985
17200000000	256203
17300000000	257933
17400000000	257684
17500000000	257555
17600000000	257098
17700000000	257519
17800000000	257403
17900000000	256430
18000000000	256679
18100000000	257756
18200000000	257219
18300000000	257768
18400000000	257857
18500000000	257508
18600000000	256780
18700000000	258106
18800000000	256999
18900000000	257259
19000000000	257493
19100000000	256537
19200000000	257824
19300000000	257756
19400000000	257292
19500000000	257509
19600000000	257320
19700000000	257100
19800000000	256861
19900000000	257000
20000000000	257814
20100000000	257152
20200000000	257898
20300000000	257796
20400000000	257366
20500000000	258042
20600000000	257595
20700000000	257527
20800000000	257907
20900000000	257698
21000000000	257128
21100000000	257011
21200000000	258521
21300000000	256740
21400000000	257802
21500000000	257444
21600000000	256935
21700000000	257185
21800000000	256741
21900000000	257932
22000000000	257530
22100000000	257469
22200000000	256606
22300000000	258098
22400000000	257732
22500000000	257832
22600000000	257166
22700000000	256961
22800000000	257460
22900000000	256455
23000000000	257129
23100000000	256579
23200000000	257193
23300000000	256743
23400000000	257388
23500000000	257504
23600000000	256852
23700000000	257118
23800000000	256453
23900000000	257526
24000000000	256974
24100000000	256949
24200000000	256876
24300000000	257232
24400000000	257244
24500000000	256495
24600000000	256914
24700000000	257300
24800000000	256810
24900000000	257136
25000000000	256807
25100000000	256196
25200000000	256315
25300000000	255942
25400000000	256627
25500000000	255817
25600000000	255659
25700000000	255096
25800000000	256313
25900000000	255124
26000000000	256344
26100000000	255771
26200000000	255504
26300000000	255882
26400000000	255241
26500000000	255676
26600000000	256419
26700000000	256650
26800000000	255746
26900000000	257167
27000000000	256773
