"Time (ps)"	"Counts per bin"
0	182818
40000000	184842
80000000	186299
120000000	186145
160000000	186549
200000000	187073
240000000	186847
280000000	186484
320000000	187326
360000000	186059
400000000	187054
440000000	186846
480000000	187200
520000000	187011
560000000	186626
600000000	186634
640000000	186937
680000000	187340
720000000	187240
760000000	186664
800000000	187492
840000000	187664
880000000	187562
920000000	186434
960000000	187461
1000000000	187152
1040000000	186739
1080000000	188309
1120000000	187467
1160000000	186679
1200000000	187052
1240000000	187324
1280000000	186472
1320000000	187562
1360000000	187139
1400000000	186842
1440000000	187015
1480000000	186548
1520000000	188077
1560000000	186908
1600000000	187160
1640000000	187621
1680000000	186681
1720000000	187520
1760000000	187407
1800000000	187109
1840000000	186515
1880000000	187472
1920000000	186818
1960000000	187570
2000000000	187232
2040000000	186860
2080000000	186948
2120000000	187151
2160000000	187201
2200000000	186540
2240000000	187543
2280000000	186637
2320000000	187254
2360000000	187394
2400000000	186543
2440000000	186510
2480000000	186980
2520000000	187386
2560000000	187138
2600000000	186996
2640000000	187056
2680000000	187168
2720000000	186933
2760000000	186613
2800000000	186395
2840000000	187212
2880000000	186867
2920000000	186263
2960000000	188084
3000000000	187552
3040000000	186522
3080000000	186796
3120000000	186900
3160000000	187158
3200000000	187079
3240000000	186707
3280000000	187067
3320000000	186957
3360000000	187056
3400000000	186860
3440000000	186448
3480000000	187494
3520000000	187279
3560000000	187118
3600000000	186585
3640000000	186151
3680000000	186726
3720000000	186842
3760000000	187477
3800000000	186080
3840000000	187202
3880000000	186431
3920000000	187220
3960000000	186889
4000000000	185857
4040000000	187183
4080000000	187219
4120000000	186863
4160000000	186915
4200000000	186533
4240000000	186653
4280000000	187054
4320000000	186350
4360000000	186714
4400000000	186659
4440000000	187122
4480000000	187035
4520000000	186412
4560000000	187480
4600000000	186813
4640000000	187045
4680000000	186695
4720000000	186943
4760000000	187092
4800000000	187364
4840000000	187402
4880000000	187006
4920000000	186704
4960000000	186688
5000000000	187579
5040000000	186883
5080000000	186570
5120000000	187214
5160000000	186668
5200000000	186115
5240000000	186788
5280000000	187519
5320000000	186280
5360000000	185648
5400000000	187429
5440000000	186948
5480000000	186992
5520000000	187399
5560000000	186547
5600000000	187339
5640000000	186707
5680000000	186597
5720000000	186476
5760000000	187235
5800000000	186322
5840000000	186734
5880000000	186958
5920000000	186679
5960000000	185832
6000000000	187050
6040000000	187107
6080000000	186620
6120000000	186146
6160000000	186417
6200000000	186303
6240000000	186001
6280000000	186885
6320000000	186635
6360000000	186765
6400000000	187304
6440000000	186134
6480000000	186383
6520000000	186944
6560000000	186611
6600000000	187182
6640000000	187128
6680000000	187355
6720000000	187402
6760000000	186749
6800000000	187152
6840000000	187309
6880000000	186754
6920000000	186964
6960000000	186920
7000000000	187069
7040000000	187416
7080000000	187055
7120000000	186980
7160000000	186622
7200000000	186994
7240000000	186523
7280000000	186070
7320000000	186541
7360000000	187110
7400000000	187058
7440000000	186608
7480000000	186484
7520000000	186747
7560000000	186919
7600000000	186868
7640000000	186879
7680000000	187048
7720000000	187022
7760000000	186669
7800000000	186457
7840000000	187003
7880000000	187468
7920000000	186591
7960000000	187381
8000000000	186348
8040000000	186759
8080000000	186631
8120000000	186990
8160000000	187189
8200000000	186403
8240000000	187470
8280000000	186433
8320000000	186696
8360000000	187549
8400000000	186228
8440000000	186244
8480000000	186464
8520000000	186490
8560000000	186887
