"Time (ps)"	"Counts per bin"
0	8261
5000000	8192
10000000	8138
15000000	7972
20000000	8062
25000000	8017
30000000	8117
35000000	8303
40000000	8249
45000000	8076
50000000	8202
55000000	8234
60000000	8041
65000000	8216
70000000	8145
75000000	7985
80000000	8148
85000000	8242
90000000	8140
95000000	7950
100000000	8234
105000000	8312
110000000	8061
115000000	8109
120000000	8080
125000000	8127
130000000	8105
135000000	8000
140000000	8050
145000000	8266
150000000	8105
155000000	7954
160000000	8079
165000000	7996
170000000	8067
175000000	8280
180000000	8010
185000000	8220
190000000	8125
195000000	8086
200000000	8171
205000000	8088
210000000	8010
215000000	8016
220000000	8245
225000000	8163
230000000	8089
235000000	7959
240000000	8092
245000000	8066
250000000	8132
255000000	8229
260000000	8083
265000000	8022
270000000	8012
275000000	8098
280000000	8334
285000000	8047
290000000	8090
295000000	8042
300000000	8110
305000000	8030
310000000	8069
315000000	8167
320000000	8039
325000000	8152
330000000	8187
335000000	7978
340000000	8154
345000000	8214
350000000	8269
355000000	8156
360000000	8054
365000000	8175
370000000	8038
375000000	8183
380000000	8028
385000000	8110
390000000	8191
395000000	8080
400000000	8048
405000000	8163
410000000	8279
415000000	8036
420000000	8264
425000000	8031
430000000	8163
435000000	8120
440000000	8116
445000000	7946
450000000	8195
455000000	8022
460000000	8086
465000000	7979
470000000	8324
475000000	8126
480000000	8103
485000000	8090
490000000	8207
495000000	8087
500000000	8151
505000000	8159
510000000	8082
515000000	8245
520000000	8173
525000000	8164
530000000	8219
535000000	8060
540000000	8033
545000000	8133
550000000	8161
555000000	8097
560000000	8125
565000000	8197
570000000	8256
575000000	8067
580000000	8119
585000000	8170
590000000	8061
595000000	8038
600000000	8128
605000000	8013
610000000	8149
615000000	8094
620000000	8273
625000000	8029
630000000	8091
635000000	8217
640000000	8143
645000000	8086
650000000	8120
655000000	8190
660000000	8073
665000000	8102
670000000	8125
675000000	8154
680000000	8155
685000000	7863
690000000	8234
695000000	7884
700000000	8205
705000000	8196
710000000	8181
715000000	8159
720000000	8181
725000000	8165
730000000	8109
735000000	8010
740000000	8215
745000000	8089
750000000	8153
755000000	8035
760000000	8025
765000000	7996
770000000	8218
775000000	7931
780000000	8119
785000000	7960
790000000	8086
795000000	7953
800000000	8098
805000000	8273
810000000	8162
815000000	8138
820000000	8256
825000000	8118
830000000	8302
835000000	8186
840000000	8047
845000000	8158
850000000	8163
855000000	8139
860000000	7983
865000000	8071
870000000	8171
875000000	8054
880000000	8164
885000000	8136
890000000	8137
895000000	8212
900000000	8195
905000000	8026
910000000	8310
915000000	8176
920000000	8187
925000000	8037
930000000	8054
935000000	7977
940000000	8202
945000000	8028
950000000	8287
955000000	8051
960000000	8050
965000000	8102
970000000	8143
975000000	8078
980000000	8069
985000000	8106
990000000	8030
995000000	8179
1000000000	8151
1005000000	8244
1010000000	8238
1015000000	8055
1020000000	8180
1025000000	8155
