"Time (ps)"	"Counts per bin"
0	207
100000000	209
200000000	219
300000000	200
400000000	242
500000000	225
600000000	215
700000000	237
800000000	210
900000000	231
1000000000	209
1100000000	228
1200000000	187
1300000000	234
1400000000	195
1500000000	217
1600000000	207
1700000000	232
1800000000	215
1900000000	236
2000000000	228
2100000000	214
2200000000	224
2300000000	232
2400000000	213
2500000000	201
2600000000	206
2700000000	230
2800000000	241
2900000000	231
3000000000	220
3100000000	217
3200000000	207
3300000000	227
3400000000	205
3500000000	224
3600000000	237
3700000000	221
3800000000	267
3900000000	221
4000000000	209
4100000000	183
4200000000	214
4300000000	245
4400000000	209
4500000000	217
4600000000	262
4700000000	216
4800000000	229
4900000000	216
5000000000	243
5100000000	225
5200000000	249
5300000000	241
5400000000	243
5500000000	229
5600000000	215
5700000000	257
5800000000	221
5900000000	212
6000000000	232
6100000000	203
6200000000	211
6300000000	211
6400000000	219
6500000000	216
6600000000	199
6700000000	196
6800000000	207
6900000000	229
7000000000	215
7100000000	223
7200000000	242
7300000000	203
7400000000	235
7500000000	227
7600000000	239
7700000000	243
7800000000	234
7900000000	230
8000000000	214
8100000000	209
8200000000	229
8300000000	230
8400000000	214
8500000000	228
8600000000	203
8700000000	223
8800000000	192
8900000000	215
9000000000	211
9100000000	204
9200000000	225
9300000000	216
9400000000	217
9500000000	231
9600000000	218
9700000000	233
9800000000	233
9900000000	207
10000000000	215
10100000000	226
10200000000	216
10300000000	243
10400000000	209
10500000000	219
10600000000	222
10700000000	230
10800000000	215
10900000000	198
11000000000	237
11100000000	215
11200000000	208
11300000000	214
11400000000	226
11500000000	223
11600000000	224
11700000000	234
11800000000	209
11900000000	218
12000000000	226
12100000000	226
12200000000	219
12300000000	211
12400000000	219
12500000000	206
12600000000	203
12700000000	202
12800000000	204
12900000000	219
13000000000	195
13100000000	216
13200000000	228
13300000000	226
13400000000	230
13500000000	230
13600000000	200
13700000000	232
13800000000	214
13900000000	246
14000000000	228
14100000000	199
14200000000	230
14300000000	230
14400000000	212
14500000000	212
14600000000	226
14700000000	222
14800000000	231
14900000000	218
15000000000	203
15100000000	218
15200000000	221
15300000000	209
15400000000	221
15500000000	210
15600000000	222
15700000000	200
15800000000	228
15900000000	221
16000000000	218
16100000000	195
16200000000	228
16300000000	217
16400000000	239
16500000000	245
16600000000	219
16700000000	227
16800000000	189
16900000000	211
17000000000	187
17100000000	202
17200000000	213
17300000000	193
17400000000	228
17500000000	201
17600000000	231
17700000000	235
17800000000	205
17900000000	230
18000000000	218
18100000000	207
18200000000	220
18300000000	230
18400000000	225
18500000000	251
18600000000	203
18700000000	223
18800000000	238
18900000000	201
19000000000	226
19100000000	227
19200000000	239
19300000000	242
19400000000	236
19500000000	200
19600000000	251
19700000000	188
19800000000	206
19900000000	217
20000000000	219
20100000000	230
20200000000	220
20300000000	233
20400000000	215
20500000000	212
20600000000	217
20700000000	213
20800000000	211
20900000000	236
21000000000	235
21100000000	229
21200000000	184
21300000000	200
21400000000	214
21500000000	225
21600000000	214
21700000000	185
21800000000	221
21900000000	217
22000000000	246
22100000000	219
22200000000	224
22300000000	238
22400000000	219
22500000000	221
22600000000	232
22700000000	206
22800000000	237
22900000000	220
23000000000	212
23100000000	222
23200000000	215
23300000000	205
23400000000	199
23500000000	215
23600000000	193
23700000000	236
23800000000	240
23900000000	230
24000000000	223
24100000000	208
24200000000	220
24300000000	202
24400000000	232
24500000000	227
24600000000	207
24700000000	210
24800000000	236
24900000000	212
25000000000	234
25100000000	224
25200000000	246
25300000000	205
25400000000	198
25500000000	238
25600000000	219
25700000000	216
25800000000	218
25900000000	219
26000000000	239
26100000000	195
26200000000	214
26300000000	224
26400000000	223
26500000000	214
26600000000	196
26700000000	213
26800000000	235
26900000000	222
27000000000	198
27100000000	216
27200000000	199
27300000000	266
27400000000	221
27500000000	213
27600000000	221
27700000000	215
27800000000	229
27900000000	195
28000000000	208
28100000000	198
28200000000	225
28300000000	227
28400000000	217
28500000000	223
28600000000	246
28700000000	239
28800000000	210
28900000000	217
29000000000	226
29100000000	210
29200000000	231
29300000000	212
29400000000	261
29500000000	237
29600000000	217
29700000000	208
29800000000	233
29900000000	248
30000000000	231
30100000000	206
30200000000	214
30300000000	227
30400000000	208
30500000000	232
30600000000	221
30700000000	206
30800000000	207
30900000000	222
31000000000	204
31100000000	211
31200000000	208
31300000000	191
31400000000	212
31500000000	215
31600000000	237
31700000000	217
31800000000	208
31900000000	210
32000000000	210
32100000000	236
32200000000	235
32300000000	245
32400000000	220
32500000000	212
32600000000	240
32700000000	200
32800000000	208
32900000000	238
33000000000	219
33100000000	222
33200000000	227
33300000000	240
33400000000	194
33500000000	227
33600000000	223
33700000000	212
33800000000	207
33900000000	188
34000000000	223
34100000000	228
34200000000	228
34300000000	212
34400000000	259
34500000000	193
34600000000	200
34700000000	203
34800000000	239
34900000000	252
35000000000	222
35100000000	214
35200000000	241
35300000000	242
35400000000	223
35500000000	198
35600000000	216
35700000000	215
35800000000	229
35900000000	226
36000000000	207
36100000000	220
36200000000	234
36300000000	217
36400000000	203
36500000000	203
36600000000	198
36700000000	215
36800000000	219
36900000000	208
37000000000	225
37100000000	208
37200000000	219
37300000000	233
37400000000	234
37500000000	203
37600000000	225
37700000000	247
37800000000	222
37900000000	211
38000000000	220
38100000000	210
38200000000	219
38300000000	207
38400000000	214
38500000000	215
38600000000	217
38700000000	218
38800000000	216
38900000000	208
39000000000	238
39100000000	211
39200000000	232
39300000000	223
39400000000	231
39500000000	214
39600000000	191
39700000000	221
39800000000	210
39900000000	211
40000000000	220
40100000000	237
40200000000	196
40300000000	217
40400000000	211
40500000000	220
40600000000	232
40700000000	220
40800000000	229
40900000000	196
41000000000	215
41100000000	244
41200000000	210
41300000000	224
41400000000	249
41500000000	226
41600000000	225
41700000000	223
41800000000	239
41900000000	212
42000000000	237
42100000000	213
42200000000	213
42300000000	231
42400000000	228
42500000000	230
42600000000	207
42700000000	235
42800000000	272
42900000000	235
43000000000	199
43100000000	201
43200000000	202
43300000000	210
43400000000	233
43500000000	220
43600000000	194
43700000000	224
43800000000	233
43900000000	210
44000000000	200
44100000000	242
44200000000	226
44300000000	244
44400000000	235
44500000000	247
44600000000	221
44700000000	217
44800000000	197
44900000000	239
45000000000	259
45100000000	226
45200000000	220
45300000000	208
45400000000	202
45500000000	190
45600000000	208
45700000000	218
45800000000	205
45900000000	223
46000000000	232
46100000000	230
46200000000	230
46300000000	210
46400000000	201
46500000000	256
46600000000	226
46700000000	237
46800000000	217
46900000000	226
47000000000	226
47100000000	203
47200000000	237
47300000000	232
47400000000	247
47500000000	216
47600000000	215
47700000000	210
47800000000	190
47900000000	204
48000000000	222
48100000000	212
48200000000	222
48300000000	219
48400000000	232
48500000000	232
48600000000	219
