"Time (ps)"	"Counts per bin"
0	509074
100000000	515226
200000000	515547
300000000	517570
400000000	515744
500000000	517734
600000000	515570
700000000	517375
800000000	517404
900000000	515682
1000000000	517035
1100000000	516622
1200000000	517824
1300000000	517695
1400000000	516007
1500000000	518471
1600000000	517262
1700000000	517269
1800000000	516121
1900000000	515388
2000000000	518222
2100000000	517196
2200000000	516783
2300000000	516769
2400000000	517578
2500000000	516674
2600000000	518418
2700000000	519204
2800000000	515903
2900000000	516278
3000000000	516090
3100000000	518156
3200000000	516761
3300000000	516934
3400000000	517431
3500000000	516614
3600000000	516349
3700000000	517215
3800000000	517376
3900000000	516876
4000000000	515657
4100000000	516718
4200000000	515487
4300000000	517392
4400000000	517252
4500000000	516901
4600000000	517126
4700000000	517477
4800000000	517222
4900000000	518527
5000000000	515606
5100000000	516531
5200000000	516201
5300000000	515584
5400000000	517432
5500000000	518316
5600000000	515430
5700000000	517350
5800000000	516644
5900000000	517177
6000000000	516675
6100000000	517011
6200000000	516463
6300000000	516815
6400000000	517514
6500000000	515920
6600000000	516501
6700000000	517655
6800000000	516195
6900000000	517757
7000000000	517653
7100000000	516347
7200000000	516725
7300000000	517204
7400000000	517237
7500000000	517017
7600000000	517421
7700000000	517783
7800000000	517423
7900000000	516375
8000000000	517065
8100000000	517624
8200000000	516022
8300000000	516482
8400000000	516541
8500000000	516492
8600000000	515743
8700000000	517448
8800000000	517420
8900000000	516344
9000000000	516215
9100000000	515525
9200000000	516793
9300000000	515411
9400000000	517321
9500000000	517202
9600000000	516040
9700000000	517699
9800000000	517128
9900000000	517164
10000000000	517614
10100000000	515504
10200000000	516817
10300000000	515520
10400000000	516722
10500000000	517826
10600000000	516636
10700000000	515772
10800000000	516994
10900000000	516590
11000000000	515024
11100000000	517520
11200000000	518040
11300000000	517768
11400000000	517369
11500000000	517646
11600000000	516423
11700000000	515915
11800000000	516498
11900000000	516945
12000000000	517635
12100000000	517391
12200000000	516149
12300000000	517051
12400000000	517566
12500000000	517806
12600000000	516672
12700000000	515859
12800000000	517716
12900000000	517415
13000000000	516424
13100000000	516565
13200000000	516872
13300000000	517282
13400000000	515967
13500000000	517735
13600000000	517284
13700000000	517440
13800000000	517753
13900000000	518749
14000000000	517876
14100000000	518459
14200000000	517264
14300000000	516431
14400000000	515700
14500000000	518000
14600000000	518499
14700000000	516080
14800000000	517385
14900000000	516597
15000000000	516945
15100000000	517917
15200000000	516349
15300000000	517238
15400000000	517693
15500000000	517315
15600000000	515830
15700000000	518087
15800000000	516902
15900000000	516828
16000000000	516137
16100000000	515954
16200000000	517648
16300000000	517880
16400000000	517732
16500000000	517446
16600000000	517161
16700000000	515814
16800000000	518291
16900000000	517312
17000000000	518113
17100000000	516254
17200000000	517025
17300000000	517432
17400000000	517264
17500000000	517442
17600000000	516870
17700000000	517143
17800000000	517067
17900000000	517516
18000000000	517588
18100000000	516417
18200000000	516554
18300000000	517425
18400000000	516821
18500000000	515463
18600000000	517233
18700000000	517642
18800000000	516462
18900000000	515715
19000000000	517262
19100000000	517112
19200000000	517490
19300000000	517622
19400000000	517166
19500000000	517252
19600000000	516618
19700000000	516788
19800000000	517924
19900000000	518731
20000000000	517116
20100000000	517661
20200000000	517086
20300000000	516448
20400000000	517413
20500000000	516406
20600000000	515434
20700000000	516603
20800000000	515325
20900000000	516844
21000000000	517505
21100000000	517025
21200000000	515921
21300000000	516899
21400000000	517051
21500000000	515519
21600000000	517848
21700000000	517103
21800000000	516556
21900000000	517294
22000000000	517602
22100000000	515638
22200000000	517477
22300000000	516533
22400000000	517024
22500000000	517708
22600000000	517366
22700000000	516591
22800000000	517291
22900000000	517499
23000000000	516766
23100000000	517935
23200000000	517279
23300000000	516976
23400000000	516342
23500000000	517532
23600000000	517085
23700000000	516975
23800000000	516309
23900000000	515852
24000000000	517683
24100000000	518088
24200000000	516532
24300000000	516184
24400000000	516709
24500000000	516664
24600000000	517011
24700000000	516611
