"Time (ps)"	"Counts per bin"
0	103917
1000000	104035
2000000	103998
3000000	103950
4000000	104190
5000000	104016
6000000	104371
7000000	104707
8000000	103528
9000000	104133
10000000	104255
11000000	103729
12000000	103836
13000000	104166
14000000	104044
15000000	103990
16000000	103773
17000000	104025
18000000	103502
19000000	103684
20000000	103689
21000000	103960
22000000	104077
23000000	103708
24000000	103793
25000000	103820
26000000	103940
27000000	104165
28000000	103178
29000000	104070
30000000	104677
31000000	103305
32000000	103340
33000000	103547
34000000	103086
35000000	103332
36000000	103908
37000000	104090
38000000	103402
39000000	103255
40000000	104118
41000000	104220
42000000	103790
43000000	103369
44000000	103617
45000000	104033
46000000	103030
47000000	103782
48000000	103212
49000000	103574
50000000	103593
51000000	104047
52000000	103565
53000000	103859
54000000	103536
55000000	103933
56000000	103405
57000000	103316
58000000	103837
59000000	103479
60000000	102907
61000000	103607
62000000	103463
63000000	103100
64000000	103448
65000000	103791
66000000	103951
67000000	103562
68000000	103152
69000000	103519
70000000	103322
71000000	103688
72000000	103474
73000000	103609
74000000	103401
75000000	103797
76000000	103651
77000000	103400
78000000	103514
79000000	103132
80000000	102826
81000000	103472
82000000	103425
83000000	103069
84000000	103393
85000000	103586
86000000	103744
87000000	102861
88000000	102631
89000000	103778
90000000	103239
91000000	103323
92000000	103347
93000000	103868
94000000	103474
95000000	102717
96000000	103257
97000000	103432
98000000	103003
99000000	103421
100000000	102925
101000000	103018
102000000	103283
103000000	103050
104000000	103758
105000000	103355
106000000	103306
107000000	103354
108000000	103677
109000000	103456
110000000	103057
111000000	102953
112000000	103133
113000000	103084
114000000	103232
115000000	103230
116000000	103319
117000000	103561
118000000	102896
119000000	103400
120000000	103572
121000000	103406
122000000	103436
123000000	102867
124000000	103150
125000000	103057
126000000	102948
127000000	103738
128000000	102700
129000000	102306
130000000	103574
131000000	102951
132000000	103432
133000000	103009
134000000	103558
135000000	103282
136000000	103408
137000000	103453
138000000	102274
139000000	103027
140000000	103510
141000000	103170
142000000	103361
143000000	102948
144000000	103108
145000000	103136
146000000	103182
147000000	103383
148000000	103106
149000000	103096
150000000	102848
151000000	103133
152000000	102955
153000000	103147
154000000	103038
155000000	103219
156000000	102797
157000000	102950
158000000	103053
159000000	102969
160000000	103456
