"Time (ps)"	"Counts per bin"
0	3795
400000	3851
800000	3860
1200000	3804
1600000	3920
2000000	3810
2400000	3657
2800000	3676
3200000	3729
3600000	3729
4000000	3633
4400000	3592
4800000	3534
5200000	3575
5600000	3594
6000000	3574
6400000	3512
6800000	3377
7200000	3456
7600000	3336
8000000	3349
8400000	3336
8800000	3331
9200000	3402
9600000	3282
10000000	3232
10400000	3236
10800000	3230
11200000	3137
11600000	3238
12000000	3128
12400000	3058
12800000	3190
13200000	3115
13600000	3040
14000000	2969
14400000	3046
14800000	2959
15200000	3089
15600000	2961
16000000	2972
16400000	2799
16800000	2994
17200000	2893
17600000	2840
18000000	2815
18400000	2904
18800000	2771
19200000	2783
19600000	2764
20000000	2722
20400000	2749
20800000	2789
21200000	2652
21600000	2720
22000000	2702
22400000	2623
22800000	2645
23200000	2688
23600000	2616
24000000	2655
24400000	2583
24800000	2608
25200000	2616
25600000	2585
26000000	2526
26400000	2466
26800000	2444
27200000	2385
27600000	2321
28000000	2392
28400000	2444
28800000	2439
29200000	2392
29600000	2367
30000000	2375
30400000	2290
30800000	2323
31200000	2353
31600000	2243
32000000	2246
32400000	2373
32800000	2241
33200000	2294
33600000	2250
34000000	2347
34400000	2239
34800000	2205
35200000	2237
35600000	2201
36000000	2226
36400000	2166
36800000	2161
37200000	2111
37600000	2299
38000000	2184
38400000	2224
38800000	2172
39200000	2103
39600000	2230
40000000	2125
40400000	2043
40800000	2091
41200000	2047
41600000	2077
42000000	2049
42400000	2082
42800000	1989
43200000	2016
43600000	1989
44000000	2017
44400000	1904
44800000	1914
45200000	2011
45600000	1921
46000000	1990
46400000	1951
46800000	1894
47200000	1937
47600000	1937
48000000	1936
48400000	1914
48800000	1952
49200000	1934
49600000	1871
50000000	1823
50400000	1924
50800000	1859
51200000	1825
51600000	1747
52000000	1835
52400000	1792
52800000	1750
53200000	1775
53600000	1788
54000000	1751
54400000	1788
54800000	1708
55200000	1821
55600000	1754
56000000	1675
56400000	1785
56800000	1682
57200000	1672
57600000	1713
58000000	1723
58400000	1741
58800000	1666
59200000	1729
59600000	1656
60000000	1662
60400000	1550
60800000	1643
61200000	1677
61600000	1594
62000000	1658
62400000	1637
62800000	1581
63200000	1617
63600000	1540
64000000	1615
64400000	1545
64800000	1614
65200000	1543
65600000	1650
66000000	1596
66400000	1505
66800000	1552
67200000	1561
67600000	1533
68000000	1571
68400000	1567
68800000	1396
69200000	1478
69600000	1473
70000000	1423
70400000	1448
70800000	1431
71200000	1469
71600000	1487
72000000	1489
72400000	1502
72800000	1385
73200000	1444
73600000	1428
74000000	1433
74400000	1437
74800000	1409
75200000	1357
75600000	1375
76000000	1374
76400000	1341
76800000	1354
77200000	1379
77600000	1331
78000000	1429
78400000	1340
78800000	1360
79200000	1339
79600000	1393
80000000	1321
80400000	1379
80800000	1257
81200000	1283
81600000	1334
82000000	1358
82400000	1320
82800000	1248
83200000	1264
83600000	1309
84000000	1240
84400000	1273
84800000	1288
85200000	1306
85600000	1303
86000000	1280
86400000	1319
86800000	1297
87200000	1291
87600000	1278
88000000	1243
88400000	1298
88800000	1244
89200000	1245
89600000	1179
90000000	1250
90400000	1204
90800000	1204
91200000	1223
91600000	1149
92000000	1193
92400000	1147
92800000	1186
93200000	1172
93600000	1154
94000000	1169
94400000	1174
94800000	1076
95200000	1182
95600000	1097
96000000	1169
96400000	1147
96800000	1093
97200000	1114
97600000	1090
98000000	1125
98400000	1122
98800000	1111
99200000	1109
99600000	1087
100000000	1122
100400000	1124
100800000	1023
101200000	1096
101600000	1045
102000000	1124
102400000	1081
102800000	1110
103200000	1060
103600000	1104
104000000	1100
104400000	1046
104800000	1075
105200000	1013
105600000	1073
106000000	1099
106400000	1064
106800000	1026
107200000	1067
107600000	1020
108000000	1012
108400000	965
108800000	1047
109200000	1044
109600000	1013
110000000	1019
110400000	960
110800000	1047
111200000	1014
111600000	1010
112000000	992
112400000	995
112800000	1012
113200000	923
113600000	950
114000000	995
114400000	1004
114800000	942
115200000	928
115600000	972
116000000	974
116400000	940
116800000	954
117200000	972
117600000	898
118000000	940
118400000	965
118800000	906
119200000	932
119600000	900
120000000	933
120400000	891
120800000	982
121200000	875
121600000	941
122000000	919
122400000	937
122800000	886
123200000	929
123600000	872
124000000	878
124400000	857
124800000	936
125200000	915
125600000	903
126000000	875
126400000	885
126800000	870
127200000	832
127600000	787
128000000	850
128400000	852
128800000	859
129200000	837
129600000	749
130000000	863
130400000	810
130800000	830
131200000	807
131600000	850
132000000	774
132400000	818
132800000	828
133200000	800
133600000	821
134000000	799
134400000	796
134800000	747
135200000	798
135600000	800
136000000	794
136400000	784
136800000	781
137200000	761
137600000	823
138000000	758
138400000	827
138800000	778
139200000	737
139600000	711
140000000	742
140400000	767
140800000	769
141200000	779
141600000	725
142000000	784
142400000	786
142800000	746
143200000	726
143600000	778
144000000	683
144400000	740
144800000	800
145200000	752
145600000	802
146000000	690
146400000	727
146800000	773
147200000	710
147600000	730
148000000	701
148400000	689
148800000	695
149200000	673
149600000	699
150000000	676
150400000	704
150800000	726
151200000	651
151600000	719
152000000	676
152400000	633
152800000	712
153200000	687
153600000	710
154000000	726
154400000	685
154800000	676
155200000	669
155600000	676
156000000	681
156400000	664
156800000	689
157200000	733
157600000	670
158000000	662
158400000	603
158800000	665
159200000	624
159600000	695
160000000	699
160400000	676
160800000	633
161200000	635
161600000	663
162000000	638
162400000	657
162800000	656
163200000	642
163600000	635
164000000	593
164400000	609
164800000	626
165200000	627
165600000	616
166000000	653
166400000	579
166800000	649
167200000	633
167600000	605
168000000	629
168400000	599
168800000	620
169200000	546
169600000	637
170000000	602
170400000	570
170800000	562
171200000	596
171600000	586
172000000	641
172400000	618
172800000	647
173200000	579
173600000	644
174000000	571
174400000	590
174800000	593
175200000	563
175600000	572
176000000	541
176400000	556
176800000	596
177200000	553
177600000	563
178000000	549
178400000	545
178800000	545
179200000	600
179600000	575
180000000	549
180400000	561
180800000	563
181200000	579
181600000	570
182000000	538
182400000	541
182800000	608
183200000	533
183600000	570
184000000	515
184400000	512
184800000	520
185200000	540
185600000	549
186000000	573
186400000	536
186800000	510
187200000	509
187600000	542
188000000	527
188400000	512
188800000	571
189200000	543
189600000	559
190000000	537
190400000	476
190800000	486
191200000	528
191600000	523
192000000	502
192400000	514
192800000	530
193200000	528
193600000	500
194000000	549
194400000	484
194800000	469
195200000	519
195600000	510
196000000	540
196400000	494
196800000	532
197200000	469
197600000	485
198000000	486
198400000	434
198800000	481
199200000	496
199600000	484
200000000	483
200400000	466
200800000	514
201200000	484
201600000	467
202000000	470
202400000	531
202800000	466
203200000	449
203600000	491
204000000	460
204400000	503
204800000	471
205200000	490
205600000	428
206000000	428
206400000	500
206800000	482
207200000	473
207600000	436
208000000	440
208400000	436
208800000	427
209200000	445
209600000	443
210000000	459
210400000	469
210800000	425
211200000	439
211600000	411
212000000	441
212400000	485
212800000	459
213200000	409
213600000	427
214000000	439
214400000	455
214800000	461
215200000	453
215600000	442
216000000	436
216400000	447
216800000	420
217200000	465
217600000	427
218000000	429
218400000	441
218800000	389
219200000	433
219600000	450
220000000	407
220400000	398
220800000	393
221200000	417
221600000	412
222000000	405
222400000	382
222800000	405
223200000	413
223600000	403
224000000	405
224400000	391
224800000	373
225200000	372
225600000	404
226000000	395
226400000	388
226800000	408
227200000	400
227600000	402
228000000	398
228400000	372
228800000	385
229200000	388
229600000	371
230000000	419
230400000	384
230800000	398
231200000	389
231600000	371
232000000	420
232400000	365
232800000	412
233200000	382
233600000	368
234000000	362
234400000	379
234800000	361
235200000	347
235600000	375
236000000	390
236400000	402
236800000	345
237200000	352
237600000	365
238000000	385
238400000	352
238800000	329
239200000	368
239600000	383
240000000	350
240400000	371
240800000	361
241200000	354
241600000	336
242000000	347
242400000	359
242800000	374
243200000	366
243600000	346
244000000	319
244400000	374
244800000	362
245200000	350
245600000	366
246000000	333
246400000	342
246800000	352
247200000	347
247600000	338
248000000	345
248400000	320
248800000	344
249200000	362
249600000	349
250000000	318
250400000	341
250800000	298
251200000	344
251600000	315
252000000	331
252400000	317
252800000	345
253200000	336
253600000	303
254000000	318
254400000	337
254800000	303
255200000	338
255600000	320
256000000	339
256400000	333
256800000	342
257200000	317
257600000	305
258000000	331
258400000	362
258800000	357
259200000	318
259600000	340
260000000	303
260400000	343
260800000	329
261200000	317
261600000	338
262000000	322
262400000	309
262800000	291
263200000	340
263600000	345
264000000	289
264400000	314
264800000	298
265200000	338
265600000	278
266000000	313
266400000	314
266800000	336
267200000	309
267600000	290
268000000	296
268400000	282
268800000	277
269200000	320
269600000	352
270000000	281
270400000	303
270800000	334
271200000	311
271600000	254
272000000	249
272400000	259
272800000	263
273200000	309
273600000	330
274000000	306
274400000	276
274800000	290
275200000	255
275600000	302
276000000	279
276400000	275
276800000	288
277200000	273
277600000	279
278000000	274
278400000	297
278800000	274
279200000	275
279600000	295
280000000	255
280400000	270
280800000	278
281200000	272
281600000	280
282000000	273
282400000	270
282800000	281
283200000	267
283600000	280
284000000	281
284400000	282
284800000	262
285200000	298
285600000	278
286000000	261
286400000	266
286800000	248
287200000	255
