"Time (ps)"	"Counts per bin"
0	29
50000	24
100000	28
150000	22
200000	28
250000	34
300000	19
350000	17
400000	25
450000	22
500000	22
550000	32
600000	27
650000	16
700000	25
750000	23
800000	31
850000	26
900000	35
950000	28
1000000	23
1050000	24
1100000	29
1150000	26
1200000	29
1250000	25
1300000	29
1350000	32
1400000	32
1450000	21
1500000	33
1550000	15
1600000	28
1650000	21
1700000	28
1750000	23
1800000	25
1850000	34
1900000	35
1950000	25
2000000	28
2050000	17
2100000	36
2150000	35
2200000	19
2250000	17
2300000	20
2350000	22
2400000	27
2450000	29
2500000	23
2550000	29
2600000	17
2650000	19
2700000	30
2750000	22
2800000	32
2850000	20
2900000	26
2950000	24
3000000	23
3050000	21
3100000	29
3150000	24
3200000	24
3250000	28
3300000	25
3350000	13
3400000	19
3450000	16
3500000	29
3550000	24
3600000	28
3650000	28
3700000	15
3750000	21
3800000	30
3850000	26
3900000	32
3950000	22
4000000	30
4050000	28
4100000	28
4150000	24
4200000	29
4250000	21
4300000	37
4350000	23
4400000	20
4450000	24
4500000	28
4550000	27
4600000	30
4650000	29
4700000	25
4750000	23
4800000	23
4850000	18
4900000	28
4950000	33
5000000	24
5050000	22
5100000	22
5150000	22
5200000	20
5250000	24
5300000	24
5350000	25
5400000	19
5450000	24
5500000	17
5550000	33
5600000	18
5650000	19
5700000	29
5750000	25
5800000	27
5850000	23
5900000	17
5950000	31
6000000	30
6050000	34
6100000	30
6150000	29
6200000	28
6250000	22
6300000	19
6350000	22
6400000	16
6450000	23
6500000	19
6550000	22
6600000	22
6650000	27
6700000	26
6750000	21
6800000	21
6850000	27
6900000	27
6950000	20
7000000	29
7050000	23
7100000	37
7150000	26
7200000	23
7250000	20
7300000	34
7350000	22
7400000	28
7450000	33
7500000	30
7550000	33
7600000	30
7650000	23
7700000	38
7750000	20
7800000	25
7850000	26
7900000	29
7950000	22
8000000	18
8050000	28
8100000	26
8150000	26
8200000	27
8250000	31
8300000	25
8350000	26
8400000	26
8450000	34
8500000	27
8550000	33
8600000	19
8650000	22
8700000	24
8750000	27
8800000	37
8850000	35
8900000	17
8950000	31
9000000	21
9050000	25
9100000	33
9150000	20
9200000	23
9250000	27
9300000	28
9350000	20
9400000	30
9450000	21
9500000	18
9550000	26
9600000	27
9650000	30
9700000	23
9750000	32
9800000	25
9850000	21
9900000	25
9950000	25
10000000	27
10050000	28
10100000	39
10150000	22
10200000	21
10250000	32
10300000	26
10350000	25
10400000	30
10450000	17
10500000	26
10550000	22
10600000	23
10650000	17
10700000	32
10750000	40
10800000	25
10850000	29
10900000	32
10950000	24
11000000	33
11050000	24
11100000	24
11150000	24
11200000	27
11250000	21
11300000	28
11350000	32
11400000	30
11450000	26
11500000	23
11550000	19
11600000	29
11650000	27
11700000	23
11750000	28
11800000	38
11850000	24
11900000	26
11950000	28
12000000	23
12050000	28
12100000	32
12150000	29
12200000	20
12250000	31
12300000	22
12350000	33
12400000	31
12450000	26
12500000	27
12550000	25
12600000	24
12650000	18
12700000	26
12750000	26
12800000	30
12850000	24
12900000	30
12950000	31
13000000	29
13050000	23
13100000	17
13150000	23
13200000	22
13250000	37
13300000	22
13350000	25
13400000	31
13450000	28
13500000	32
13550000	26
13600000	23
13650000	33
13700000	19
13750000	29
13800000	24
13850000	39
13900000	23
13950000	23
14000000	22
14050000	23
14100000	20
14150000	29
14200000	20
14250000	26
14300000	30
14350000	30
14400000	25
14450000	26
14500000	26
14550000	27
14600000	21
14650000	32
14700000	28
14750000	27
14800000	20
14850000	26
14900000	26
14950000	17
15000000	31
15050000	26
15100000	25
15150000	25
15200000	28
15250000	25
15300000	21
15350000	22
15400000	28
15450000	20
15500000	29
15550000	34
15600000	29
15650000	28
15700000	20
15750000	38
15800000	26
15850000	25
15900000	17
15950000	21
16000000	24
16050000	38
16100000	26
16150000	28
16200000	26
16250000	26
16300000	25
16350000	26
16400000	19
16450000	28
16500000	18
16550000	22
16600000	25
16650000	27
16700000	37
16750000	91
16800000	274
16850000	734
16900000	2026
16950000	3418
17000000	4133
17050000	3375
17100000	2039
17150000	1008
17200000	403
17250000	162
17300000	64
17350000	42
17400000	34
17450000	29
17500000	32
17550000	45
17600000	27
17650000	36
17700000	26
17750000	21
17800000	30
17850000	43
17900000	53
17950000	48
18000000	50
18050000	91
18100000	114
18150000	200
18200000	351
18250000	675
18300000	1112
18350000	1692
18400000	2110
18450000	2108
18500000	1778
18550000	1290
18600000	835
18650000	510
18700000	310
18750000	158
18800000	136
18850000	76
18900000	53
18950000	47
19000000	42
19050000	48
19100000	36
19150000	41
19200000	46
19250000	27
19300000	32
19350000	35
19400000	38
19450000	37
19500000	41
19550000	49
19600000	38
19650000	56
19700000	74
19750000	92
19800000	150
19850000	282
19900000	475
19950000	763
20000000	1131
20050000	1389
20100000	1479
20150000	1195
20200000	853
20250000	518
20300000	306
20350000	170
20400000	106
20450000	56
20500000	39
20550000	36
20600000	30
20650000	36
20700000	38
20750000	43
20800000	30
20850000	30
20900000	30
20950000	30
21000000	27
21050000	29
21100000	34
21150000	30
21200000	33
21250000	38
21300000	60
21350000	88
21400000	163
21450000	287
21500000	592
21550000	961
21600000	1589
21650000	2059
21700000	2301
21750000	2247
21800000	1906
21850000	1380
21900000	952
21950000	598
22000000	335
22050000	212
22100000	114
22150000	83
22200000	82
22250000	75
22300000	60
22350000	50
22400000	52
22450000	42
22500000	43
22550000	39
22600000	42
22650000	62
22700000	62
22750000	106
22800000	146
22850000	228
22900000	320
22950000	424
23000000	654
23050000	751
23100000	854
23150000	940
23200000	1021
23250000	982
23300000	965
23350000	824
23400000	766
23450000	689
23500000	609
23550000	502
23600000	431
23650000	391
23700000	355
23750000	305
23800000	275
23850000	228
23900000	164
23950000	120
24000000	120
24050000	98
24100000	110
24150000	110
24200000	132
24250000	199
24300000	209
