"Time (ps)"	"Counts per bin"
0	3
50000	9
100000	5
150000	1
200000	4
250000	5
300000	6
350000	4
400000	6
450000	6
500000	5
550000	3
600000	1
650000	4
700000	8
750000	6
800000	3
850000	5
900000	2
950000	7
1000000	0
1050000	2
1100000	4
1150000	3
1200000	10
1250000	3
1300000	5
1350000	3
1400000	5
1450000	2
1500000	2
1550000	8
1600000	4
1650000	3
1700000	3
1750000	5
1800000	8
1850000	4
1900000	4
1950000	2
2000000	5
2050000	8
2100000	6
2150000	5
2200000	2
2250000	4
2300000	2
2350000	3
2400000	3
2450000	3
2500000	8
2550000	4
2600000	1
2650000	4
2700000	3
2750000	8
2800000	7
2850000	3
2900000	5
2950000	5
3000000	5
3050000	5
3100000	8
3150000	5
3200000	8
3250000	4
3300000	2
3350000	2
3400000	1
3450000	5
3500000	8
3550000	5
3600000	5
3650000	6
3700000	4
3750000	8
3800000	0
3850000	4
3900000	3
3950000	3
4000000	7
4050000	11
4100000	5
4150000	4
4200000	1
4250000	6
4300000	2
4350000	1
4400000	1
4450000	2
4500000	4
4550000	6
4600000	0
4650000	1
4700000	4
4750000	6
4800000	6
4850000	7
4900000	5
4950000	3
5000000	3
5050000	4
5100000	3
5150000	3
5200000	4
5250000	4
5300000	3
5350000	5
5400000	4
5450000	3
5500000	4
5550000	3
5600000	5
5650000	4
5700000	7
5750000	1
5800000	1
5850000	6
5900000	4
5950000	5
6000000	6
6050000	4
6100000	3
6150000	4
6200000	3
6250000	9
6300000	4
6350000	11
6400000	8
6450000	1
6500000	5
6550000	3
6600000	3
6650000	3
6700000	2
6750000	5
6800000	3
6850000	8
6900000	1
6950000	2
7000000	3
7050000	2
7100000	5
7150000	7
7200000	4
7250000	4
7300000	3
7350000	5
7400000	2
7450000	4
7500000	3
7550000	2
7600000	6
7650000	3
7700000	3
7750000	6
7800000	2
7850000	3
7900000	3
7950000	8
8000000	5
8050000	6
8100000	3
8150000	2
8200000	3
8250000	4
8300000	8
8350000	5
8400000	4
8450000	3
8500000	7
8550000	5
8600000	3
8650000	5
8700000	4
8750000	4
8800000	7
8850000	8
8900000	8
8950000	5
9000000	4
9050000	6
9100000	4
9150000	3
9200000	4
9250000	6
9300000	1
9350000	1
9400000	6
9450000	2
9500000	2
9550000	3
9600000	4
9650000	10
9700000	7
9750000	5
9800000	1
9850000	7
9900000	3
9950000	1
10000000	3
10050000	7
10100000	9
10150000	5
10200000	4
10250000	3
10300000	4
10350000	2
10400000	1
10450000	3
10500000	5
10550000	4
10600000	7
10650000	3
10700000	4
10750000	11
10800000	3
10850000	3
10900000	1
10950000	7
11000000	4
11050000	8
11100000	5
11150000	3
11200000	6
11250000	5
11300000	5
11350000	7
11400000	4
11450000	11
11500000	2
11550000	1
11600000	1
11650000	4
11700000	5
11750000	3
11800000	2
11850000	8
11900000	3
11950000	1
12000000	3
12050000	6
12100000	1
12150000	10
12200000	10
12250000	4
12300000	2
12350000	5
12400000	3
12450000	3
12500000	4
12550000	2
12600000	5
12650000	6
12700000	2
12750000	6
12800000	13
12850000	1
12900000	3
12950000	6
13000000	7
13050000	2
13100000	7
13150000	3
13200000	4
13250000	3
13300000	3
13350000	6
13400000	4
13450000	3
13500000	5
13550000	4
13600000	4
13650000	9
13700000	8
13750000	7
13800000	6
13850000	4
13900000	5
13950000	5
14000000	3
14050000	9
14100000	9
14150000	2
14200000	5
14250000	7
14300000	1
14350000	4
14400000	6
14450000	7
14500000	6
14550000	3
14600000	6
14650000	5
14700000	6
14750000	5
14800000	5
14850000	4
14900000	4
14950000	2
15000000	8
15050000	4
15100000	8
15150000	2
15200000	5
15250000	3
15300000	7
15350000	5
15400000	6
15450000	5
15500000	2
15550000	2
15600000	1
15650000	5
15700000	3
15750000	11
15800000	4
15850000	5
15900000	2
15950000	2
16000000	3
16050000	3
16100000	5
16150000	3
16200000	2
16250000	8
16300000	3
16350000	4
16400000	4
16450000	4
16500000	5
16550000	2
16600000	2
16650000	5
16700000	9
16750000	5
16800000	8
16850000	7
16900000	3
16950000	3
17000000	5
17050000	6
17100000	4
17150000	9
17200000	7
17250000	1
17300000	5
17350000	4
17400000	5
17450000	5
17500000	5
17550000	5
17600000	6
17650000	5
17700000	11
17750000	22
17800000	33
17850000	78
17900000	127
17950000	178
18000000	242
18050000	300
18100000	358
18150000	380
18200000	295
18250000	230
18300000	112
18350000	60
18400000	34
18450000	24
18500000	11
18550000	6
18600000	11
18650000	8
18700000	3
18750000	11
18800000	8
18850000	10
18900000	15
18950000	15
19000000	24
19050000	40
19100000	50
19150000	63
19200000	101
19250000	139
19300000	156
19350000	182
19400000	183
19450000	174
19500000	142
19550000	118
19600000	111
19650000	68
19700000	47
19750000	39
19800000	34
19850000	26
19900000	22
19950000	15
20000000	12
20050000	16
20100000	9
20150000	10
20200000	14
20250000	10
20300000	15
20350000	10
20400000	7
20450000	15
20500000	16
20550000	24
20600000	32
20650000	32
20700000	69
20750000	70
20800000	108
20850000	123
20900000	123
20950000	164
21000000	166
21050000	153
21100000	137
21150000	120
21200000	96
21250000	75
21300000	57
21350000	53
21400000	48
21450000	30
21500000	33
21550000	26
21600000	25
21650000	34
21700000	33
21750000	37
21800000	61
21850000	67
21900000	70
21950000	110
22000000	109
22050000	100
22100000	126
22150000	82
22200000	78
22250000	61
22300000	45
22350000	25
22400000	26
22450000	36
22500000	24
22550000	28
22600000	37
22650000	46
22700000	39
22750000	76
22800000	74
22850000	98
22900000	96
22950000	115
23000000	109
23050000	125
23100000	96
23150000	81
23200000	50
23250000	68
23300000	49
23350000	52
23400000	36
23450000	38
23500000	34
23550000	29
23600000	27
23650000	26
23700000	24
23750000	18
23800000	19
23850000	24
23900000	27
23950000	28
24000000	28
24050000	35
24100000	36
24150000	52
24200000	77
24250000	87
24300000	92
24350000	70
24400000	100
24450000	106
24500000	102
24550000	96
24600000	80
24650000	80
24700000	73
24750000	55
24800000	62
24850000	38
24900000	51
24950000	42
25000000	43
25050000	45
25100000	39
25150000	39
25200000	43
25250000	46
25300000	46
25350000	49
25400000	61
25450000	57
25500000	66
25550000	68
25600000	73
25650000	69
25700000	89
25750000	85
25800000	112
25850000	72
25900000	73
25950000	90
26000000	59
26050000	47
26100000	54
26150000	41
26200000	42
26250000	29
26300000	33
26350000	55
26400000	53
26450000	74
26500000	77
26550000	104
26600000	83
26650000	115
26700000	88
26750000	100
26800000	95
26850000	86
26900000	80
26950000	67
27000000	75
27050000	70
27100000	59
27150000	63
27200000	61
27250000	48
27300000	52
27350000	52
27400000	64
27450000	63
27500000	49
27550000	51
27600000	59
27650000	52
27700000	57
27750000	47
27800000	58
27850000	70
27900000	92
27950000	84
28000000	90
