"Time (ps)"	"Counts per bin"
0	5099
50000000	8685
100000000	9419
150000000	9780
200000000	10223
250000000	10086
300000000	10479
350000000	10865
400000000	11278
450000000	10750
500000000	10774
550000000	11154
600000000	11267
650000000	11769
700000000	11416
750000000	11433
800000000	11447
850000000	11280
900000000	12194
950000000	12134
1000000000	12020
1050000000	12642
1100000000	12333
1150000000	12033
1200000000	12313
1250000000	12006
1300000000	12094
1350000000	12347
1400000000	12243
1450000000	12586
1500000000	12473
1550000000	12690
1600000000	12744
1650000000	12857
1700000000	12706
1750000000	12885
1800000000	12823
1850000000	12631
1900000000	12493
1950000000	12554
2000000000	13009
2050000000	13069
2100000000	13134
2150000000	13231
2200000000	13225
2250000000	13040
2300000000	13288
2350000000	12958
2400000000	12994
2450000000	13356
2500000000	13181
2550000000	13129
2600000000	13232
2650000000	13424
2700000000	12985
2750000000	12921
2800000000	13168
2850000000	12875
2900000000	13065
2950000000	13089
3000000000	13206
3050000000	13607
3100000000	13721
3150000000	13632
3200000000	13415
3250000000	13511
3300000000	13757
3350000000	13660
3400000000	13431
3450000000	13209
3500000000	13377
3550000000	13380
3600000000	13539
3650000000	13880
3700000000	13751
3750000000	13685
3800000000	13874
3850000000	13602
3900000000	13792
3950000000	13661
4000000000	13719
4050000000	13335
4100000000	13563
4150000000	13649
4200000000	13592
4250000000	13480
4300000000	13557
4350000000	13981
4400000000	13646
4450000000	13500
4500000000	13125
4550000000	13264
4600000000	13659
4650000000	13643
4700000000	13792
4750000000	14044
4800000000	14037
4850000000	14303
4900000000	14113
4950000000	14204
5000000000	13925
5050000000	13951
5100000000	13670
5150000000	13656
5200000000	14006
5250000000	14035
5300000000	13973
5350000000	13812
5400000000	13653
5450000000	13672
5500000000	13709
5550000000	14151
5600000000	14102
5650000000	14044
5700000000	13785
5750000000	13942
5800000000	13790
5850000000	13631
5900000000	14000
5950000000	13740
6000000000	13994
6050000000	13990
6100000000	14144
6150000000	13911
6200000000	13884
6250000000	13906
6300000000	13772
6350000000	13739
6400000000	14086
6450000000	13917
6500000000	13809
6550000000	13771
6600000000	14011
6650000000	14021
6700000000	14244
6750000000	13896
6800000000	13637
6850000000	13586
6900000000	13561
6950000000	13534
7000000000	13656
7050000000	13605
7100000000	13796
7150000000	13896
7200000000	13733
7250000000	14229
7300000000	14457
7350000000	14348
7400000000	14430
7450000000	14275
7500000000	13694
7550000000	13980
7600000000	13435
7650000000	13549
7700000000	13568
7750000000	13852
7800000000	13942
7850000000	14188
7900000000	14237
7950000000	14371
8000000000	14766
8050000000	14784
8100000000	14494
8150000000	14385
8200000000	14272
8250000000	14382
8300000000	14251
8350000000	14305
8400000000	14561
8450000000	14068
8500000000	14206
8550000000	14297
