"Time (ps)"	"Counts per bin"
0	33608
5000000	1380
10000000	1449
15000000	1373
20000000	1370
25000000	1336
30000000	1390
35000000	1361
40000000	1287
45000000	1413
50000000	1384
55000000	1352
60000000	1296
65000000	1336
70000000	1299
75000000	1374
80000000	1400
85000000	1364
90000000	1372
95000000	1266
100000000	1399
105000000	1363
110000000	1342
115000000	1372
120000000	1348
125000000	1371
130000000	1363
135000000	1276
140000000	1323
145000000	1381
150000000	1368
155000000	1318
160000000	1379
165000000	1347
170000000	1346
175000000	1319
180000000	1348
185000000	1317
190000000	1429
195000000	1334
200000000	1255
205000000	1366
210000000	1356
215000000	1360
220000000	1361
225000000	1317
230000000	1414
235000000	1324
240000000	1360
245000000	1328
250000000	1335
255000000	1299
260000000	1320
265000000	1339
270000000	1334
275000000	1300
280000000	1369
285000000	1350
290000000	1347
295000000	1380
300000000	1372
305000000	1352
310000000	1337
315000000	1332
320000000	1367
325000000	1328
330000000	1312
335000000	1299
340000000	1339
345000000	1358
350000000	1314
355000000	1376
360000000	1345
365000000	1295
370000000	1390
375000000	1350
380000000	1339
385000000	1422
390000000	1357
395000000	1298
400000000	1328
405000000	1321
410000000	1419
415000000	1325
420000000	1329
425000000	1321
430000000	1380
435000000	1417
440000000	1341
445000000	1341
450000000	1344
455000000	1309
460000000	1380
465000000	1368
470000000	1348
475000000	1413
480000000	1422
485000000	1315
490000000	1357
495000000	1383
500000000	1395
505000000	1380
510000000	1318
515000000	1400
520000000	1389
525000000	1334
530000000	1342
535000000	1328
540000000	1336
545000000	1302
550000000	1372
555000000	1340
560000000	1312
565000000	1313
570000000	1372
575000000	1344
580000000	1393
585000000	1302
590000000	1353
595000000	1366
600000000	1324
605000000	1404
610000000	1285
615000000	1381
620000000	1329
625000000	1299
630000000	1352
635000000	1298
640000000	1344
645000000	1333
650000000	1340
655000000	1430
660000000	1345
665000000	1310
670000000	1368
675000000	1345
680000000	1407
685000000	1340
690000000	1357
695000000	1309
700000000	1383
705000000	1340
710000000	1347
715000000	1336
720000000	1375
725000000	1365
730000000	1367
735000000	1360
740000000	1401
745000000	1355
750000000	1281
755000000	1310
760000000	1304
765000000	1345
770000000	1378
775000000	1363
780000000	1367
785000000	1341
790000000	1346
795000000	1304
800000000	1347
805000000	1415
810000000	1352
815000000	1300
820000000	1345
825000000	1351
830000000	1385
835000000	1363
840000000	1333
845000000	1387
850000000	1376
855000000	1317
860000000	1372
865000000	1374
870000000	1354
875000000	1449
880000000	1354
885000000	1392
890000000	1355
895000000	1268
900000000	1337
905000000	1318
910000000	1368
915000000	1389
920000000	1343
925000000	1267
930000000	1392
935000000	1350
940000000	1344
945000000	1387
950000000	1399
955000000	1394
960000000	1358
965000000	1341
970000000	1329
975000000	1396
980000000	1377
985000000	1323
990000000	1431
995000000	1375
1000000000	1353
1005000000	1327
1010000000	1363
1015000000	1384
1020000000	1387
1025000000	1384
1030000000	1438
1035000000	1338
1040000000	1371
1045000000	1366
1050000000	1339
1055000000	1331
1060000000	1350
1065000000	1304
1070000000	1319
1075000000	1377
1080000000	1342
1085000000	1350
1090000000	1352
1095000000	1323
1100000000	1384
1105000000	1338
1110000000	1361
1115000000	1371
1120000000	1374
1125000000	1409
1130000000	1371
1135000000	1359
1140000000	1377
1145000000	1360
1150000000	1474
1155000000	1347
1160000000	1421
1165000000	1262
1170000000	1390
1175000000	1293
1180000000	1342
1185000000	1350
1190000000	1368
1195000000	1442
1200000000	1334
1205000000	1337
1210000000	1342
1215000000	1353
1220000000	1363
1225000000	1334
1230000000	1381
1235000000	1407
1240000000	1312
1245000000	1426
1250000000	1334
1255000000	1309
1260000000	1383
1265000000	1299
1270000000	1312
1275000000	1377
1280000000	1377
1285000000	1393
1290000000	1344
1295000000	1390
1300000000	1366
1305000000	1406
1310000000	1329
1315000000	1361
1320000000	1325
1325000000	1335
1330000000	1402
1335000000	1362
1340000000	1299
1345000000	1345
1350000000	1270
1355000000	1334
1360000000	1347
1365000000	1370
1370000000	1336
1375000000	1440
1380000000	1276
1385000000	1324
1390000000	1314
1395000000	1314
1400000000	1370
1405000000	1361
1410000000	1314
1415000000	1334
1420000000	1447
1425000000	1305
1430000000	1361
1435000000	1333
1440000000	1390
1445000000	1349
1450000000	1340
1455000000	1406
1460000000	1363
1465000000	1380
1470000000	1328
1475000000	1274
1480000000	1335
1485000000	1379
1490000000	1361
1495000000	1347
1500000000	1401
1505000000	1363
1510000000	1325
1515000000	1331
1520000000	1340
1525000000	1385
1530000000	1383
1535000000	1340
1540000000	1323
1545000000	1340
1550000000	1375
1555000000	1395
1560000000	1416
1565000000	1358
1570000000	1361
1575000000	1441
1580000000	1378
1585000000	1346
1590000000	1362
1595000000	1343
1600000000	1327
1605000000	1312
1610000000	1314
1615000000	1324
1620000000	1343
1625000000	1385
1630000000	1335
1635000000	1334
1640000000	1386
1645000000	1334
1650000000	1291
1655000000	1344
1660000000	1406
1665000000	1337
1670000000	1441
1675000000	1352
1680000000	1363
1685000000	1373
1690000000	1374
1695000000	1379
1700000000	1378
1705000000	1364
1710000000	1457
1715000000	1384
1720000000	1318
1725000000	1362
1730000000	1406
1735000000	1354
1740000000	1389
1745000000	1412
1750000000	1322
1755000000	1334
1760000000	1364
1765000000	1321
1770000000	1394
1775000000	1341
1780000000	1376
1785000000	1355
1790000000	1375
1795000000	1345
1800000000	1386
1805000000	1381
1810000000	1311
1815000000	1373
1820000000	1431
1825000000	1329
1830000000	1366
1835000000	1420
1840000000	1383
1845000000	1353
1850000000	1396
1855000000	1385
1860000000	1363
1865000000	1354
1870000000	1344
1875000000	1332
1880000000	1399
1885000000	1373
1890000000	1358
1895000000	1435
1900000000	1403
1905000000	1367
1910000000	1392
1915000000	1421
1920000000	1386
1925000000	1399
1930000000	1383
1935000000	1374
1940000000	1338
1945000000	1310
1950000000	1428
1955000000	1343
1960000000	1356
1965000000	1420
1970000000	1316
1975000000	1341
1980000000	1355
1985000000	1346
1990000000	1360
1995000000	1358
2000000000	1357
2005000000	1350
2010000000	1359
2015000000	1305
2020000000	1366
2025000000	1328
2030000000	1295
2035000000	1328
2040000000	1341
2045000000	1365
2050000000	1321
2055000000	1398
2060000000	1335
2065000000	1373
2070000000	1331
2075000000	1384
2080000000	1339
2085000000	1382
2090000000	1378
2095000000	1386
2100000000	1382
2105000000	1380
2110000000	1396
2115000000	1325
2120000000	1339
2125000000	1399
2130000000	1335
2135000000	1378
2140000000	1368
2145000000	1303
2150000000	1363
2155000000	1347
2160000000	1308
2165000000	1403
2170000000	1318
2175000000	1381
2180000000	1350
2185000000	1287
2190000000	1337
2195000000	1390
2200000000	1377
2205000000	1411
2210000000	1309
2215000000	1308
2220000000	1382
2225000000	1326
2230000000	1356
2235000000	1322
2240000000	1392
2245000000	1383
2250000000	1315
2255000000	1368
2260000000	1304
2265000000	1355
2270000000	1389
2275000000	1404
2280000000	1355
2285000000	1368
2290000000	1261
2295000000	1311
2300000000	1360
2305000000	1362
2310000000	1388
2315000000	1373
2320000000	1348
2325000000	1398
2330000000	1362
2335000000	1374
2340000000	1437
2345000000	1348
2350000000	1365
2355000000	1416
2360000000	1397
2365000000	1410
2370000000	1385
2375000000	1382
2380000000	1379
2385000000	1342
2390000000	1342
2395000000	1397
2400000000	1343
2405000000	1352
2410000000	1437
2415000000	1380
2420000000	1388
2425000000	1367
2430000000	1382
2435000000	1388
2440000000	1324
2445000000	1313
2450000000	1431
2455000000	1278
2460000000	1328
2465000000	1396
2470000000	1347
2475000000	1315
2480000000	1378
2485000000	1381
2490000000	1241
2495000000	1379
2500000000	1285
2505000000	1422
2510000000	22317
2515000000	41161
2520000000	37428
2525000000	40448
2530000000	40435
2535000000	41430
2540000000	42218
2545000000	44137
2550000000	44935
2555000000	50180
2560000000	48934
2565000000	51392
2570000000	52465
2575000000	52576
2580000000	53704
2585000000	53676
2590000000	54082
2595000000	53431
2600000000	54416
2605000000	54295
2610000000	55440
2615000000	56161
2620000000	56235
2625000000	55985
2630000000	56066
2635000000	56890
2640000000	57941
2645000000	58068
2650000000	58400
2655000000	58852
2660000000	58056
2665000000	58166
2670000000	58231
2675000000	57763
2680000000	57761
2685000000	57462
2690000000	57660
2695000000	57403
2700000000	57796
2705000000	57426
2710000000	58626
2715000000	58584
2720000000	58270
2725000000	58513
2730000000	59106
2735000000	59498
2740000000	59950
2745000000	61053
2750000000	61349
2755000000	61608
2760000000	61763
2765000000	61296
2770000000	62308
2775000000	61593
2780000000	62332
2785000000	61618
2790000000	60402
2795000000	60399
2800000000	60972
2805000000	62529
2810000000	63904
2815000000	63494
2820000000	63525
2825000000	63344
2830000000	63331
2835000000	63574
2840000000	63333
2845000000	63487
2850000000	62977
2855000000	63155
2860000000	63347
2865000000	63514
2870000000	64039
2875000000	64347
2880000000	64556
2885000000	63799
2890000000	64050
2895000000	64297
2900000000	64359
2905000000	65545
2910000000	64922
2915000000	65222
2920000000	64757
2925000000	65536
2930000000	64924
2935000000	65072
2940000000	65521
2945000000	66005
2950000000	65737
2955000000	66243
2960000000	66851
2965000000	65983
2970000000	65795
2975000000	66227
2980000000	65413
2985000000	65475
2990000000	65936
2995000000	66009
3000000000	66415
3005000000	67705
3010000000	67535
3015000000	67300
3020000000	67582
3025000000	67199
3030000000	67712
3035000000	67605
3040000000	67594
