"Time (ps)"	"Counts per bin"
0	2109
20000000	58974
40000000	79620
60000000	86726
80000000	91168
100000000	91985
120000000	95388
140000000	97485
160000000	97445
180000000	97068
200000000	97053
220000000	99203
240000000	99599
260000000	99155
280000000	101222
300000000	101065
320000000	99224
340000000	97751
360000000	97598
380000000	98423
400000000	98190
420000000	100936
440000000	100528
460000000	100402
480000000	99958
500000000	100794
520000000	100628
540000000	101480
560000000	99167
580000000	100422
600000000	99612
620000000	97126
640000000	97051
660000000	96817
680000000	98478
700000000	96351
720000000	98551
740000000	102285
760000000	100147
780000000	99651
800000000	100051
820000000	102239
840000000	102795
860000000	100778
880000000	100614
900000000	101405
920000000	102378
940000000	101523
960000000	100276
980000000	100958
1000000000	100268
1020000000	97636
1040000000	97645
1060000000	97682
1080000000	97041
1100000000	99193
1120000000	99064
1140000000	98605
1160000000	99271
1180000000	100926
1200000000	101669
1220000000	103525
1240000000	102810
1260000000	101344
1280000000	100331
1300000000	100901
1320000000	100127
1340000000	101376
1360000000	102315
1380000000	102438
1400000000	101196
1420000000	101524
1440000000	101265
1460000000	99767
1480000000	100564
1500000000	101406
1520000000	100830
1540000000	99771
1560000000	99723
1580000000	101104
1600000000	101275
1620000000	100751
1640000000	99875
1660000000	98339
1680000000	97807
1700000000	98330
1720000000	98375
1740000000	98977
1760000000	99257
1780000000	98645
1800000000	99755
1820000000	101243
1840000000	102032
1860000000	100985
1880000000	101026
1900000000	102079
1920000000	103059
1940000000	104240
1960000000	105594
1980000000	103990
2000000000	102777
2020000000	101146
2040000000	100545
2060000000	100377
2080000000	100801
2100000000	100482
2120000000	100579
2140000000	102701
2160000000	103419
2180000000	102772
2200000000	102727
2220000000	102426
2240000000	102245
2260000000	101068
2280000000	100633
2300000000	100669
2320000000	101586
2340000000	102530
2360000000	102872
2380000000	102222
2400000000	102101
2420000000	102614
2440000000	101718
2460000000	100980
2480000000	100290
2500000000	101325
2520000000	101746
2540000000	101299
2560000000	101035
2580000000	101564
2600000000	101258
2620000000	99819
2640000000	97763
2660000000	96304
2680000000	96764
2700000000	97514
2720000000	98149
