"Time (ps)"	"Counts per bin"
0	535
2000000	537
4000000	522
6000000	545
8000000	546
10000000	536
12000000	539
14000000	537
16000000	6810
18000000	27016
20000000	18443
22000000	17071
24000000	25644
26000000	24755
28000000	23166
30000000	30219
32000000	34466
34000000	27722
36000000	25548
38000000	29074
40000000	32973
42000000	31953
44000000	31069
46000000	32223
48000000	32167
50000000	31767
52000000	32887
54000000	33998
56000000	33694
58000000	33774
60000000	33973
62000000	34073
64000000	34344
66000000	34527
68000000	34476
70000000	35024
72000000	34836
74000000	35401
76000000	35500
78000000	35150
80000000	35817
82000000	35929
84000000	36174
86000000	35855
88000000	35650
90000000	35880
92000000	35828
94000000	36229
96000000	36141
98000000	36230
100000000	36529
102000000	36374
104000000	36000
106000000	36421
108000000	36328
110000000	36288
112000000	36393
114000000	36544
116000000	36470
118000000	38080
120000000	38471
122000000	36769
124000000	38769
126000000	37978
128000000	37375
130000000	38833
132000000	38118
134000000	38347
136000000	37702
138000000	39008
140000000	38848
142000000	38238
144000000	38396
146000000	38350
148000000	39196
150000000	38370
152000000	38497
154000000	38483
156000000	38735
158000000	38360
160000000	38558
162000000	38592
164000000	38366
166000000	38657
168000000	38761
170000000	39168
172000000	38991
174000000	39113
176000000	39260
178000000	39387
180000000	39350
182000000	39292
184000000	39531
186000000	38889
188000000	39301
190000000	39122
192000000	38982
194000000	39200
196000000	38817
198000000	39062
200000000	39050
202000000	39156
204000000	39134
206000000	38706
208000000	38808
210000000	38485
212000000	38693
214000000	38674
216000000	38694
218000000	38535
220000000	38360
222000000	38554
224000000	38297
226000000	38288
228000000	38264
230000000	38798
232000000	38218
234000000	38161
236000000	38391
238000000	38320
240000000	38718
242000000	38496
244000000	38522
246000000	38756
248000000	38727
250000000	38486
252000000	38740
254000000	38976
256000000	38375
258000000	38860
260000000	38937
262000000	38713
264000000	38892
266000000	38777
268000000	38787
270000000	39159
272000000	38777
274000000	38681
276000000	39443
278000000	39354
280000000	39142
282000000	38765
284000000	39710
286000000	39555
288000000	39267
290000000	39367
292000000	39840
294000000	39588
296000000	39445
298000000	39658
300000000	39644
302000000	39273
304000000	38999
306000000	39306
308000000	39587
310000000	39231
312000000	39161
314000000	39246
316000000	39897
318000000	39489
320000000	39782
322000000	39142
324000000	39165
326000000	39258
328000000	39430
330000000	39321
332000000	39160
334000000	39334
336000000	39386
338000000	38955
340000000	39110
342000000	38896
344000000	39172
346000000	39312
348000000	39522
350000000	39299
352000000	39153
354000000	39167
356000000	39075
358000000	38965
360000000	39521
362000000	39444
364000000	39443
366000000	38852
368000000	39113
370000000	38851
372000000	39480
374000000	38807
376000000	39506
378000000	38892
380000000	38870
382000000	39024
384000000	39347
386000000	39050
