"Time (ps)"	"Counts per bin"
0	5893
4000	5881
8000	5782
12000	6120
16000	6057
20000	6186
24000	6018
28000	5988
32000	5920
36000	6086
40000	6129
44000	6181
48000	6139
52000	6166
56000	6082
60000	6138
64000	6191
68000	6151
72000	6199
76000	6125
80000	6325
84000	6378
88000	6275
92000	6412
96000	6230
100000	6245
104000	6248
108000	6301
112000	6227
116000	6167
120000	6250
124000	6462
128000	6362
132000	6392
136000	6367
140000	6413
144000	6392
148000	6296
152000	6402
156000	6347
160000	6335
164000	6237
168000	6213
172000	6417
176000	6425
180000	6266
184000	6323
188000	6453
192000	6468
196000	6362
200000	6315
204000	6181
208000	6430
212000	6333
216000	6313
220000	6420
224000	6328
228000	6309
232000	6252
236000	6396
240000	6382
244000	6337
248000	6259
252000	6450
256000	6348
260000	6332
264000	6394
268000	6395
272000	6292
276000	6437
280000	6294
284000	6358
288000	6230
292000	6358
296000	6291
300000	6308
304000	6190
308000	6351
312000	6227
316000	6328
320000	6172
324000	6395
328000	6209
332000	6346
336000	6193
340000	6306
344000	6268
348000	6237
352000	6286
356000	6110
360000	6235
364000	6299
368000	6134
372000	6355
376000	6404
380000	6185
384000	6275
388000	6005
392000	6235
396000	6195
400000	6073
404000	6173
408000	6120
412000	6087
416000	6021
420000	6068
424000	6135
428000	6074
432000	6029
436000	6105
440000	6179
444000	6074
448000	6068
452000	5875
456000	6030
460000	5913
464000	5998
468000	6013
472000	5937
476000	5978
480000	5824
484000	5873
488000	5933
492000	5876
496000	5864
500000	6086
504000	5834
508000	5867
512000	5839
516000	5916
520000	5880
524000	5834
528000	5914
532000	5846
536000	5772
540000	5847
544000	5887
548000	5788
552000	5773
556000	5901
560000	5661
564000	5793
568000	5780
572000	5755
576000	5717
580000	5824
584000	5629
588000	5640
592000	5666
596000	5663
600000	5700
604000	5745
608000	5639
612000	5613
616000	5612
620000	5648
624000	5608
628000	5564
632000	5631
636000	5531
640000	5471
644000	5498
648000	5610
652000	5435
656000	5370
660000	5420
664000	5471
668000	5416
672000	5538
676000	5501
680000	5413
684000	5421
688000	5467
692000	5547
696000	5328
700000	5472
704000	5424
708000	5371
712000	5281
716000	5330
720000	5249
724000	5236
728000	5259
732000	5337
736000	5263
740000	5208
744000	5349
748000	5244
752000	5158
756000	5272
760000	5159
764000	5337
768000	5256
772000	5121
776000	5206
780000	5134
784000	5081
788000	5084
792000	5131
796000	4884
800000	5190
804000	5158
808000	4973
812000	5047
816000	4934
820000	5040
824000	5041
828000	5042
832000	4907
836000	4947
840000	4907
844000	4977
848000	4878
852000	4803
856000	4913
860000	4860
864000	4909
868000	4850
872000	4894
876000	4833
880000	4861
884000	4904
888000	4778
892000	4802
896000	4726
900000	4867
904000	4874
908000	4819
912000	4755
916000	4708
920000	4794
924000	4632
928000	4693
932000	4666
936000	4673
940000	4700
944000	4589
948000	4628
952000	4552
956000	4496
960000	4603
964000	4571
968000	4467
972000	4597
976000	4648
980000	4482
984000	4518
988000	4626
992000	4441
996000	4502
1000000	4633
1004000	4559
1008000	4500
1012000	4520
1016000	4412
1020000	4559
1024000	4336
1028000	4310
1032000	4438
1036000	4275
1040000	4336
1044000	4471
1048000	4465
1052000	4337
1056000	4493
1060000	4387
1064000	4291
1068000	4343
1072000	4472
1076000	4224
1080000	4259
1084000	4240
1088000	4251
1092000	4205
1096000	4351
1100000	4216
1104000	4239
1108000	4266
1112000	4216
1116000	4244
1120000	4079
1124000	4270
1128000	4112
1132000	4137
1136000	4187
1140000	4152
1144000	4011
1148000	4118
1152000	4077
1156000	4089
1160000	4037
1164000	3938
1168000	3988
1172000	3969
1176000	4028
1180000	3879
1184000	4006
1188000	4079
1192000	4032
1196000	3916
1200000	4014
1204000	3909
1208000	3952
1212000	3833
1216000	4005
1220000	3895
1224000	3856
1228000	3904
1232000	3739
1236000	3782
1240000	3766
1244000	3777
1248000	3721
1252000	3698
1256000	3714
1260000	3710
1264000	3820
1268000	3642
1272000	3729
1276000	3728
1280000	3763
1284000	3681
1288000	3605
1292000	3712
1296000	3670
1300000	3703
1304000	3630
1308000	3573
1312000	3540
1316000	3449
1320000	3588
1324000	3590
1328000	3493
1332000	3562
1336000	3498
1340000	3420
1344000	3438
1348000	3427
1352000	3487
1356000	3632
1360000	3338
1364000	3330
1368000	3452
1372000	3245
1376000	3321
1380000	3360
1384000	3355
1388000	3310
1392000	3318
1396000	3209
1400000	3249
1404000	3222
1408000	3265
1412000	3228
1416000	3230
1420000	3181
1424000	3129
1428000	3124
1432000	3267
1436000	3204
1440000	3121
1444000	3193
1448000	3070
1452000	3117
1456000	3155
1460000	3052
1464000	3075
1468000	3042
1472000	3001
1476000	3006
1480000	3073
1484000	3026
1488000	3034
1492000	2947
1496000	2931
1500000	3010
1504000	2884
1508000	3013
1512000	2870
1516000	2876
1520000	2874
1524000	2933
1528000	2906
1532000	2832
1536000	2850
1540000	2867
1544000	2814
1548000	2855
1552000	2808
1556000	2698
1560000	2782
1564000	2702
1568000	2718
1572000	2677
1576000	2655
1580000	2671
1584000	2653
1588000	2698
1592000	2637
1596000	2622
1600000	2650
1604000	2578
1608000	2531
1612000	2566
1616000	2601
1620000	2591
1624000	2494
1628000	2591
1632000	2544
1636000	2517
1640000	2538
1644000	2463
1648000	2386
1652000	2396
1656000	2408
1660000	2500
1664000	2490
1668000	2483
1672000	2368
1676000	2370
1680000	2395
1684000	2364
1688000	2324
1692000	2417
1696000	2327
1700000	2357
1704000	2384
1708000	2231
1712000	2242
1716000	2239
1720000	2189
1724000	2248
1728000	2197
1732000	2154
1736000	2126
1740000	2216
1744000	2143
1748000	2105
1752000	2130
1756000	2095
1760000	2060
1764000	2096
1768000	2163
1772000	2043
1776000	2087
1780000	2135
1784000	2011
1788000	2020
1792000	2012
1796000	2013
1800000	1955
1804000	2062
1808000	1982
1812000	1968
1816000	2026
1820000	1943
1824000	1929
1828000	1887
1832000	1886
1836000	1915
1840000	1868
1844000	1909
1848000	1885
1852000	1824
1856000	1832
1860000	1853
1864000	1828
1868000	1826
1872000	1753
1876000	1841
1880000	1782
1884000	1747
1888000	1829
1892000	1835
1896000	1729
1900000	1793
1904000	1763
1908000	1723
1912000	1710
1916000	1690
1920000	1736
1924000	1670
1928000	1680
1932000	1683
1936000	1635
1940000	1620
1944000	1660
1948000	1589
1952000	1639
1956000	1550
1960000	1567
1964000	1624
1968000	1622
1972000	1556
1976000	1502
1980000	1545
1984000	1496
1988000	1466
1992000	1538
1996000	1453
2000000	1449
2004000	1513
2008000	1456
2012000	1446
2016000	1394
2020000	1472
2024000	1312
2028000	1408
2032000	1342
2036000	1446
2040000	1452
2044000	1400
2048000	1342
2052000	1316
2056000	1372
2060000	1325
2064000	1248
2068000	1358
2072000	1292
2076000	1287
2080000	1305
2084000	1315
2088000	1220
2092000	1267
2096000	1211
2100000	1288
2104000	1236
2108000	1249
2112000	1226
2116000	1248
2120000	1207
2124000	1242
2128000	1156
2132000	1178
2136000	1190
2140000	1158
2144000	1163
2148000	1116
2152000	1134
2156000	1135
2160000	1104
2164000	1170
2168000	1087
2172000	1078
2176000	1089
2180000	1130
2184000	1088
2188000	1070
2192000	1072
2196000	1094
2200000	1096
2204000	1092
2208000	1012
2212000	1031
2216000	984
2220000	1052
2224000	1013
2228000	959
2232000	1035
2236000	966
2240000	950
2244000	1028
2248000	940
2252000	968
2256000	952
2260000	983
2264000	963
2268000	910
2272000	950
2276000	948
2280000	918
2284000	907
2288000	927
2292000	916
2296000	870
2300000	880
2304000	810
2308000	892
2312000	828
2316000	832
2320000	862
2324000	861
2328000	816
2332000	833
2336000	835
2340000	835
2344000	798
2348000	802
2352000	804
2356000	782
2360000	772
2364000	798
2368000	769
2372000	730
2376000	717
2380000	723
2384000	711
2388000	690
2392000	733
2396000	788
2400000	752
2404000	722
2408000	657
2412000	684
2416000	671
2420000	659
2424000	675
2428000	637
2432000	646
2436000	640
2440000	667
2444000	669
2448000	640
2452000	649
2456000	638
2460000	692
2464000	614
2468000	567
2472000	568
2476000	628
2480000	585
2484000	593
2488000	593
2492000	621
2496000	572
2500000	571
2504000	583
2508000	577
2512000	597
2516000	555
2520000	548
2524000	523
2528000	561
2532000	502
2536000	543
2540000	545
2544000	529
2548000	528
2552000	484
2556000	523
2560000	510
2564000	512
2568000	470
2572000	480
2576000	532
2580000	520
2584000	524
2588000	464
2592000	490
2596000	481
2600000	489
2604000	457
2608000	465
2612000	444
2616000	453
