"Time (ps)"	"Counts per bin"
0	441408
100000000	443941
200000000	442888
300000000	443357
400000000	443761
500000000	444427
600000000	443062
700000000	444223
800000000	443783
900000000	444394
1000000000	442717
1100000000	442096
1200000000	442661
1300000000	443725
1400000000	441477
1500000000	442617
1600000000	442492
1700000000	442198
1800000000	443039
1900000000	441410
2000000000	441661
2100000000	443293
2200000000	443756
2300000000	442433
2400000000	442927
2500000000	443052
2600000000	442610
2700000000	443315
2800000000	441689
2900000000	442249
3000000000	442734
3100000000	442155
3200000000	443043
3300000000	441392
3400000000	441375
3500000000	442609
3600000000	442536
3700000000	440549
3800000000	441431
3900000000	442248
4000000000	441961
4100000000	442085
4200000000	441795
4300000000	442587
4400000000	441889
4500000000	443343
4600000000	442624
4700000000	441926
4800000000	442936
4900000000	442137
5000000000	442098
5100000000	443137
5200000000	440777
5300000000	443128
5400000000	442852
5500000000	443446
5600000000	443034
5700000000	443731
5800000000	444515
5900000000	444238
6000000000	442819
6100000000	443667
6200000000	444229
6300000000	444118
6400000000	443523
6500000000	444983
6600000000	444295
6700000000	444423
6800000000	444074
6900000000	445417
7000000000	444218
7100000000	444893
7200000000	443946
7300000000	443492
7400000000	444715
7500000000	443531
7600000000	443774
7700000000	444427
7800000000	443376
7900000000	442760
8000000000	443734
8100000000	442832
8200000000	443431
8300000000	442877
8400000000	442241
8500000000	443085
8600000000	442341
8700000000	442447
8800000000	441303
8900000000	441707
9000000000	441787
9100000000	442899
9200000000	443455
9300000000	441305
9400000000	442786
9500000000	443280
9600000000	441202
9700000000	441399
9800000000	441515
9900000000	441353
10000000000	440337
10100000000	441793
10200000000	441968
10300000000	441478
10400000000	440773
10500000000	441492
10600000000	441205
10700000000	439570
10800000000	440138
10900000000	441128
11000000000	442374
11100000000	440716
11200000000	441313
11300000000	440890
11400000000	441346
11500000000	441730
11600000000	441637
11700000000	442030
11800000000	442664
11900000000	441675
12000000000	442041
12100000000	441779
12200000000	441745
12300000000	441843
12400000000	442412
12500000000	442768
12600000000	443764
12700000000	441219
12800000000	443811
12900000000	441622
13000000000	442375
13100000000	442477
13200000000	443111
13300000000	443665
13400000000	443351
13500000000	444233
13600000000	444442
13700000000	443945
13800000000	444004
13900000000	444092
14000000000	444698
14100000000	444201
14200000000	444493
14300000000	445114
14400000000	444170
14500000000	442709
14600000000	444877
14700000000	442140
14800000000	442485
14900000000	443671
15000000000	442669
15100000000	442737
15200000000	442696
15300000000	442597
15400000000	442359
15500000000	442520
15600000000	444045
15700000000	442650
15800000000	442549
15900000000	443048
16000000000	442985
16100000000	442543
16200000000	442899
16300000000	441980
16400000000	443168
16500000000	442929
16600000000	442546
16700000000	440679
16800000000	441325
16900000000	442307
17000000000	441651
17100000000	442885
17200000000	441871
17300000000	441007
17400000000	442156
17500000000	441302
17600000000	441865
17700000000	441660
17800000000	441038
17900000000	441351
18000000000	442061
18100000000	442098
18200000000	441700
18300000000	441332
18400000000	441645
18500000000	441922
18600000000	441759
18700000000	442987
18800000000	441414
18900000000	441469
19000000000	441544
19100000000	443594
19200000000	442679
19300000000	442971
19400000000	442070
19500000000	440627
19600000000	442660
19700000000	441685
19800000000	442739
19900000000	443259
20000000000	443418
20100000000	443361
20200000000	443940
20300000000	443099
20400000000	444573
20500000000	443485
20600000000	442533
20700000000	444332
20800000000	443744
20900000000	444265
21000000000	444691
21100000000	444162
21200000000	443469
21300000000	444359
21400000000	443606
21500000000	445112
21600000000	445298
21700000000	443668
21800000000	444313
21900000000	443865
22000000000	443380
22100000000	443896
22200000000	443521
22300000000	442795
22400000000	442289
22500000000	443150
22600000000	442323
22700000000	442713
22800000000	442712
22900000000	442098
23000000000	442188
23100000000	443501
23200000000	442265
23300000000	442515
23400000000	441349
23500000000	442212
23600000000	443184
23700000000	442856
23800000000	443023
23900000000	442736
24000000000	442963
24100000000	442499
24200000000	443082
24300000000	442293
24400000000	443118
24500000000	441863
24600000000	441261
24700000000	441814
24800000000	439303
24900000000	442341
25000000000	440928
25100000000	439738
25200000000	439578
25300000000	437537
25400000000	438144
25500000000	438076
25600000000	440328
25700000000	438298
25800000000	438595
25900000000	438902
26000000000	437483
26100000000	438880
26200000000	439401
26300000000	438419
26400000000	438802
26500000000	438853
26600000000	440399
26700000000	438652
26800000000	437708
26900000000	438586
27000000000	439990
27100000000	439344
27200000000	438725
27300000000	439689
27400000000	439058
27500000000	439852
27600000000	438352
27700000000	439734
27800000000	439148
27900000000	438372
28000000000	439978
28100000000	440126
28200000000	438817
28300000000	439970
28400000000	439793
28500000000	440586
28600000000	439109
28700000000	438461
28800000000	439903
28900000000	441463
29000000000	440030
29100000000	440335
29200000000	439618
29300000000	440221
29400000000	440221
29500000000	440073
29600000000	439246
29700000000	440123
29800000000	438940
29900000000	439590
30000000000	438552
30100000000	438208
30200000000	438777
30300000000	437851
30400000000	439735
30500000000	438466
30600000000	436343
30700000000	438420
30800000000	438533
30900000000	439105
31000000000	437381
31100000000	437707
31200000000	437430
31300000000	439142
31400000000	438062
31500000000	437404
31600000000	436559
31700000000	437459
31800000000	437981
31900000000	438723
32000000000	438279
32100000000	437006
32200000000	439020
32300000000	438004
32400000000	437516
32500000000	439016
32600000000	439693
32700000000	436568
32800000000	437181
