"Time (ps)"	"Counts per bin"
0	1204
500000	1210
1000000	1249
1500000	1271
2000000	1233
2500000	1252
3000000	1251
3500000	1258
4000000	1221
4500000	1212
5000000	1171
5500000	1254
6000000	1264
6500000	1262
7000000	1243
7500000	1219
8000000	1264
8500000	1246
9000000	1172
9500000	1210
10000000	1190
10500000	1172
11000000	1127
11500000	1137
12000000	1147
12500000	1214
13000000	1180
13500000	1192
14000000	1161
14500000	1195
15000000	1244
15500000	1194
16000000	1171
16500000	1163
17000000	1146
17500000	1132
18000000	1150
18500000	1108
19000000	1119
19500000	1173
20000000	1175
20500000	1149
21000000	1110
21500000	1080
22000000	1070
22500000	1114
23000000	1077
23500000	1139
24000000	1070
24500000	1085
25000000	1089
25500000	1092
26000000	1106
26500000	1024
27000000	1108
27500000	1041
28000000	1135
28500000	1037
29000000	1068
29500000	1049
30000000	1093
30500000	1037
31000000	1044
31500000	1029
32000000	1042
32500000	1061
33000000	1057
33500000	988
34000000	1025
34500000	994
35000000	1086
35500000	990
36000000	1047
36500000	1030
37000000	1034
37500000	1021
38000000	1014
38500000	973
39000000	1035
39500000	1029
40000000	1059
40500000	941
41000000	988
41500000	977
42000000	966
42500000	967
43000000	967
43500000	947
44000000	1004
44500000	985
45000000	979
45500000	968
46000000	923
46500000	899
47000000	1005
47500000	886
48000000	964
48500000	945
49000000	950
49500000	839
50000000	929
50500000	925
51000000	923
51500000	937
52000000	968
52500000	886
53000000	924
53500000	894
54000000	891
54500000	914
55000000	918
55500000	900
56000000	873
56500000	863
57000000	894
57500000	888
58000000	890
58500000	882
59000000	834
59500000	872
60000000	901
60500000	846
61000000	891
61500000	868
62000000	907
62500000	860
63000000	826
63500000	872
64000000	834
64500000	898
65000000	880
65500000	825
66000000	854
66500000	885
67000000	853
67500000	793
68000000	851
68500000	898
69000000	808
69500000	792
70000000	842
70500000	825
71000000	791
71500000	815
72000000	800
72500000	768
73000000	770
73500000	772
74000000	839
74500000	809
75000000	798
75500000	817
76000000	751
76500000	736
77000000	736
77500000	776
78000000	802
78500000	774
79000000	802
79500000	717
80000000	777
80500000	747
81000000	788
81500000	760
82000000	750
82500000	722
83000000	769
83500000	766
84000000	716
84500000	742
85000000	741
85500000	785
86000000	744
86500000	741
87000000	766
87500000	699
88000000	712
88500000	701
89000000	773
89500000	714
90000000	699
90500000	738
91000000	726
91500000	717
92000000	677
92500000	751
93000000	722
93500000	657
94000000	667
94500000	709
95000000	696
95500000	720
96000000	719
96500000	738
97000000	617
97500000	637
98000000	710
98500000	661
99000000	664
99500000	682
100000000	708
100500000	668
101000000	627
101500000	660
102000000	596
102500000	654
103000000	695
103500000	684
104000000	685
104500000	665
105000000	633
105500000	695
106000000	654
106500000	665
107000000	617
107500000	657
108000000	648
108500000	638
109000000	678
109500000	602
110000000	644
110500000	631
111000000	601
111500000	632
112000000	691
112500000	568
113000000	635
113500000	635
114000000	587
114500000	607
115000000	579
115500000	652
116000000	607
116500000	608
117000000	640
117500000	609
118000000	611
118500000	619
119000000	532
119500000	616
120000000	589
120500000	538
121000000	531
121500000	620
122000000	564
122500000	599
123000000	596
123500000	575
124000000	591
124500000	547
125000000	613
125500000	580
126000000	601
126500000	546
127000000	566
127500000	545
128000000	595
128500000	539
129000000	537
129500000	548
130000000	564
130500000	572
131000000	590
131500000	553
132000000	549
132500000	586
133000000	533
133500000	554
134000000	539
134500000	522
135000000	532
135500000	548
136000000	537
136500000	537
137000000	545
