"Time (ps)"	"Counts per bin"
0	252195
100000000	254542
200000000	254777
300000000	253779
400000000	254299
500000000	254519
600000000	254773
700000000	255336
800000000	254407
900000000	253541
1000000000	255435
1100000000	254271
1200000000	254522
1300000000	254748
1400000000	254616
1500000000	254455
1600000000	254385
1700000000	254830
1800000000	253773
1900000000	253905
2000000000	254226
2100000000	254059
2200000000	254972
2300000000	255877
2400000000	255105
2500000000	254721
2600000000	254838
2700000000	254378
2800000000	255022
2900000000	254991
3000000000	254424
3100000000	254787
3200000000	255062
3300000000	255116
3400000000	255173
3500000000	255047
3600000000	255083
3700000000	255190
3800000000	255268
3900000000	254849
4000000000	254551
4100000000	254867
4200000000	254721
4300000000	253883
4400000000	254458
4500000000	254746
4600000000	255395
4700000000	254534
4800000000	253767
4900000000	254526
5000000000	255417
5100000000	255031
5200000000	255082
5300000000	254427
5400000000	254445
5500000000	254098
5600000000	254460
5700000000	254704
5800000000	254111
5900000000	255417
6000000000	254784
6100000000	254558
6200000000	254994
6300000000	254817
6400000000	255266
6500000000	254928
6600000000	254650
6700000000	254893
6800000000	255286
6900000000	254225
7000000000	253539
7100000000	254250
7200000000	254398
7300000000	254837
7400000000	254672
7500000000	254356
7600000000	255676
7700000000	254802
7800000000	254611
7900000000	254058
8000000000	255489
8100000000	254830
8200000000	254758
8300000000	254756
8400000000	254255
8500000000	253997
8600000000	254910
8700000000	254861
8800000000	254361
8900000000	254664
9000000000	254052
9100000000	254092
9200000000	254379
9300000000	254596
9400000000	254534
9500000000	254278
9600000000	254789
9700000000	254601
9800000000	254691
9900000000	255571
10000000000	255062
10100000000	254651
10200000000	253938
10300000000	254184
10400000000	254346
10500000000	255641
10600000000	254414
10700000000	255206
10800000000	255049
10900000000	254777
11000000000	253765
11100000000	255021
11200000000	254164
11300000000	254750
11400000000	254056
11500000000	254080
11600000000	254174
11700000000	254347
11800000000	254392
11900000000	254498
12000000000	254959
12100000000	254651
12200000000	254563
12300000000	254475
12400000000	255393
12500000000	254330
12600000000	254850
12700000000	255605
12800000000	255135
12900000000	254223
13000000000	254400
13100000000	255100
13200000000	254561
13300000000	255051
13400000000	255708
13500000000	253954
13600000000	254079
13700000000	254641
13800000000	254490
13900000000	253987
14000000000	254342
14100000000	255102
14200000000	255109
14300000000	255779
14400000000	255226
14500000000	253862
14600000000	254651
14700000000	254325
14800000000	254902
14900000000	254015
15000000000	255049
15100000000	255564
15200000000	254871
15300000000	254526
15400000000	254492
15500000000	254872
15600000000	253729
15700000000	255609
15800000000	255127
15900000000	253320
16000000000	254962
16100000000	255126
16200000000	254621
16300000000	254388
16400000000	254655
16500000000	254480
16600000000	254769
16700000000	255218
16800000000	254915
16900000000	254619
17000000000	254592
17100000000	254364
17200000000	255633
17300000000	254119
17400000000	255191
17500000000	255470
17600000000	254462
17700000000	255244
17800000000	255355
17900000000	254934
18000000000	254389
18100000000	254555
18200000000	254691
18300000000	254148
18400000000	254600
18500000000	254193
18600000000	254582
18700000000	255325
18800000000	253694
18900000000	253589
19000000000	254681
19100000000	254138
19200000000	254399
19300000000	254413
19400000000	254605
19500000000	254544
19600000000	254637
19700000000	254206
