"Time (ps)"	"Counts per bin"
0	302692
100000000	304938
200000000	304781
300000000	304155
400000000	304421
500000000	305448
600000000	304891
700000000	305227
800000000	304933
900000000	303756
1000000000	305746
1100000000	304464
1200000000	304448
1300000000	305197
1400000000	304978
1500000000	305002
1600000000	304897
1700000000	304970
1800000000	304462
1900000000	304808
2000000000	304881
2100000000	304460
2200000000	305381
2300000000	305741
2400000000	305547
2500000000	305239
2600000000	305238
2700000000	304659
2800000000	305075
2900000000	305328
3000000000	304995
3100000000	305474
3200000000	306120
3300000000	304980
3400000000	305522
3500000000	305204
3600000000	305830
3700000000	305407
3800000000	305537
3900000000	305368
4000000000	304738
4100000000	304849
4200000000	305114
4300000000	304476
4400000000	304345
4500000000	304979
4600000000	305955
4700000000	304858
4800000000	304109
4900000000	304873
5000000000	305931
5100000000	304884
5200000000	305436
5300000000	305001
5400000000	304797
5500000000	304652
5600000000	304917
5700000000	305034
5800000000	304634
5900000000	305371
6000000000	305426
6100000000	304235
6200000000	305287
6300000000	305117
6400000000	305785
6500000000	305016
6600000000	305082
6700000000	305285
6800000000	305542
6900000000	304838
7000000000	303951
7100000000	304477
7200000000	304669
7300000000	305292
7400000000	305197
7500000000	305095
7600000000	305746
7700000000	305014
7800000000	304817
7900000000	304528
8000000000	305752
8100000000	305144
8200000000	304872
8300000000	305533
8400000000	304817
8500000000	304308
8600000000	305561
8700000000	305530
8800000000	304456
8900000000	305180
9000000000	304453
9100000000	304671
9200000000	304833
9300000000	305044
9400000000	304954
9500000000	305097
9600000000	305544
9700000000	305254
9800000000	305143
9900000000	306085
10000000000	305443
10100000000	305270
10200000000	304619
10300000000	304905
10400000000	304959
10500000000	305938
10600000000	304811
10700000000	305344
10800000000	305210
10900000000	304968
11000000000	304063
11100000000	305324
11200000000	304286
11300000000	305073
11400000000	304218
11500000000	304455
11600000000	304680
11700000000	304518
11800000000	305136
11900000000	304634
12000000000	305283
12100000000	305291
12200000000	304922
12300000000	304556
12400000000	305809
12500000000	304963
12600000000	305137
12700000000	306177
12800000000	305479
12900000000	304617
13000000000	304760
13100000000	305439
13200000000	305000
13300000000	305494
13400000000	306241
13500000000	304633
13600000000	304294
13700000000	305296
13800000000	304791
13900000000	304241
14000000000	304727
14100000000	305402
14200000000	305208
14300000000	305895
14400000000	305666
14500000000	304151
14600000000	305119
14700000000	304759
14800000000	305205
14900000000	304391
15000000000	305518
15100000000	306198
15200000000	305751
15300000000	304936
15400000000	304526
15500000000	305023
15600000000	304415
15700000000	305451
15800000000	305626
15900000000	303758
16000000000	305608
16100000000	305385
16200000000	304824
16300000000	304449
16400000000	304878
16500000000	304702
16600000000	305004
16700000000	305533
16800000000	305139
16900000000	305448
17000000000	304760
17100000000	304827
17200000000	305984
17300000000	304890
17400000000	305469
17500000000	305778
17600000000	304962
17700000000	305788
17800000000	305740
17900000000	305508
18000000000	304983
