"Time (ps)"	"Counts per bin"
0	935572
20000000	945368
40000000	947639
60000000	951408
80000000	953574
100000000	951910
120000000	951462
140000000	955482
160000000	953893
180000000	952575
200000000	954710
220000000	954175
240000000	953580
260000000	955062
280000000	953677
300000000	954838
320000000	955925
340000000	956769
360000000	955477
380000000	956084
400000000	954749
420000000	954291
440000000	954181
460000000	953636
480000000	956473
500000000	954778
520000000	955312
540000000	952869
560000000	955838
580000000	954105
600000000	953849
620000000	956720
640000000	957315
660000000	953858
680000000	955158
700000000	956897
720000000	954194
740000000	954603
760000000	953983
780000000	955802
800000000	953596
820000000	956062
840000000	954512
860000000	953028
880000000	953973
900000000	955131
920000000	956644
940000000	954273
960000000	954443
980000000	954007
1000000000	955357
1020000000	955700
1040000000	955154
1060000000	953668
1080000000	954855
1100000000	956032
1120000000	954806
1140000000	953874
1160000000	951903
1180000000	954302
1200000000	954180
1220000000	952498
1240000000	954593
1260000000	953299
1280000000	954017
1300000000	955600
1320000000	953959
1340000000	953480
1360000000	956708
1380000000	954404
1400000000	955025
1420000000	954854
1440000000	954467
1460000000	955965
1480000000	954809
1500000000	956565
1520000000	953577
1540000000	955931
1560000000	956176
1580000000	954622
1600000000	953573
1620000000	953829
1640000000	956074
1660000000	953302
1680000000	955181
1700000000	955776
1720000000	954896
1740000000	955699
1760000000	954505
1780000000	954623
1800000000	955694
1820000000	954590
1840000000	954905
1860000000	954770
1880000000	954290
1900000000	955312
1920000000	956861
1940000000	955940
1960000000	954708
1980000000	955278
2000000000	952254
2020000000	955381
2040000000	954970
2060000000	955990
2080000000	955170
2100000000	956022
2120000000	955561
2140000000	955751
2160000000	955476
2180000000	955280
2200000000	956442
2220000000	954448
2240000000	955200
2260000000	954957
2280000000	954203
2300000000	954921
2320000000	956449
2340000000	955082
2360000000	955683
2380000000	955961
2400000000	958529
2420000000	955344
2440000000	954531
2460000000	955415
2480000000	956292
2500000000	956281
2520000000	955264
2540000000	955642
2560000000	953874
2580000000	955464
2600000000	954846
2620000000	955653
2640000000	954695
2660000000	955278
2680000000	956181
2700000000	956648
2720000000	955841
2740000000	955347
2760000000	956880
2780000000	952428
2800000000	954210
2820000000	955188
2840000000	956180
2860000000	955722
2880000000	955322
2900000000	956250
2920000000	955046
2940000000	954570
2960000000	956174
2980000000	957498
3000000000	954181
3020000000	955836
3040000000	954864
3060000000	955085
3080000000	954162
3100000000	955747
3120000000	955046
3140000000	956987
3160000000	954889
3180000000	956995
3200000000	954355
3220000000	955145
3240000000	956531
3260000000	955835
3280000000	954604
3300000000	954606
3320000000	953879
3340000000	955062
3360000000	955955
3380000000	954850
3400000000	954949
3420000000	955819
3440000000	955686
3460000000	954924
3480000000	954903
3500000000	955029
3520000000	953560
3540000000	954295
3560000000	957896
3580000000	956366
3600000000	954128
3620000000	954677
3640000000	955419
3660000000	955754
3680000000	954922
3700000000	955495
3720000000	955579
3740000000	955215
3760000000	955831
3780000000	955117
3800000000	957087
3820000000	956242
3840000000	955540
3860000000	955630
3880000000	954020
3900000000	957198
3920000000	953145
3940000000	954841
3960000000	953971
3980000000	955017
4000000000	956344
4020000000	954168
4040000000	956040
4060000000	955957
4080000000	954364
4100000000	954206
4120000000	955258
4140000000	955214
4160000000	955747
4180000000	954346
4200000000	956659
4220000000	957699
4240000000	955592
4260000000	955464
4280000000	956223
4300000000	955769
4320000000	956515
4340000000	955347
4360000000	954555
4380000000	954826
4400000000	954806
4420000000	954772
4440000000	955148
4460000000	955526
4480000000	954724
4500000000	953949
4520000000	956374
4540000000	955473
4560000000	954213
4580000000	955123
4600000000	956113
4620000000	957339
4640000000	955940
4660000000	955037
4680000000	954228
4700000000	955431
4720000000	955610
4740000000	956579
4760000000	955767
4780000000	954725
4800000000	954274
4820000000	955913
4840000000	955244
4860000000	954352
4880000000	955961
4900000000	954510
4920000000	956301
4940000000	956930
4960000000	955587
4980000000	956170
5000000000	954673
5020000000	952312
5040000000	951443
5060000000	952142
5080000000	947992
5100000000	944402
5120000000	947633
5140000000	944893
5160000000	945814
5180000000	947333
5200000000	941968
5220000000	945230
5240000000	945912
5260000000	945801
5280000000	944369
5300000000	943788
5320000000	942427
5340000000	945073
5360000000	943722
5380000000	942506
5400000000	943308
5420000000	942533
5440000000	942805
5460000000	941966
5480000000	943211
5500000000	942581
5520000000	944405
5540000000	941651
5560000000	944446
5580000000	943034
5600000000	942589
5620000000	941563
5640000000	943231
5660000000	942119
5680000000	942636
5700000000	941591
5720000000	942124
5740000000	941386
5760000000	943336
5780000000	941031
5800000000	941971
5820000000	941309
5840000000	941751
5860000000	940823
5880000000	940205
5900000000	940886
5920000000	941076
5940000000	940608
5960000000	940600
5980000000	941303
6000000000	941878
6020000000	941443
6040000000	940271
6060000000	940913
6080000000	940105
6100000000	940665
6120000000	941603
6140000000	939761
6160000000	939497
6180000000	941382
6200000000	939872
6220000000	940777
6240000000	938807
6260000000	940222
6280000000	941230
6300000000	940438
6320000000	939783
6340000000	939421
6360000000	939846
6380000000	939733
6400000000	940185
6420000000	940884
6440000000	939677
6460000000	939025
6480000000	939639
6500000000	938823
6520000000	939856
6540000000	936602
6560000000	939505
6580000000	939503
6600000000	939178
6620000000	939356
6640000000	938364
6660000000	939416
6680000000	939286
6700000000	938401
6720000000	938372
6740000000	938455
6760000000	937657
6780000000	940550
6800000000	938434
6820000000	938406
6840000000	939467
6860000000	938289
6880000000	938809
6900000000	938899
6920000000	936682
6940000000	939322
6960000000	938313
6980000000	937167
7000000000	939093
7020000000	936630
7040000000	939225
7060000000	939088
7080000000	936944
7100000000	937306
7120000000	938600
7140000000	937277
7160000000	937105
7180000000	938110
7200000000	937947
7220000000	936534
7240000000	938107
7260000000	935679
7280000000	937949
7300000000	937262
7320000000	936449
7340000000	937564
7360000000	938794
7380000000	936989
7400000000	937396
7420000000	936588
7440000000	938031
7460000000	937563
7480000000	936905
7500000000	936345
7520000000	936907
7540000000	938945
7560000000	935839
7580000000	937080
7600000000	937403
7620000000	936245
7640000000	937951
7660000000	935252
7680000000	935616
7700000000	935549
7720000000	936167
7740000000	937917
7760000000	937012
7780000000	938061
7800000000	938197
7820000000	936358
7840000000	937891
7860000000	936072
7880000000	936001
7900000000	935336
7920000000	935588
7940000000	937011
7960000000	933886
7980000000	935718
8000000000	935193
8020000000	935683
8040000000	937178
8060000000	934303
8080000000	933111
8100000000	933768
8120000000	934970
8140000000	933964
8160000000	934247
8180000000	935196
8200000000	933574
8220000000	934661
8240000000	933452
8260000000	936094
8280000000	934891
8300000000	933295
8320000000	935724
8340000000	934183
8360000000	934865
8380000000	932662
8400000000	931923
8420000000	934370
8440000000	934666
8460000000	932467
8480000000	934419
8500000000	933775
8520000000	933234
8540000000	930956
8560000000	932290
8580000000	933324
8600000000	932591
8620000000	935442
8640000000	933794
8660000000	933775
8680000000	936756
8700000000	935165
8720000000	932979
8740000000	933137
8760000000	935722
8780000000	934980
8800000000	932543
8820000000	933509
8840000000	936317
8860000000	933851
8880000000	934262
8900000000	934443
8920000000	933442
8940000000	933905
8960000000	936118
8980000000	933780
9000000000	934887
9020000000	934751
9040000000	933233
9060000000	931981
9080000000	932165
9100000000	933810
9120000000	934234
9140000000	932977
9160000000	932868
9180000000	934291
9200000000	935300
9220000000	933267
9240000000	933931
9260000000	936012
9280000000	934196
9300000000	935731
9320000000	934764
9340000000	934985
9360000000	933220
9380000000	936044
9400000000	933332
9420000000	934890
9440000000	932543
9460000000	932554
9480000000	932329
9500000000	932256
9520000000	933113
9540000000	933564
9560000000	933305
9580000000	932844
9600000000	934886
9620000000	933312
9640000000	932384
9660000000	931995
9680000000	933172
9700000000	931649
9720000000	932906
9740000000	930902
9760000000	932714
9780000000	933219
9800000000	931304
9820000000	932351
9840000000	931648
9860000000	931040
9880000000	933158
9900000000	931748
9920000000	933476
9940000000	932130
9960000000	931701
9980000000	932834
10000000000	935311
10020000000	945172
10040000000	947567
10060000000	951228
10080000000	953660
10100000000	951881
10120000000	951571
10140000000	955545
10160000000	953859
10180000000	952440
10200000000	954741
10220000000	953903
10240000000	953813
10260000000	955096
10280000000	953850
10300000000	954533
10320000000	955830
10340000000	956752
10360000000	955508
10380000000	956159
10400000000	954728
10420000000	954088
10440000000	954460
10460000000	953461
10480000000	956310
10500000000	954824
10520000000	955254
10540000000	952972
10560000000	955705
10580000000	954242
10600000000	953826
10620000000	956783
10640000000	957133
10660000000	953856
10680000000	955342
10700000000	956510
10720000000	954627
10740000000	954191
10760000000	954063
10780000000	955842
10800000000	953680
10820000000	955828
10840000000	954425
10860000000	953433
10880000000	953510
10900000000	955292
10920000000	956409
10940000000	954383
10960000000	954718
10980000000	953841
11000000000	955444
11020000000	955641
11040000000	954955
11060000000	953733
11080000000	954765
11100000000	955995
11120000000	954885
11140000000	953828
11160000000	951848
11180000000	954300
11200000000	954370
11220000000	952301
11240000000	954508
11260000000	953516
11280000000	953690
11300000000	955737
11320000000	954187
11340000000	953304
11360000000	956471
11380000000	954402
11400000000	955196
11420000000	954410
11440000000	954930
11460000000	955950
11480000000	954646
11500000000	956644
11520000000	953795
11540000000	955664
11560000000	956149
11580000000	954442
11600000000	953636
11620000000	953591
11640000000	956215
11660000000	953420
11680000000	955057
11700000000	955740
11720000000	954977
11740000000	955774
11760000000	954540
11780000000	954427
11800000000	955792
11820000000	954385
11840000000	955113
11860000000	954642
11880000000	954312
11900000000	955406
11920000000	956474
11940000000	956228
11960000000	954788
11980000000	955092
12000000000	952115
12020000000	955691
12040000000	954740
12060000000	955732
12080000000	955365
12100000000	955993
12120000000	955925
12140000000	955603
12160000000	955161
12180000000	955509
12200000000	956249
12220000000	954420
12240000000	955151
12260000000	954952
12280000000	954190
12300000000	954622
12320000000	956680
12340000000	955409
12360000000	955308
12380000000	955921
12400000000	958418
12420000000	955427
12440000000	954853
12460000000	954775
12480000000	956635
12500000000	956298
12520000000	955272
12540000000	955437
12560000000	954171
12580000000	955210
12600000000	954869
12620000000	955668
12640000000	954510
12660000000	955559
12680000000	956012
12700000000	956525
12720000000	956043
12740000000	955204
12760000000	956711
12780000000	952635
12800000000	954222
12820000000	955121
12840000000	956015
12860000000	955612
12880000000	955315
12900000000	956610
12920000000	954827
12940000000	954362
12960000000	956268
12980000000	957748
13000000000	954119
13020000000	955809
13040000000	954929
13060000000	954807
13080000000	954020
13100000000	956051
13120000000	954972
13140000000	957170
13160000000	954623
13180000000	957241
13200000000	953980
13220000000	954915
13240000000	956725
13260000000	955907
13280000000	954492
13300000000	954580
13320000000	954100
13340000000	954908
13360000000	955749
13380000000	955039
13400000000	954946
13420000000	955721
13440000000	956017
13460000000	954498
13480000000	955236
13500000000	954962
13520000000	953295
13540000000	954082
13560000000	958184
13580000000	956405
13600000000	954005
13620000000	954837
13640000000	955265
13660000000	955641
13680000000	954738
13700000000	955512
13720000000	955818
13740000000	955141
13760000000	955791
13780000000	955009
13800000000	957066
13820000000	956368
13840000000	955435
13860000000	955731
13880000000	954009
13900000000	957164
13920000000	952772
13940000000	954868
13960000000	954223
13980000000	954621
14000000000	956710
14020000000	954376
14040000000	955709
14060000000	955989
14080000000	954364
14100000000	954071
14120000000	955064
14140000000	955446
14160000000	955576
14180000000	954569
14200000000	956507
14220000000	957325
14240000000	955938
14260000000	955610
14280000000	955885
14300000000	955984
14320000000	956203
14340000000	955486
14360000000	954453
14380000000	955084
14400000000	954791
14420000000	954751
14440000000	955140
14460000000	955685
14480000000	954484
14500000000	953880
14520000000	956208
14540000000	955765
14560000000	954055
14580000000	954955
14600000000	956399
14620000000	956850
14640000000	956257
14660000000	954765
14680000000	954161
14700000000	955702
14720000000	955334
14740000000	956713
14760000000	955505
14780000000	954843
14800000000	954320
14820000000	955880
14840000000	955188
14860000000	954687
14880000000	955923
14900000000	954116
14920000000	956455
14940000000	956983
14960000000	955487
14980000000	956358
15000000000	954433
15020000000	952270
15040000000	951419
15060000000	952270
15080000000	948020
15100000000	944349
15120000000	947798
15140000000	944827
15160000000	945484
15180000000	947527
15200000000	942036
15220000000	945299
15240000000	945523
15260000000	946238
15280000000	944213
15300000000	943815
15320000000	942363
15340000000	944962
15360000000	943835
15380000000	942414
15400000000	943629
15420000000	942284
15440000000	942753
15460000000	942083
15480000000	943125
15500000000	942626
15520000000	944184
15540000000	941984
15560000000	943809
15580000000	943165
15600000000	942758
15620000000	941559
15640000000	943277
15660000000	942183
15680000000	942267
15700000000	941580
15720000000	942395
15740000000	941271
15760000000	943597
15780000000	940856
15800000000	941891
15820000000	941315
15840000000	941684
15860000000	940700
15880000000	940533
15900000000	940744
15920000000	940883
15940000000	940860
15960000000	940244
15980000000	941331
16000000000	942098
16020000000	941263
16040000000	940366
16060000000	940943
16080000000	940087
16100000000	940662
16120000000	941479
16140000000	939881
16160000000	939145
16180000000	941572
16200000000	940307
16220000000	940462
16240000000	938691
16260000000	939967
16280000000	941316
16300000000	940167
16320000000	940319
16340000000	939006
16360000000	940020
16380000000	939750
16400000000	940026
16420000000	941207
