"Time (ps)"	"Counts per bin"
0	227098
100000000	229046
200000000	228867
300000000	228673
400000000	229703
500000000	229314
600000000	228995
700000000	228824
800000000	229300
900000000	228580
1000000000	229204
1100000000	229057
1200000000	229657
1300000000	230186
1400000000	229685
1500000000	229722
1600000000	229364
1700000000	228436
1800000000	229180
1900000000	228538
2000000000	228982
2100000000	229439
2200000000	229340
2300000000	228908
2400000000	229025
2500000000	228279
2600000000	228996
2700000000	229424
2800000000	229392
2900000000	229444
3000000000	228614
3100000000	228749
3200000000	228215
3300000000	229197
3400000000	229069
3500000000	228804
3600000000	228607
3700000000	229331
3800000000	229994
3900000000	229199
4000000000	229146
4100000000	229275
4200000000	230081
4300000000	229546
4400000000	229028
4500000000	229390
4600000000	229939
4700000000	229676
4800000000	228648
4900000000	228095
5000000000	228465
5100000000	229292
5200000000	228983
5300000000	228559
5400000000	229106
5500000000	229111
5600000000	228316
5700000000	228688
5800000000	230225
5900000000	228906
6000000000	229486
6100000000	228620
6200000000	228777
6300000000	229083
6400000000	228618
6500000000	228816
6600000000	229402
6700000000	228796
6800000000	229530
6900000000	228579
7000000000	228522
7100000000	229344
7200000000	228857
7300000000	228874
7400000000	228982
7500000000	228524
7600000000	229014
7700000000	228993
7800000000	228825
7900000000	228983
8000000000	229152
8100000000	228692
8200000000	229288
8300000000	228585
8400000000	229137
8500000000	229042
8600000000	229576
8700000000	229289
8800000000	228759
8900000000	229220
9000000000	228966
9100000000	229455
9200000000	229473
9300000000	228993
9400000000	229530
9500000000	228292
9600000000	228813
9700000000	229430
9800000000	228635
9900000000	229072
10000000000	228944
10100000000	228452
10200000000	229287
10300000000	229103
10400000000	229880
10500000000	228832
10600000000	228967
10700000000	229287
10800000000	229338
10900000000	228769
11000000000	229296
11100000000	228418
11200000000	229784
11300000000	228876
11400000000	229155
11500000000	229248
11600000000	229009
11700000000	229702
11800000000	229842
11900000000	229276
12000000000	228667
12100000000	230118
12200000000	228413
12300000000	229350
12400000000	228582
12500000000	228760
12600000000	228882
12700000000	229329
12800000000	228662
12900000000	227979
13000000000	229738
13100000000	229557
13200000000	229055
13300000000	229213
13400000000	228493
13500000000	228917
13600000000	229033
13700000000	228928
13800000000	229112
13900000000	228907
14000000000	229499
14100000000	228823
14200000000	228882
14300000000	228712
14400000000	228328
14500000000	228985
14600000000	228720
14700000000	228903
14800000000	229772
14900000000	228629
15000000000	229608
15100000000	229931
15200000000	228412
15300000000	228951
15400000000	228382
15500000000	228959
15600000000	228306
15700000000	229243
15800000000	229169
