"Time (ps)"	"Counts per bin"
0	89683
40000	89067
80000	89161
120000	89933
160000	89821
200000	90052
240000	89158
280000	89570
320000	89213
360000	89648
400000	89475
440000	89753
480000	89266
520000	89118
560000	89533
600000	89784
640000	89611
680000	89204
720000	88942
760000	89426
800000	89618
840000	89598
880000	89259
920000	89875
960000	88922
1000000	89263
1040000	89789
1080000	89112
1120000	89151
1160000	89356
1200000	89526
1240000	89303
1280000	89380
1320000	89546
1360000	89507
1400000	89385
1440000	89993
1480000	89287
1520000	89331
1560000	89743
1600000	89213
1640000	89483
1680000	89831
1720000	89233
1760000	89552
1800000	89473
1840000	89688
1880000	90073
1920000	89140
1960000	90014
2000000	89175
2040000	89262
2080000	89133
2120000	89610
2160000	89817
2200000	89039
2240000	89597
2280000	89363
2320000	89232
2360000	89352
2400000	89247
2440000	89525
2480000	89721
2520000	88932
2560000	89748
2600000	90108
2640000	88957
2680000	89433
2720000	89403
2760000	89367
2800000	89634
2840000	89490
2880000	89637
2920000	89061
2960000	89232
3000000	89655
3040000	89445
3080000	89144
3120000	89524
3160000	89264
3200000	89744
3240000	89262
3280000	89363
3320000	89226
3360000	89036
3400000	89256
3440000	89276
3480000	89761
3520000	90130
3560000	89636
3600000	89276
3640000	89646
3680000	89320
3720000	90033
3760000	90274
3800000	89544
3840000	89196
3880000	88704
3920000	89413
3960000	89094
4000000	89382
4040000	89041
4080000	89291
4120000	89615
4160000	89746
4200000	89067
4240000	89643
4280000	89474
4320000	89856
4360000	88838
4400000	89376
4440000	89108
4480000	89329
4520000	89115
4560000	89871
4600000	89029
4640000	89162
4680000	89080
4720000	89538
4760000	89579
4800000	89635
4840000	89312
4880000	89504
4920000	90013
4960000	89558
5000000	89518
5040000	89513
5080000	89740
5120000	90068
5160000	89154
5200000	89476
5240000	89109
5280000	89365
5320000	89990
5360000	89112
5400000	89961
5440000	89446
5480000	89828
5520000	89505
5560000	89116
5600000	90236
5640000	89607
5680000	89328
5720000	89368
5760000	89603
5800000	90183
5840000	89275
5880000	89011
5920000	89535
5960000	89784
6000000	89276
6040000	89718
6080000	89856
6120000	89288
6160000	89347
6200000	89525
6240000	88986
6280000	89362
6320000	89812
6360000	89601
6400000	89490
6440000	89045
6480000	89465
6520000	89855
6560000	89324
6600000	89993
6640000	89015
6680000	89100
6720000	89171
6760000	89553
6800000	88760
6840000	88923
6880000	89696
6920000	89246
6960000	89639
7000000	89938
7040000	89652
7080000	89602
7120000	89320
7160000	89729
7200000	89848
7240000	89501
7280000	89562
7320000	89633
7360000	89192
7400000	89649
