"Time (ps)"	"Counts per bin"
0	108845
20000000	109171
40000000	109245
60000000	109637
80000000	108677
100000000	109429
120000000	109626
140000000	109477
160000000	108947
180000000	108896
200000000	109095
220000000	109098
240000000	108987
260000000	109609
280000000	108550
300000000	109124
320000000	109266
340000000	108863
360000000	108745
380000000	108672
400000000	109259
420000000	109681
440000000	109357
460000000	109700
480000000	109020
500000000	108476
520000000	108934
540000000	109222
560000000	108688
580000000	109254
600000000	109491
620000000	109125
640000000	108420
660000000	109564
680000000	109067
700000000	108882
720000000	108999
740000000	109054
760000000	108446
780000000	109103
800000000	108651
820000000	108917
840000000	108470
860000000	108266
880000000	108690
900000000	108533
920000000	109147
940000000	109135
960000000	108992
980000000	108978
1000000000	109060
1020000000	109022
1040000000	109364
1060000000	108927
1080000000	108888
1100000000	108616
1120000000	108752
1140000000	109001
1160000000	109096
1180000000	108510
1200000000	109489
1220000000	109311
1240000000	109071
1260000000	108740
1280000000	108835
1300000000	108725
1320000000	108779
1340000000	109033
1360000000	108877
1380000000	108790
1400000000	108865
1420000000	109129
1440000000	108545
1460000000	108545
1480000000	108663
1500000000	108523
1520000000	109088
1540000000	109132
1560000000	109068
1580000000	108729
1600000000	108821
1620000000	108727
1640000000	108894
1660000000	109259
1680000000	108593
1700000000	109109
1720000000	108870
1740000000	108416
1760000000	108985
1780000000	109247
1800000000	108688
1820000000	109338
1840000000	109326
1860000000	109106
1880000000	109250
1900000000	109255
1920000000	108854
1940000000	108632
1960000000	109337
1980000000	109137
2000000000	108645
2020000000	108537
2040000000	108987
2060000000	108583
2080000000	109019
2100000000	108861
2120000000	108480
2140000000	108933
2160000000	108811
2180000000	108743
2200000000	108425
2220000000	108920
2240000000	109126
2260000000	109009
2280000000	108650
2300000000	108470
2320000000	109185
2340000000	109472
2360000000	108851
2380000000	108953
2400000000	108840
2420000000	109110
2440000000	109241
2460000000	109442
2480000000	108891
2500000000	108785
2520000000	108983
2540000000	109258
2560000000	109186
2580000000	108369
2600000000	108813
2620000000	108754
2640000000	108352
2660000000	108795
2680000000	109157
2700000000	109173
2720000000	108927
2740000000	108687
2760000000	109320
2780000000	109290
2800000000	109319
2820000000	108855
2840000000	109503
2860000000	108918
2880000000	108884
2900000000	108941
2920000000	108637
2940000000	108894
2960000000	108531
2980000000	109675
3000000000	109147
3020000000	108647
3040000000	109021
3060000000	108797
3080000000	108654
3100000000	109569
3120000000	109380
3140000000	109262
3160000000	109086
3180000000	109125
3200000000	108256
3220000000	109164
3240000000	109238
3260000000	109557
3280000000	108861
3300000000	108888
3320000000	109504
3340000000	108878
3360000000	109210
3380000000	108430
3400000000	108368
3420000000	109052
3440000000	108309
3460000000	109214
3480000000	108507
3500000000	108575
3520000000	108935
3540000000	109101
3560000000	108991
3580000000	109260
3600000000	108671
3620000000	108925
3640000000	108461
3660000000	109512
3680000000	108814
3700000000	108843
3720000000	108919
3740000000	108816
3760000000	108980
3780000000	108963
3800000000	108137
3820000000	108679
3840000000	108928
3860000000	108532
3880000000	109583
3900000000	108473
3920000000	108434
3940000000	108680
3960000000	108955
3980000000	109486
4000000000	108593
4020000000	108314
4040000000	108980
4060000000	109073
4080000000	109260
4100000000	109058
4120000000	108712
4140000000	108818
4160000000	108994
4180000000	108641
4200000000	109042
4220000000	108703
4240000000	108936
4260000000	109664
4280000000	108894
4300000000	109066
4320000000	108438
4340000000	108929
4360000000	109622
4380000000	108845
4400000000	109538
4420000000	109207
4440000000	108585
4460000000	108979
4480000000	109473
4500000000	109064
4520000000	109351
4540000000	108465
4560000000	109256
4580000000	108697
4600000000	108895
4620000000	109063
4640000000	108594
4660000000	109058
4680000000	109395
4700000000	109039
4720000000	109181
4740000000	108982
4760000000	108996
4780000000	109313
4800000000	108786
4820000000	109136
4840000000	109288
4860000000	108658
4880000000	109224
4900000000	109362
4920000000	109084
4940000000	108728
4960000000	109110
4980000000	108961
5000000000	108731
5020000000	108484
5040000000	108952
5060000000	108891
5080000000	108968
5100000000	108714
5120000000	108391
5140000000	109052
5160000000	109127
5180000000	108894
5200000000	108396
5220000000	108818
5240000000	108185
5260000000	109234
5280000000	109110
5300000000	108705
5320000000	109645
5340000000	109040
5360000000	108561
5380000000	108310
5400000000	108685
5420000000	108705
5440000000	109127
5460000000	108652
5480000000	109561
5500000000	109664
5520000000	109140
5540000000	108675
5560000000	108017
5580000000	108766
5600000000	108683
5620000000	109403
5640000000	108595
5660000000	109414
5680000000	109151
5700000000	108623
5720000000	109355
5740000000	109071
5760000000	108711
5780000000	109241
5800000000	109192
5820000000	109409
5840000000	108493
5860000000	109133
5880000000	108730
5900000000	108994
5920000000	108909
5940000000	109126
5960000000	109551
5980000000	107968
6000000000	108548
6020000000	108687
6040000000	108624
6060000000	108761
6080000000	109713
6100000000	108824
6120000000	108882
6140000000	108986
6160000000	109397
6180000000	109394
6200000000	108975
6220000000	109081
6240000000	108795
6260000000	109307
6280000000	108360
6300000000	109029
6320000000	108576
6340000000	108805
6360000000	108600
6380000000	108929
6400000000	109204
6420000000	109374
6440000000	108588
6460000000	108399
6480000000	109509
6500000000	108386
6520000000	108648
6540000000	108651
6560000000	109422
6580000000	109052
6600000000	108981
6620000000	108776
6640000000	109454
6660000000	108552
6680000000	109064
6700000000	109396
6720000000	108506
6740000000	108590
6760000000	109396
6780000000	108817
6800000000	108493
6820000000	109501
6840000000	108348
