"Time (ps)"	"Counts per bin"
0	217
100000	183
200000	175
300000	165
400000	173
500000	201
600000	210
700000	225
800000	183
900000	201
1000000	177
1100000	205
1200000	208
1300000	193
1400000	168
1500000	193
1600000	209
1700000	194
1800000	201
1900000	187
2000000	207
2100000	199
2200000	192
2300000	192
2400000	179
2500000	183
2600000	208
2700000	192
2800000	193
2900000	180
3000000	172
3100000	207
3200000	199
3300000	192
3400000	193
3500000	218
3600000	203
3700000	196
3800000	202
3900000	188
4000000	163
4100000	214
4200000	208
4300000	179
4400000	194
4500000	205
4600000	179
4700000	185
4800000	215
4900000	192
5000000	186
5100000	201
5200000	213
5300000	193
5400000	190
5500000	188
5600000	196
5700000	190
5800000	214
5900000	202
6000000	212
6100000	207
6200000	169
6300000	208
6400000	192
6500000	218
6600000	211
6700000	186
6800000	193
6900000	188
7000000	174
7100000	161
7200000	192
7300000	208
7400000	212
7500000	187
7600000	181
7700000	196
7800000	185
7900000	188
8000000	200
8100000	185
8200000	200
8300000	177
8400000	159
8500000	203
8600000	200
8700000	183
8800000	193
8900000	173
9000000	160
9100000	191
9200000	195
9300000	209
9400000	181
9500000	186
9600000	203
9700000	204
9800000	206
9900000	151
10000000	186
10100000	194
10200000	190
10300000	211
10400000	173
10500000	206
10600000	174
10700000	177
10800000	195
10900000	209
11000000	187
11100000	198
11200000	203
11300000	191
11400000	200
11500000	196
11600000	194
11700000	162
11800000	197
11900000	197
12000000	196
12100000	190
12200000	201
12300000	170
12400000	193
12500000	192
12600000	197
12700000	178
12800000	144
12900000	191
13000000	203
13100000	184
13200000	197
13300000	203
13400000	187
13500000	185
13600000	176
13700000	186
13800000	187
13900000	143
14000000	153
14100000	212
14200000	162
14300000	189
14400000	171
14500000	181
14600000	176
14700000	169
14800000	177
14900000	166
15000000	183
15100000	175
15200000	165
15300000	191
15400000	195
15500000	164
15600000	178
15700000	187
15800000	172
15900000	151
16000000	177
16100000	163
16200000	174
16300000	168
16400000	182
16500000	163
16600000	195
16700000	199
16800000	180
16900000	181
17000000	203
17100000	156
17200000	177
17300000	173
17400000	189
17500000	182
17600000	170
17700000	182
17800000	183
17900000	171
18000000	184
18100000	133
18200000	176
18300000	180
18400000	157
18500000	169
18600000	160
18700000	186
18800000	169
18900000	180
19000000	205
19100000	176
19200000	190
19300000	186
19400000	164
19500000	182
19600000	172
19700000	176
19800000	150
19900000	167
20000000	182
20100000	175
20200000	168
20300000	184
20400000	204
20500000	192
20600000	181
20700000	182
20800000	157
20900000	161
21000000	162
21100000	158
21200000	158
21300000	175
21400000	177
21500000	170
21600000	170
21700000	177
21800000	157
21900000	178
22000000	169
22100000	166
22200000	178
22300000	183
22400000	169
22500000	172
22600000	155
22700000	163
22800000	191
22900000	169
23000000	164
23100000	155
23200000	166
23300000	186
23400000	182
23500000	145
23600000	165
23700000	177
23800000	169
23900000	138
24000000	170
24100000	174
24200000	149
24300000	157
24400000	162
24500000	157
24600000	198
24700000	160
24800000	150
24900000	197
25000000	176
25100000	167
25200000	151
25300000	177
25400000	156
25500000	167
25600000	162
25700000	185
25800000	164
25900000	165
26000000	178
26100000	169
26200000	166
26300000	167
26400000	154
26500000	154
26600000	154
26700000	155
26800000	173
26900000	148
27000000	191
27100000	162
27200000	156
27300000	168
27400000	167
27500000	156
27600000	176
27700000	150
27800000	186
27900000	179
28000000	158
28100000	187
28200000	164
28300000	174
28400000	186
28500000	161
28600000	161
28700000	168
28800000	152
28900000	168
29000000	173
29100000	155
29200000	139
29300000	160
29400000	177
29500000	171
29600000	165
29700000	184
29800000	180
29900000	158
30000000	171
30100000	185
30200000	153
30300000	166
30400000	170
30500000	194
30600000	167
30700000	186
30800000	160
30900000	188
31000000	170
31100000	157
31200000	164
31300000	169
31400000	153
31500000	147
31600000	147
31700000	183
31800000	164
31900000	155
32000000	163
32100000	144
32200000	154
32300000	149
32400000	165
32500000	160
32600000	170
32700000	147
32800000	163
32900000	183
33000000	145
33100000	185
33200000	174
33300000	165
33400000	170
33500000	134
33600000	144
33700000	157
33800000	193
