"Time (ps)"	"Channel 4 - Counts per bin"
0	2
10000000	0
20000000	2
30000000	2
40000000	3
50000000	2
60000000	3
70000000	4
80000000	3
90000000	3
100000000	3
110000000	4
120000000	4
130000000	4
140000000	2
150000000	2
160000000	4
170000000	0
180000000	3
190000000	2
200000000	3
210000000	0
220000000	2
230000000	3
240000000	1
250000000	2
260000000	3
270000000	4
280000000	5
290000000	2
300000000	1
310000000	4
320000000	3
330000000	3
340000000	1
350000000	1
360000000	2
370000000	5
380000000	5
390000000	3
400000000	0
410000000	1
420000000	3
430000000	2
440000000	1
450000000	2
460000000	2
470000000	2
480000000	2
490000000	1
500000000	0
510000000	2
520000000	5
530000000	2
540000000	4
550000000	3
560000000	4
570000000	3
580000000	3
590000000	0
600000000	3
610000000	2
620000000	2
630000000	0
640000000	0
650000000	1
660000000	2
670000000	0
680000000	2
690000000	0
700000000	1
710000000	1
720000000	0
730000000	2
740000000	1
750000000	1
760000000	0
770000000	0
780000000	0
790000000	0
800000000	0
810000000	0
820000000	0
830000000	0
840000000	0
850000000	2
860000000	0
870000000	0
880000000	0
890000000	0
900000000	0
910000000	0
920000000	0
930000000	0
940000000	0
950000000	2
960000000	0
970000000	0
980000000	0
990000000	0
1000000000	0
1010000000	0
1020000000	0
1030000000	0
1040000000	0
1050000000	0
1060000000	0
1070000000	0
1080000000	0
1090000000	0
1100000000	0
1110000000	0
1120000000	0
1130000000	0
1140000000	0
1150000000	0
1160000000	0
1170000000	0
1180000000	0
1190000000	0
1200000000	0
1210000000	0
1220000000	0
1230000000	0
1240000000	0
1250000000	0
1260000000	0
1270000000	0
1280000000	0
1290000000	0
1300000000	0
1310000000	0
1320000000	0
1330000000	0
1340000000	0
1350000000	1
1360000000	0
1370000000	0
1380000000	0
1390000000	1
1400000000	0
1410000000	0
1420000000	0
1430000000	0
1440000000	0
1450000000	0
1460000000	0
1470000000	0
1480000000	0
1490000000	0
1500000000	0
1510000000	0
1520000000	0
1530000000	0
1540000000	0
1550000000	0
1560000000	0
1570000000	0
1580000000	0
1590000000	1
1600000000	1
1610000000	1
1620000000	2
1630000000	1
1640000000	2
1650000000	3
1660000000	2
1670000000	1
1680000000	0
1690000000	2
1700000000	3
1710000000	2
1720000000	2
1730000000	2
1740000000	3
1750000000	3
1760000000	1
1770000000	2
1780000000	6
1790000000	1
1800000000	1
1810000000	2
1820000000	6
1830000000	2
1840000000	3
1850000000	0
1860000000	1
1870000000	3
1880000000	0
1890000000	3
1900000000	3
1910000000	1
1920000000	3
1930000000	3
1940000000	1
1950000000	1
1960000000	4
1970000000	1
1980000000	1
1990000000	4
2000000000	5
2010000000	5
2020000000	2
2030000000	3
2040000000	1
2050000000	3
2060000000	7
2070000000	5
2080000000	4
2090000000	1
2100000000	3
2110000000	0
2120000000	2
2130000000	3
2140000000	0
2150000000	3
2160000000	1
2170000000	4
2180000000	1
2190000000	1
2200000000	1
2210000000	6
2220000000	0
2230000000	3
2240000000	3
2250000000	3
2260000000	2
2270000000	6
2280000000	4
2290000000	1
2300000000	1
2310000000	5
2320000000	2
2330000000	4
2340000000	1
2350000000	0
2360000000	6
2370000000	5
2380000000	2
2390000000	3
2400000000	3
2410000000	2
2420000000	2
2430000000	1
2440000000	1
2450000000	3
2460000000	2
2470000000	0
2480000000	0
2490000000	1
2500000000	4
2510000000	2
2520000000	6
2530000000	2
2540000000	2
2550000000	0
2560000000	2
2570000000	4
2580000000	5
2590000000	2
2600000000	1
2610000000	3
2620000000	0
2630000000	0
2640000000	0
2650000000	2
2660000000	1
2670000000	0
2680000000	2
2690000000	0
2700000000	0
2710000000	1
2720000000	2
2730000000	3
2740000000	0
2750000000	1
2760000000	0
2770000000	1
2780000000	0
2790000000	2
2800000000	1
2810000000	0
2820000000	0
2830000000	1
2840000000	0
2850000000	0
2860000000	0
2870000000	0
2880000000	0
2890000000	0
2900000000	0
2910000000	0
2920000000	0
2930000000	0
2940000000	0
2950000000	0
2960000000	1
2970000000	0
2980000000	0
2990000000	0
3000000000	0
3010000000	0
3020000000	0
3030000000	0
3040000000	0
3050000000	0
3060000000	0
3070000000	0
3080000000	0
3090000000	0
3100000000	0
3110000000	0
3120000000	0
3130000000	0
3140000000	0
3150000000	0
3160000000	0
3170000000	0
3180000000	0
3190000000	0
3200000000	0
3210000000	0
3220000000	0
3230000000	0
3240000000	0
3250000000	0
3260000000	0
3270000000	0
3280000000	0
3290000000	0
3300000000	0
3310000000	0
3320000000	0
3330000000	0
3340000000	0
3350000000	0
3360000000	0
3370000000	0
3380000000	0
3390000000	0
3400000000	0
3410000000	0
3420000000	0
3430000000	0
3440000000	0
3450000000	0
3460000000	0
3470000000	0
3480000000	0
3490000000	0
3500000000	0
3510000000	0
3520000000	0
3530000000	0
3540000000	0
3550000000	0
3560000000	0
3570000000	0
3580000000	0
3590000000	0
3600000000	3
3610000000	0
3620000000	2
3630000000	1
3640000000	0
3650000000	2
3660000000	4
3670000000	1
3680000000	3
3690000000	1
3700000000	3
3710000000	3
3720000000	1
3730000000	1
3740000000	1
3750000000	2
3760000000	3
3770000000	3
3780000000	2
3790000000	2
3800000000	6
3810000000	0
3820000000	5
3830000000	3
3840000000	2
3850000000	4
3860000000	3
3870000000	2
3880000000	0
3890000000	5
3900000000	2
3910000000	2
3920000000	2
3930000000	5
3940000000	2
3950000000	0
3960000000	2
3970000000	2
3980000000	2
3990000000	2
4000000000	0
4010000000	2
4020000000	3
4030000000	4
4040000000	3
4050000000	2
4060000000	7
4070000000	2
4080000000	1
4090000000	2
4100000000	1
4110000000	4
4120000000	2
4130000000	1
4140000000	6
4150000000	3
4160000000	2
4170000000	4
4180000000	2
4190000000	4
4200000000	3
4210000000	3
4220000000	0
4230000000	2
4240000000	3
4250000000	3
4260000000	4
4270000000	3
4280000000	1
4290000000	2
4300000000	2
4310000000	3
4320000000	2
4330000000	5
4340000000	3
4350000000	1
4360000000	2
4370000000	1
4380000000	2
4390000000	1
4400000000	4
4410000000	4
4420000000	2
4430000000	4
4440000000	3
4450000000	1
4460000000	1
4470000000	6
4480000000	1
4490000000	5
4500000000	0
4510000000	5
4520000000	1
4530000000	5
4540000000	2
