"Time (ps)"	"Counts per bin"
0	993
100000	997
200000	1018
300000	1006
400000	1010
500000	1035
600000	1034
700000	974
800000	1014
900000	969
1000000	1038
1100000	1033
1200000	1101
1300000	1034
1400000	975
1500000	1009
1600000	1076
1700000	1054
1800000	1004
1900000	1031
2000000	1007
2100000	989
2200000	1015
2300000	980
2400000	976
2500000	980
2600000	992
2700000	1009
2800000	976
2900000	983
3000000	1014
3100000	987
3200000	979
3300000	978
3400000	982
3500000	997
3600000	974
3700000	990
3800000	1015
3900000	1010
4000000	945
4100000	1047
4200000	959
4300000	964
4400000	991
4500000	1018
4600000	962
4700000	1064
4800000	898
4900000	959
5000000	984
5100000	959
5200000	968
5300000	957
5400000	962
5500000	956
5600000	901
5700000	971
5800000	896
5900000	942
6000000	943
6100000	987
6200000	945
6300000	916
6400000	947
6500000	925
6600000	944
6700000	922
6800000	920
6900000	931
7000000	872
7100000	925
7200000	955
7300000	954
7400000	925
7500000	941
7600000	902
7700000	962
7800000	877
7900000	876
8000000	974
8100000	880
8200000	905
8300000	882
8400000	936
8500000	900
8600000	899
8700000	857
8800000	938
8900000	911
9000000	898
9100000	929
9200000	895
9300000	876
9400000	881
9500000	853
9600000	811
9700000	946
9800000	882
9900000	932
10000000	859
10100000	883
10200000	875
10300000	905
10400000	889
10500000	815
10600000	925
10700000	841
10800000	826
10900000	925
11000000	862
11100000	868
11200000	902
11300000	889
11400000	858
11500000	889
11600000	820
11700000	909
11800000	864
11900000	842
12000000	889
12100000	888
12200000	856
12300000	829
12400000	844
12500000	787
12600000	871
12700000	826
12800000	813
12900000	856
13000000	849
13100000	834
13200000	817
13300000	857
13400000	861
13500000	772
13600000	830
13700000	838
13800000	823
13900000	806
14000000	842
14100000	779
14200000	860
14300000	825
14400000	832
14500000	791
14600000	820
14700000	840
14800000	797
14900000	796
15000000	860
15100000	797
15200000	856
15300000	828
15400000	795
15500000	828
15600000	812
15700000	790
15800000	808
15900000	786
16000000	815
16100000	812
16200000	754
16300000	792
16400000	763
16500000	801
16600000	824
16700000	791
16800000	818
16900000	771
17000000	803
17100000	770
17200000	791
17300000	790
17400000	770
17500000	777
17600000	804
17700000	821
