"Time (ps)"	"Counts per bin"
0	1036
100000	1072
200000	1036
300000	967
400000	1070
500000	1025
600000	1000
700000	972
800000	1010
900000	1013
1000000	988
1100000	952
1200000	995
1300000	953
1400000	995
1500000	1024
1600000	1050
1700000	1008
1800000	1041
1900000	993
2000000	1039
2100000	999
2200000	1009
2300000	1002
2400000	998
2500000	1007
2600000	1037
2700000	951
2800000	1028
2900000	957
3000000	1044
3100000	1011
3200000	979
3300000	1042
3400000	1012
3500000	1046
3600000	999
3700000	1000
3800000	1004
3900000	1005
4000000	1039
4100000	985
4200000	977
4300000	1036
4400000	1018
4500000	933
4600000	997
4700000	979
4800000	964
4900000	1008
5000000	1022
5100000	980
5200000	958
5300000	956
5400000	1015
5500000	985
5600000	974
5700000	937
5800000	932
5900000	992
6000000	904
6100000	1006
6200000	980
6300000	1003
6400000	1026
6500000	977
6600000	1026
6700000	976
6800000	955
6900000	954
7000000	904
7100000	970
7200000	975
7300000	955
7400000	999
7500000	987
7600000	948
7700000	915
7800000	933
7900000	989
8000000	940
8100000	960
8200000	930
8300000	928
8400000	900
8500000	1024
8600000	939
8700000	907
8800000	926
8900000	958
9000000	971
9100000	908
9200000	968
9300000	934
9400000	930
9500000	968
9600000	954
9700000	969
9800000	939
9900000	914
10000000	911
10100000	944
10200000	933
10300000	963
10400000	957
10500000	932
10600000	961
10700000	912
10800000	947
10900000	959
11000000	930
11100000	921
11200000	927
11300000	916
11400000	913
11500000	922
11600000	929
11700000	895
11800000	948
11900000	926
12000000	941
12100000	905
12200000	930
12300000	915
12400000	932
12500000	907
12600000	944
12700000	923
12800000	874
12900000	937
13000000	869
13100000	893
13200000	889
13300000	932
13400000	910
13500000	938
13600000	959
13700000	866
13800000	910
13900000	894
14000000	877
14100000	943
14200000	945
14300000	846
14400000	849
14500000	865
14600000	890
14700000	916
14800000	855
14900000	880
15000000	851
15100000	880
15200000	873
15300000	897
15400000	893
15500000	882
15600000	894
15700000	917
15800000	874
15900000	912
16000000	909
16100000	822
16200000	881
16300000	903
16400000	840
16500000	888
16600000	918
16700000	863
16800000	863
16900000	883
17000000	860
17100000	869
17200000	822
17300000	855
17400000	906
17500000	886
17600000	908
17700000	844
17800000	818
17900000	874
18000000	879
18100000	829
18200000	856
18300000	867
18400000	851
18500000	808
18600000	863
18700000	834
18800000	798
18900000	850
19000000	880
19100000	876
19200000	875
19300000	881
19400000	828
19500000	849
19600000	825
19700000	842
19800000	842
19900000	862
20000000	825
20100000	821
20200000	820
20300000	821
20400000	852
20500000	810
20600000	858
20700000	854
20800000	836
20900000	830
21000000	831
21100000	832
21200000	828
21300000	841
21400000	825
21500000	827
21600000	826
21700000	800
21800000	801
21900000	827
22000000	887
22100000	812
22200000	835
22300000	805
22400000	802
22500000	812
22600000	803
22700000	776
22800000	830
22900000	871
23000000	775
23100000	831
23200000	814
23300000	839
23400000	784
23500000	803
23600000	803
23700000	799
23800000	787
23900000	771
24000000	827
24100000	821
24200000	825
24300000	813
24400000	814
24500000	816
24600000	800
24700000	777
24800000	799
24900000	817
25000000	786
25100000	842
25200000	797
25300000	826
25400000	810
25500000	826
25600000	758
25700000	772
25800000	838
25900000	783
26000000	786
26100000	815
26200000	732
26300000	794
26400000	780
26500000	778
26600000	780
26700000	811
26800000	744
26900000	790
27000000	837
27100000	821
27200000	820
27300000	808
27400000	812
27500000	733
27600000	756
27700000	746
27800000	805
27900000	759
28000000	798
28100000	775
28200000	831
28300000	772
28400000	766
28500000	776
28600000	787
28700000	754
28800000	736
28900000	764
29000000	802
29100000	784
29200000	719
29300000	732
29400000	766
29500000	768
29600000	705
29700000	746
29800000	758
29900000	755
30000000	772
30100000	737
30200000	760
30300000	813
30400000	786
30500000	779
30600000	734
30700000	776
30800000	743
30900000	780
31000000	740
31100000	744
31200000	741
31300000	754
31400000	717
31500000	773
31600000	732
31700000	737
31800000	776
31900000	756
32000000	773
32100000	769
32200000	751
32300000	762
32400000	702
32500000	746
32600000	739
32700000	741
32800000	740
32900000	708
33000000	767
33100000	728
33200000	747
33300000	754
33400000	718
33500000	740
33600000	710
33700000	742
33800000	744
33900000	756
34000000	694
34100000	739
34200000	746
34300000	749
34400000	763
34500000	760
34600000	784
