"Time (ps)"	"Counts per bin"
0	6162
100000	6127
200000	6301
300000	6171
400000	6395
500000	6447
600000	6352
700000	6273
800000	6242
900000	6291
1000000	6243
1100000	6424
1200000	6251
1300000	6331
1400000	6407
1500000	6182
1600000	6178
1700000	6232
1800000	6155
1900000	6229
2000000	6294
2100000	6225
2200000	6233
2300000	6298
2400000	6275
2500000	6176
2600000	6109
2700000	6119
2800000	6013
2900000	6155
3000000	6281
3100000	6249
3200000	6207
3300000	6182
3400000	6276
3500000	5976
3600000	6122
3700000	6178
3800000	6210
3900000	6166
4000000	5969
4100000	6117
4200000	6165
4300000	6111
4400000	6175
4500000	6141
4600000	5972
4700000	6094
4800000	6234
4900000	5891
5000000	5893
5100000	6115
5200000	6014
5300000	5952
5400000	5917
5500000	6159
5600000	6033
5700000	6033
5800000	6142
5900000	5805
6000000	5996
6100000	5910
6200000	5990
6300000	6027
6400000	5932
6500000	5912
6600000	5894
6700000	6018
6800000	5919
6900000	5958
7000000	5953
7100000	5781
7200000	5866
7300000	5765
7400000	5797
7500000	5847
7600000	5840
7700000	5955
7800000	5836
7900000	5929
8000000	5818
8100000	5692
8200000	5828
8300000	5842
8400000	5855
8500000	5842
8600000	5786
8700000	5880
8800000	5715
8900000	5703
9000000	5796
9100000	5559
9200000	5770
9300000	5771
9400000	5735
9500000	5625
9600000	5770
9700000	5699
9800000	5735
9900000	5645
10000000	5708
10100000	5605
10200000	5545
10300000	5545
10400000	5575
10500000	5749
10600000	5569
10700000	5625
10800000	5677
10900000	5565
11000000	5618
11100000	5464
11200000	5547
11300000	5705
11400000	5536
11500000	5571
11600000	5590
11700000	5531
11800000	5432
11900000	5490
12000000	5632
12100000	5439
12200000	5527
12300000	5435
12400000	5456
12500000	5476
12600000	5487
12700000	5564
12800000	5388
12900000	5435
13000000	5548
13100000	5406
13200000	5457
13300000	5363
13400000	5413
13500000	5359
13600000	5417
13700000	5518
13800000	5386
13900000	5361
14000000	5229
14100000	5355
14200000	5385
14300000	5396
14400000	5251
14500000	5266
14600000	5465
14700000	5343
14800000	5294
14900000	5316
15000000	5265
15100000	5212
15200000	5244
15300000	5194
15400000	5162
15500000	5336
15600000	5240
15700000	5197
15800000	5222
15900000	5073
16000000	5179
16100000	5215
16200000	5160
16300000	5205
16400000	5233
16500000	5174
16600000	5136
16700000	4999
16800000	5193
16900000	5162
17000000	5259
17100000	5029
17200000	5023
17300000	5151
17400000	5102
17500000	5056
17600000	5021
17700000	5139
17800000	5049
17900000	5092
18000000	5076
18100000	5129
18200000	5207
18300000	4974
18400000	4905
18500000	5034
18600000	5060
18700000	5092
18800000	5076
18900000	5014
19000000	5059
19100000	5034
19200000	5102
19300000	5128
19400000	5097
19500000	4985
19600000	5010
19700000	5023
19800000	4909
19900000	4937
20000000	5045
20100000	4929
20200000	4952
20300000	4908
20400000	4821
20500000	4855
20600000	4964
20700000	4848
20800000	4948
20900000	4924
21000000	4888
21100000	4867
21200000	4917
21300000	4947
21400000	4856
21500000	4832
21600000	4950
21700000	4919
21800000	4924
21900000	4884
22000000	4768
22100000	4836
22200000	4839
22300000	4851
22400000	4820
22500000	4719
22600000	4843
22700000	4838
22800000	4850
22900000	4757
23000000	4755
23100000	4777
23200000	4726
23300000	4739
23400000	4719
23500000	4693
23600000	4773
23700000	4727
23800000	4787
23900000	4819
24000000	4746
24100000	4752
24200000	4716
24300000	4659
24400000	4673
24500000	4672
24600000	4658
24700000	4656
24800000	4601
24900000	4581
25000000	4748
25100000	4651
25200000	4674
25300000	4720
25400000	4663
25500000	4674
25600000	4646
25700000	4560
25800000	4541
25900000	4526
26000000	4594
26100000	4682
26200000	4623
26300000	4648
26400000	4612
26500000	4545
26600000	4527
26700000	4529
26800000	4573
26900000	4544
27000000	4600
27100000	4629
27200000	4548
27300000	4514
27400000	4572
27500000	4438
27600000	4580
27700000	4551
27800000	4542
27900000	4506
28000000	4504
28100000	4568
28200000	4505
28300000	4462
28400000	4445
28500000	4564
28600000	4391
28700000	4486
28800000	4330
28900000	4433
29000000	4391
29100000	4367
29200000	4369
29300000	4436
29400000	4428
29500000	4432
29600000	4324
29700000	4436
29800000	4379
29900000	4387
30000000	4291
30100000	4405
30200000	4379
30300000	4308
30400000	4419
30500000	4397
30600000	4355
