"Time (ps)"	"Counts per bin"
0	499292
100000000	498949
200000000	500530
300000000	501418
400000000	499744
500000000	502206
600000000	499717
700000000	499811
800000000	501284
900000000	500571
1000000000	500415
1100000000	500888
1200000000	499908
1300000000	501632
1400000000	500243
1500000000	500530
1600000000	500772
1700000000	500881
1800000000	501595
1900000000	500363
2000000000	500660
2100000000	501656
2200000000	501054
2300000000	500900
2400000000	500105
2500000000	500996
2600000000	500429
2700000000	500018
2800000000	500468
2900000000	501345
3000000000	501233
3100000000	501123
3200000000	501326
3300000000	500312
3400000000	501047
3500000000	501713
3600000000	500494
3700000000	500290
3800000000	501025
3900000000	501889
4000000000	501795
4100000000	501501
4200000000	502742
4300000000	499486
4400000000	500224
4500000000	501834
4600000000	501339
4700000000	500638
4800000000	500857
4900000000	500274
5000000000	501224
5100000000	501744
5200000000	500688
5300000000	500094
5400000000	500681
5500000000	500383
5600000000	500626
5700000000	499262
5800000000	502111
5900000000	500941
6000000000	499516
6100000000	500784
6200000000	500528
6300000000	498792
6400000000	500137
6500000000	500591
6600000000	501803
6700000000	500410
6800000000	502257
6900000000	499723
7000000000	499833
7100000000	501256
7200000000	501397
7300000000	501449
7400000000	500975
7500000000	500195
7600000000	501215
7700000000	500090
7800000000	499545
7900000000	500009
8000000000	501269
8100000000	499564
8200000000	500864
8300000000	501401
8400000000	500706
8500000000	501309
8600000000	500299
8700000000	501699
8800000000	500803
8900000000	499856
9000000000	501081
9100000000	500211
9200000000	499639
9300000000	501336
9400000000	501988
9500000000	501824
9600000000	500420
9700000000	501459
9800000000	501430
9900000000	501039
10000000000	501063
10100000000	502218
10200000000	500683
10300000000	500548
10400000000	499067
10500000000	501644
10600000000	500616
10700000000	502394
10800000000	501283
10900000000	500554
11000000000	500866
11100000000	500951
11200000000	501483
11300000000	502586
11400000000	500813
11500000000	500134
11600000000	499672
11700000000	499096
11800000000	501182
11900000000	500288
12000000000	501000
12100000000	500628
12200000000	500210
12300000000	501703
12400000000	500646
12500000000	500004
12600000000	501797
12700000000	500153
12800000000	500933
12900000000	502019
13000000000	499512
13100000000	500571
13200000000	501869
13300000000	501321
13400000000	500030
13500000000	500370
13600000000	500813
13700000000	502014
13800000000	501150
13900000000	501160
14000000000	500643
14100000000	502448
14200000000	500195
14300000000	500724
14400000000	500797
14500000000	501497
14600000000	501936
14700000000	499740
14800000000	501864
14900000000	502525
15000000000	500011
15100000000	501493
15200000000	501047
15300000000	502424
15400000000	501434
15500000000	500046
15600000000	500276
15700000000	500644
15800000000	500780
15900000000	500530
16000000000	500887
16100000000	500831
16200000000	501507
16300000000	501424
16400000000	500215
16500000000	501044
16600000000	501068
16700000000	501340
16800000000	500784
16900000000	501169
17000000000	501030
17100000000	500608
17200000000	500976
17300000000	500929
17400000000	502056
17500000000	500202
17600000000	501014
17700000000	500535
17800000000	501274
17900000000	501736
18000000000	499543
18100000000	500477
18200000000	501791
18300000000	503040
18400000000	501531
18500000000	500767
18600000000	499687
18700000000	501073
18800000000	501954
18900000000	499466
19000000000	500397
19100000000	500319
19200000000	501763
19300000000	500763
19400000000	500011
19500000000	500217
19600000000	500573
19700000000	500696
19800000000	500335
19900000000	500791
20000000000	500539
20100000000	500768
20200000000	500676
20300000000	501007
20400000000	501210
20500000000	500594
20600000000	500693
20700000000	501329
20800000000	500662
20900000000	500937
21000000000	502006
21100000000	501000
21200000000	501465
21300000000	500265
21400000000	500080
21500000000	500623
21600000000	501814
21700000000	501689
21800000000	501993
21900000000	501475
22000000000	500880
22100000000	501220
22200000000	500752
22300000000	500700
22400000000	500748
22500000000	500463
22600000000	500612
22700000000	500155
22800000000	501808
22900000000	502797
23000000000	500698
23100000000	501295
23200000000	500700
23300000000	499995
23400000000	500946
23500000000	500607
23600000000	501501
23700000000	501217
23800000000	500129
23900000000	501092
24000000000	500790
24100000000	500823
24200000000	501212
24300000000	500347
24400000000	500448
24500000000	502079
24600000000	500952
24700000000	499788
24800000000	501256
24900000000	500185
25000000000	500165
25100000000	500750
25200000000	500657
25300000000	498028
25400000000	498572
25500000000	499004
25600000000	499097
25700000000	499773
25800000000	498854
25900000000	499110
26000000000	498211
26100000000	497739
26200000000	499444
26300000000	499542
26400000000	498085
26500000000	498718
26600000000	497825
26700000000	497694
26800000000	498675
26900000000	498716
27000000000	500124
27100000000	499091
27200000000	498133
27300000000	498312
27400000000	498947
27500000000	498170
27600000000	498500
27700000000	499779
27800000000	499139
27900000000	498686
28000000000	497841
28100000000	500165
28200000000	499368
28300000000	498316
28400000000	499137
28500000000	498310
28600000000	498324
28700000000	497470
28800000000	499077
28900000000	498676
29000000000	498616
29100000000	498383
29200000000	498917
29300000000	498449
29400000000	498096
29500000000	498121
29600000000	498752
29700000000	498107
29800000000	498576
29900000000	497899
30000000000	498050
30100000000	498129
30200000000	498254
30300000000	498513
30400000000	498144
30500000000	497027
30600000000	499074
30700000000	498644
30800000000	499390
30900000000	497797
31000000000	498385
31100000000	497886
31200000000	498767
31300000000	498504
31400000000	499013
31500000000	497983
31600000000	498914
31700000000	498668
31800000000	499850
31900000000	497458
32000000000	497378
