"Time (ps)"	"Counts per bin"
0	505769
100000000	505822
200000000	506620
300000000	507061
400000000	506638
500000000	506125
600000000	506254
700000000	507223
800000000	506898
900000000	505910
1000000000	506072
1100000000	506488
1200000000	505659
1300000000	507055
1400000000	506460
1500000000	506545
1600000000	506823
1700000000	506865
1800000000	506185
1900000000	508047
2000000000	506427
2100000000	506582
2200000000	506612
2300000000	507629
2400000000	506935
2500000000	507702
2600000000	507010
2700000000	507748
2800000000	506849
2900000000	507501
3000000000	507846
3100000000	505714
3200000000	507407
3300000000	505967
3400000000	506677
3500000000	506616
3600000000	506434
3700000000	506185
3800000000	506938
3900000000	506870
4000000000	507313
4100000000	507205
4200000000	506738
4300000000	508143
4400000000	505584
4500000000	505842
4600000000	507421
4700000000	505553
4800000000	507461
4900000000	506816
5000000000	506880
5100000000	506891
5200000000	506108
5300000000	507132
5400000000	507790
5500000000	506530
5600000000	506552
5700000000	506000
5800000000	507488
5900000000	507192
6000000000	507653
6100000000	507810
6200000000	507874
6300000000	505824
6400000000	507598
6500000000	507982
6600000000	506551
6700000000	507310
6800000000	507427
6900000000	507083
7000000000	507315
7100000000	507733
7200000000	507813
7300000000	506775
7400000000	506176
7500000000	507117
7600000000	505801
7700000000	505941
7800000000	506099
7900000000	508441
8000000000	507412
8100000000	506270
8200000000	506424
8300000000	506958
8400000000	507544
8500000000	506603
8600000000	506958
8700000000	506242
8800000000	506293
8900000000	506230
9000000000	506767
9100000000	507243
9200000000	507627
9300000000	507293
9400000000	506021
9500000000	507496
9600000000	507569
9700000000	507437
9800000000	507266
9900000000	506372
10000000000	506834
10100000000	506453
10200000000	508605
10300000000	507273
10400000000	507396
10500000000	506266
10600000000	507534
10700000000	507933
10800000000	506990
10900000000	507316
11000000000	506778
11100000000	507718
11200000000	507503
11300000000	505352
11400000000	506128
11500000000	507039
11600000000	506892
11700000000	507966
11800000000	506928
11900000000	505985
12000000000	508563
12100000000	506451
12200000000	505580
12300000000	506610
12400000000	506116
12500000000	506695
12600000000	507473
12700000000	507404
12800000000	507424
12900000000	506343
13000000000	507498
13100000000	507257
13200000000	506092
13300000000	507533
13400000000	507836
13500000000	506893
13600000000	508166
13700000000	507248
13800000000	507121
13900000000	506509
14000000000	507148
14100000000	507068
14200000000	506375
14300000000	507546
14400000000	506878
14500000000	507127
14600000000	507467
14700000000	506049
14800000000	507584
14900000000	506016
15000000000	508085
15100000000	506733
15200000000	505729
15300000000	506153
15400000000	508046
15500000000	507314
15600000000	507373
15700000000	506804
15800000000	506826
15900000000	506940
16000000000	505788
16100000000	507227
16200000000	505924
16300000000	507025
16400000000	506094
16500000000	505641
16600000000	506103
16700000000	506380
16800000000	506776
16900000000	506810
17000000000	506000
17100000000	506366
17200000000	505623
17300000000	506363
17400000000	506826
17500000000	504936
17600000000	506118
17700000000	506434
17800000000	506182
17900000000	505649
18000000000	506520
18100000000	506194
18200000000	505653
18300000000	506223
18400000000	506175
18500000000	505383
18600000000	505676
18700000000	507345
18800000000	505459
18900000000	505831
19000000000	505974
19100000000	504903
19200000000	505655
19300000000	505552
19400000000	506245
19500000000	505718
19600000000	505037
19700000000	506108
19800000000	505704
19900000000	505588
20000000000	504950
20100000000	505921
20200000000	506821
20300000000	504754
20400000000	506462
20500000000	506259
20600000000	506478
20700000000	505488
20800000000	506632
20900000000	505926
21000000000	506104
21100000000	506025
21200000000	505244
21300000000	505218
21400000000	505074
21500000000	505712
21600000000	505773
21700000000	505606
21800000000	506019
21900000000	506954
22000000000	505091
22100000000	505649
22200000000	506042
22300000000	504991
22400000000	505707
22500000000	505409
22600000000	505974
22700000000	505429
22800000000	505884
22900000000	506179
23000000000	504862
23100000000	505381
23200000000	505894
23300000000	504979
23400000000	506356
23500000000	505289
23600000000	506602
23700000000	505523
23800000000	505185
23900000000	506538
24000000000	505693
24100000000	505109
24200000000	505738
24300000000	506267
24400000000	505700
24500000000	505887
24600000000	504709
24700000000	505208
24800000000	505813
24900000000	505849
25000000000	504628
25100000000	504535
25200000000	504187
25300000000	503598
25400000000	503178
25500000000	504449
25600000000	504361
25700000000	503148
25800000000	503305
25900000000	503534
26000000000	503341
26100000000	504260
26200000000	503447
26300000000	504202
26400000000	504750
26500000000	503455
26600000000	504366
26700000000	503903
26800000000	503501
26900000000	502675
27000000000	502628
27100000000	503598
27200000000	502730
27300000000	503783
27400000000	504087
27500000000	504306
27600000000	502420
27700000000	504398
27800000000	504000
27900000000	504374
28000000000	503612
28100000000	502844
28200000000	504313
28300000000	503742
28400000000	503941
28500000000	504222
28600000000	502157
28700000000	503955
28800000000	503985
28900000000	503197
29000000000	503877
29100000000	503357
29200000000	504205
29300000000	502704
29400000000	504098
29500000000	503148
29600000000	503017
29700000000	502373
29800000000	504583
29900000000	503246
30000000000	502782
30100000000	502957
30200000000	502989
30300000000	502190
30400000000	501946
30500000000	502445
30600000000	502958
30700000000	503147
30800000000	502981
30900000000	502353
31000000000	502323
31100000000	504006
31200000000	503505
31300000000	503717
31400000000	502622
31500000000	502346
31600000000	502673
31700000000	502332
31800000000	502712
31900000000	503095
32000000000	503735
32100000000	502414
32200000000	503475
32300000000	503195
32400000000	503274
32500000000	501088
32600000000	502649
32700000000	501854
32800000000	503262
32900000000	502435
33000000000	502837
33100000000	503139
33200000000	502897
33300000000	501873
33400000000	502206
33500000000	501911
33600000000	501934
33700000000	502574
33800000000	502130
33900000000	503888
34000000000	502953
34100000000	502579
34200000000	502839
34300000000	502879
34400000000	501282
34500000000	502059
34600000000	501868
34700000000	503018
34800000000	502377
34900000000	502064
35000000000	502334
35100000000	502278
35200000000	502381
35300000000	501458
35400000000	502595
35500000000	502986
35600000000	501656
35700000000	502980
35800000000	502111
35900000000	503134
36000000000	501473
36100000000	502070
36200000000	501403
36300000000	502504
36400000000	503210
36500000000	501167
36600000000	501992
36700000000	502234
36800000000	503544
36900000000	501657
37000000000	501545
37100000000	502234
37200000000	501799
37300000000	502146
37400000000	501786
37500000000	502199
37600000000	501346
37700000000	502096
37800000000	503601
37900000000	503342
38000000000	502407
38100000000	502463
38200000000	501998
38300000000	501722
38400000000	501623
38500000000	503525
38600000000	502179
38700000000	501617
38800000000	502279
38900000000	502541
39000000000	501768
39100000000	502304
39200000000	502491
39300000000	502534
39400000000	502610
39500000000	502214
39600000000	501839
39700000000	502062
39800000000	502634
39900000000	502510
40000000000	501571
40100000000	503194
40200000000	503347
40300000000	502288
40400000000	500905
40500000000	500821
40600000000	500024
40700000000	502029
40800000000	500962
40900000000	501821
41000000000	502418
41100000000	502073
41200000000	502277
41300000000	501894
41400000000	501870
41500000000	503392
41600000000	502916
41700000000	502756
41800000000	503088
41900000000	502618
42000000000	502751
42100000000	501433
42200000000	501894
42300000000	502795
42400000000	501589
