"Time (ps)"	"Counts per bin"
0	504782
100000000	505604
200000000	504903
300000000	506626
400000000	506161
500000000	507289
600000000	506994
700000000	507214
800000000	505184
900000000	506671
1000000000	505965
1100000000	506613
1200000000	505872
1300000000	506817
1400000000	506180
1500000000	504895
1600000000	506134
1700000000	506610
1800000000	506420
1900000000	506583
2000000000	507026
2100000000	507532
2200000000	505787
2300000000	506406
2400000000	506743
2500000000	507553
2600000000	506254
2700000000	506332
2800000000	507245
2900000000	506364
3000000000	507045
3100000000	506897
3200000000	506928
3300000000	505742
3400000000	508022
3500000000	507016
3600000000	506311
3700000000	505833
3800000000	507404
3900000000	507354
4000000000	506736
4100000000	505375
4200000000	507521
4300000000	506418
4400000000	504784
4500000000	506427
4600000000	506192
4700000000	506664
4800000000	506243
4900000000	507686
5000000000	506908
5100000000	507079
5200000000	507705
5300000000	507092
5400000000	506580
5500000000	506784
5600000000	508009
5700000000	507479
5800000000	506828
5900000000	507241
6000000000	505874
6100000000	506968
6200000000	506063
6300000000	506472
6400000000	507482
6500000000	507245
6600000000	506276
6700000000	506161
6800000000	507094
6900000000	506472
7000000000	507441
7100000000	506901
7200000000	506476
7300000000	507343
7400000000	507669
7500000000	506039
7600000000	507842
7700000000	505815
7800000000	505609
7900000000	506532
8000000000	506784
8100000000	507969
8200000000	508227
8300000000	505608
8400000000	506875
8500000000	506693
8600000000	507622
8700000000	507447
8800000000	506798
8900000000	507056
9000000000	507400
9100000000	507083
9200000000	506441
9300000000	507813
9400000000	507170
9500000000	506996
9600000000	507004
9700000000	506713
9800000000	508108
9900000000	507267
10000000000	506755
10100000000	507167
10200000000	506775
10300000000	506549
10400000000	506929
10500000000	507218
10600000000	507180
10700000000	505791
10800000000	506631
10900000000	506034
11000000000	507459
11100000000	506774
11200000000	507759
11300000000	506847
11400000000	506913
11500000000	506281
11600000000	506882
11700000000	507117
11800000000	505764
11900000000	506352
12000000000	506658
12100000000	507319
12200000000	506070
12300000000	508386
12400000000	506384
12500000000	505539
12600000000	506112
12700000000	506083
12800000000	507426
12900000000	506207
13000000000	506753
13100000000	506556
13200000000	506942
13300000000	506700
13400000000	506274
13500000000	505979
13600000000	507948
13700000000	506802
13800000000	505931
13900000000	505750
14000000000	506522
14100000000	506369
14200000000	506741
14300000000	506659
14400000000	505896
14500000000	505326
14600000000	506498
14700000000	506519
14800000000	506373
14900000000	506585
15000000000	505692
15100000000	505028
15200000000	507127
15300000000	506908
15400000000	506518
15500000000	507217
15600000000	507362
15700000000	507242
15800000000	506710
15900000000	505687
16000000000	506770
16100000000	506601
16200000000	506582
16300000000	505556
16400000000	505359
16500000000	506999
16600000000	506440
16700000000	507159
16800000000	505757
16900000000	506514
17000000000	507919
17100000000	505998
17200000000	505689
17300000000	506331
17400000000	507472
17500000000	506736
17600000000	505658
17700000000	506380
17800000000	506876
17900000000	506140
18000000000	506321
18100000000	507383
18200000000	505912
18300000000	506713
18400000000	507582
18500000000	506875
18600000000	506670
18700000000	507087
18800000000	505823
18900000000	506332
19000000000	507030
19100000000	507146
19200000000	506307
19300000000	505574
19400000000	506757
19500000000	506145
19600000000	505658
19700000000	506890
19800000000	504793
19900000000	506769
20000000000	507617
20100000000	506432
20200000000	507391
20300000000	505776
20400000000	506059
20500000000	504790
20600000000	505352
20700000000	506368
20800000000	505299
20900000000	506282
21000000000	506787
21100000000	505196
21200000000	505676
21300000000	505099
21400000000	506352
21500000000	505470
21600000000	506326
21700000000	507103
21800000000	507214
21900000000	505817
22000000000	506767
22100000000	505592
22200000000	504691
22300000000	505324
22400000000	505614
22500000000	507491
22600000000	506030
22700000000	504660
22800000000	506613
22900000000	507054
23000000000	506735
23100000000	506861
23200000000	506130
23300000000	505929
23400000000	507283
23500000000	506353
23600000000	505101
23700000000	506054
23800000000	507605
23900000000	506363
24000000000	506435
24100000000	506473
24200000000	505779
24300000000	506362
24400000000	505713
24500000000	506396
24600000000	507315
24700000000	506176
24800000000	506869
24900000000	506373
25000000000	505566
25100000000	504620
25200000000	505361
25300000000	504633
25400000000	504602
25500000000	504446
25600000000	504602
25700000000	504787
25800000000	504560
25900000000	505357
26000000000	504839
26100000000	505506
26200000000	503556
26300000000	504732
26400000000	504473
26500000000	504694
26600000000	504398
26700000000	504561
26800000000	505463
26900000000	504537
27000000000	504759
27100000000	505316
27200000000	503845
27300000000	504554
27400000000	503786
27500000000	504742
27600000000	503982
27700000000	503478
27800000000	504338
27900000000	503721
28000000000	504655
28100000000	504557
28200000000	503531
28300000000	503622
28400000000	504758
28500000000	503733
28600000000	503935
28700000000	503905
28800000000	504967
28900000000	505309
29000000000	503505
29100000000	503481
29200000000	504701
29300000000	504114
29400000000	503723
29500000000	503408
29600000000	502916
29700000000	503987
29800000000	504020
29900000000	504334
30000000000	503206
30100000000	503855
30200000000	505200
30300000000	504359
30400000000	503756
30500000000	503726
30600000000	502300
30700000000	503483
30800000000	503849
30900000000	504111
31000000000	503945
31100000000	502698
31200000000	503760
31300000000	504993
31400000000	502971
31500000000	503145
31600000000	504238
31700000000	502475
31800000000	504234
31900000000	503272
32000000000	503967
32100000000	502603
32200000000	503110
32300000000	504135
32400000000	503364
32500000000	503253
32600000000	504106
32700000000	503410
32800000000	503821
32900000000	503542
33000000000	502619
33100000000	504516
33200000000	503309
33300000000	504215
33400000000	503416
33500000000	503746
33600000000	502805
33700000000	503152
33800000000	503208
33900000000	502656
34000000000	503807
34100000000	504431
34200000000	503278
34300000000	504604
34400000000	504166
34500000000	504726
34600000000	503426
34700000000	503431
34800000000	503234
34900000000	502664
35000000000	504090
35100000000	503566
35200000000	504054
35300000000	502174
35400000000	503283
35500000000	503224
35600000000	502192
35700000000	502927
35800000000	503512
35900000000	501983
36000000000	503754
36100000000	504362
36200000000	503079
36300000000	504164
36400000000	502661
36500000000	502585
36600000000	503599
36700000000	503269
36800000000	503636
36900000000	503298
37000000000	501280
37100000000	504249
37200000000	502670
37300000000	503054
37400000000	504544
37500000000	503953
37600000000	503736
37700000000	502966
37800000000	503486
37900000000	503119
38000000000	504279
38100000000	503168
38200000000	502952
38300000000	502967
38400000000	504102
38500000000	503661
38600000000	503125
38700000000	503340
38800000000	504357
38900000000	503284
39000000000	502749
39100000000	502865
39200000000	503885
39300000000	502962
39400000000	503434
39500000000	502991
39600000000	502789
39700000000	503210
39800000000	503349
39900000000	503242
40000000000	503289
40100000000	503135
40200000000	502564
40300000000	503900
40400000000	502797
40500000000	503125
40600000000	503242
40700000000	503530
40800000000	502895
40900000000	502568
41000000000	503317
41100000000	504071
41200000000	503513
41300000000	504033
41400000000	502880
41500000000	502652
41600000000	501120
41700000000	504350
41800000000	503538
41900000000	502176
42000000000	503531
42100000000	502182
42200000000	502079
42300000000	504261
42400000000	501626
42500000000	502495
42600000000	502564
42700000000	502406
42800000000	502367
42900000000	502894
43000000000	502338
43100000000	502709
43200000000	502543
43300000000	502441
43400000000	504440
43500000000	502265
43600000000	503624
43700000000	503131
43800000000	502635
43900000000	503057
44000000000	502180
44100000000	503235
44200000000	501968
44300000000	502491
44400000000	503224
44500000000	502139
44600000000	502236
44700000000	501791
44800000000	501860
44900000000	502591
45000000000	503539
45100000000	502661
45200000000	503044
45300000000	503448
45400000000	502563
45500000000	502157
45600000000	502586
45700000000	502957
45800000000	502427
45900000000	502017
46000000000	503251
46100000000	502591
46200000000	502025
46300000000	503036
46400000000	502581
46500000000	502496
46600000000	503512
46700000000	502894
46800000000	502515
46900000000	501348
47000000000	502868
47100000000	502826
47200000000	502870
47300000000	502372
47400000000	501539
47500000000	502862
47600000000	502133
47700000000	502175
47800000000	501651
47900000000	501571
48000000000	500942
48100000000	502434
48200000000	502517
48300000000	502275
48400000000	502501
48500000000	501911
48600000000	502344
48700000000	502030
48800000000	501325
48900000000	502169
49000000000	501622
49100000000	502102
49200000000	502503
49300000000	502869
49400000000	501146
49500000000	501326
49600000000	501771
49700000000	502334
49800000000	501801
49900000000	501679
50000000000	502541
50100000000	503502
50200000000	502870
50300000000	504490
50400000000	503808
50500000000	505472
50600000000	504856
50700000000	504854
50800000000	503235
50900000000	504308
51000000000	503968
51100000000	504204
51200000000	503673
51300000000	504849
51400000000	503962
51500000000	502873
51600000000	503821
51700000000	504392
51800000000	504308
51900000000	504463
52000000000	504699
52100000000	505592
52200000000	503765
52300000000	504228
52400000000	504727
52500000000	505321
52600000000	503954
52700000000	504204
52800000000	505253
52900000000	504064
53000000000	504974
53100000000	504649
53200000000	504760
53300000000	503805
53400000000	505485
53500000000	504939
53600000000	504380
53700000000	503599
53800000000	505219
53900000000	505090
54000000000	504682
54100000000	503413
54200000000	505172
54300000000	504270
54400000000	502817
54500000000	504315
54600000000	504169
54700000000	504436
54800000000	504041
54900000000	505504
55000000000	504739
55100000000	505317
55200000000	505341
55300000000	504929
55400000000	504359
55500000000	504672
55600000000	505840
55700000000	505435
55800000000	504533
55900000000	505206
56000000000	503559
56100000000	504847
56200000000	503932
56300000000	504653
56400000000	504980
56500000000	504974
56600000000	504230
56700000000	503933
56800000000	505131
56900000000	504341
57000000000	505253
57100000000	504997
57200000000	504026
57300000000	505541
57400000000	505354
57500000000	503873
57600000000	505617
57700000000	503783
57800000000	503681
57900000000	504271
58000000000	504619
58100000000	505862
58200000000	506027
58300000000	503660
58400000000	504573
58500000000	504659
58600000000	505371
58700000000	505268
58800000000	504735
58900000000	505062
59000000000	505174
59100000000	504930
59200000000	504442
59300000000	505793
59400000000	504963
59500000000	504887
59600000000	504831
59700000000	504791
59800000000	505852
59900000000	505022
60000000000	504758
60100000000	505009
60200000000	504583
60300000000	504617
60400000000	504817
60500000000	504985
60600000000	504984
60700000000	503754
60800000000	504480
60900000000	503841
61000000000	505165
61100000000	504819
61200000000	505742
61300000000	504400
61400000000	504940
61500000000	504133
61600000000	504805
61700000000	504878
61800000000	503603
61900000000	504157
62000000000	504745
62100000000	505078
62200000000	504012
62300000000	506085
62400000000	504589
62500000000	503270
62600000000	503922
62700000000	504004
62800000000	505183
62900000000	504100
63000000000	504490
63100000000	504167
63200000000	504916
63300000000	504761
63400000000	503917
63500000000	503770
63600000000	505956
63700000000	504845
63800000000	503696
63900000000	503742
64000000000	504224
64100000000	504400
64200000000	504423
64300000000	505050
64400000000	503242
64500000000	503414
64600000000	504415
64700000000	504331
64800000000	504056
64900000000	504384
65000000000	503646
65100000000	502967
65200000000	504739
65300000000	504968
65400000000	504367
65500000000	505270
65600000000	505158
65700000000	504981
65800000000	504668
65900000000	503423
66000000000	504655
66100000000	504558
66200000000	504447
66300000000	503369
66400000000	503228
66500000000	504872
66600000000	504194
66700000000	504988
66800000000	503758
66900000000	504340
67000000000	505559
67100000000	504150
67200000000	503385
67300000000	504106
67400000000	505591
67500000000	504486
67600000000	503351
67700000000	504171
67800000000	504773
67900000000	504178
68000000000	504304
68100000000	505263
68200000000	503598
68300000000	504485
68400000000	505452
68500000000	504585
68600000000	504828
68700000000	504816
68800000000	503732
68900000000	504267
69000000000	504622
69100000000	505144
69200000000	503950
69300000000	503546
69400000000	504656
69500000000	504070
69600000000	503495
69700000000	504709
69800000000	502632
69900000000	504643
70000000000	505387
70100000000	504252
70200000000	505168
70300000000	503888
70400000000	503798
70500000000	502755
70600000000	503084
70700000000	504143
70800000000	503190
70900000000	504260
71000000000	504896
71100000000	503056
71200000000	503423
71300000000	503116
71400000000	503886
71500000000	503323
71600000000	504184
71700000000	505024
71800000000	504936
71900000000	503673
72000000000	504531
72100000000	503723
72200000000	502559
72300000000	503089
72400000000	503325
72500000000	505423
72600000000	503746
72700000000	502597
72800000000	504310
72900000000	504904
73000000000	504464
73100000000	504870
73200000000	504076
73300000000	503616
73400000000	505357
73500000000	504071
73600000000	503076
73700000000	503803
73800000000	505356
73900000000	503982
74000000000	504489
74100000000	504236
74200000000	503652
74300000000	504059
74400000000	503716
74500000000	504205
74600000000	505259
74700000000	504158
74800000000	504525
74900000000	504335
75000000000	503589
75100000000	502604
75200000000	502959
75300000000	502638
75400000000	502532
75500000000	502358
75600000000	502294
75700000000	502576
75800000000	502757
75900000000	502907
76000000000	502774
76100000000	503366
76200000000	501584
76300000000	502404
76400000000	502487
76500000000	502415
76600000000	502437
76700000000	502363
76800000000	503315
76900000000	502258
77000000000	503026
77100000000	502913
77200000000	501942
77300000000	502475
77400000000	501315
77500000000	502606
77600000000	502047
77700000000	501498
77800000000	501957
77900000000	501582
78000000000	502659
78100000000	502114
78200000000	501749
78300000000	501462
78400000000	502601
78500000000	501615
78600000000	501759
78700000000	501781
78800000000	502702
78900000000	503080
79000000000	501833
79100000000	500993
79200000000	502876
79300000000	501921
79400000000	501365
79500000000	501406
79600000000	500806
79700000000	501856
79800000000	501816
79900000000	502398
80000000000	501016
80100000000	501733
80200000000	502813
80300000000	502329
80400000000	501854
80500000000	501433
80600000000	500281
80700000000	501162
80800000000	501688
80900000000	501991
81000000000	501929
81100000000	500724
81200000000	501530
81300000000	502759
81400000000	500970
81500000000	500773
81600000000	502405
81700000000	500275
81800000000	502046
81900000000	501074
82000000000	501873
82100000000	500471
82200000000	501014
82300000000	502143
82400000000	501190
82500000000	501142
82600000000	502007
82700000000	501265
82800000000	501847
82900000000	501606
83000000000	500280
83100000000	502084
83200000000	501397
83300000000	502182
83400000000	501203
83500000000	501547
83600000000	500916
83700000000	500969
83800000000	501074
83900000000	500471
84000000000	501482
84100000000	502630
84200000000	501189
84300000000	502327
84400000000	502005
84500000000	502664
84600000000	501267
84700000000	501279
84800000000	501158
84900000000	500718
85000000000	501781
85100000000	501587
85200000000	501809
85300000000	500176
85400000000	500960
85500000000	501279
85600000000	500095
85700000000	500795
85800000000	501390
85900000000	499895
86000000000	501634
86100000000	502214
86200000000	500895
86300000000	502213
86400000000	500580
86500000000	500332
86600000000	501510
86700000000	501029
86800000000	501500
86900000000	500944
87000000000	499316
87100000000	502002
87200000000	500580
87300000000	500916
87400000000	502369
87500000000	502133
87600000000	500950
87700000000	501231
87800000000	501159
87900000000	500967
88000000000	502411
88100000000	501052
88200000000	500854
88300000000	500717
88400000000	502074
88500000000	501520
88600000000	501114
88700000000	501020
88800000000	502280
88900000000	501283
89000000000	500546
89100000000	500683
89200000000	501919
89300000000	500920
89400000000	501279
89500000000	500829
89600000000	500610
89700000000	501153
89800000000	501213
89900000000	501012
90000000000	501065
90100000000	501143
90200000000	500561
90300000000	501840
90400000000	500592
90500000000	501010
90600000000	501126
90700000000	501293
90800000000	500834
90900000000	500412
91000000000	501279
91100000000	501747
91200000000	501462
91300000000	501958
91400000000	500814
91500000000	500332
91600000000	499397
91700000000	501876
91800000000	501393
91900000000	500129
92000000000	501379
92100000000	499967
92200000000	500112
92300000000	502363
92400000000	499318
92500000000	500434
92600000000	500466
92700000000	500226
92800000000	500158
92900000000	501035
93000000000	500176
93100000000	500429
93200000000	500695
93300000000	500444
93400000000	501922
93500000000	500176
93600000000	501502
93700000000	501185
93800000000	500506
93900000000	500791
94000000000	500266
94100000000	501159
94200000000	499581
94300000000	500448
94400000000	501417
94500000000	500004
94600000000	499943
94700000000	499705
94800000000	499638
94900000000	500603
95000000000	501158
95100000000	500691
95200000000	500957
95300000000	501228
95400000000	500609
95500000000	500059
95600000000	500418
95700000000	500754
95800000000	500338
95900000000	499773
96000000000	501215
96100000000	500546
96200000000	499849
96300000000	500942
96400000000	500422
96500000000	500315
96600000000	501507
96700000000	500818
96800000000	500353
96900000000	499095
97000000000	500776
97100000000	500572
97200000000	500711
97300000000	500472
97400000000	499387
97500000000	500653
97600000000	500209
97700000000	499890
97800000000	499617
97900000000	499568
98000000000	499005
98100000000	500203
98200000000	500281
98300000000	500010
98400000000	500394
98500000000	499816
98600000000	500233
98700000000	499937
98800000000	499286
98900000000	500165
99000000000	499414
99100000000	499741
99200000000	500694
99300000000	500584
99400000000	499133
99500000000	499123
99600000000	499749
99700000000	500020
99800000000	499755
99900000000	499483
