"Time (ps)"	"Counts per bin"
0	800664
100000000	801516
200000000	801617
300000000	801923
400000000	801887
500000000	802103
600000000	802462
700000000	802571
800000000	802262
900000000	801669
1000000000	804195
1100000000	801679
1200000000	801846
1300000000	802824
1400000000	802787
1500000000	802440
1600000000	803280
1700000000	800660
1800000000	803231
1900000000	803152
2000000000	802265
2100000000	801063
2200000000	802824
2300000000	804164
2400000000	803145
2500000000	802496
2600000000	803691
2700000000	802984
2800000000	803849
2900000000	802739
3000000000	803115
3100000000	803185
3200000000	803292
3300000000	803337
3400000000	802208
3500000000	801966
3600000000	801558
3700000000	802749
3800000000	802884
3900000000	802688
4000000000	803115
4100000000	802529
4200000000	801990
4300000000	803440
4400000000	802938
4500000000	803030
4600000000	801006
4700000000	803506
4800000000	801821
4900000000	802568
5000000000	804600
5100000000	805029
5200000000	802793
5300000000	804006
5400000000	802175
5500000000	803047
5600000000	803058
5700000000	803979
5800000000	802656
5900000000	803378
6000000000	803137
6100000000	804382
6200000000	803037
6300000000	804147
6400000000	802270
6500000000	801088
6600000000	803363
6700000000	803392
6800000000	802492
6900000000	802686
7000000000	803343
7100000000	802612
7200000000	802106
7300000000	803377
7400000000	802839
7500000000	802904
7600000000	803075
7700000000	803077
7800000000	803260
7900000000	805300
8000000000	803700
8100000000	802524
8200000000	803076
8300000000	803115
8400000000	802578
8500000000	802756
8600000000	802141
8700000000	802707
8800000000	803406
8900000000	801259
9000000000	804027
9100000000	802011
9200000000	803071
9300000000	804604
9400000000	802787
9500000000	804258
9600000000	803219
9700000000	802927
9800000000	803687
9900000000	804563
10000000000	802126
10100000000	803940
10200000000	802297
10300000000	801833
10400000000	803493
10500000000	803231
10600000000	802842
10700000000	802074
10800000000	802974
10900000000	802440
11000000000	803713
11100000000	804585
11200000000	804261
11300000000	803198
11400000000	803560
11500000000	803961
11600000000	802412
11700000000	802897
11800000000	803377
11900000000	803517
12000000000	803019
12100000000	803276
12200000000	801210
12300000000	802268
12400000000	803075
12500000000	803157
12600000000	803739
12700000000	803607
12800000000	802484
12900000000	803777
13000000000	803565
13100000000	802926
13200000000	803202
13300000000	802581
13400000000	802598
13500000000	803108
13600000000	802682
13700000000	802587
13800000000	802828
13900000000	803520
14000000000	802593
14100000000	801913
14200000000	802757
14300000000	803205
14400000000	803884
14500000000	802876
14600000000	803358
14700000000	803756
14800000000	804040
14900000000	803974
15000000000	801892
15100000000	803079
15200000000	803643
15300000000	804538
15400000000	802950
15500000000	803852
15600000000	803471
15700000000	801587
15800000000	802705
15900000000	804264
16000000000	803259
16100000000	804854
16200000000	804269
16300000000	803412
16400000000	802982
16500000000	803466
16600000000	802180
16700000000	802079
16800000000	802533
16900000000	802233
17000000000	805241
17100000000	804262
17200000000	803323
17300000000	801134
17400000000	803098
17500000000	802405
17600000000	803355
17700000000	803852
17800000000	804059
17900000000	802513
18000000000	801320
18100000000	803770
18200000000	803003
18300000000	804216
18400000000	803673
18500000000	802139
18600000000	803770
18700000000	801581
18800000000	802280
18900000000	803672
19000000000	801911
19100000000	803271
19200000000	803442
19300000000	801576
19400000000	802539
19500000000	802943
19600000000	803123
19700000000	802939
19800000000	803799
19900000000	801068
20000000000	802266
20100000000	802722
20200000000	802275
20300000000	802967
20400000000	803024
20500000000	802650
20600000000	802637
20700000000	801835
20800000000	800985
20900000000	801959
21000000000	803566
21100000000	801999
21200000000	802237
21300000000	802378
21400000000	801939
21500000000	802074
21600000000	802063
21700000000	802824
21800000000	802721
21900000000	803436
22000000000	802191
22100000000	802690
22200000000	801018
22300000000	803279
22400000000	800450
22500000000	801465
22600000000	801196
22700000000	801738
22800000000	802156
22900000000	800873
23000000000	803223
23100000000	800898
23200000000	801394
23300000000	803099
23400000000	801883
23500000000	802281
23600000000	801085
23700000000	802786
23800000000	801918
23900000000	800103
24000000000	801819
24100000000	801193
24200000000	801412
24300000000	801551
24400000000	801661
24500000000	800651
24600000000	801289
24700000000	801684
24800000000	802463
24900000000	802261
25000000000	801096
25100000000	799699
25200000000	799948
25300000000	799217
25400000000	799405
25500000000	798011
25600000000	801006
