"Time (ps)"	"Counts per bin"
0	695005
100000000	697596
200000000	697646
300000000	697758
400000000	700282
500000000	700417
600000000	700205
700000000	699801
800000000	700702
900000000	699499
1000000000	699553
1100000000	701272
1200000000	700703
1300000000	701377
1400000000	699760
1500000000	700911
1600000000	701519
1700000000	703413
1800000000	700965
1900000000	700872
2000000000	700255
2100000000	701731
2200000000	701575
2300000000	701400
2400000000	701070
2500000000	701980
2600000000	701232
2700000000	701579
2800000000	700998
2900000000	700440
3000000000	699580
3100000000	701517
3200000000	700716
3300000000	700861
3400000000	700562
3500000000	702296
3600000000	701066
3700000000	702634
3800000000	702782
3900000000	701557
4000000000	702544
4100000000	701858
4200000000	700608
4300000000	701126
4400000000	701641
4500000000	702166
4600000000	702488
4700000000	700744
4800000000	702418
4900000000	701845
5000000000	702183
5100000000	701688
5200000000	701578
5300000000	703519
5400000000	702225
5500000000	701442
5600000000	701255
5700000000	702875
5800000000	700801
5900000000	702276
6000000000	701481
6100000000	700369
6200000000	700508
6300000000	701368
6400000000	702463
6500000000	701623
6600000000	702045
6700000000	701236
6800000000	701034
6900000000	701716
7000000000	702000
7100000000	703296
7200000000	701807
7300000000	701298
7400000000	701478
7500000000	702293
7600000000	702127
7700000000	701929
7800000000	700951
7900000000	701408
8000000000	702746
8100000000	700909
8200000000	702864
8300000000	701270
8400000000	701569
8500000000	702272
8600000000	702606
8700000000	701361
8800000000	701465
8900000000	701644
9000000000	701871
9100000000	702994
9200000000	702001
9300000000	702029
9400000000	700934
9500000000	702454
9600000000	702147
9700000000	701203
9800000000	702786
9900000000	702227
10000000000	700767
10100000000	702723
10200000000	701829
10300000000	703773
10400000000	702236
10500000000	702984
10600000000	702719
10700000000	700897
10800000000	701277
10900000000	703053
11000000000	703826
11100000000	702677
11200000000	702070
11300000000	701506
11400000000	701404
11500000000	702684
11600000000	700414
11700000000	701072
11800000000	701873
11900000000	701094
12000000000	701541
12100000000	702119
12200000000	702188
12300000000	701511
12400000000	702599
12500000000	699560
12600000000	702069
12700000000	702571
12800000000	701822
12900000000	702943
13000000000	702560
13100000000	702747
13200000000	701453
13300000000	702346
13400000000	702140
13500000000	702506
13600000000	700828
13700000000	702231
13800000000	701019
13900000000	703201
14000000000	702385
14100000000	702202
14200000000	701942
14300000000	701174
14400000000	703743
14500000000	702089
14600000000	702202
14700000000	700609
14800000000	702647
14900000000	702625
15000000000	702516
15100000000	703266
15200000000	703150
15300000000	701976
15400000000	701599
15500000000	702849
15600000000	701668
15700000000	703147
15800000000	702035
15900000000	702610
16000000000	702901
16100000000	702247
16200000000	701654
16300000000	702272
16400000000	703564
16500000000	700896
16600000000	702927
16700000000	701976
16800000000	703612
16900000000	702524
17000000000	702050
17100000000	702021
17200000000	701753
17300000000	701750
17400000000	701816
17500000000	703306
17600000000	703302
17700000000	702694
17800000000	701872
17900000000	702356
18000000000	701794
18100000000	702041
18200000000	702169
18300000000	703146
18400000000	701346
18500000000	702437
18600000000	700949
18700000000	702133
18800000000	702428
18900000000	702737
19000000000	702377
19100000000	703950
19200000000	701078
19300000000	702276
19400000000	702519
19500000000	703014
19600000000	702080
19700000000	701763
19800000000	700986
19900000000	702028
20000000000	702285
20100000000	702104
20200000000	702434
20300000000	701568
20400000000	702896
20500000000	703583
20600000000	703027
20700000000	702749
20800000000	703779
20900000000	703111
21000000000	703051
21100000000	703186
21200000000	702878
21300000000	702422
21400000000	701622
21500000000	703067
21600000000	703684
21700000000	702516
21800000000	702182
21900000000	702295
22000000000	702437
22100000000	703339
22200000000	702051
22300000000	700640
22400000000	702165
22500000000	701027
22600000000	702508
22700000000	703087
22800000000	702825
22900000000	702969
23000000000	702179
23100000000	702232
23200000000	703351
23300000000	702643
23400000000	700937
23500000000	702030
23600000000	701682
23700000000	703649
23800000000	703737
23900000000	701245
24000000000	703258
24100000000	702807
24200000000	702441
24300000000	701965
24400000000	700860
24500000000	701883
24600000000	702575
24700000000	703477
24800000000	702910
24900000000	701341
25000000000	702738
25100000000	701762
25200000000	699504
25300000000	698601
25400000000	698303
25500000000	698500
25600000000	697351
25700000000	700101
25800000000	699011
25900000000	699438
26000000000	699370
26100000000	699377
26200000000	698554
26300000000	698198
26400000000	697795
26500000000	697589
26600000000	698061
26700000000	697674
26800000000	698499
26900000000	695685
27000000000	697658
27100000000	697153
27200000000	696347
27300000000	696727
27400000000	697822
27500000000	697947
27600000000	695659
27700000000	697494
27800000000	694958
27900000000	696955
28000000000	695774
28100000000	695603
28200000000	696273
28300000000	697236
28400000000	696360
28500000000	695913
28600000000	697544
28700000000	696099
28800000000	696304
28900000000	696706
29000000000	695006
29100000000	696083
29200000000	696234
29300000000	695246
29400000000	694590
29500000000	696598
29600000000	695360
29700000000	696838
29800000000	695382
29900000000	696024
30000000000	695815
30100000000	695758
30200000000	694223
30300000000	696215
30400000000	695621
30500000000	695599
30600000000	694192
30700000000	695391
30800000000	696296
30900000000	693948
31000000000	695855
31100000000	694276
31200000000	696471
31300000000	694608
31400000000	696135
31500000000	695056
31600000000	695879
31700000000	693553
31800000000	695779
31900000000	693927
32000000000	696283
32100000000	696696
32200000000	694671
32300000000	693322
32400000000	694677
32500000000	695653
32600000000	695677
32700000000	695823
32800000000	695271
32900000000	694098
33000000000	695261
33100000000	695266
33200000000	694481
33300000000	695830
33400000000	693399
33500000000	694912
33600000000	694798
33700000000	694979
33800000000	694998
33900000000	694434
34000000000	694102
34100000000	695199
34200000000	694461
34300000000	695618
34400000000	694617
34500000000	694197
34600000000	693835
34700000000	694960
34800000000	694512
34900000000	693547
35000000000	693748
35100000000	695730
35200000000	693560
35300000000	694883
35400000000	694437
35500000000	693546
35600000000	694297
35700000000	695150
35800000000	693849
35900000000	694418
36000000000	694416
36100000000	693804
36200000000	694199
36300000000	694785
36400000000	693311
36500000000	694665
36600000000	693150
36700000000	695514
36800000000	694263
36900000000	695330
37000000000	694201
37100000000	693933
37200000000	692066
37300000000	694864
37400000000	693963
37500000000	694767
37600000000	695242
37700000000	694216
37800000000	695214
37900000000	693368
38000000000	694718
38100000000	694308
38200000000	693716
38300000000	693860
38400000000	694118
38500000000	693184
38600000000	693513
38700000000	694150
38800000000	695187
38900000000	694052
39000000000	694195
39100000000	692425
39200000000	694455
39300000000	694207
39400000000	695052
39500000000	692652
39600000000	693693
39700000000	694694
39800000000	693127
39900000000	693394
40000000000	694170
40100000000	695010
40200000000	693026
40300000000	692773
40400000000	693805
40500000000	694064
40600000000	694091
40700000000	693772
40800000000	692740
40900000000	694534
41000000000	692372
41100000000	693223
41200000000	694430
41300000000	694351
41400000000	692283
41500000000	694718
41600000000	694166
41700000000	693180
41800000000	693630
41900000000	692087
42000000000	694292
42100000000	692943
42200000000	692695
42300000000	694093
42400000000	691512
42500000000	692003
42600000000	692682
42700000000	693847
42800000000	691416
42900000000	692808
43000000000	692398
43100000000	692542
43200000000	693415
43300000000	692940
43400000000	692356
43500000000	691228
43600000000	691732
43700000000	692012
43800000000	690940
43900000000	692282
44000000000	693846
44100000000	692291
44200000000	691629
44300000000	693417
44400000000	692888
44500000000	693536
44600000000	693750
44700000000	692970
44800000000	692514
44900000000	691825
45000000000	691935
45100000000	692999
45200000000	693398
45300000000	693643
45400000000	692105
45500000000	692512
45600000000	694393
45700000000	692936
45800000000	692553
45900000000	692766
46000000000	694272
46100000000	694401
46200000000	693785
46300000000	694165
46400000000	692954
46500000000	691501
46600000000	692909
46700000000	692860
46800000000	694220
46900000000	692180
47000000000	693458
47100000000	692683
47200000000	694289
47300000000	694238
47400000000	693760
47500000000	692885
47600000000	693073
47700000000	693388
47800000000	692584
47900000000	692907
48000000000	693420
48100000000	692734
48200000000	692921
48300000000	693171
48400000000	694519
48500000000	692310
48600000000	692619
48700000000	693207
48800000000	693196
48900000000	692849
49000000000	691997
49100000000	692860
49200000000	693083
49300000000	692894
49400000000	691734
49500000000	693571
49600000000	693779
49700000000	693657
49800000000	692468
49900000000	692136
50000000000	694727
50100000000	697104
50200000000	697333
50300000000	697519
50400000000	699843
50500000000	700120
50600000000	699988
50700000000	699331
50800000000	700488
50900000000	699060
51000000000	699263
51100000000	700961
51200000000	700461
51300000000	700983
51400000000	699511
51500000000	700569
51600000000	701191
51700000000	702955
51800000000	700881
51900000000	700295
52000000000	700248
52100000000	701331
52200000000	701204
52300000000	701122
52400000000	700614
52500000000	701751
52600000000	700754
52700000000	701238
52800000000	700909
52900000000	700096
53000000000	699322
53100000000	700926
53200000000	700768
53300000000	700256
53400000000	700409
53500000000	701964
53600000000	700347
53700000000	702384
53800000000	702623
53900000000	701161
54000000000	702230
54100000000	701623
54200000000	700364
54300000000	700886
54400000000	701121
54500000000	702023
54600000000	702135
54700000000	700175
54800000000	702103
54900000000	701503
55000000000	701832
55100000000	701555
55200000000	701560
55300000000	702727
55400000000	702022
55500000000	701030
55600000000	700879
55700000000	702475
55800000000	700910
55900000000	701956
56000000000	701081
56100000000	699901
56200000000	700472
56300000000	700731
56400000000	702248
56500000000	701379
56600000000	701460
56700000000	701146
56800000000	700511
56900000000	701345
57000000000	701733
57100000000	703050
57200000000	701499
57300000000	700992
57400000000	701150
57500000000	701854
57600000000	701608
57700000000	701649
57800000000	701038
57900000000	700769
58000000000	702568
58100000000	700594
58200000000	702308
58300000000	701197
58400000000	701183
58500000000	702007
58600000000	701938
58700000000	701233
58800000000	701339
58900000000	701123
59000000000	701675
59100000000	702533
59200000000	701542
59300000000	701745
59400000000	700843
59500000000	702154
59600000000	701777
59700000000	700871
59800000000	702382
59900000000	702075
60000000000	700589
60100000000	702149
60200000000	701701
60300000000	703125
60400000000	702186
60500000000	702345
60600000000	702296
60700000000	700543
60800000000	701041
60900000000	702984
61000000000	703230
61100000000	702394
61200000000	701911
61300000000	701126
61400000000	701030
61500000000	702311
61600000000	700235
61700000000	700785
61800000000	701417
61900000000	700537
62000000000	701375
62100000000	702177
62200000000	701557
62300000000	701246
62400000000	702199
62500000000	699359
62600000000	701459
62700000000	702521
62800000000	701442
62900000000	702582
63000000000	702309
63100000000	702218
63200000000	701143
63300000000	701909
63400000000	701769
63500000000	702327
63600000000	700821
63700000000	701903
63800000000	700500
63900000000	702950
64000000000	701730
64100000000	702110
64200000000	701524
64300000000	700820
64400000000	703255
64500000000	701769
64600000000	701972
64700000000	700564
64800000000	702141
64900000000	702025
65000000000	702437
65100000000	702833
65200000000	702984
65300000000	701496
