"Time (ps)"	"Counts per bin"
0	500098
100000000	501135
200000000	502162
300000000	504153
400000000	502210
500000000	503467
600000000	503260
700000000	503453
800000000	503475
900000000	504395
1000000000	503789
1100000000	503886
1200000000	503932
1300000000	504750
1400000000	503642
1500000000	503196
1600000000	504091
1700000000	504345
1800000000	504679
1900000000	503464
2000000000	504926
2100000000	503544
2200000000	505598
2300000000	503770
2400000000	505436
2500000000	504276
2600000000	503413
2700000000	504058
2800000000	504235
2900000000	504246
3000000000	504618
3100000000	504234
3200000000	503410
3300000000	504915
3400000000	506448
3500000000	504371
3600000000	504601
3700000000	504978
3800000000	504787
3900000000	503951
4000000000	504450
4100000000	504703
4200000000	505629
4300000000	503913
4400000000	504776
4500000000	504378
4600000000	504975
4700000000	504663
4800000000	505283
4900000000	504099
5000000000	504735
5100000000	505695
5200000000	505260
5300000000	504175
5400000000	506115
5500000000	504180
5600000000	506008
5700000000	505343
5800000000	503898
5900000000	505208
6000000000	503800
6100000000	504693
6200000000	504927
6300000000	506884
6400000000	503364
6500000000	506383
6600000000	504030
6700000000	503976
6800000000	505811
6900000000	502984
7000000000	504161
7100000000	504272
7200000000	504518
7300000000	503549
7400000000	504583
7500000000	504560
7600000000	504899
7700000000	504434
7800000000	503906
7900000000	504188
8000000000	504081
8100000000	504200
8200000000	505323
8300000000	504095
8400000000	504886
8500000000	503614
8600000000	505295
8700000000	505034
8800000000	503968
8900000000	504072
9000000000	503920
9100000000	504452
9200000000	504212
9300000000	505376
9400000000	505062
9500000000	505144
9600000000	505223
9700000000	504484
9800000000	503188
9900000000	505571
10000000000	504081
10100000000	505015
10200000000	505458
10300000000	504997
10400000000	505544
10500000000	503782
10600000000	505681
10700000000	505527
10800000000	505826
10900000000	505810
11000000000	504760
11100000000	505313
11200000000	505383
11300000000	504690
11400000000	506523
11500000000	505198
11600000000	503949
11700000000	505650
11800000000	505407
11900000000	504722
12000000000	505339
12100000000	504506
12200000000	505161
12300000000	506216
12400000000	505101
12500000000	504934
12600000000	505205
12700000000	504526
12800000000	504840
12900000000	504015
13000000000	505386
13100000000	504553
13200000000	504639
13300000000	505621
13400000000	504867
13500000000	505692
13600000000	505991
13700000000	504606
13800000000	506003
13900000000	505424
14000000000	504035
14100000000	504713
14200000000	506026
14300000000	504565
14400000000	505267
14500000000	505128
14600000000	505843
14700000000	504136
14800000000	504094
14900000000	506001
15000000000	505006
15100000000	504892
15200000000	504304
15300000000	505790
15400000000	505266
15500000000	505149
15600000000	504334
15700000000	506373
15800000000	505845
15900000000	506024
16000000000	505470
16100000000	505299
16200000000	503418
16300000000	504157
16400000000	504536
16500000000	504445
16600000000	504768
16700000000	505767
16800000000	505401
16900000000	505806
17000000000	503733
17100000000	505193
17200000000	506257
17300000000	504953
17400000000	505745
17500000000	504559
17600000000	504728
17700000000	504930
17800000000	505773
17900000000	504508
18000000000	504443
18100000000	504412
18200000000	505785
18300000000	505618
18400000000	505346
18500000000	505292
18600000000	504715
18700000000	505307
18800000000	503928
18900000000	505977
19000000000	505228
19100000000	505392
19200000000	505443
19300000000	504884
19400000000	505288
19500000000	505241
19600000000	506042
19700000000	506572
19800000000	505561
19900000000	505332
20000000000	505223
20100000000	505290
20200000000	505643
20300000000	504422
20400000000	505722
20500000000	506146
20600000000	505379
20700000000	505437
20800000000	505748
20900000000	504795
21000000000	504834
21100000000	506461
21200000000	506473
21300000000	506289
21400000000	505280
21500000000	506121
21600000000	503827
21700000000	504239
21800000000	505906
21900000000	506020
22000000000	505531
22100000000	504701
22200000000	504642
22300000000	505236
22400000000	505089
22500000000	504622
22600000000	506303
22700000000	503701
22800000000	504391
22900000000	505537
23000000000	506197
23100000000	506131
23200000000	505788
23300000000	505289
23400000000	506043
23500000000	505362
23600000000	504036
23700000000	506577
23800000000	505070
23900000000	505567
24000000000	503820
24100000000	505908
24200000000	505675
24300000000	506095
24400000000	504610
24500000000	505480
24600000000	506187
24700000000	504767
24800000000	506190
24900000000	505444
25000000000	504425
25100000000	503564
25200000000	504039
25300000000	503786
25400000000	502171
25500000000	502446
25600000000	503428
25700000000	501514
25800000000	502383
25900000000	502277
26000000000	502732
26100000000	502438
