"Time (ps)"	"Counts per bin"
0	500558
100000000	502456
200000000	502510
300000000	502920
400000000	503611
500000000	504005
600000000	502634
700000000	504492
800000000	504206
900000000	504252
1000000000	503968
1100000000	502947
1200000000	504839
1300000000	504291
1400000000	504293
1500000000	503531
1600000000	505184
1700000000	503536
1800000000	504486
1900000000	504508
2000000000	503669
2100000000	504304
2200000000	505708
2300000000	504448
2400000000	504936
2500000000	503865
2600000000	504684
2700000000	503942
2800000000	504328
2900000000	504613
3000000000	505364
3100000000	504472
3200000000	504809
3300000000	505047
3400000000	504602
3500000000	503957
3600000000	504647
3700000000	504572
3800000000	504217
3900000000	504378
4000000000	504636
4100000000	503698
4200000000	504078
4300000000	505046
4400000000	505061
4500000000	505310
4600000000	504888
4700000000	504520
4800000000	503500
4900000000	504425
5000000000	505562
5100000000	506212
5200000000	504716
5300000000	505211
5400000000	504629
5500000000	505294
5600000000	504105
5700000000	504442
5800000000	504403
5900000000	505375
6000000000	504372
6100000000	505753
6200000000	503526
6300000000	505412
6400000000	504675
6500000000	503101
6600000000	505481
6700000000	505147
6800000000	503874
6900000000	505538
7000000000	505850
7100000000	504238
7200000000	503926
7300000000	504357
7400000000	504969
7500000000	505624
7600000000	504130
7700000000	504823
7800000000	504826
7900000000	505072
8000000000	503992
8100000000	504625
8200000000	505156
8300000000	504779
8400000000	505390
8500000000	505824
8600000000	505742
8700000000	504576
8800000000	504902
8900000000	504450
9000000000	504850
9100000000	503929
9200000000	504568
9300000000	505963
9400000000	505644
9500000000	504043
9600000000	505892
9700000000	505694
9800000000	504617
9900000000	505444
10000000000	504245
10100000000	504422
10200000000	505244
10300000000	505569
10400000000	504159
10500000000	504037
10600000000	505531
10700000000	505605
10800000000	505554
10900000000	504331
11000000000	504903
11100000000	505044
11200000000	505509
11300000000	504081
11400000000	504338
11500000000	503884
11600000000	505949
11700000000	503767
11800000000	503971
11900000000	504897
12000000000	505134
12100000000	505375
12200000000	504913
12300000000	505962
12400000000	504657
12500000000	503894
12600000000	506181
12700000000	505598
12800000000	504469
12900000000	505283
13000000000	505249
13100000000	506149
13200000000	504299
