"Time (ps)"	"Counts per bin"
0	500031
100000000	502118
200000000	502332
300000000	503160
400000000	501706
500000000	502921
600000000	501924
700000000	501872
800000000	502579
900000000	502875
1000000000	502267
1100000000	503271
1200000000	502644
1300000000	503303
1400000000	504183
1500000000	503129
1600000000	502649
1700000000	501664
1800000000	503560
1900000000	502216
2000000000	503154
2100000000	502951
2200000000	501768
2300000000	503805
2400000000	503013
2500000000	502637
2600000000	503342
2700000000	503155
2800000000	503958
2900000000	504479
3000000000	503350
3100000000	503880
3200000000	503144
3300000000	502106
3400000000	502926
3500000000	503774
3600000000	502866
3700000000	502251
3800000000	502827
3900000000	503702
4000000000	503185
4100000000	502672
4200000000	502947
4300000000	503051
4400000000	504278
4500000000	503691
4600000000	502892
4700000000	504151
4800000000	503202
4900000000	504186
5000000000	502400
5100000000	503666
5200000000	501851
5300000000	502889
5400000000	503611
5500000000	503511
5600000000	504006
5700000000	503616
5800000000	503629
5900000000	503356
6000000000	503195
6100000000	504565
6200000000	503588
6300000000	503543
6400000000	503261
6500000000	504415
6600000000	502995
6700000000	503430
6800000000	503558
6900000000	502330
7000000000	503100
7100000000	502292
7200000000	502955
7300000000	503032
7400000000	503930
7500000000	503634
7600000000	503064
7700000000	503371
7800000000	503280
7900000000	503272
8000000000	502648
8100000000	504090
8200000000	503209
8300000000	503639
8400000000	502282
8500000000	503116
8600000000	503211
8700000000	504291
8800000000	503550
8900000000	503614
9000000000	502353
9100000000	503269
9200000000	503684
9300000000	503238
9400000000	504175
9500000000	502741
9600000000	503116
9700000000	502335
9800000000	504070
9900000000	503899
10000000000	504372
10100000000	503826
10200000000	503506
10300000000	503926
10400000000	504606
10500000000	504067
10600000000	501774
10700000000	502998
10800000000	503842
10900000000	502984
11000000000	503690
11100000000	503985
11200000000	502391
11300000000	503175
11400000000	503854
11500000000	503333
11600000000	504561
11700000000	503646
11800000000	502558
11900000000	503375
12000000000	504923
12100000000	503124
12200000000	502725
12300000000	503509
12400000000	502589
12500000000	504465
12600000000	503697
12700000000	504177
12800000000	503841
12900000000	503606
13000000000	504562
13100000000	502972
13200000000	503062
13300000000	503595
13400000000	503629
13500000000	503964
13600000000	504387
13700000000	503214
13800000000	502268
13900000000	503569
14000000000	501920
14100000000	504123
14200000000	503880
14300000000	504762
14400000000	503427
14500000000	503410
14600000000	503450
14700000000	504234
14800000000	503755
14900000000	503551
15000000000	503457
15100000000	503597
15200000000	502380
15300000000	504468
15400000000	503809
15500000000	502894
15600000000	503003
15700000000	503398
15800000000	503909
15900000000	504490
16000000000	503066
16100000000	503466
16200000000	503082
16300000000	503723
16400000000	503729
16500000000	502699
16600000000	504360
16700000000	503875
16800000000	504625
16900000000	503654
17000000000	504555
17100000000	503732
17200000000	503254
17300000000	502778
17400000000	504237
17500000000	505068
17600000000	502210
17700000000	504234
17800000000	503031
17900000000	504806
18000000000	503277
18100000000	503317
18200000000	503912
18300000000	504330
18400000000	503054
18500000000	503696
18600000000	503576
18700000000	503177
18800000000	503757
18900000000	502721
19000000000	503946
19100000000	504298
19200000000	504235
19300000000	503536
19400000000	503901
19500000000	504620
19600000000	503411
19700000000	505024
19800000000	503661
19900000000	504806
20000000000	503710
20100000000	503825
20200000000	503247
20300000000	503853
20400000000	502500
20500000000	504755
20600000000	502789
20700000000	504305
20800000000	503263
20900000000	504259
21000000000	505044
21100000000	505139
21200000000	504797
21300000000	502831
21400000000	504066
21500000000	503267
21600000000	503396
21700000000	503557
21800000000	502857
21900000000	504796
22000000000	504137
22100000000	503701
22200000000	503597
22300000000	503626
22400000000	503595
22500000000	504275
22600000000	504385
22700000000	504674
22800000000	504350
22900000000	504455
23000000000	502776
23100000000	503720
23200000000	503695
23300000000	502735
23400000000	503773
23500000000	503708
23600000000	504077
23700000000	503637
23800000000	503122
23900000000	504258
24000000000	504516
24100000000	503109
24200000000	504390
24300000000	504295
24400000000	503925
24500000000	505125
24600000000	503740
24700000000	504339
24800000000	503378
24900000000	503577
25000000000	504451
25100000000	503404
25200000000	501281
25300000000	501195
25400000000	502368
25500000000	502192
25600000000	502912
25700000000	502122
25800000000	501505
25900000000	501860
26000000000	502970
26100000000	500907
26200000000	502054
26300000000	501083
26400000000	501475
26500000000	501576
26600000000	502000
26700000000	500485
26800000000	502168
26900000000	501617
27000000000	500538
27100000000	502050
27200000000	500992
27300000000	500610
27400000000	499995
27500000000	501340
27600000000	500739
27700000000	500527
27800000000	501229
27900000000	500473
28000000000	500316
28100000000	500679
28200000000	497875
28300000000	500145
28400000000	499401
28500000000	501519
28600000000	500205
28700000000	500614
28800000000	501062
28900000000	501134
29000000000	500395
29100000000	500669
29200000000	499954
29300000000	500205
29400000000	501557
29500000000	500460
29600000000	500015
29700000000	500389
29800000000	500370
29900000000	498300
30000000000	501132
30100000000	499886
30200000000	498354
30300000000	499314
30400000000	499830
30500000000	499062
30600000000	498158
30700000000	500842
30800000000	499354
30900000000	499651
31000000000	499374
31100000000	500112
31200000000	500228
31300000000	498884
31400000000	499733
31500000000	500413
31600000000	499862
31700000000	498931
31800000000	499655
31900000000	499894
32000000000	499748
32100000000	498391
32200000000	499873
32300000000	498693
32400000000	499718
32500000000	499486
32600000000	498579
32700000000	498698
32800000000	499117
32900000000	499777
33000000000	498569
33100000000	499472
33200000000	498637
33300000000	499535
33400000000	499078
33500000000	499640
33600000000	499232
33700000000	497938
33800000000	498670
33900000000	497807
34000000000	499493
34100000000	498953
34200000000	499502
34300000000	499750
34400000000	499019
34500000000	498135
34600000000	500026
34700000000	499124
34800000000	498950
34900000000	499175
35000000000	498983
35100000000	497659
35200000000	499238
35300000000	498236
35400000000	497976
35500000000	498640
35600000000	500442
35700000000	499744
35800000000	497634
35900000000	499698
36000000000	499937
36100000000	498810
36200000000	498742
36300000000	498415
36400000000	498242
36500000000	499695
36600000000	498067
36700000000	499345
36800000000	498869
36900000000	498704
37000000000	499570
37100000000	499179
37200000000	498868
37300000000	497717
37400000000	497851
37500000000	498164
37600000000	500021
37700000000	498073
37800000000	498149
37900000000	499678
38000000000	498997
38100000000	499006
38200000000	498638
38300000000	497599
38400000000	498379
38500000000	498870
38600000000	498793
38700000000	499649
38800000000	498903
38900000000	498430
39000000000	499090
39100000000	499737
39200000000	498848
39300000000	498052
39400000000	499393
39500000000	497639
39600000000	497691
39700000000	498809
39800000000	498701
39900000000	498135
40000000000	499795
40100000000	499093
40200000000	498146
40300000000	498271
40400000000	499235
40500000000	498955
40600000000	497978
40700000000	498635
40800000000	498595
40900000000	498640
41000000000	497611
41100000000	499575
41200000000	498426
41300000000	498317
41400000000	495661
41500000000	497955
41600000000	498604
41700000000	497308
41800000000	498031
41900000000	498772
42000000000	499156
42100000000	497629
42200000000	497756
42300000000	498478
42400000000	498687
42500000000	497992
42600000000	497611
42700000000	498522
42800000000	499702
42900000000	498523
43000000000	499129
43100000000	498030
43200000000	497296
43300000000	498946
43400000000	497481
43500000000	497954
43600000000	499168
43700000000	497644
43800000000	498130
43900000000	497696
44000000000	499093
44100000000	497687
44200000000	497046
44300000000	499244
44400000000	497723
44500000000	497944
44600000000	498197
44700000000	497380
44800000000	497079
44900000000	497820
45000000000	498328
45100000000	497656
45200000000	499026
45300000000	498410
45400000000	497979
45500000000	498043
45600000000	498157
45700000000	498533
45800000000	496857
45900000000	498123
46000000000	497554
46100000000	498439
46200000000	497954
46300000000	498619
46400000000	497680
46500000000	498367
46600000000	497579
46700000000	497576
46800000000	498102
46900000000	499307
47000000000	498063
47100000000	498683
47200000000	497697
47300000000	497894
47400000000	498679
47500000000	497660
47600000000	497397
47700000000	497916
47800000000	498417
47900000000	498934
48000000000	499204
48100000000	498015
48200000000	498902
48300000000	497537
48400000000	497541
48500000000	498438
48600000000	497394
48700000000	498829
48800000000	498731
48900000000	497473
49000000000	497159
49100000000	498914
49200000000	498462
49300000000	498204
49400000000	498554
49500000000	497381
49600000000	498921
49700000000	497621
49800000000	498391
49900000000	498122
50000000000	499770
50100000000	501893
50200000000	501832
50300000000	503036
50400000000	501316
50500000000	502455
50600000000	501717
50700000000	501725
50800000000	502032
50900000000	502505
51000000000	502358
51100000000	502796
51200000000	502267
51300000000	503042
51400000000	503914
51500000000	502634
51600000000	502459
51700000000	501431
51800000000	503252
51900000000	501837
52000000000	502904
52100000000	502576
52200000000	501608
52300000000	503304
52400000000	502785
52500000000	502409
52600000000	502964
52700000000	502844
52800000000	503787
52900000000	504267
53000000000	503002
53100000000	503564
53200000000	502857
53300000000	501920
53400000000	502336
53500000000	503341
53600000000	502946
53700000000	501657
53800000000	502785
53900000000	503443
54000000000	502743
54100000000	502423
54200000000	502625
54300000000	502696
54400000000	504127
54500000000	503118
54600000000	502669
54700000000	504018
54800000000	502834
54900000000	503786
55000000000	501990
55100000000	503526
55200000000	501367
55300000000	502707
55400000000	503307
55500000000	503235
55600000000	503614
55700000000	503218
55800000000	503285
55900000000	502984
56000000000	503175
56100000000	504172
56200000000	503402
56300000000	503260
56400000000	502937
56500000000	503880
56600000000	502832
56700000000	502908
56800000000	503450
56900000000	502255
57000000000	502487
57100000000	502284
57200000000	502567
57300000000	502759
57400000000	503486
57500000000	503343
57600000000	502935
57700000000	503119
57800000000	502928
57900000000	502971
58000000000	502284
58100000000	503887
58200000000	502719
58300000000	503520
58400000000	501977
58500000000	502706
58600000000	503035
58700000000	503938
58800000000	503321
58900000000	503179
59000000000	502094
59100000000	502877
59200000000	503417
59300000000	502992
59400000000	503754
59500000000	502416
59600000000	502870
59700000000	502024
59800000000	503888
59900000000	503480
60000000000	504164
60100000000	503521
60200000000	503139
60300000000	503625
60400000000	504417
60500000000	503797
60600000000	501395
60700000000	502659
60800000000	503483
60900000000	502649
61000000000	503623
61100000000	503506
61200000000	502030
61300000000	502982
61400000000	503434
61500000000	503253
61600000000	503974
61700000000	503183
61800000000	502452
61900000000	503041
62000000000	504687
62100000000	502764
62200000000	502555
62300000000	503061
62400000000	502302
62500000000	504158
62600000000	503414
62700000000	504023
62800000000	503403
62900000000	503223
63000000000	504205
63100000000	502900
63200000000	502651
63300000000	503497
63400000000	503229
63500000000	503662
63600000000	504195
63700000000	502903
63800000000	501966
63900000000	503371
64000000000	501441
64100000000	503796
64200000000	503592
64300000000	504544
64400000000	503136
64500000000	502934
64600000000	503360
64700000000	503582
64800000000	503611
64900000000	503434
65000000000	502976
65100000000	503583
65200000000	501823
65300000000	504197
65400000000	503502
65500000000	502524
65600000000	502495
65700000000	503295
65800000000	503462
65900000000	504240
66000000000	502920
66100000000	503162
66200000000	502805
66300000000	503433
66400000000	503193
66500000000	502524
66600000000	503993
66700000000	503499
66800000000	504266
66900000000	503438
67000000000	504402
67100000000	503357
67200000000	503029
67300000000	502452
67400000000	503830
67500000000	504830
67600000000	501897
67700000000	504101
67800000000	502602
67900000000	504716
68000000000	502883
68100000000	503036
68200000000	503424
68300000000	504042
68400000000	502716
68500000000	503489
68600000000	503092
68700000000	502988
68800000000	503345
68900000000	502549
69000000000	503528
69100000000	504065
69200000000	504030
69300000000	503255
69400000000	503565
69500000000	504363
69600000000	503041
69700000000	504606
69800000000	503197
69900000000	504474
70000000000	503670
70100000000	503469
70200000000	503002
70300000000	503541
70400000000	502054
70500000000	504420
70600000000	502581
70700000000	504039
70800000000	502872
70900000000	504076
71000000000	504656
71100000000	504582
71200000000	504610
71300000000	502562
71400000000	503861
71500000000	503055
71600000000	502988
71700000000	503408
71800000000	502638
71900000000	504261
72000000000	503828
72100000000	503470
72200000000	503169
72300000000	503485
72400000000	503119
72500000000	504133
72600000000	503920
72700000000	504232
72800000000	504240
72900000000	504069
73000000000	502457
73100000000	503355
73200000000	503419
73300000000	502238
73400000000	503779
73500000000	503404
73600000000	503773
73700000000	503350
73800000000	502895
73900000000	503881
74000000000	504000
74100000000	502973
74200000000	503880
74300000000	503942
74400000000	503703
74500000000	504802
74600000000	503707
74700000000	503777
74800000000	503405
74900000000	503006
75000000000	504266
75100000000	503042
75200000000	500937
75300000000	500940
75400000000	502185
75500000000	501773
75600000000	502843
75700000000	501573
75800000000	501232
75900000000	501765
76000000000	502531
76100000000	500681
76200000000	501521
76300000000	500996
76400000000	501065
76500000000	501385
76600000000	501737
76700000000	500141
76800000000	501745
76900000000	501300
77000000000	500396
77100000000	501562
77200000000	500670
77300000000	500391
77400000000	499763
77500000000	501051
77600000000	500437
77700000000	500384
77800000000	500688
77900000000	500333
78000000000	499781
78100000000	500424
78200000000	497696
78300000000	499708
78400000000	499270
78500000000	500972
78600000000	499813
78700000000	500562
78800000000	500558
78900000000	500927
79000000000	500166
79100000000	500363
79200000000	499743
79300000000	499595
79400000000	501527
79500000000	500177
79600000000	499524
79700000000	500286
79800000000	499967
79900000000	498039
80000000000	500813
80100000000	499653
80200000000	497946
80300000000	498873
80400000000	499808
80500000000	498530
80600000000	498100
80700000000	500713
80800000000	498846
80900000000	499561
81000000000	498791
81100000000	499890
81200000000	499766
81300000000	498749
81400000000	499500
81500000000	500025
81600000000	499575
81700000000	498651
81800000000	499256
81900000000	499524
82000000000	499739
82100000000	498068
82200000000	499384
82300000000	498443
82400000000	499396
82500000000	499320
82600000000	498211
82700000000	498377
82800000000	498816
82900000000	499317
83000000000	498565
83100000000	499095
83200000000	498207
83300000000	499291
83400000000	498826
83500000000	499171
83600000000	499038
83700000000	497837
83800000000	498204
83900000000	497566
84000000000	499180
84100000000	498547
84200000000	499168
84300000000	499404
84400000000	498936
84500000000	497737
84600000000	499656
84700000000	498813
84800000000	498485
84900000000	499059
85000000000	498730
85100000000	497171
85200000000	499043
85300000000	497925
85400000000	497741
85500000000	498280
85600000000	500121
85700000000	499621
85800000000	497299
85900000000	499366
86000000000	499548
86100000000	498406
86200000000	498445
86300000000	498359
86400000000	497691
86500000000	499512
86600000000	497941
86700000000	498966
86800000000	498610
86900000000	498369
87000000000	499401
87100000000	498567
87200000000	498766
87300000000	497262
87400000000	497682
87500000000	497725
87600000000	499600
87700000000	497952
87800000000	497851
87900000000	499299
88000000000	498521
88100000000	498812
88200000000	498412
88300000000	497350
88400000000	498094
88500000000	498590
88600000000	498389
88700000000	499439
88800000000	498498
88900000000	498126
89000000000	498638
89100000000	499596
89200000000	498418
89300000000	497873
89400000000	499059
89500000000	497433
89600000000	497218
89700000000	498790
89800000000	498217
89900000000	497919
90000000000	499278
90100000000	499071
90200000000	497887
90300000000	497803
90400000000	498884
90500000000	498673
90600000000	497771
90700000000	498169
90800000000	498554
90900000000	498202
91000000000	497358
91100000000	499042
91200000000	498292
91300000000	498248
91400000000	495165
91500000000	497566
91600000000	498292
91700000000	497269
91800000000	497564
91900000000	498595
92000000000	498597
92100000000	497339
92200000000	497594
92300000000	498205
92400000000	498439
92500000000	497496
92600000000	497158
92700000000	498589
92800000000	499193
92900000000	498417
93000000000	498955
93100000000	497550
93200000000	496924
93300000000	498766
93400000000	497226
93500000000	497269
93600000000	499002
93700000000	497448
93800000000	497903
93900000000	497528
94000000000	498672
94100000000	497218
94200000000	496953
94300000000	498998
94400000000	497356
94500000000	497746
94600000000	497648
94700000000	497279
94800000000	496639
94900000000	497563
95000000000	498112
95100000000	497200
95200000000	498669
95300000000	498287
95400000000	497689
95500000000	497740
95600000000	497779
95700000000	498166
95800000000	496639
95900000000	497950
96000000000	497059
96100000000	498271
96200000000	497586
96300000000	498219
96400000000	497270
96500000000	498254
96600000000	497289
96700000000	497291
96800000000	497825
96900000000	498645
97000000000	498116
97100000000	498436
97200000000	497313
97300000000	497667
97400000000	498288
97500000000	497261
97600000000	497065
97700000000	497777
97800000000	498041
97900000000	498674
98000000000	498977
98100000000	497728
98200000000	498727
98300000000	497245
98400000000	497251
98500000000	497752
98600000000	497214
98700000000	498417
98800000000	498462
98900000000	497143
99000000000	496934
99100000000	498714
99200000000	498107
99300000000	497830
99400000000	498367
