"Time (ps)"	"Counts per bin"
0	502134
100000000	503544
200000000	502956
300000000	502750
400000000	503218
500000000	501894
600000000	502214
700000000	502730
800000000	502881
900000000	502410
1000000000	503018
1100000000	503377
1200000000	501945
1300000000	503057
1400000000	502779
1500000000	503031
1600000000	501307
1700000000	502559
1800000000	503190
1900000000	502764
2000000000	501905
2100000000	503152
2200000000	502422
2300000000	502777
2400000000	503725
2500000000	502924
2600000000	502356
2700000000	501556
2800000000	503524
2900000000	502634
3000000000	503155
3100000000	502168
3200000000	501965
3300000000	501832
3400000000	502915
3500000000	502617
3600000000	503696
3700000000	502745
3800000000	502221
3900000000	502760
4000000000	501856
4100000000	501247
4200000000	504049
4300000000	502288
4400000000	502151
4500000000	502707
4600000000	503835
4700000000	502532
4800000000	502902
4900000000	502540
5000000000	502338
5100000000	502792
5200000000	503484
5300000000	502306
5400000000	503648
5500000000	503177
5600000000	503233
5700000000	504024
5800000000	502062
5900000000	502784
6000000000	502982
6100000000	504234
6200000000	502600
6300000000	501821
6400000000	504150
6500000000	503727
6600000000	502513
6700000000	503374
6800000000	502837
6900000000	502733
7000000000	503864
7100000000	503114
7200000000	502240
7300000000	504503
7400000000	502815
7500000000	503204
7600000000	503049
7700000000	501813
7800000000	502767
7900000000	502671
8000000000	503069
8100000000	502746
8200000000	503787
8300000000	503347
8400000000	503844
8500000000	502091
8600000000	502818
8700000000	502463
8800000000	502587
8900000000	502817
9000000000	501968
9100000000	502952
9200000000	503963
9300000000	502710
9400000000	504075
9500000000	502470
9600000000	503136
9700000000	502005
9800000000	503280
9900000000	503144
10000000000	503170
10100000000	503882
10200000000	502889
10300000000	502701
10400000000	503043
10500000000	502496
10600000000	503296
10700000000	503374
10800000000	502367
10900000000	502942
11000000000	502179
11100000000	502801
11200000000	503484
11300000000	502950
11400000000	502346
11500000000	502936
11600000000	502609
11700000000	502587
11800000000	503121
11900000000	502242
12000000000	503328
12100000000	503025
12200000000	503233
12300000000	503711
12400000000	502047
12500000000	502060
12600000000	502994
12700000000	502548
12800000000	503139
12900000000	503199
13000000000	504426
13100000000	503496
13200000000	502958
13300000000	502884
13400000000	502007
13500000000	502845
13600000000	502460
13700000000	502491
13800000000	502268
13900000000	503869
14000000000	502607
14100000000	503196
14200000000	502130
14300000000	502799
14400000000	503087
14500000000	503778
14600000000	503291
14700000000	503879
14800000000	502674
14900000000	502581
15000000000	502475
15100000000	502423
15200000000	502904
15300000000	503283
15400000000	502490
15500000000	503528
15600000000	502829
15700000000	502706
15800000000	502664
15900000000	503211
16000000000	503562
16100000000	503515
16200000000	503437
16300000000	504298
16400000000	503183
16500000000	502908
16600000000	503423
16700000000	502856
16800000000	502140
16900000000	503586
17000000000	502445
17100000000	504041
17200000000	503605
17300000000	501920
17400000000	503309
17500000000	503352
17600000000	502761
17700000000	502948
17800000000	503236
17900000000	503270
18000000000	503023
18100000000	503400
18200000000	502275
18300000000	503253
18400000000	503426
18500000000	503426
18600000000	502681
18700000000	502921
18800000000	503073
18900000000	504461
19000000000	502073
19100000000	502679
19200000000	502422
19300000000	503585
19400000000	502825
19500000000	503204
19600000000	503414
19700000000	502422
19800000000	503750
19900000000	501192
20000000000	503670
20100000000	501955
20200000000	502583
20300000000	501978
20400000000	502887
20500000000	502900
20600000000	503360
20700000000	501782
20800000000	503700
20900000000	502005
21000000000	504017
21100000000	503485
21200000000	502178
21300000000	502459
21400000000	503719
21500000000	502448
21600000000	502586
21700000000	503549
21800000000	503070
21900000000	502724
22000000000	502227
22100000000	504120
22200000000	503916
22300000000	502393
22400000000	503384
22500000000	503504
22600000000	502892
22700000000	501895
22800000000	503275
22900000000	502445
23000000000	501401
23100000000	502581
23200000000	503089
23300000000	503265
23400000000	502956
23500000000	503690
23600000000	503420
23700000000	504044
23800000000	502683
23900000000	502793
24000000000	504048
24100000000	503142
24200000000	503236
24300000000	502437
24400000000	503754
24500000000	504448
24600000000	501886
24700000000	502544
24800000000	502550
24900000000	502315
25000000000	503513
25100000000	503091
25200000000	503311
25300000000	502847
25400000000	503821
25500000000	501940
25600000000	503388
25700000000	503694
25800000000	502796
25900000000	501321
26000000000	502982
26100000000	503020
26200000000	502844
26300000000	502141
26400000000	500525
26500000000	501851
26600000000	502382
26700000000	502585
26800000000	502570
26900000000	503056
27000000000	503201
27100000000	503035
27200000000	502655
27300000000	501876
27400000000	502835
27500000000	503428
27600000000	502992
27700000000	503107
27800000000	503193
27900000000	502988
28000000000	503185
28100000000	503174
28200000000	503921
28300000000	503561
28400000000	502496
28500000000	502610
28600000000	501982
28700000000	502375
28800000000	501705
28900000000	503155
29000000000	503370
29100000000	502904
29200000000	501973
29300000000	502643
29400000000	501926
29500000000	502771
29600000000	503471
29700000000	501442
29800000000	502673
29900000000	502222
30000000000	503276
30100000000	501689
30200000000	503265
30300000000	502188
30400000000	501854
30500000000	502281
30600000000	502924
30700000000	501132
30800000000	501739
30900000000	503172
31000000000	501798
31100000000	501719
31200000000	502162
31300000000	502676
31400000000	501995
31500000000	502163
31600000000	501702
31700000000	502704
31800000000	502365
31900000000	501510
32000000000	503550
32100000000	502370
32200000000	502481
32300000000	501775
32400000000	500784
32500000000	501575
32600000000	502067
32700000000	502222
32800000000	502799
32900000000	501925
33000000000	501425
33100000000	502480
33200000000	503095
33300000000	502530
33400000000	502438
33500000000	502129
33600000000	502148
33700000000	503057
33800000000	502555
33900000000	503233
34000000000	502729
34100000000	502187
34200000000	501650
34300000000	502782
34400000000	501658
34500000000	501756
34600000000	501229
34700000000	503417
34800000000	501827
34900000000	502318
35000000000	501972
35100000000	502725
35200000000	502006
35300000000	502787
35400000000	501538
35500000000	502994
35600000000	502901
35700000000	501670
35800000000	503007
35900000000	502434
36000000000	503550
36100000000	503213
36200000000	503172
36300000000	500686
36400000000	501447
36500000000	501874
36600000000	502387
36700000000	502766
36800000000	502103
36900000000	502431
37000000000	502375
37100000000	503071
37200000000	502139
37300000000	501663
37400000000	502650
37500000000	503267
37600000000	502739
37700000000	503497
37800000000	502155
37900000000	501981
38000000000	500766
38100000000	501722
38200000000	501764
38300000000	503305
38400000000	500997
38500000000	502149
38600000000	502364
38700000000	502870
38800000000	502635
38900000000	501957
39000000000	501283
39100000000	501726
39200000000	501653
39300000000	502776
39400000000	501753
39500000000	502257
39600000000	503078
39700000000	502486
39800000000	503485
39900000000	501557
40000000000	503810
40100000000	501803
40200000000	503476
40300000000	504669
40400000000	502388
40500000000	503298
40600000000	503758
40700000000	502291
40800000000	502358
40900000000	503727
41000000000	502508
41100000000	502638
41200000000	502367
41300000000	502199
41400000000	501802
41500000000	502428
41600000000	502751
41700000000	501881
41800000000	502216
41900000000	503999
42000000000	501492
42100000000	502767
42200000000	502056
42300000000	501950
42400000000	502074
42500000000	502371
42600000000	501757
42700000000	503218
42800000000	502374
42900000000	502196
43000000000	503546
43100000000	502695
43200000000	502549
43300000000	501666
43400000000	503314
43500000000	502277
43600000000	502571
43700000000	501690
43800000000	502401
43900000000	502576
44000000000	501872
44100000000	502535
44200000000	503078
44300000000	503451
44400000000	502671
44500000000	501852
44600000000	503584
44700000000	502769
44800000000	502564
44900000000	503359
45000000000	502466
45100000000	502320
45200000000	501337
45300000000	502029
45400000000	503569
45500000000	500991
45600000000	502805
45700000000	502330
45800000000	502330
45900000000	502750
46000000000	502444
46100000000	502709
46200000000	503441
46300000000	501829
46400000000	501654
46500000000	501899
46600000000	502813
46700000000	502614
46800000000	503106
46900000000	502096
47000000000	503132
47100000000	501948
47200000000	502912
47300000000	503115
47400000000	502588
47500000000	503022
47600000000	502646
47700000000	503188
47800000000	502753
47900000000	502647
48000000000	502890
48100000000	502498
48200000000	502217
48300000000	502178
48400000000	502307
48500000000	502731
48600000000	503726
48700000000	502417
48800000000	501775
48900000000	502302
49000000000	501793
49100000000	503264
49200000000	502196
49300000000	501981
49400000000	501825
49500000000	501244
49600000000	502335
49700000000	502561
49800000000	501942
49900000000	501315
50000000000	501964
50100000000	503321
50200000000	502763
50300000000	502457
50400000000	502647
50500000000	501692
50600000000	501875
50700000000	502356
50800000000	502488
50900000000	502222
51000000000	502695
51100000000	503046
51200000000	501576
51300000000	502862
51400000000	502243
51500000000	502924
51600000000	501011
51700000000	501940
51800000000	503049
51900000000	502505
52000000000	501512
52100000000	502734
52200000000	502519
52300000000	502210
52400000000	503283
52500000000	502694
52600000000	502181
52700000000	501336
52800000000	502910
52900000000	502407
53000000000	502761
53100000000	502074
53200000000	501479
53300000000	501595
53400000000	502475
53500000000	502191
53600000000	503343
53700000000	502617
53800000000	502092
53900000000	502265
54000000000	501587
54100000000	500835
54200000000	503876
54300000000	501794
54400000000	501758
54500000000	502499
54600000000	503461
54700000000	502220
54800000000	502616
54900000000	502271
55000000000	501863
55100000000	502802
55200000000	502930
55300000000	502149
55400000000	503082
55500000000	502886
55600000000	503118
55700000000	503748
55800000000	501821
55900000000	502261
56000000000	502667
56100000000	503944
56200000000	502355
56300000000	501437
56400000000	503873
56500000000	503353
56600000000	502186
56700000000	502949
56800000000	502578
56900000000	502530
57000000000	503450
57100000000	502821
57200000000	501832
57300000000	504069
57400000000	502781
57500000000	502849
57600000000	502611
57700000000	501788
57800000000	502281
57900000000	502391
58000000000	502736
58100000000	502264
58200000000	503517
58300000000	502903
58400000000	503654
58500000000	502089
58600000000	502289
58700000000	502179
58800000000	502139
58900000000	502538
59000000000	501682
59100000000	502660
59200000000	503634
59300000000	502441
59400000000	503559
59500000000	502177
59600000000	502609
59700000000	501967
59800000000	502947
59900000000	502738
60000000000	502974
60100000000	503517
60200000000	502546
60300000000	502401
60400000000	502780
60500000000	502325
60600000000	502699
60700000000	503136
60800000000	502178
60900000000	502482
61000000000	501717
61100000000	502495
61200000000	503281
61300000000	502667
61400000000	501852
61500000000	502894
61600000000	502090
61700000000	502440
61800000000	502772
61900000000	501864
62000000000	503021
62100000000	502507
62200000000	503404
62300000000	503127
62400000000	501759
62500000000	501552
62600000000	502758
62700000000	502106
62800000000	502912
62900000000	502879
63000000000	503957
63100000000	503342
63200000000	502740
63300000000	502518
63400000000	501791
63500000000	502263
63600000000	502359
63700000000	502203
63800000000	502037
63900000000	503408
64000000000	502389
64100000000	503051
64200000000	501603
64300000000	502628
64400000000	502508
64500000000	503461
64600000000	502808
64700000000	503824
64800000000	502584
64900000000	502100
65000000000	501959
65100000000	502268
65200000000	502693
65300000000	502729
65400000000	502379
65500000000	503077
65600000000	502670
65700000000	502380
65800000000	502178
65900000000	503124
66000000000	502983
66100000000	503213
66200000000	503054
66300000000	504082
66400000000	502920
66500000000	502820
66600000000	502735
66700000000	502596
66800000000	501915
66900000000	503228
67000000000	502149
67100000000	503588
67200000000	503459
67300000000	501768
67400000000	502782
67500000000	503123
67600000000	502323
67700000000	502700
67800000000	503090
67900000000	502792
68000000000	502701
68100000000	502976
68200000000	502132
68300000000	503092
68400000000	502887
68500000000	503101
68600000000	502289
68700000000	502606
68800000000	502905
68900000000	503959
69000000000	501805
69100000000	502527
69200000000	502156
69300000000	503018
69400000000	502473
69500000000	503104
69600000000	503127
69700000000	501958
69800000000	503512
69900000000	500866
70000000000	503235
70100000000	501642
70200000000	502426
70300000000	501561
70400000000	502560
70500000000	502691
70600000000	502977
70700000000	501320
70800000000	503514
70900000000	501495
71000000000	503769
71100000000	503274
71200000000	502182
71300000000	502062
71400000000	503032
71500000000	502375
71600000000	502178
71700000000	503177
71800000000	502530
71900000000	502574
72000000000	501840
72100000000	503882
72200000000	503727
72300000000	501939
72400000000	503121
72500000000	503190
72600000000	502676
72700000000	501479
72800000000	503076
72900000000	501925
73000000000	501073
73100000000	502183
73200000000	502919
73300000000	502819
73400000000	502790
73500000000	503310
73600000000	502975
73700000000	503783
73800000000	502197
73900000000	502770
74000000000	503655
74100000000	502861
