"Time (ps)"	"Counts per bin"
0	2077280
100000000	2080193
200000000	2078609
300000000	2078698
400000000	2078388
500000000	2077627
600000000	2079052
700000000	2078804
800000000	2081771
900000000	2077818
1000000000	2078765
1100000000	2079528
1200000000	2076605
1300000000	2078213
1400000000	2077395
1500000000	2078504
1600000000	2076695
1700000000	2078615
1800000000	2075325
1900000000	2077448
2000000000	2075090
2100000000	2079852
2200000000	2076560
2300000000	2075802
2400000000	2079054
2500000000	2076502
2600000000	2076312
2700000000	2077425
2800000000	2077653
2900000000	2073982
3000000000	2076431
3100000000	2076696
3200000000	2076703
3300000000	2078279
3400000000	2076543
3500000000	2076120
3600000000	2076727
3700000000	2077533
3800000000	2076142
3900000000	2077519
4000000000	2075396
4100000000	2077365
4200000000	2078453
4300000000	2075878
4400000000	2077234
4500000000	2077865
4600000000	2077118
4700000000	2076192
4800000000	2075889
4900000000	2075538
5000000000	2072967
5100000000	2076878
5200000000	2078889
5300000000	2078772
5400000000	2078354
5500000000	2078779
5600000000	2077199
5700000000	2076969
5800000000	2075268
5900000000	2073878
6000000000	2078964
6100000000	2074900
6200000000	2077747
6300000000	2077354
6400000000	2077154
6500000000	2078863
6600000000	2075246
6700000000	2074804
6800000000	2078272
6900000000	2075471
7000000000	2077581
7100000000	2077464
7200000000	2078193
7300000000	2079993
7400000000	2077333
7500000000	2077195
7600000000	2079826
7700000000	2073388
7800000000	2077224
7900000000	2076805
8000000000	2076039
8100000000	2077336
8200000000	2078255
8300000000	2078208
8400000000	2075764
8500000000	2078063
8600000000	2075966
8700000000	2077646
8800000000	2075734
8900000000	2077694
9000000000	2076125
9100000000	2076146
9200000000	2076602
9300000000	2075093
9400000000	2079350
9500000000	2074692
9600000000	2076124
9700000000	2076270
9800000000	2078758
9900000000	2077320
10000000000	2077368
10100000000	2078410
10200000000	2076210
10300000000	2075783
10400000000	2079131
10500000000	2075525
10600000000	2078798
10700000000	2077902
10800000000	2076567
10900000000	2077419
11000000000	2077363
11100000000	2076710
11200000000	2077754
11300000000	2078072
11400000000	2076230
11500000000	2074596
11600000000	2078319
11700000000	2074679
11800000000	2077125
11900000000	2077358
12000000000	2077867
12100000000	2075830
12200000000	2078428
12300000000	2077085
12400000000	2078371
12500000000	2075777
12600000000	2076820
12700000000	2076864
12800000000	2076663
12900000000	2077212
13000000000	2077064
13100000000	2075656
13200000000	2077532
13300000000	2075625
13400000000	2075964
13500000000	2078094
13600000000	2077769
13700000000	2075462
13800000000	2075666
13900000000	2078102
14000000000	2075911
14100000000	2078042
14200000000	2077331
14300000000	2076130
14400000000	2077520
14500000000	2077603
14600000000	2078484
14700000000	2079829
14800000000	2077293
14900000000	2077835
15000000000	2079107
15100000000	2078868
15200000000	2077489
15300000000	2078255
15400000000	2078079
15500000000	2079021
15600000000	2079023
15700000000	2079206
15800000000	2079774
15900000000	2078164
16000000000	2080151
16100000000	2077606
16200000000	2075305
16300000000	2078840
16400000000	2079427
16500000000	2077257
16600000000	2076787
16700000000	2077297
16800000000	2073688
16900000000	2078944
17000000000	2075325
17100000000	2077829
17200000000	2077792
17300000000	2077847
17400000000	2077955
17500000000	2076440
17600000000	2078011
17700000000	2076377
17800000000	2077075
17900000000	2077376
18000000000	2077096
18100000000	2077440
18200000000	2076858
18300000000	2077786
18400000000	2074516
18500000000	2078293
18600000000	2077183
18700000000	2078181
18800000000	2078162
18900000000	2078769
19000000000	2076290
19100000000	2076514
19200000000	2076047
19300000000	2076003
19400000000	2077720
19500000000	2077795
19600000000	2079628
19700000000	2075700
19800000000	2076804
19900000000	2076157
20000000000	2075517
20100000000	2075805
20200000000	2074951
20300000000	2075774
20400000000	2078204
20500000000	2076918
20600000000	2078613
20700000000	2075186
20800000000	2076859
20900000000	2075016
21000000000	2079657
21100000000	2079236
21200000000	2077819
21300000000	2078260
21400000000	2078450
21500000000	2075933
21600000000	2077379
21700000000	2077706
21800000000	2078054
21900000000	2076719
22000000000	2077657
22100000000	2080555
22200000000	2079489
22300000000	2079365
22400000000	2079862
22500000000	2077771
22600000000	2078893
22700000000	2077755
22800000000	2077161
22900000000	2075826
23000000000	2077355
23100000000	2077257
23200000000	2077249
23300000000	2078400
23400000000	2077478
23500000000	2079065
23600000000	2078721
23700000000	2076979
23800000000	2074764
23900000000	2075742
24000000000	2076903
24100000000	2077229
24200000000	2077299
24300000000	2076319
24400000000	2080074
24500000000	2076088
24600000000	2073729
24700000000	2077317
24800000000	2077520
24900000000	2078230
25000000000	2078012
25100000000	2078195
25200000000	2077576
25300000000	2076836
25400000000	2075588
25500000000	2076849
25600000000	2076649
25700000000	2080035
25800000000	2075282
25900000000	2075369
26000000000	2074046
26100000000	2077052
26200000000	2076328
26300000000	2078365
26400000000	2073480
26500000000	2075160
26600000000	2074293
26700000000	2078257
26800000000	2075352
26900000000	2076391
27000000000	2078423
27100000000	2078319
27200000000	2077330
27300000000	2075820
27400000000	2075298
27500000000	2075921
27600000000	2073702
27700000000	2076162
27800000000	2076485
27900000000	2077033
28000000000	2075893
28100000000	2077393
28200000000	2079384
28300000000	2077084
28400000000	2078233
28500000000	2075485
28600000000	2073502
28700000000	2076518
28800000000	2075452
28900000000	2077141
29000000000	2077178
29100000000	2078711
29200000000	2075574
29300000000	2076272
29400000000	2075871
29500000000	2076630
29600000000	2077567
29700000000	2073056
29800000000	2075901
29900000000	2076359
30000000000	2076876
30100000000	2075050
30200000000	2076387
30300000000	2073202
30400000000	2076984
30500000000	2076555
30600000000	2076383
30700000000	2073090
30800000000	2076342
30900000000	2077448
31000000000	2074804
31100000000	2073789
31200000000	2075055
31300000000	2075971
31400000000	2076451
31500000000	2073536
31600000000	2074610
31700000000	2076252
31800000000	2076730
31900000000	2075354
32000000000	2077180
32100000000	2077015
32200000000	2077073
32300000000	2075517
32400000000	2074289
32500000000	2076480
32600000000	2076435
32700000000	2074204
32800000000	2077362
32900000000	2075060
33000000000	2074309
33100000000	2075464
33200000000	2077038
33300000000	2074858
33400000000	2075032
33500000000	2074450
33600000000	2074725
33700000000	2075386
33800000000	2075611
33900000000	2076041
34000000000	2075802
34100000000	2075556
34200000000	2076320
34300000000	2075070
34400000000	2074253
34500000000	2075136
34600000000	2073656
34700000000	2078118
34800000000	2074105
34900000000	2076025
35000000000	2076454
35100000000	2075816
35200000000	2074936
35300000000	2077446
35400000000	2075394
35500000000	2077491
35600000000	2076826
35700000000	2075683
35800000000	2075070
35900000000	2074884
36000000000	2080220
36100000000	2080069
36200000000	2076752
36300000000	2077769
36400000000	2074801
36500000000	2076306
36600000000	2075541
36700000000	2074864
36800000000	2075709
36900000000	2076972
37000000000	2076791
