"Time (ps)"	"Counts per bin"
0	1000195
100000000	1000732
200000000	999054
300000000	1001412
400000000	1000958
500000000	999499
600000000	1001293
700000000	1000737
800000000	1000826
900000000	1000385
1000000000	999994
1100000000	1000675
1200000000	1000935
1300000000	1000914
1400000000	1001560
1500000000	1001313
1600000000	999344
1700000000	1000774
1800000000	1001074
1900000000	1001825
2000000000	1000882
2100000000	1001301
2200000000	1000464
2300000000	1000585
2400000000	1000121
2500000000	1000144
2600000000	1001299
2700000000	1001094
2800000000	1002100
2900000000	1001219
3000000000	1002449
3100000000	1000806
3200000000	1000647
3300000000	1002024
3400000000	1002461
3500000000	1002330
3600000000	1001839
3700000000	1001435
3800000000	1001287
3900000000	1001440
4000000000	1003128
4100000000	1001725
4200000000	1002287
4300000000	1002134
4400000000	1001577
4500000000	999590
4600000000	1000640
4700000000	1002239
4800000000	1000913
4900000000	999042
5000000000	1002423
5100000000	1000982
5200000000	1001224
5300000000	1001739
5400000000	1001459
5500000000	1000668
5600000000	1001349
5700000000	998130
5800000000	1001393
5900000000	1001834
6000000000	1002133
6100000000	1001702
6200000000	1001553
6300000000	1002334
6400000000	1001433
6500000000	1001258
6600000000	1002012
6700000000	1001278
6800000000	1000737
6900000000	1000946
7000000000	1001448
7100000000	1000622
7200000000	1000153
7300000000	1001175
7400000000	1003233
7500000000	1000765
7600000000	1001961
7700000000	1001346
7800000000	1000667
7900000000	1001218
8000000000	1000942
8100000000	1001530
8200000000	1001085
8300000000	1001025
8400000000	1001920
8500000000	1000760
8600000000	1001319
8700000000	1000733
8800000000	1000777
8900000000	1000395
9000000000	1001218
9100000000	1001571
9200000000	1000317
9300000000	1003371
9400000000	1002106
9500000000	999643
9600000000	1002276
9700000000	1002007
9800000000	1000884
9900000000	1001432
10000000000	1003049
10100000000	1001745
10200000000	1001190
10300000000	1003029
10400000000	1000382
10500000000	1002900
10600000000	1001185
10700000000	1001404
10800000000	1001959
10900000000	1001468
11000000000	1002779
11100000000	1001877
11200000000	1000795
11300000000	1002741
11400000000	1002020
11500000000	1001627
11600000000	1001031
11700000000	1002749
11800000000	1002839
11900000000	1002485
12000000000	1002392
12100000000	999612
12200000000	1001563
12300000000	1001646
12400000000	1000567
12500000000	1002151
12600000000	1001887
12700000000	1001131
12800000000	1000763
12900000000	1001182
13000000000	1001080
13100000000	1002343
13200000000	1000085
13300000000	1002699
13400000000	1001391
13500000000	1000872
13600000000	1000485
13700000000	1000246
13800000000	1001366
13900000000	1001693
14000000000	1000928
14100000000	1001948
14200000000	1001296
14300000000	1002710
14400000000	1000987
14500000000	1001160
14600000000	1001395
14700000000	1001607
14800000000	1000994
14900000000	1000884
15000000000	1000882
15100000000	1003303
15200000000	1001650
15300000000	998750
15400000000	1001359
15500000000	1000573
15600000000	1001037
15700000000	1000682
15800000000	1002003
15900000000	1001365
16000000000	1000698
16100000000	1000489
16200000000	1001563
16300000000	1000296
16400000000	1001678
16500000000	1000405
16600000000	1002322
16700000000	1000099
16800000000	1001804
16900000000	1002236
17000000000	1000922
17100000000	1002025
17200000000	1000889
17300000000	1001746
17400000000	1000882
17500000000	999960
17600000000	1000573
17700000000	1001159
17800000000	1000918
17900000000	1000258
18000000000	1001700
18100000000	1000913
18200000000	1001735
18300000000	998685
18400000000	1001253
18500000000	999695
18600000000	1001747
18700000000	1001136
18800000000	1000625
18900000000	1001534
19000000000	1000523
19100000000	1001237
19200000000	1001330
19300000000	1001005
19400000000	1000592
19500000000	1000303
19600000000	1002279
19700000000	1000785
19800000000	999412
19900000000	1001382
20000000000	1002057
20100000000	1001158
20200000000	1003820
20300000000	1002840
20400000000	1000156
20500000000	999673
20600000000	1001671
20700000000	1000156
20800000000	1002264
20900000000	1000973
21000000000	1002506
21100000000	1000672
21200000000	1000574
21300000000	1001896
21400000000	1001740
21500000000	1001572
21600000000	1001412
21700000000	1000129
21800000000	1002705
21900000000	1002769
22000000000	1002678
22100000000	1000451
22200000000	1001562
22300000000	1001603
22400000000	999746
22500000000	1001361
22600000000	1002778
22700000000	1001416
22800000000	999677
22900000000	1002937
23000000000	999963
23100000000	999995
23200000000	1002393
23300000000	1001649
23400000000	1000491
23500000000	1003467
23600000000	1000954
23700000000	999741
23800000000	1001078
23900000000	1001129
24000000000	1000514
24100000000	1000765
24200000000	1000127
24300000000	1000955
24400000000	1000626
24500000000	998758
24600000000	1002628
24700000000	1002142
24800000000	1001281
24900000000	999180
25000000000	1001479
25100000000	1000741
25200000000	997824
25300000000	999954
25400000000	998762
25500000000	998749
25600000000	998711
25700000000	996488
25800000000	998369
25900000000	997239
26000000000	999885
26100000000	999506
26200000000	999111
26300000000	1000486
26400000000	998317
26500000000	998655
26600000000	997616
26700000000	997899
26800000000	998470
26900000000	999885
27000000000	998201
27100000000	998964
27200000000	999233
27300000000	998111
27400000000	999532
27500000000	997398
27600000000	998107
27700000000	997954
27800000000	998996
27900000000	997789
28000000000	996743
28100000000	998433
28200000000	999105
28300000000	998195
28400000000	998209
28500000000	997510
28600000000	997943
28700000000	999966
28800000000	998031
28900000000	999927
29000000000	999178
29100000000	997388
29200000000	998398
29300000000	998351
29400000000	997868
29500000000	998210
29600000000	998710
29700000000	999885
29800000000	998464
29900000000	998044
30000000000	996782
30100000000	997877
30200000000	997441
30300000000	998633
30400000000	999463
30500000000	998971
30600000000	996611
30700000000	997282
30800000000	997221
30900000000	998710
31000000000	998503
31100000000	999881
31200000000	998156
31300000000	996831
31400000000	999327
31500000000	996226
31600000000	999560
31700000000	999731
31800000000	996013
31900000000	997429
32000000000	999405
32100000000	998532
32200000000	998339
32300000000	998291
32400000000	995452
32500000000	997589
32600000000	997444
32700000000	998891
32800000000	998194
32900000000	998307
33000000000	997563
33100000000	998406
33200000000	998004
33300000000	997949
33400000000	998263
33500000000	997209
33600000000	997537
33700000000	998198
33800000000	997318
33900000000	998880
34000000000	998883
34100000000	996955
34200000000	997277
34300000000	997883
34400000000	996872
34500000000	998270
34600000000	999166
34700000000	996750
34800000000	997184
34900000000	996521
35000000000	997025
35100000000	1000638
35200000000	996080
35300000000	998401
35400000000	998487
35500000000	997304
35600000000	999543
35700000000	999547
35800000000	997030
35900000000	998568
36000000000	998892
36100000000	997875
