"Time (ps)"	"Counts per bin"
0	503787
100000000	504193
200000000	505321
300000000	504478
400000000	506027
500000000	504030
600000000	505073
700000000	504926
800000000	504559
900000000	505551
1000000000	505122
1100000000	505440
1200000000	504403
1300000000	504887
1400000000	505213
1500000000	505650
1600000000	504553
1700000000	504277
1800000000	503479
1900000000	504366
2000000000	504187
2100000000	504159
2200000000	506273
2300000000	505801
2400000000	505699
2500000000	504163
2600000000	506014
2700000000	504426
2800000000	503787
2900000000	504752
3000000000	506046
3100000000	504760
3200000000	504997
3300000000	504824
3400000000	504465
3500000000	504570
3600000000	505278
3700000000	505528
3800000000	505253
3900000000	504331
4000000000	504364
4100000000	505267
4200000000	505609
4300000000	505156
4400000000	504500
4500000000	505110
4600000000	506078
4700000000	504455
4800000000	504290
4900000000	504303
5000000000	504695
5100000000	505406
5200000000	506644
5300000000	504425
5400000000	504626
5500000000	503975
5600000000	504045
5700000000	504430
5800000000	504674
5900000000	504962
6000000000	504460
6100000000	504917
6200000000	504335
6300000000	504258
6400000000	504874
6500000000	506023
6600000000	505048
6700000000	504959
6800000000	505065
6900000000	505959
7000000000	506093
7100000000	505242
7200000000	505409
7300000000	505445
7400000000	505330
7500000000	504565
7600000000	506497
7700000000	505753
7800000000	505080
7900000000	504187
8000000000	504856
8100000000	504032
8200000000	505722
8300000000	504632
8400000000	504899
8500000000	504377
8600000000	504379
8700000000	505740
8800000000	504907
8900000000	503964
9000000000	504234
9100000000	504114
9200000000	504849
9300000000	503728
9400000000	503876
9500000000	504023
9600000000	504794
9700000000	504830
9800000000	505280
9900000000	505126
10000000000	504709
10100000000	503932
10200000000	504112
10300000000	504607
10400000000	504464
10500000000	503984
10600000000	504206
10700000000	504201
10800000000	504972
10900000000	504828
11000000000	505214
11100000000	504377
11200000000	505344
11300000000	504860
11400000000	503850
11500000000	504893
11600000000	505517
11700000000	503995
11800000000	505464
11900000000	504970
12000000000	504399
12100000000	504841
12200000000	505854
12300000000	504329
12400000000	505088
12500000000	503783
12600000000	503856
12700000000	505414
12800000000	505053
12900000000	503801
13000000000	504616
13100000000	505181
13200000000	504483
13300000000	504054
13400000000	504370
13500000000	505335
13600000000	504942
13700000000	503527
13800000000	504764
13900000000	505093
14000000000	505968
14100000000	504141
14200000000	504262
14300000000	504441
14400000000	503874
14500000000	504897
14600000000	503341
14700000000	504289
14800000000	504758
14900000000	505228
15000000000	504668
15100000000	505154
15200000000	505842
15300000000	504951
15400000000	504936
15500000000	504220
15600000000	503579
15700000000	503861
15800000000	505327
15900000000	503816
16000000000	505311
16100000000	505959
16200000000	505114
16300000000	504392
16400000000	504276
16500000000	504911
16600000000	504563
16700000000	505309
16800000000	505453
16900000000	505550
17000000000	504897
17100000000	504618
17200000000	505109
17300000000	505301
17400000000	503911
17500000000	504817
17600000000	504769
17700000000	505357
17800000000	505129
17900000000	505158
18000000000	505948
18100000000	503665
18200000000	504513
18300000000	503875
18400000000	504896
18500000000	504770
18600000000	503575
18700000000	504396
18800000000	505222
18900000000	505024
19000000000	504970
19100000000	505656
19200000000	505763
19300000000	504834
19400000000	504014
19500000000	504837
19600000000	505270
19700000000	504461
19800000000	504144
19900000000	506352
20000000000	504028
20100000000	504334
20200000000	504610
20300000000	504393
20400000000	504109
20500000000	504990
20600000000	503493
20700000000	504619
20800000000	505221
20900000000	503858
21000000000	504490
21100000000	503738
21200000000	505097
21300000000	503885
21400000000	504412
21500000000	504642
21600000000	504362
21700000000	506200
21800000000	504287
21900000000	503752
22000000000	505166
22100000000	504843
22200000000	503272
22300000000	504557
22400000000	503308
22500000000	505837
22600000000	504204
22700000000	503879
22800000000	505752
22900000000	504085
23000000000	504971
23100000000	504883
23200000000	504816
23300000000	504083
23400000000	505685
23500000000	505042
23600000000	505348
23700000000	505560
23800000000	504625
23900000000	504245
24000000000	504453
24100000000	504345
24200000000	503884
24300000000	503771
24400000000	504956
24500000000	505254
24600000000	504989
24700000000	504140
24800000000	504475
24900000000	505356
25000000000	504897
25100000000	503173
25200000000	501948
25300000000	504006
25400000000	502615
25500000000	501840
25600000000	502535
25700000000	501961
25800000000	503889
25900000000	503010
26000000000	502899
26100000000	502594
26200000000	500554
26300000000	503324
26400000000	501988
26500000000	501912
26600000000	501622
