"Time (ps)"	"Counts per bin"
0	499324
100000000	499233
200000000	499217
300000000	500516
400000000	501452
500000000	500038
600000000	499150
700000000	500806
800000000	499712
900000000	499892
1000000000	500606
1100000000	499424
1200000000	499427
1300000000	499351
1400000000	500228
1500000000	500626
1600000000	500405
1700000000	501067
1800000000	500880
1900000000	500132
2000000000	500320
2100000000	500070
2200000000	500010
2300000000	500828
2400000000	500958
2500000000	499899
2600000000	499631
2700000000	499342
2800000000	501252
2900000000	500842
3000000000	501237
3100000000	501303
3200000000	500431
3300000000	500963
3400000000	500920
3500000000	500953
3600000000	501236
3700000000	500856
3800000000	499754
3900000000	500118
4000000000	500774
4100000000	501103
4200000000	500234
4300000000	500887
4400000000	501277
4500000000	499630
4600000000	500931
4700000000	500761
4800000000	500439
4900000000	500862
5000000000	499865
5100000000	501788
5200000000	500695
5300000000	500668
5400000000	501374
5500000000	500109
5600000000	499555
5700000000	498498
5800000000	499378
5900000000	500286
6000000000	500678
6100000000	499542
6200000000	498899
6300000000	499461
6400000000	501113
6500000000	501016
6600000000	499335
6700000000	500009
6800000000	500699
6900000000	501168
7000000000	501203
7100000000	500358
7200000000	501319
7300000000	500272
7400000000	501316
7500000000	501205
7600000000	500699
7700000000	499811
7800000000	500769
7900000000	500872
8000000000	501521
8100000000	501061
8200000000	500831
8300000000	501334
8400000000	499986
8500000000	500908
8600000000	500458
8700000000	499940
8800000000	500967
8900000000	500507
9000000000	500593
9100000000	500950
9200000000	501192
9300000000	500429
9400000000	501296
9500000000	500016
9600000000	500921
9700000000	500117
9800000000	501785
9900000000	499711
10000000000	501658
10100000000	500698
10200000000	500443
10300000000	499376
10400000000	501199
10500000000	501309
10600000000	501173
10700000000	501533
10800000000	501399
10900000000	501534
11000000000	500616
11100000000	500460
11200000000	500833
11300000000	500786
11400000000	499832
11500000000	500105
11600000000	501000
11700000000	500300
11800000000	501451
11900000000	500837
12000000000	502471
12100000000	501004
12200000000	500794
12300000000	501410
12400000000	500136
12500000000	500285
12600000000	501979
12700000000	500534
12800000000	500340
12900000000	500842
13000000000	501620
13100000000	500753
13200000000	501190
13300000000	500619
13400000000	500150
13500000000	500726
13600000000	500593
13700000000	500805
13800000000	499604
13900000000	501601
14000000000	500938
14100000000	500383
14200000000	499261
14300000000	500197
14400000000	500959
14500000000	500058
14600000000	501091
14700000000	499266
14800000000	500462
14900000000	500605
15000000000	500414
15100000000	499562
15200000000	501105
15300000000	500308
15400000000	499356
15500000000	500349
15600000000	500571
15700000000	500686
15800000000	500596
15900000000	500129
16000000000	501609
16100000000	501015
16200000000	501401
16300000000	501146
16400000000	499927
16500000000	502530
16600000000	501250
16700000000	500348
16800000000	502145
16900000000	499492
17000000000	500442
17100000000	501304
17200000000	499565
17300000000	501438
17400000000	500297
17500000000	500033
17600000000	500353
17700000000	500296
17800000000	500815
17900000000	501412
18000000000	500942
18100000000	501368
18200000000	500977
18300000000	500977
18400000000	500529
18500000000	501265
18600000000	501636
18700000000	501200
18800000000	501512
18900000000	501274
19000000000	499793
19100000000	501534
19200000000	500538
19300000000	500292
19400000000	499547
19500000000	500276
19600000000	499708
19700000000	500561
19800000000	501093
19900000000	502617
20000000000	500472
20100000000	499794
20200000000	500757
20300000000	501507
20400000000	499742
20500000000	500532
20600000000	500274
20700000000	500036
20800000000	501990
20900000000	499371
21000000000	500576
21100000000	501143
21200000000	501880
21300000000	500848
21400000000	501074
21500000000	500661
21600000000	500728
21700000000	500909
21800000000	500767
21900000000	499965
22000000000	499669
22100000000	500603
22200000000	501323
22300000000	499594
22400000000	500372
22500000000	500548
22600000000	500397
22700000000	500251
22800000000	500795
22900000000	501385
23000000000	499960
23100000000	502381
23200000000	500555
23300000000	501713
23400000000	501425
23500000000	502024
23600000000	501661
23700000000	500671
23800000000	499617
23900000000	501048
24000000000	500609
24100000000	499907
24200000000	500674
24300000000	501824
24400000000	500729
24500000000	500075
24600000000	501452
24700000000	499839
24800000000	500125
24900000000	500023
25000000000	500494
25100000000	499667
25200000000	498903
25300000000	499706
25400000000	499143
25500000000	500337
25600000000	499778
25700000000	498880
25800000000	498785
25900000000	498871
26000000000	499562
26100000000	499633
26200000000	499791
26300000000	499617
26400000000	498702
26500000000	498920
26600000000	499742
26700000000	498479
26800000000	497818
26900000000	498885
27000000000	499701
27100000000	498262
27200000000	497321
27300000000	499996
27400000000	500220
27500000000	499335
27600000000	499274
27700000000	499134
27800000000	499331
27900000000	498319
28000000000	498674
28100000000	499258
28200000000	499240
28300000000	498733
28400000000	498891
28500000000	499378
28600000000	498323
28700000000	500050
28800000000	499143
28900000000	499313
29000000000	500522
29100000000	498628
29200000000	499349
29300000000	498601
29400000000	498652
29500000000	498394
29600000000	499342
29700000000	499939
29800000000	498234
