"Time (ps)"	"Counts per bin"
0	500678
100000000	504195
200000000	502396
300000000	502219
400000000	503526
500000000	503203
600000000	502240
700000000	502717
800000000	503524
900000000	503908
1000000000	501338
1100000000	503318
1200000000	502861
1300000000	501904
1400000000	503017
1500000000	503857
1600000000	503332
1700000000	502414
1800000000	503518
1900000000	502318
2000000000	502863
2100000000	502826
2200000000	503788
2300000000	503449
2400000000	502112
2500000000	502809
2600000000	504216
2700000000	502429
2800000000	503258
2900000000	501914
3000000000	503868
3100000000	502656
3200000000	503186
3300000000	502531
3400000000	502716
3500000000	502133
3600000000	502611
3700000000	503617
3800000000	502237
3900000000	503892
4000000000	503933
4100000000	503711
4200000000	503088
4300000000	502770
4400000000	501652
4500000000	503866
4600000000	503356
4700000000	502327
4800000000	503852
4900000000	503749
5000000000	502970
5100000000	503260
5200000000	503824
5300000000	502593
5400000000	502094
5500000000	503514
5600000000	502954
5700000000	503222
5800000000	502972
5900000000	503882
6000000000	504235
6100000000	502582
6200000000	504453
6300000000	503967
6400000000	502602
6500000000	504199
6600000000	503688
6700000000	503099
6800000000	502951
6900000000	502550
7000000000	503821
7100000000	503141
7200000000	504045
7300000000	503082
7400000000	502735
7500000000	502012
7600000000	501993
7700000000	503706
7800000000	503029
7900000000	502900
8000000000	503424
8100000000	502460
8200000000	503201
8300000000	503682
8400000000	503684
8500000000	502653
8600000000	502378
8700000000	504281
8800000000	502606
8900000000	503010
9000000000	503261
9100000000	503237
9200000000	502901
9300000000	502835
9400000000	503547
9500000000	501556
9600000000	503181
9700000000	503432
9800000000	502835
9900000000	503912
10000000000	503100
10100000000	502702
10200000000	502178
10300000000	503604
10400000000	501838
10500000000	503127
10600000000	504541
10700000000	503094
10800000000	502559
10900000000	502660
11000000000	503124
11100000000	502903
11200000000	502360
11300000000	504031
11400000000	502322
11500000000	501885
11600000000	502512
11700000000	502623
11800000000	503676
11900000000	501569
12000000000	503693
12100000000	502128
12200000000	501912
12300000000	502550
12400000000	503639
12500000000	502794
12600000000	502337
12700000000	502362
12800000000	501667
12900000000	503600
13000000000	502704
13100000000	503112
13200000000	503881
13300000000	502766
13400000000	502620
13500000000	502919
13600000000	502246
13700000000	502141
13800000000	502639
13900000000	502984
14000000000	503892
14100000000	502253
14200000000	502099
14300000000	502233
14400000000	502980
14500000000	502645
14600000000	503456
14700000000	503213
14800000000	502653
14900000000	503842
15000000000	503864
15100000000	502308
15200000000	502183
15300000000	503015
15400000000	502024
15500000000	503317
15600000000	503086
15700000000	502490
15800000000	502521
15900000000	501690
16000000000	503107
16100000000	501625
16200000000	501928
16300000000	502120
16400000000	502902
16500000000	502844
16600000000	502509
16700000000	501330
16800000000	501346
16900000000	503674
17000000000	503889
17100000000	502887
17200000000	502431
17300000000	502487
17400000000	503101
17500000000	502484
17600000000	502764
17700000000	503307
17800000000	502679
17900000000	504187
18000000000	502741
18100000000	502986
18200000000	503170
18300000000	502328
18400000000	503042
18500000000	502850
18600000000	501492
18700000000	502938
18800000000	503509
18900000000	501431
19000000000	503217
19100000000	503120
19200000000	503326
19300000000	502513
19400000000	503125
19500000000	502943
19600000000	502849
19700000000	501734
19800000000	502382
19900000000	503071
20000000000	502142
20100000000	501909
20200000000	503732
20300000000	502459
20400000000	502513
20500000000	501938
20600000000	502776
20700000000	503496
20800000000	502502
20900000000	502712
21000000000	502661
21100000000	501823
21200000000	503139
21300000000	502714
21400000000	502931
