"Time (ps)"	"Counts per bin"
0	500
100000000	453
200000000	464
300000000	496
400000000	428
500000000	480
600000000	477
700000000	459
800000000	474
900000000	437
1000000000	455
1100000000	482
1200000000	459
1300000000	432
1400000000	499
1500000000	493
1600000000	480
1700000000	456
1800000000	472
1900000000	475
2000000000	434
2100000000	447
2200000000	459
2300000000	499
2400000000	458
2500000000	459
2600000000	457
2700000000	477
2800000000	507
2900000000	437
3000000000	470
3100000000	464
3200000000	502
3300000000	477
3400000000	466
3500000000	509
3600000000	442
3700000000	432
3800000000	473
3900000000	488
4000000000	469
4100000000	509
4200000000	516
4300000000	476
4400000000	415
4500000000	493
4600000000	446
4700000000	453
4800000000	465
4900000000	494
5000000000	447
5100000000	470
5200000000	466
5300000000	458
5400000000	471
5500000000	482
5600000000	472
5700000000	522
5800000000	465
5900000000	496
6000000000	405
6100000000	505
6200000000	476
6300000000	462
6400000000	448
6500000000	464
6600000000	455
6700000000	464
6800000000	507
6900000000	489
7000000000	475
7100000000	474
7200000000	433
7300000000	442
7400000000	442
7500000000	505
7600000000	487
7700000000	435
7800000000	486
7900000000	472
8000000000	459
8100000000	491
8200000000	423
8300000000	452
8400000000	466
8500000000	469
8600000000	445
8700000000	452
8800000000	418
8900000000	467
9000000000	514
9100000000	484
9200000000	408
9300000000	481
9400000000	451
9500000000	462
9600000000	485
9700000000	451
9800000000	487
9900000000	462
10000000000	454
10100000000	524
10200000000	496
10300000000	447
10400000000	460
10500000000	431
10600000000	482
10700000000	472
10800000000	501
10900000000	489
11000000000	452
11100000000	455
11200000000	456
11300000000	436
11400000000	437
11500000000	468
11600000000	430
11700000000	463
11800000000	480
11900000000	450
12000000000	462
12100000000	464
12200000000	464
12300000000	434
12400000000	489
12500000000	465
12600000000	474
12700000000	454
12800000000	485
12900000000	456
13000000000	438
13100000000	515
13200000000	467
13300000000	470
13400000000	469
13500000000	436
13600000000	475
13700000000	446
13800000000	508
13900000000	461
14000000000	445
14100000000	449
14200000000	451
14300000000	451
14400000000	435
14500000000	450
14600000000	478
14700000000	469
14800000000	439
14900000000	488
15000000000	467
15100000000	485
15200000000	471
15300000000	515
15400000000	460
15500000000	476
15600000000	496
15700000000	447
15800000000	490
15900000000	453
16000000000	440
16100000000	452
16200000000	488
16300000000	452
16400000000	436
16500000000	460
16600000000	484
16700000000	491
16800000000	472
16900000000	486
17000000000	473
17100000000	474
17200000000	461
17300000000	488
17400000000	421
17500000000	475
17600000000	504
17700000000	464
17800000000	484
17900000000	482
18000000000	467
18100000000	459
18200000000	444
18300000000	459
18400000000	494
18500000000	461
18600000000	462
18700000000	454
18800000000	474
18900000000	458
19000000000	472
19100000000	463
19200000000	485
19300000000	503
19400000000	477
19500000000	499
19600000000	466
19700000000	461
19800000000	465
19900000000	481
20000000000	439
20100000000	513
20200000000	491
20300000000	447
20400000000	467
20500000000	459
20600000000	441
20700000000	467
20800000000	466
20900000000	507
21000000000	468
21100000000	469
21200000000	490
21300000000	482
21400000000	444
21500000000	519
21600000000	431
21700000000	476
21800000000	483
21900000000	416
22000000000	439
22100000000	448
22200000000	490
22300000000	435
22400000000	480
22500000000	506
22600000000	462
22700000000	441
22800000000	436
22900000000	502
23000000000	463
23100000000	473
