"Time (ps)"	"Counts per bin"
0	49077
100000000	51112
200000000	52638
300000000	53450
400000000	53258
500000000	53512
600000000	53107
700000000	52966
800000000	52739
900000000	53105
1000000000	53009
1100000000	52696
1200000000	53042
1300000000	53029
1400000000	52907
1500000000	52597
1600000000	53082
1700000000	52580
1800000000	52699
1900000000	52617
2000000000	52654
2100000000	52649
2200000000	52290
2300000000	52652
2400000000	52318
2500000000	52375
2600000000	52316
2700000000	52227
2800000000	52539
2900000000	52107
3000000000	51939
3100000000	52376
3200000000	52017
3300000000	52031
3400000000	51883
3500000000	52037
3600000000	51882
3700000000	51455
3800000000	51816
3900000000	52004
4000000000	51534
4100000000	51474
4200000000	52220
4300000000	51502
4400000000	52313
4500000000	51859
4600000000	52254
4700000000	52077
4800000000	52118
4900000000	52253
5000000000	51993
5100000000	51895
5200000000	51360
5300000000	52187
5400000000	51777
5500000000	51727
5600000000	51846
5700000000	51902
5800000000	51638
5900000000	52286
6000000000	51698
6100000000	51673
6200000000	51574
6300000000	51497
6400000000	51592
6500000000	51666
6600000000	51933
6700000000	51808
6800000000	51873
6900000000	52005
7000000000	51755
7100000000	52084
7200000000	51796
7300000000	51993
7400000000	51558
7500000000	51872
7600000000	51751
7700000000	51740
7800000000	52015
7900000000	51816
8000000000	52234
8100000000	52272
8200000000	52019
8300000000	51837
8400000000	51884
8500000000	52286
8600000000	52271
8700000000	52011
8800000000	51880
8900000000	52062
9000000000	51729
9100000000	52063
9200000000	52099
9300000000	51890
9400000000	51604
9500000000	51833
9600000000	51946
9700000000	52083
9800000000	51701
9900000000	51707
10000000000	51735
10100000000	51821
10200000000	51890
10300000000	51611
10400000000	51930
10500000000	51944
10600000000	52090
10700000000	51908
10800000000	51388
10900000000	51669
11000000000	51873
11100000000	51704
11200000000	51843
11300000000	52036
11400000000	52412
11500000000	52068
11600000000	51559
11700000000	51711
11800000000	52061
11900000000	52072
12000000000	51932
12100000000	52190
12200000000	51629
12300000000	52017
12400000000	51968
12500000000	51978
12600000000	51791
12700000000	52247
12800000000	51950
12900000000	52104
13000000000	52134
13100000000	51804
13200000000	51935
13300000000	51676
13400000000	51647
13500000000	51825
13600000000	52015
13700000000	52185
13800000000	51497
13900000000	51603
14000000000	52024
14100000000	51341
14200000000	52012
14300000000	51754
14400000000	51698
14500000000	51894
14600000000	51755
14700000000	51739
14800000000	52197
14900000000	51578
15000000000	52220
15100000000	51801
15200000000	51152
15300000000	52049
15400000000	52054
15500000000	51835
15600000000	52080
15700000000	52248
