"Time (ps)"	"Counts per bin"
0	528
1000000	550
2000000	493
3000000	525
4000000	517
5000000	530
6000000	500
7000000	558
8000000	497
9000000	508
10000000	515
11000000	510
12000000	538
13000000	511
14000000	553
15000000	469
16000000	470
17000000	508
18000000	465
19000000	516
20000000	484
21000000	474
22000000	482
23000000	520
24000000	485
25000000	517
26000000	442
27000000	481
28000000	432
29000000	427
30000000	436
31000000	439
32000000	434
33000000	453
34000000	443
35000000	421
36000000	443
37000000	435
38000000	453
39000000	450
40000000	378
41000000	448
42000000	443
43000000	420
44000000	437
45000000	411
46000000	431
47000000	394
48000000	443
49000000	437
50000000	343
51000000	381
52000000	388
53000000	395
54000000	371
55000000	384
56000000	402
57000000	387
58000000	358
59000000	428
60000000	389
61000000	366
62000000	390
63000000	375
64000000	334
65000000	362
66000000	375
67000000	378
68000000	376
69000000	378
70000000	333
71000000	370
72000000	323
73000000	344
74000000	355
75000000	340
76000000	319
77000000	374
78000000	335
79000000	304
80000000	352
81000000	314
82000000	379
83000000	337
84000000	337
85000000	310
86000000	322
87000000	304
88000000	331
89000000	314
90000000	291
91000000	302
92000000	309
93000000	320
94000000	304
95000000	307
96000000	336
97000000	321
98000000	300
99000000	287
100000000	326
101000000	311
102000000	310
103000000	286
104000000	316
105000000	289
106000000	272
107000000	292
108000000	294
109000000	269
110000000	275
111000000	255
112000000	257
113000000	290
114000000	277
115000000	266
116000000	302
117000000	290
118000000	272
119000000	270
120000000	256
121000000	276
122000000	248
123000000	269
124000000	270
125000000	278
126000000	265
127000000	280
128000000	243
129000000	259
130000000	250
131000000	238
132000000	239
133000000	236
134000000	271
135000000	234
136000000	232
137000000	221
138000000	223
139000000	244
140000000	249
141000000	243
142000000	233
143000000	216
144000000	221
145000000	220
146000000	224
147000000	254
148000000	240
149000000	225
150000000	231
151000000	248
152000000	204
153000000	236
154000000	226
155000000	199
156000000	229
157000000	210
158000000	216
159000000	216
160000000	219
161000000	195
162000000	197
163000000	211
164000000	205
165000000	212
166000000	202
167000000	206
168000000	203
169000000	176
170000000	197
171000000	205
172000000	220
173000000	205
174000000	202
175000000	184
176000000	211
177000000	155
178000000	197
179000000	192
180000000	192
181000000	196
182000000	203
183000000	182
184000000	182
185000000	193
186000000	199
187000000	195
188000000	198
189000000	196
190000000	179
191000000	200
192000000	173
193000000	176
194000000	165
195000000	182
196000000	165
197000000	171
198000000	174
199000000	172
200000000	169
201000000	147
202000000	192
203000000	181
204000000	165
205000000	170
206000000	150
207000000	158
208000000	186
209000000	153
210000000	163
211000000	167
212000000	161
213000000	183
214000000	141
215000000	166
216000000	170
217000000	162
218000000	165
219000000	128
220000000	173
221000000	165
222000000	164
223000000	167
224000000	145
225000000	156
226000000	151
227000000	150
228000000	125
229000000	142
230000000	152
231000000	139
232000000	140
233000000	149
234000000	137
235000000	149
236000000	148
237000000	126
238000000	145
239000000	139
240000000	137
241000000	146
242000000	147
243000000	140
244000000	119
245000000	124
246000000	127
247000000	134
248000000	116
249000000	126
250000000	159
251000000	146
252000000	140
253000000	137
254000000	163
255000000	134
256000000	142
257000000	140
258000000	117
259000000	130
260000000	126
261000000	131
262000000	136
263000000	156
264000000	127
265000000	113
266000000	119
267000000	125
268000000	118
269000000	136
270000000	144
271000000	125
272000000	105
273000000	117
274000000	116
275000000	107
276000000	135
277000000	117
278000000	113
279000000	119
280000000	111
281000000	118
282000000	112
283000000	116
284000000	109
285000000	104
286000000	121
287000000	125
288000000	94
289000000	120
290000000	112
291000000	110
292000000	85
293000000	111
294000000	105
295000000	107
296000000	113
297000000	103
298000000	102
299000000	89
300000000	106
301000000	84
302000000	101
303000000	90
304000000	87
305000000	107
306000000	125
307000000	106
308000000	102
309000000	95
310000000	109
311000000	102
312000000	95
313000000	109
314000000	98
315000000	83
316000000	99
317000000	96
318000000	96
319000000	68
320000000	97
321000000	90
322000000	82
323000000	81
324000000	106
325000000	88
326000000	99
327000000	92
328000000	87
329000000	88
330000000	82
331000000	73
332000000	80
333000000	105
334000000	81
335000000	77
336000000	84
337000000	89
338000000	100
339000000	96
340000000	86
341000000	83
342000000	65
343000000	69
344000000	103
345000000	93
346000000	78
347000000	81
348000000	70
349000000	81
350000000	83
351000000	75
352000000	71
353000000	91
354000000	76
355000000	79
356000000	81
357000000	82
358000000	73
359000000	64
360000000	67
361000000	73
362000000	89
363000000	79
364000000	88
365000000	60
366000000	70
367000000	69
368000000	68
369000000	63
370000000	85
371000000	72
372000000	65
373000000	79
374000000	66
375000000	79
376000000	84
377000000	70
378000000	58
379000000	72
380000000	66
381000000	55
382000000	62
383000000	63
384000000	69
385000000	73
386000000	82
387000000	62
388000000	68
389000000	64
390000000	65
391000000	50
392000000	53
393000000	61
394000000	76
395000000	61
396000000	71
397000000	60
398000000	68
399000000	65
400000000	70
401000000	71
402000000	56
403000000	57
404000000	59
405000000	58
406000000	55
407000000	76
408000000	71
409000000	51
410000000	56
411000000	65
412000000	50
413000000	62
414000000	58
415000000	45
416000000	58
417000000	65
418000000	59
419000000	68
420000000	62
421000000	64
422000000	61
423000000	56
424000000	47
425000000	41
426000000	63
427000000	55
428000000	52
429000000	50
430000000	58
431000000	57
432000000	51
433000000	56
434000000	51
435000000	57
436000000	56
437000000	38
438000000	46
439000000	55
440000000	64
441000000	36
442000000	54
443000000	41
444000000	46
445000000	48
446000000	56
447000000	60
448000000	38
449000000	45
450000000	52
451000000	62
452000000	50
453000000	45
454000000	50
455000000	49
456000000	50
457000000	59
458000000	57
459000000	43
460000000	56
461000000	39
462000000	49
463000000	39
464000000	43
465000000	56
466000000	47
467000000	45
468000000	50
469000000	66
470000000	44
471000000	50
472000000	38
473000000	47
474000000	49
475000000	49
476000000	49
477000000	45
478000000	35
479000000	49
480000000	50
481000000	55
482000000	53
483000000	51
484000000	35
485000000	45
486000000	46
487000000	50
488000000	44
489000000	45
490000000	44
491000000	38
492000000	45
493000000	46
494000000	41
495000000	38
496000000	34
497000000	36
498000000	35
499000000	41
500000000	45
501000000	44
502000000	53
503000000	52
504000000	40
505000000	37
506000000	37
507000000	42
508000000	50
509000000	31
510000000	23
511000000	44
512000000	31
513000000	45
514000000	35
515000000	33
516000000	53
517000000	36
518000000	36
519000000	45
520000000	41
521000000	35
522000000	28
523000000	37
524000000	38
525000000	34
526000000	36
527000000	39
528000000	23
529000000	41
530000000	35
531000000	28
532000000	33
533000000	18
534000000	30
535000000	40
536000000	40
537000000	37
538000000	33
539000000	37
540000000	35
541000000	38
542000000	38
543000000	35
544000000	33
545000000	38
546000000	38
547000000	35
548000000	31
549000000	30
550000000	39
551000000	38
552000000	39
553000000	40
554000000	32
555000000	19
556000000	35
557000000	30
558000000	32
559000000	29
560000000	32
561000000	31
562000000	22
563000000	32
564000000	34
565000000	27
566000000	29
567000000	35
568000000	26
569000000	30
570000000	41
571000000	35
572000000	30
573000000	49
574000000	31
575000000	42
576000000	33
577000000	24
578000000	24
579000000	35
580000000	23
581000000	23
582000000	25
583000000	20
584000000	31
585000000	25
586000000	25
587000000	20
588000000	27
589000000	40
590000000	32
591000000	23
592000000	11
593000000	32
594000000	33
595000000	29
596000000	27
597000000	24
598000000	26
599000000	24
600000000	25
601000000	31
602000000	25
603000000	33
604000000	20
605000000	30
606000000	26
607000000	29
608000000	19
609000000	31
610000000	26
611000000	23
612000000	24
613000000	24
614000000	28
615000000	32
616000000	18
617000000	18
618000000	23
619000000	30
620000000	28
621000000	23
622000000	26
623000000	22
624000000	23
625000000	22
626000000	30
627000000	24
628000000	25
629000000	25
630000000	27
631000000	14
632000000	27
633000000	27
634000000	25
635000000	19
636000000	20
637000000	16
638000000	28
639000000	16
640000000	23
641000000	22
642000000	23
643000000	32
644000000	19
645000000	27
646000000	20
647000000	18
648000000	21
649000000	18
650000000	19
651000000	16
652000000	19
653000000	23
654000000	20
655000000	20
656000000	24
657000000	28
658000000	26
659000000	17
660000000	26
661000000	17
662000000	18
663000000	21
664000000	15
665000000	27
666000000	23
667000000	27
668000000	19
669000000	22
670000000	19
671000000	17
672000000	20
673000000	20
674000000	19
675000000	27
676000000	13
677000000	11
678000000	17
679000000	14
680000000	19
681000000	12
682000000	23
683000000	18
684000000	15
685000000	17
686000000	29
687000000	12
688000000	17
689000000	23
690000000	17
691000000	23
692000000	23
693000000	19
694000000	19
695000000	21
696000000	22
697000000	25
698000000	17
699000000	22
700000000	19
701000000	22
702000000	16
703000000	11
704000000	14
705000000	17
706000000	22
707000000	22
708000000	15
709000000	29
710000000	24
711000000	13
712000000	16
713000000	23
714000000	22
715000000	16
716000000	19
717000000	11
718000000	26
719000000	21
720000000	24
721000000	16
722000000	10
723000000	13
724000000	21
725000000	16
726000000	17
727000000	16
728000000	15
729000000	19
730000000	14
731000000	23
732000000	13
733000000	12
734000000	17
735000000	11
736000000	19
737000000	14
738000000	12
739000000	14
740000000	17
741000000	20
742000000	15
743000000	17
744000000	12
745000000	4
746000000	18
747000000	7
748000000	10
749000000	16
750000000	18
751000000	19
752000000	18
753000000	16
754000000	8
755000000	9
756000000	9
757000000	17
758000000	16
759000000	14
760000000	17
761000000	11
762000000	14
763000000	13
764000000	12
765000000	11
766000000	12
767000000	7
768000000	17
769000000	12
770000000	20
771000000	11
772000000	15
773000000	15
774000000	9
775000000	10
776000000	15
777000000	11
778000000	14
779000000	14
780000000	12
781000000	13
782000000	13
783000000	14
784000000	7
785000000	11
786000000	14
787000000	15
788000000	6
789000000	10
790000000	13
791000000	17
792000000	5
793000000	11
794000000	3
