"Time (ps)"	"Counts per bin"
0	35
1000000	34
2000000	36
3000000	32
4000000	37
5000000	33
6000000	45
7000000	40
8000000	39
9000000	26
10000000	42
11000000	33
12000000	28
13000000	43
14000000	31
15000000	35
16000000	35
17000000	28
18000000	26
19000000	35
20000000	43
21000000	36
22000000	30
23000000	33
24000000	42
25000000	26
26000000	26
27000000	33
28000000	31
29000000	31
30000000	30
31000000	34
32000000	35
33000000	19
34000000	27
35000000	21
36000000	26
37000000	30
38000000	17
39000000	23
40000000	27
41000000	42
42000000	27
43000000	29
44000000	23
45000000	29
46000000	26
47000000	23
48000000	38
49000000	29
50000000	29
51000000	26
52000000	31
53000000	35
54000000	28
55000000	19
56000000	28
57000000	36
58000000	24
59000000	20
60000000	32
61000000	29
62000000	30
63000000	28
64000000	29
65000000	35
66000000	33
67000000	26
68000000	24
69000000	29
70000000	24
71000000	21
72000000	28
73000000	28
74000000	34
75000000	29
76000000	25
77000000	22
78000000	39
79000000	25
80000000	22
81000000	21
82000000	24
83000000	25
84000000	33
85000000	29
86000000	28
87000000	23
88000000	23
89000000	20
90000000	25
91000000	28
92000000	21
93000000	28
94000000	29
95000000	19
96000000	29
97000000	29
98000000	18
99000000	28
100000000	21
101000000	34
102000000	26
103000000	21
104000000	21
105000000	28
106000000	25
107000000	15
108000000	19
109000000	17
110000000	18
111000000	24
112000000	25
113000000	25
114000000	26
115000000	22
116000000	25
117000000	31
118000000	26
119000000	20
120000000	21
121000000	36
122000000	19
123000000	19
124000000	26
125000000	21
126000000	25
127000000	22
128000000	15
129000000	21
130000000	24
131000000	22
132000000	27
133000000	19
134000000	25
135000000	22
136000000	23
137000000	30
138000000	36
139000000	27
140000000	15
141000000	17
142000000	19
143000000	24
144000000	25
145000000	25
146000000	28
147000000	27
148000000	15
149000000	14
150000000	22
151000000	24
152000000	19
153000000	22
154000000	18
155000000	25
156000000	22
157000000	23
158000000	27
159000000	24
160000000	23
161000000	18
162000000	21
163000000	18
164000000	21
165000000	18
166000000	25
167000000	24
168000000	26
169000000	19
170000000	19
171000000	24
172000000	11
173000000	22
174000000	16
175000000	23
176000000	31
177000000	19
178000000	13
179000000	17
180000000	30
181000000	25
182000000	19
183000000	22
184000000	23
185000000	17
186000000	19
187000000	22
188000000	24
189000000	17
190000000	27
191000000	17
192000000	21
193000000	12
194000000	19
195000000	18
196000000	19
197000000	21
198000000	26
199000000	35
200000000	17
201000000	24
202000000	15
203000000	17
204000000	10
205000000	24
206000000	18
207000000	18
208000000	9
209000000	18
210000000	17
211000000	26
212000000	13
213000000	20
214000000	20
215000000	19
216000000	24
217000000	16
218000000	22
219000000	16
220000000	15
221000000	30
222000000	18
223000000	23
224000000	11
225000000	23
226000000	12
227000000	16
228000000	19
229000000	21
230000000	16
231000000	13
232000000	14
233000000	16
234000000	12
235000000	17
236000000	27
237000000	11
238000000	10
239000000	11
240000000	18
241000000	20
242000000	14
243000000	15
244000000	17
245000000	21
246000000	22
247000000	15
248000000	28
249000000	17
250000000	5
251000000	22
252000000	12
253000000	26
254000000	13
255000000	13
256000000	11
257000000	20
258000000	11
259000000	15
260000000	13
261000000	16
262000000	15
263000000	17
264000000	16
265000000	15
266000000	14
267000000	13
268000000	12
269000000	15
270000000	20
271000000	27
272000000	7
273000000	21
274000000	17
275000000	27
276000000	11
277000000	11
278000000	23
279000000	21
280000000	19
281000000	14
282000000	17
283000000	16
284000000	25
285000000	12
286000000	16
287000000	18
288000000	14
289000000	10
290000000	15
291000000	21
292000000	9
293000000	24
294000000	15
295000000	21
296000000	18
297000000	18
298000000	19
299000000	13
300000000	22
301000000	12
302000000	11
303000000	18
304000000	20
305000000	13
306000000	16
307000000	21
308000000	13
309000000	9
310000000	19
311000000	14
312000000	20
313000000	10
314000000	18
315000000	17
316000000	16
317000000	22
318000000	10
319000000	22
320000000	21
321000000	16
322000000	11
323000000	12
324000000	16
325000000	13
326000000	13
327000000	20
328000000	12
329000000	16
330000000	17
331000000	8
332000000	8
333000000	19
334000000	10
335000000	13
336000000	20
337000000	14
338000000	20
339000000	25
340000000	7
341000000	8
342000000	21
343000000	9
344000000	21
345000000	19
346000000	10
347000000	16
348000000	11
349000000	11
350000000	21
351000000	12
352000000	12
353000000	12
354000000	14
355000000	12
356000000	16
357000000	14
358000000	8
359000000	9
360000000	15
361000000	14
362000000	13
363000000	13
364000000	14
365000000	19
366000000	20
367000000	17
368000000	17
369000000	19
370000000	15
371000000	11
372000000	14
373000000	11
374000000	11
375000000	16
376000000	6
377000000	20
378000000	10
379000000	8
380000000	10
381000000	10
382000000	14
383000000	8
384000000	9
385000000	13
386000000	12
387000000	9
388000000	12
389000000	12
390000000	11
391000000	13
392000000	11
393000000	6
394000000	20
395000000	10
396000000	12
397000000	9
398000000	11
399000000	15
400000000	8
401000000	14
402000000	8
403000000	14
404000000	14
405000000	10
406000000	19
407000000	13
408000000	11
409000000	15
410000000	19
411000000	15
412000000	11
413000000	12
414000000	15
415000000	11
416000000	6
417000000	11
418000000	10
419000000	7
420000000	14
421000000	13
422000000	13
423000000	12
424000000	17
425000000	10
426000000	17
427000000	8
428000000	6
429000000	11
430000000	7
431000000	14
432000000	9
433000000	17
434000000	11
435000000	19
436000000	9
437000000	7
438000000	12
439000000	8
440000000	14
441000000	10
442000000	7
443000000	9
444000000	15
445000000	16
446000000	10
447000000	11
448000000	6
449000000	7
450000000	9
451000000	12
452000000	15
453000000	12
454000000	10
455000000	11
456000000	12
457000000	9
458000000	12
459000000	14
460000000	10
461000000	11
462000000	7
463000000	15
464000000	16
465000000	10
466000000	19
467000000	7
468000000	15
469000000	12
470000000	16
471000000	13
472000000	9
473000000	6
474000000	18
475000000	12
476000000	13
477000000	8
478000000	14
479000000	6
480000000	18
481000000	11
482000000	10
483000000	17
484000000	7
485000000	12
486000000	16
487000000	9
488000000	10
489000000	12
490000000	9
491000000	10
492000000	14
493000000	14
494000000	19
495000000	8
496000000	8
497000000	11
498000000	9
499000000	14
500000000	10
501000000	8
502000000	12
503000000	14
504000000	7
505000000	9
506000000	10
507000000	9
508000000	13
509000000	13
510000000	9
511000000	13
512000000	9
513000000	8
514000000	11
515000000	4
516000000	11
517000000	9
518000000	12
519000000	9
520000000	17
521000000	12
522000000	13
523000000	11
524000000	13
525000000	9
526000000	16
527000000	10
528000000	13
529000000	8
530000000	10
531000000	5
532000000	8
533000000	9
534000000	11
535000000	12
536000000	14
537000000	14
538000000	5
539000000	12
540000000	8
541000000	9
542000000	12
543000000	11
544000000	14
545000000	9
546000000	12
547000000	6
548000000	14
549000000	9
550000000	12
551000000	10
552000000	7
553000000	12
554000000	12
555000000	4
556000000	13
557000000	17
558000000	14
559000000	7
560000000	15
561000000	12
562000000	9
563000000	8
564000000	7
565000000	15
566000000	9
567000000	9
568000000	8
569000000	7
570000000	8
571000000	6
572000000	11
573000000	9
574000000	7
575000000	9
576000000	10
577000000	9
578000000	6
579000000	8
580000000	8
581000000	10
582000000	8
583000000	12
584000000	10
585000000	8
586000000	12
587000000	8
588000000	13
589000000	9
590000000	10
591000000	7
592000000	7
593000000	8
594000000	16
595000000	9
596000000	14
597000000	9
598000000	11
599000000	13
600000000	18
601000000	7
602000000	5
603000000	9
604000000	9
605000000	5
606000000	11
607000000	13
608000000	6
609000000	11
610000000	5
611000000	9
612000000	10
613000000	13
614000000	11
615000000	4
616000000	7
617000000	7
618000000	15
619000000	10
620000000	11
621000000	17
622000000	11
623000000	7
624000000	14
625000000	12
626000000	11
627000000	10
628000000	8
629000000	6
630000000	13
631000000	11
632000000	10
633000000	4
634000000	12
635000000	9
636000000	7
637000000	9
638000000	17
639000000	6
640000000	6
641000000	3
642000000	6
643000000	10
644000000	14
645000000	16
646000000	10
647000000	12
648000000	9
649000000	6
650000000	5
651000000	9
652000000	13
653000000	13
654000000	11
655000000	9
656000000	7
657000000	10
658000000	16
659000000	13
660000000	9
661000000	7
662000000	13
663000000	8
664000000	13
665000000	13
666000000	15
667000000	9
668000000	9
669000000	8
670000000	11
671000000	7
672000000	9
673000000	12
674000000	6
675000000	5
676000000	9
677000000	15
678000000	7
679000000	10
680000000	9
681000000	12
682000000	9
683000000	9
684000000	7
685000000	15
686000000	8
687000000	14
688000000	7
689000000	6
690000000	8
691000000	12
692000000	9
693000000	9
694000000	8
695000000	11
696000000	6
697000000	8
698000000	8
699000000	10
700000000	9
701000000	6
702000000	8
703000000	11
704000000	12
705000000	13
706000000	12
707000000	8
708000000	12
709000000	12
710000000	5
711000000	15
712000000	6
713000000	10
714000000	13
715000000	9
716000000	9
717000000	11
718000000	8
719000000	14
720000000	9
721000000	9
722000000	7
723000000	9
724000000	14
725000000	11
726000000	12
727000000	10
728000000	8
729000000	15
730000000	9
731000000	9
732000000	11
733000000	9
734000000	9
735000000	8
736000000	9
737000000	4
738000000	10
739000000	15
740000000	13
741000000	7
742000000	15
743000000	11
744000000	8
745000000	7
746000000	10
747000000	8
748000000	9
749000000	9
750000000	15
751000000	9
752000000	2
753000000	7
754000000	12
755000000	6
756000000	10
757000000	11
758000000	4
759000000	15
760000000	13
761000000	6
762000000	12
763000000	8
764000000	13
765000000	15
766000000	9
767000000	8
768000000	12
769000000	12
770000000	13
771000000	18
772000000	9
773000000	6
774000000	10
775000000	8
776000000	9
777000000	9
778000000	16
779000000	8
780000000	10
781000000	12
782000000	12
783000000	11
784000000	8
785000000	9
786000000	9
787000000	11
788000000	15
789000000	6
790000000	14
791000000	9
792000000	6
793000000	10
794000000	3
795000000	8
796000000	7
797000000	11
798000000	5
799000000	9
800000000	7
801000000	12
802000000	12
803000000	9
804000000	8
805000000	10
806000000	16
807000000	8
