"Time (ps)"	"Counts per bin"
0	44
1000000	43
2000000	46
3000000	42
4000000	47
5000000	40
6000000	53
7000000	47
8000000	47
9000000	35
10000000	60
11000000	41
12000000	41
13000000	53
14000000	42
15000000	42
16000000	45
17000000	34
18000000	37
19000000	42
20000000	48
21000000	44
22000000	49
23000000	39
24000000	51
25000000	39
26000000	34
27000000	38
28000000	39
29000000	41
30000000	38
31000000	45
32000000	40
33000000	32
34000000	34
35000000	30
36000000	36
37000000	37
38000000	25
39000000	30
40000000	34
41000000	53
42000000	34
43000000	37
44000000	30
45000000	37
46000000	33
47000000	38
48000000	50
49000000	38
50000000	40
51000000	36
52000000	41
53000000	48
54000000	34
55000000	34
56000000	35
57000000	49
58000000	32
59000000	29
60000000	41
61000000	36
62000000	33
63000000	38
64000000	33
65000000	43
66000000	41
67000000	35
68000000	36
69000000	37
70000000	34
71000000	34
72000000	35
73000000	35
74000000	43
75000000	38
76000000	31
77000000	34
78000000	45
79000000	36
80000000	33
81000000	31
82000000	29
83000000	28
84000000	39
85000000	36
86000000	38
87000000	31
88000000	30
89000000	26
90000000	32
91000000	43
92000000	32
93000000	32
94000000	34
95000000	22
96000000	35
97000000	39
98000000	25
99000000	33
100000000	22
101000000	44
102000000	32
103000000	26
104000000	34
105000000	34
106000000	29
107000000	17
108000000	25
109000000	22
110000000	29
111000000	28
112000000	26
113000000	29
114000000	41
115000000	27
116000000	30
117000000	40
118000000	34
119000000	28
120000000	32
121000000	48
122000000	26
123000000	27
124000000	28
125000000	26
126000000	30
127000000	31
128000000	20
129000000	28
130000000	27
131000000	26
132000000	39
133000000	33
134000000	29
135000000	36
136000000	31
137000000	39
138000000	40
139000000	31
140000000	21
141000000	26
142000000	22
143000000	28
144000000	28
145000000	28
146000000	34
147000000	29
148000000	20
149000000	20
150000000	30
151000000	27
152000000	23
153000000	33
154000000	23
155000000	30
156000000	33
157000000	33
158000000	31
159000000	31
160000000	31
161000000	28
162000000	31
163000000	21
164000000	25
165000000	25
166000000	27
167000000	34
168000000	27
169000000	28
170000000	30
171000000	39
172000000	16
173000000	30
174000000	20
175000000	32
176000000	42
177000000	27
178000000	20
179000000	25
180000000	38
181000000	30
182000000	22
183000000	31
184000000	31
185000000	23
186000000	25
187000000	25
188000000	27
189000000	25
190000000	30
191000000	25
192000000	24
193000000	15
194000000	27
195000000	22
196000000	25
197000000	27
198000000	31
199000000	43
200000000	25
201000000	30
202000000	21
203000000	24
204000000	16
205000000	27
206000000	23
207000000	25
208000000	20
209000000	27
210000000	22
211000000	36
212000000	20
213000000	26
214000000	26
215000000	31
216000000	31
217000000	24
218000000	28
219000000	24
220000000	22
221000000	37
222000000	25
223000000	28
224000000	15
225000000	25
226000000	18
227000000	25
228000000	29
229000000	25
230000000	17
231000000	18
232000000	19
233000000	22
234000000	20
235000000	26
236000000	32
237000000	16
238000000	16
239000000	18
240000000	22
241000000	30
242000000	19
243000000	27
244000000	22
245000000	26
246000000	27
247000000	19
248000000	33
249000000	25
250000000	7
251000000	28
252000000	18
253000000	34
254000000	17
255000000	18
256000000	18
257000000	25
258000000	20
259000000	19
260000000	17
261000000	25
262000000	18
263000000	24
264000000	23
265000000	18
266000000	15
267000000	17
268000000	15
269000000	19
270000000	22
271000000	29
272000000	12
273000000	27
274000000	26
275000000	35
276000000	17
277000000	19
278000000	33
279000000	26
280000000	23
281000000	20
282000000	22
283000000	19
284000000	27
285000000	13
286000000	19
287000000	22
288000000	17
289000000	15
290000000	20
291000000	26
292000000	13
293000000	30
294000000	21
295000000	26
296000000	25
297000000	20
298000000	25
299000000	18
300000000	23
301000000	14
302000000	14
303000000	24
304000000	26
305000000	19
306000000	20
307000000	25
308000000	16
309000000	16
310000000	25
311000000	19
312000000	26
313000000	17
314000000	22
315000000	22
316000000	23
317000000	27
318000000	20
319000000	29
320000000	21
321000000	18
322000000	13
323000000	15
324000000	21
325000000	19
326000000	18
327000000	24
328000000	18
329000000	16
330000000	23
331000000	14
332000000	9
333000000	21
334000000	15
335000000	17
336000000	27
