"Time (ps)"	"Counts per bin"
0	3784
100000000	3549
200000000	3552
300000000	3370
400000000	3238
500000000	3212
600000000	3027
700000000	3095
800000000	3148
900000000	2978
1000000000	3135
1100000000	3068
1200000000	3045
1300000000	3143
1400000000	2967
1500000000	2934
1600000000	3094
1700000000	2951
1800000000	3030
1900000000	2969
2000000000	2838
2100000000	2949
2200000000	2907
2300000000	2958
2400000000	3045
2500000000	2945
2600000000	2978
2700000000	3021
2800000000	2989
2900000000	2980
3000000000	2955
3100000000	3075
3200000000	2876
3300000000	2922
3400000000	2855
3500000000	2992
3600000000	2869
3700000000	2992
3800000000	2894
3900000000	2911
4000000000	2936
4100000000	2960
4200000000	2982
4300000000	2940
4400000000	3004
4500000000	2937
4600000000	2922
4700000000	2878
4800000000	3040
4900000000	3089
5000000000	3033
5100000000	2964
5200000000	2995
5300000000	2996
5400000000	2991
5500000000	3002
5600000000	2931
5700000000	3029
5800000000	2973
5900000000	2878
6000000000	3059
6100000000	3000
6200000000	3010
6300000000	3041
6400000000	2903
6500000000	2977
6600000000	2959
6700000000	2909
6800000000	2891
6900000000	2955
7000000000	2993
7100000000	2967
7200000000	2881
7300000000	2916
7400000000	2894
7500000000	2846
7600000000	3017
7700000000	2944
7800000000	2980
7900000000	2950
8000000000	3040
8100000000	2974
8200000000	2947
8300000000	2997
8400000000	2925
8500000000	2861
8600000000	2927
8700000000	2947
8800000000	2932
8900000000	2952
9000000000	2997
9100000000	3038
9200000000	2958
9300000000	2965
9400000000	2913
9500000000	3017
9600000000	3003
9700000000	2867
9800000000	3013
9900000000	2921
10000000000	2871
10100000000	2984
10200000000	3001
10300000000	3022
10400000000	2910
10500000000	2877
10600000000	2837
10700000000	2963
10800000000	2972
10900000000	2907
11000000000	2963
11100000000	2878
11200000000	2961
11300000000	2967
11400000000	2964
11500000000	3040
11600000000	2973
11700000000	2923
11800000000	2919
11900000000	2960
12000000000	2887
12100000000	2956
12200000000	2997
12300000000	2937
12400000000	2899
12500000000	2915
12600000000	2975
12700000000	2939
12800000000	3034
12900000000	2964
13000000000	2978
13100000000	2903
13200000000	2967
13300000000	2919
13400000000	2822
13500000000	2971
13600000000	3002
13700000000	2935
13800000000	2951
13900000000	3013
14000000000	2957
14100000000	2909
14200000000	2999
14300000000	2980
14400000000	2956
14500000000	2886
14600000000	2977
14700000000	2937
14800000000	2896
14900000000	2970
15000000000	2923
15100000000	3008
15200000000	2905
15300000000	2973
15400000000	2936
15500000000	2985
15600000000	2865
15700000000	2912
15800000000	2967
15900000000	2897
16000000000	2860
16100000000	2891
16200000000	2951
16300000000	2907
16400000000	2927
16500000000	2925
16600000000	2992
16700000000	2883
16800000000	2921
16900000000	2994
17000000000	2923
17100000000	2762
17200000000	3057
17300000000	2895
17400000000	2965
17500000000	2907
