"Time (ps)"	"Counts per bin"
0	974
100000000	922
200000000	881
300000000	858
400000000	887
500000000	807
600000000	887
700000000	789
800000000	836
900000000	716
1000000000	756
1100000000	758
1200000000	857
1300000000	741
1400000000	742
1500000000	768
1600000000	779
1700000000	730
1800000000	701
1900000000	765
2000000000	754
2100000000	726
2200000000	728
2300000000	735
2400000000	735
2500000000	739
2600000000	719
2700000000	728
2800000000	777
2900000000	751
3000000000	780
3100000000	702
3200000000	787
3300000000	759
3400000000	714
3500000000	734
3600000000	798
3700000000	682
3800000000	707
3900000000	721
4000000000	788
4100000000	715
4200000000	717
4300000000	670
4400000000	707
4500000000	769
4600000000	677
4700000000	731
4800000000	715
4900000000	804
5000000000	736
5100000000	771
5200000000	708
5300000000	740
5400000000	750
5500000000	716
5600000000	792
5700000000	746
5800000000	723
5900000000	739
6000000000	723
6100000000	742
6200000000	737
6300000000	767
6400000000	722
6500000000	756
6600000000	741
6700000000	758
6800000000	692
6900000000	698
7000000000	734
7100000000	704
7200000000	778
7300000000	752
7400000000	724
7500000000	730
7600000000	733
7700000000	763
7800000000	710
7900000000	730
8000000000	726
8100000000	782
8200000000	786
8300000000	749
8400000000	738
8500000000	708
8600000000	749
8700000000	690
8800000000	742
8900000000	759
9000000000	735
9100000000	700
9200000000	694
9300000000	690
9400000000	732
9500000000	675
9600000000	760
9700000000	710
9800000000	794
9900000000	719
10000000000	730
10100000000	726
10200000000	776
10300000000	745
10400000000	764
10500000000	712
10600000000	751
10700000000	734
10800000000	735
10900000000	687
11000000000	727
11100000000	764
11200000000	723
11300000000	671
11400000000	748
11500000000	716
11600000000	744
11700000000	734
11800000000	740
11900000000	720
12000000000	709
12100000000	728
12200000000	770
12300000000	730
12400000000	769
12500000000	768
12600000000	746
12700000000	739
12800000000	747
12900000000	778
13000000000	765
13100000000	743
13200000000	729
13300000000	749
13400000000	728
13500000000	749
13600000000	693
13700000000	785
13800000000	712
13900000000	683
14000000000	739
14100000000	790
14200000000	755
14300000000	729
14400000000	683
14500000000	719
14600000000	752
14700000000	741
14800000000	695
14900000000	715
15000000000	657
15100000000	751
15200000000	729
15300000000	731
15400000000	784
15500000000	725
15600000000	729
15700000000	710
15800000000	746
15900000000	775
16000000000	776
16100000000	734
16200000000	786
16300000000	708
16400000000	772
16500000000	734
16600000000	751
16700000000	716
16800000000	729
16900000000	715
17000000000	748
17100000000	728
17200000000	691
17300000000	762
17400000000	710
17500000000	791
17600000000	724
17700000000	725
17800000000	723
17900000000	665
18000000000	702
18100000000	763
18200000000	756
18300000000	739
18400000000	718
18500000000	703
18600000000	730
18700000000	703
18800000000	809
18900000000	735
19000000000	681
19100000000	720
19200000000	721
19300000000	783
19400000000	764
19500000000	783
19600000000	756
19700000000	751
19800000000	724
19900000000	728
20000000000	731
20100000000	723
20200000000	721
20300000000	761
20400000000	701
20500000000	758
20600000000	719
20700000000	704
20800000000	740
20900000000	773
21000000000	748
21100000000	740
21200000000	672
21300000000	752
21400000000	738
21500000000	730
21600000000	729
21700000000	748
21800000000	785
21900000000	761
22000000000	755
22100000000	696
22200000000	734
22300000000	678
22400000000	747
22500000000	728
22600000000	722
22700000000	699
22800000000	770
22900000000	734
23000000000	780
23100000000	723
23200000000	752
23300000000	694
23400000000	706
23500000000	685
23600000000	741
