"Time (ps)"	"Counts per bin"
0	30
1000000	33
2000000	30
3000000	29
4000000	24
5000000	29
6000000	31
7000000	28
8000000	26
9000000	21
10000000	22
11000000	26
12000000	22
13000000	40
14000000	25
15000000	27
16000000	23
17000000	30
18000000	27
19000000	29
20000000	27
21000000	18
22000000	30
23000000	19
24000000	36
25000000	33
26000000	43
27000000	19
28000000	30
29000000	23
30000000	30
31000000	26
32000000	30
33000000	29
34000000	29
35000000	31
36000000	30
37000000	20
38000000	22
39000000	21
40000000	23
41000000	30
42000000	23
43000000	30
44000000	18
45000000	20
46000000	33
47000000	24
48000000	28
49000000	20
50000000	19
51000000	18
52000000	23
53000000	32
54000000	36
55000000	25
56000000	26
57000000	29
58000000	19
59000000	20
60000000	26
61000000	22
62000000	27
63000000	29
64000000	19
65000000	18
66000000	33
67000000	25
68000000	30
69000000	31
70000000	19
71000000	20
72000000	23
73000000	20
74000000	25
75000000	22
76000000	23
77000000	29
78000000	21
79000000	22
80000000	25
81000000	18
82000000	31
83000000	30
84000000	24
85000000	22
86000000	31
87000000	21
88000000	19
89000000	37
90000000	19
91000000	22
92000000	19
93000000	27
94000000	23
95000000	20
96000000	23
97000000	27
98000000	17
99000000	25
100000000	19
101000000	17
102000000	26
103000000	25
104000000	33
105000000	19
106000000	23
107000000	28
108000000	20
109000000	19
110000000	24
111000000	20
112000000	23
113000000	14
114000000	23
115000000	34
116000000	16
117000000	22
118000000	15
119000000	19
120000000	15
121000000	17
122000000	30
123000000	19
124000000	25
125000000	22
126000000	30
127000000	24
128000000	20
129000000	20
130000000	23
131000000	27
132000000	26
133000000	24
134000000	19
135000000	14
136000000	21
137000000	23
138000000	24
139000000	12
140000000	21
141000000	20
142000000	20
143000000	20
144000000	15
145000000	23
146000000	26
147000000	18
148000000	19
149000000	22
150000000	9
151000000	17
152000000	12
153000000	23
154000000	22
155000000	26
156000000	17
157000000	22
158000000	30
159000000	16
160000000	24
161000000	16
162000000	20
163000000	23
164000000	16
165000000	19
166000000	25
167000000	17
168000000	30
169000000	22
170000000	12
171000000	19
172000000	24
173000000	20
174000000	13
175000000	19
176000000	23
177000000	11
178000000	22
179000000	33
180000000	13
181000000	27
182000000	20
183000000	14
184000000	17
185000000	29
186000000	28
187000000	14
188000000	21
189000000	16
190000000	16
191000000	15
192000000	17
193000000	23
194000000	14
195000000	18
196000000	22
197000000	21
198000000	21
199000000	23
200000000	18
201000000	22
202000000	15
203000000	19
204000000	21
205000000	14
206000000	20
207000000	20
208000000	15
209000000	23
210000000	20
211000000	25
212000000	16
213000000	19
214000000	17
215000000	17
216000000	21
217000000	17
218000000	16
219000000	16
220000000	21
221000000	20
222000000	13
223000000	19
224000000	18
225000000	16
226000000	15
227000000	15
228000000	17
229000000	12
230000000	10
231000000	15
232000000	18
233000000	10
234000000	12
235000000	21
236000000	11
237000000	11
238000000	14
239000000	17
240000000	23
241000000	19
242000000	13
243000000	15
244000000	24
245000000	20
246000000	12
247000000	25
248000000	16
249000000	22
250000000	9
251000000	10
252000000	18
253000000	17
254000000	18
255000000	11
256000000	22
257000000	17
258000000	23
259000000	22
260000000	17
261000000	17
262000000	20
263000000	19
264000000	17
265000000	9
266000000	15
267000000	17
