"Time (ps)"	"Counts per bin"
0	52
1000000	49
2000000	47
3000000	50
4000000	45
5000000	51
6000000	52
7000000	41
8000000	43
9000000	37
10000000	33
11000000	35
12000000	42
13000000	57
14000000	39
15000000	46
16000000	35
17000000	45
18000000	49
19000000	55
20000000	48
21000000	39
22000000	49
23000000	28
24000000	54
25000000	55
26000000	63
27000000	42
28000000	44
29000000	36
30000000	53
31000000	44
32000000	47
33000000	47
34000000	45
35000000	46
36000000	55
37000000	42
38000000	37
39000000	43
40000000	44
41000000	48
42000000	32
43000000	41
44000000	29
45000000	30
46000000	44
47000000	44
48000000	46
49000000	38
50000000	35
51000000	30
52000000	48
53000000	51
54000000	49
55000000	43
56000000	54
57000000	47
58000000	34
59000000	37
60000000	38
61000000	41
62000000	49
63000000	46
64000000	36
65000000	36
66000000	55
67000000	41
68000000	45
69000000	46
70000000	33
71000000	34
72000000	47
73000000	38
74000000	35
75000000	34
76000000	39
77000000	41
78000000	37
79000000	52
80000000	47
81000000	34
82000000	46
83000000	44
84000000	41
85000000	41
86000000	42
87000000	39
88000000	37
89000000	55
90000000	32
91000000	33
92000000	31
93000000	39
94000000	41
95000000	36
96000000	43
97000000	48
98000000	32
99000000	37
100000000	34
101000000	27
102000000	41
103000000	44
104000000	54
105000000	32
106000000	32
107000000	42
108000000	29
109000000	36
110000000	35
111000000	37
112000000	43
113000000	32
114000000	38
115000000	53
116000000	30
117000000	37
118000000	29
119000000	39
120000000	32
121000000	33
122000000	47
123000000	39
124000000	32
125000000	34
126000000	41
127000000	36
128000000	35
129000000	35
130000000	38
131000000	36
132000000	44
133000000	39
134000000	26
135000000	37
136000000	34
137000000	39
138000000	41
139000000	21
140000000	39
141000000	36
142000000	34
143000000	31
144000000	29
145000000	31
146000000	34
147000000	34
148000000	26
149000000	45
150000000	19
151000000	34
152000000	25
153000000	33
154000000	33
155000000	45
156000000	36
157000000	40
158000000	41
159000000	32
160000000	31
161000000	21
162000000	40
163000000	37
164000000	32
165000000	31
166000000	38
167000000	33
168000000	41
169000000	35
170000000	19
171000000	28
172000000	36
173000000	34
174000000	21
175000000	29
176000000	39
177000000	19
178000000	35
179000000	56
180000000	24
181000000	39
182000000	35
183000000	28
184000000	29
185000000	39
186000000	40
187000000	28
188000000	35
189000000	31
190000000	33
191000000	33
192000000	29
193000000	32
194000000	29
195000000	26
196000000	37
197000000	33
198000000	43
199000000	35
200000000	28
201000000	33
202000000	36
203000000	29
204000000	33
205000000	27
206000000	32
207000000	30
208000000	28
209000000	35
210000000	31
211000000	36
212000000	28
213000000	28
214000000	36
215000000	27
216000000	36
217000000	28
218000000	22
219000000	24
220000000	28
221000000	33
222000000	24
223000000	30
224000000	30
225000000	36
226000000	27
227000000	24
228000000	32
229000000	26
230000000	22
231000000	29
232000000	27
233000000	22
234000000	23
235000000	34
236000000	17
237000000	24
238000000	21
239000000	23
240000000	35
241000000	31
242000000	23
243000000	31
244000000	33
245000000	38
246000000	21
247000000	36
248000000	19
249000000	36
250000000	21
251000000	20
252000000	33
253000000	29
254000000	26
255000000	20
256000000	35
257000000	28
258000000	33
259000000	33
260000000	34
261000000	27
262000000	30
263000000	37
264000000	29
265000000	18
266000000	29
267000000	24
268000000	32
269000000	29
270000000	22
271000000	36
272000000	27
273000000	35
274000000	25
275000000	37
276000000	35
277000000	30
278000000	29
279000000	23
280000000	25
281000000	26
282000000	27
283000000	29
284000000	34
285000000	34
286000000	29
287000000	21
288000000	21
289000000	28
290000000	27
291000000	26
292000000	27
293000000	25
294000000	22
295000000	27
296000000	28
297000000	25
298000000	31
299000000	24
300000000	25
301000000	24
302000000	23
303000000	26
304000000	20
305000000	20
306000000	16
307000000	23
308000000	28
309000000	23
310000000	28
311000000	19
312000000	27
313000000	23
314000000	29
315000000	26
316000000	20
317000000	23
318000000	16
319000000	37
320000000	20
321000000	31
322000000	19
323000000	33
324000000	24
325000000	19
326000000	24
327000000	23
328000000	45
329000000	29
330000000	28
331000000	27
332000000	23
333000000	27
334000000	30
335000000	27
336000000	22
337000000	21
338000000	28
339000000	25
340000000	19
341000000	23
342000000	25
343000000	24
344000000	27
345000000	24
346000000	27
347000000	26
348000000	19
349000000	19
350000000	33
351000000	32
352000000	18
353000000	31
354000000	32
355000000	22
356000000	25
357000000	22
358000000	32
359000000	18
360000000	32
361000000	23
362000000	20
363000000	22
364000000	29
365000000	25
366000000	28
367000000	15
368000000	23
369000000	21
370000000	31
371000000	23
372000000	31
373000000	18
374000000	21
375000000	18
376000000	21
377000000	25
378000000	20
379000000	19
380000000	22
381000000	18
382000000	20
383000000	17
384000000	22
385000000	34
386000000	32
387000000	17
388000000	24
389000000	17
390000000	20
391000000	23
392000000	27
393000000	29
394000000	31
395000000	24
396000000	21
397000000	20
398000000	17
399000000	31
400000000	29
401000000	27
402000000	25
403000000	23
404000000	23
405000000	28
406000000	17
407000000	22
408000000	23
409000000	27
410000000	24
411000000	27
412000000	22
413000000	10
414000000	29
415000000	24
416000000	30
417000000	20
418000000	19
419000000	27
420000000	22
421000000	16
422000000	23
423000000	19
424000000	9
425000000	22
426000000	37
427000000	10
428000000	28
429000000	21
430000000	19
431000000	21
432000000	20
433000000	30
434000000	12
435000000	22
436000000	25
437000000	24
438000000	24
439000000	24
440000000	13
441000000	31
442000000	25
443000000	12
444000000	17
445000000	20
446000000	24
447000000	14
448000000	20
449000000	29
450000000	31
451000000	27
452000000	21
453000000	17
454000000	30
455000000	11
456000000	14
457000000	19
458000000	22
459000000	27
460000000	32
461000000	18
462000000	19
463000000	18
464000000	25
465000000	22
466000000	23
467000000	16
468000000	24
469000000	32
470000000	33
471000000	25
472000000	16
473000000	23
474000000	18
475000000	19
476000000	16
477000000	16
478000000	19
479000000	15
480000000	27
481000000	22
482000000	29
483000000	19
484000000	25
485000000	25
486000000	21
487000000	21
488000000	16
489000000	18
490000000	21
491000000	14
492000000	22
493000000	24
494000000	24
495000000	14
496000000	29
497000000	17
498000000	22
499000000	12
500000000	18
501000000	18
502000000	19
503000000	14
504000000	13
505000000	25
506000000	18
507000000	20
508000000	20
509000000	30
510000000	20
511000000	14
512000000	20
513000000	23
514000000	36
515000000	17
516000000	25
517000000	26
518000000	17
519000000	14
520000000	30
521000000	17
522000000	16
523000000	20
524000000	20
525000000	33
526000000	13
527000000	18
528000000	24
529000000	18
530000000	23
531000000	24
532000000	19
533000000	14
534000000	24
535000000	35
536000000	19
537000000	21
538000000	21
539000000	19
540000000	19
541000000	19
542000000	24
543000000	12
544000000	19
545000000	20
546000000	23
547000000	15
548000000	27
549000000	20
550000000	10
551000000	21
552000000	16
553000000	23
554000000	15
555000000	14
556000000	23
557000000	19
558000000	21
559000000	21
560000000	17
561000000	20
562000000	17
563000000	23
564000000	24
565000000	8
566000000	10
567000000	17
568000000	16
569000000	22
570000000	21
571000000	17
572000000	20
573000000	19
574000000	13
575000000	12
576000000	13
577000000	8
578000000	18
579000000	17
580000000	23
581000000	12
582000000	27
583000000	21
584000000	23
585000000	28
586000000	10
587000000	23
588000000	20
589000000	15
590000000	19
591000000	16
592000000	14
593000000	17
594000000	23
595000000	17
596000000	16
597000000	13
598000000	13
599000000	23
600000000	15
601000000	21
602000000	9
603000000	16
604000000	19
605000000	11
606000000	23
607000000	16
608000000	17
609000000	19
610000000	16
611000000	23
612000000	21
613000000	36
614000000	25
615000000	18
616000000	17
617000000	23
618000000	20
619000000	14
620000000	23
621000000	28
622000000	22
623000000	24
624000000	21
625000000	20
626000000	19
627000000	19
628000000	12
629000000	26
630000000	13
631000000	22
632000000	21
633000000	26
634000000	19
635000000	13
636000000	22
637000000	17
638000000	18
639000000	17
640000000	21
641000000	21
642000000	19
643000000	23
644000000	14
645000000	18
646000000	15
647000000	20
648000000	22
649000000	26
650000000	16
651000000	20
652000000	22
653000000	19
654000000	12
655000000	22
656000000	26
657000000	13
658000000	16
659000000	24
660000000	16
661000000	16
662000000	23
663000000	17
664000000	25
665000000	18
666000000	16
667000000	20
668000000	24
