"Time (ps)"	"Counts per bin"
0	56
1000000	42
2000000	17
3000000	7
4000000	0
5000000	0
6000000	0
7000000	2
8000000	1
9000000	0
10000000	0
11000000	0
12000000	0
13000000	2
14000000	1
15000000	0
16000000	0
17000000	1
18000000	0
19000000	0
20000000	0
21000000	2
22000000	0
23000000	3
24000000	0
25000000	0
26000000	0
27000000	0
28000000	3
29000000	2
30000000	0
31000000	1
32000000	0
33000000	0
34000000	0
35000000	0
36000000	2
37000000	2
38000000	0
39000000	0
40000000	0
41000000	1
42000000	1
43000000	0
44000000	2
45000000	1
46000000	0
47000000	0
48000000	0
49000000	0
50000000	0
51000000	1
52000000	1
53000000	1
54000000	1
55000000	0
56000000	0
57000000	0
58000000	0
59000000	0
60000000	0
61000000	0
62000000	0
63000000	2
64000000	2
65000000	0
66000000	0
67000000	1
68000000	2
69000000	0
70000000	0
71000000	0
72000000	2
73000000	0
74000000	0
75000000	2
76000000	0
77000000	0
78000000	3
79000000	0
80000000	1
81000000	1
82000000	0
83000000	0
84000000	4
85000000	3
86000000	0
87000000	0
88000000	1
89000000	1
90000000	0
91000000	2
92000000	0
93000000	0
94000000	1
95000000	3
96000000	1
97000000	1
98000000	1
99000000	0
100000000	0
101000000	2
102000000	0
103000000	1
104000000	3
105000000	1
106000000	0
107000000	1
108000000	3
109000000	0
110000000	1
111000000	0
112000000	1
113000000	0
114000000	0
115000000	1
116000000	1
117000000	1
118000000	3
119000000	0
120000000	0
121000000	0
122000000	0
123000000	0
124000000	0
125000000	0
126000000	0
127000000	2
128000000	0
129000000	1
130000000	1
131000000	0
132000000	1
133000000	2
134000000	2
135000000	0
136000000	3
137000000	1
138000000	1
139000000	1
140000000	1
141000000	1
142000000	1
143000000	0
144000000	0
145000000	0
146000000	0
147000000	0
148000000	0
149000000	0
150000000	2
151000000	0
152000000	1
153000000	0
154000000	1
155000000	0
156000000	0
157000000	2
158000000	0
159000000	2
160000000	4
161000000	0
162000000	1
163000000	1
164000000	1
165000000	0
166000000	0
167000000	1
168000000	0
169000000	0
170000000	0
171000000	0
172000000	0
173000000	2
174000000	3
175000000	1
176000000	1
177000000	1
178000000	1
179000000	0
180000000	1
181000000	0
182000000	0
183000000	0
184000000	0
185000000	1
186000000	2
187000000	1
188000000	1
189000000	2
190000000	1
191000000	1
192000000	0
193000000	1
