"Time (ps)"	"Counts per bin"
0	70
100000000	25
200000000	22
300000000	21
400000000	18
500000000	19
600000000	19
700000000	17
800000000	20
900000000	15
1000000000	15
1100000000	12
1200000000	17
1300000000	15
1400000000	17
1500000000	18
1600000000	18
1700000000	19
1800000000	19
1900000000	9
2000000000	15
2100000000	21
2200000000	17
2300000000	17
2400000000	12
2500000000	18
2600000000	16
2700000000	16
2800000000	17
2900000000	16
3000000000	20
3100000000	11
3200000000	18
3300000000	17
3400000000	21
3500000000	14
3600000000	17
3700000000	7
3800000000	12
3900000000	26
4000000000	18
4100000000	17
4200000000	23
4300000000	18
4400000000	19
4500000000	14
4600000000	27
4700000000	9
4800000000	13
4900000000	20
5000000000	22
5100000000	19
5200000000	16
5300000000	16
5400000000	13
5500000000	15
5600000000	10
5700000000	25
5800000000	18
5900000000	15
6000000000	12
6100000000	11
6200000000	21
6300000000	13
6400000000	16
6500000000	20
6600000000	7
6700000000	20
6800000000	14
6900000000	13
7000000000	14
7100000000	18
7200000000	22
7300000000	16
7400000000	18
7500000000	11
7600000000	17
7700000000	12
7800000000	16
7900000000	18
8000000000	19
8100000000	17
8200000000	13
8300000000	21
8400000000	14
8500000000	13
8600000000	16
8700000000	22
8800000000	15
8900000000	15
9000000000	14
9100000000	26
9200000000	16
9300000000	17
9400000000	23
9500000000	20
9600000000	22
9700000000	15
9800000000	21
9900000000	20
10000000000	14
10100000000	21
10200000000	10
10300000000	20
10400000000	23
10500000000	20
10600000000	18
10700000000	17
10800000000	12
10900000000	13
11000000000	21
11100000000	16
11200000000	14
11300000000	17
11400000000	18
11500000000	16
11600000000	11
11700000000	21
11800000000	13
11900000000	23
12000000000	13
12100000000	19
12200000000	14
12300000000	16
12400000000	20
12500000000	10
12600000000	13
12700000000	16
12800000000	18
12900000000	12
13000000000	15
13100000000	16
13200000000	13
13300000000	18
13400000000	10
13500000000	18
13600000000	9
13700000000	17
13800000000	12
13900000000	22
14000000000	20
14100000000	13
14200000000	21
14300000000	14
14400000000	25
14500000000	17
14600000000	16
14700000000	10
14800000000	16
14900000000	15
15000000000	21
15100000000	19
15200000000	21
15300000000	10
15400000000	16
15500000000	21
15600000000	18
