"Time (ps)"	"Counts per bin"
0	19911
100000000	19782
200000000	19681
300000000	19809
400000000	19787
500000000	19567
600000000	19802
700000000	19722
800000000	19559
900000000	19540
1000000000	19552
1100000000	19669
1200000000	19741
1300000000	19735
1400000000	19800
1500000000	19629
1600000000	19379
1700000000	19738
1800000000	19570
1900000000	19741
2000000000	19625
2100000000	19607
2200000000	19679
2300000000	19434
2400000000	19632
2500000000	19871
2600000000	19823
2700000000	19560
2800000000	19750
2900000000	19869
3000000000	19777
3100000000	19679
3200000000	19708
3300000000	19692
3400000000	19711
3500000000	19933
3600000000	19691
3700000000	19802
3800000000	19868
3900000000	19517
4000000000	19621
4100000000	19413
4200000000	19880
4300000000	19408
4400000000	19646
4500000000	19763
4600000000	19598
4700000000	19622
4800000000	19632
4900000000	19729
5000000000	19629
5100000000	19630
5200000000	19636
5300000000	19881
5400000000	19694
5500000000	19537
5600000000	19523
5700000000	19798
5800000000	19582
5900000000	19476
6000000000	19925
6100000000	19725
6200000000	19683
6300000000	19719
6400000000	19834
6500000000	19883
6600000000	19805
6700000000	19607
6800000000	19919
6900000000	19847
7000000000	19533
7100000000	19584
7200000000	19411
7300000000	19774
7400000000	19793
7500000000	19522
7600000000	19704
7700000000	19445
7800000000	19776
7900000000	19589
8000000000	19727
8100000000	19688
8200000000	19668
8300000000	19841
8400000000	19707
8500000000	19755
8600000000	19438
8700000000	19717
8800000000	19831
8900000000	19827
9000000000	19824
9100000000	19528
9200000000	19840
9300000000	19673
9400000000	19542
9500000000	19346
9600000000	19558
9700000000	19940
9800000000	19479
9900000000	19420
10000000000	19728
10100000000	19997
10200000000	19744
10300000000	19599
10400000000	19749
10500000000	19774
10600000000	19697
10700000000	19832
10800000000	19711
10900000000	19840
11000000000	19413
11100000000	19802
11200000000	19821
11300000000	19600
11400000000	19710
11500000000	19342
11600000000	19826
11700000000	19917
11800000000	19542
11900000000	19828
12000000000	19450
12100000000	19615
12200000000	19595
12300000000	19962
12400000000	19981
12500000000	19898
12600000000	19638
12700000000	19768
12800000000	19319
12900000000	19686
13000000000	19722
13100000000	19664
13200000000	19682
13300000000	19488
13400000000	19472
13500000000	19909
13600000000	19561
