"Time (ps)"	"Counts per bin"
0	39198
100000000	39440
200000000	38886
300000000	39159
400000000	39270
500000000	39313
600000000	39164
700000000	39004
800000000	39174
900000000	39179
1000000000	39337
1100000000	39140
1200000000	39161
1300000000	38953
1400000000	39256
1500000000	39156
1600000000	39093
1700000000	38728
1800000000	38677
1900000000	39280
2000000000	38898
2100000000	39433
2200000000	38912
2300000000	38719
2400000000	38981
2500000000	38935
2600000000	39110
2700000000	39286
2800000000	39085
2900000000	39276
3000000000	39062
3100000000	39107
3200000000	38972
3300000000	38965
3400000000	39083
3500000000	38957
3600000000	38983
3700000000	39204
3800000000	38917
3900000000	38578
4000000000	38990
4100000000	39328
4200000000	39163
4300000000	39069
4400000000	38886
4500000000	38845
4600000000	38753
4700000000	39168
4800000000	39031
4900000000	39239
5000000000	38938
5100000000	38782
5200000000	39075
5300000000	39068
5400000000	39439
5500000000	38994
5600000000	39366
5700000000	39209
5800000000	39080
5900000000	39379
6000000000	39269
6100000000	38976
6200000000	38964
6300000000	38990
6400000000	39020
6500000000	38911
6600000000	39043
6700000000	39036
6800000000	39224
6900000000	39312
7000000000	39022
7100000000	39322
7200000000	39175
7300000000	38989
7400000000	39329
7500000000	39001
7600000000	39031
7700000000	39150
7800000000	39365
7900000000	39107
8000000000	39038
8100000000	39038
8200000000	39322
8300000000	39300
8400000000	39179
8500000000	39386
8600000000	38963
8700000000	39031
8800000000	39000
8900000000	39129
9000000000	39000
9100000000	39216
9200000000	39323
9300000000	38958
9400000000	39261
9500000000	39397
9600000000	38910
9700000000	39148
9800000000	38864
9900000000	39192
10000000000	39290
10100000000	39194
10200000000	39149
10300000000	39073
10400000000	38869
10500000000	38983
10600000000	38917
10700000000	39541
10800000000	38406
10900000000	39166
11000000000	39186
11100000000	39243
11200000000	39025
11300000000	39153
11400000000	39096
11500000000	39188
11600000000	38940
11700000000	38633
11800000000	39286
11900000000	38935
12000000000	39233
12100000000	38946
12200000000	39129
12300000000	39153
12400000000	39348
12500000000	38709
12600000000	38954
12700000000	38814
12800000000	39284
12900000000	39248
13000000000	39250
13100000000	38954
13200000000	39075
13300000000	38933
13400000000	39058
13500000000	39035
13600000000	38760
13700000000	39086
13800000000	38981
13900000000	38918
14000000000	38870
14100000000	39170
14200000000	39153
14300000000	38915
14400000000	38860
14500000000	39093
14600000000	38923
14700000000	39434
14800000000	39054
14900000000	39067
15000000000	39317
15100000000	39195
15200000000	39118
15300000000	39161
15400000000	38599
15500000000	39096
15600000000	39457
15700000000	39100
15800000000	38955
15900000000	38820
16000000000	39156
16100000000	39359
16200000000	39196
16300000000	38764
16400000000	39206
16500000000	38769
16600000000	39005
16700000000	38982
16800000000	38907
16900000000	38899
17000000000	39170
17100000000	39177
17200000000	39190
17300000000	38886
17400000000	39059
17500000000	39366
17600000000	39407
17700000000	38660
17800000000	39051
17900000000	39169
18000000000	39329
18100000000	39315
18200000000	38793
18300000000	38636
18400000000	38963
18500000000	39074
18600000000	39094
18700000000	38726
18800000000	38933
18900000000	38860
19000000000	38675
19100000000	39175
19200000000	39476
19300000000	38939
19400000000	39312
19500000000	39021
19600000000	39065
19700000000	39390
19800000000	38960
19900000000	39294
20000000000	39210
20100000000	39198
20200000000	38830
20300000000	39278
20400000000	39025
20500000000	38722
20600000000	38844
20700000000	39256
20800000000	39366
20900000000	38708
21000000000	39004
21100000000	39259
21200000000	39298
21300000000	39328
21400000000	39037
21500000000	39001
21600000000	38920
21700000000	39203
21800000000	39365
21900000000	39382
22000000000	39282
22100000000	39045
22200000000	39144
22300000000	38917
22400000000	39425
22500000000	39063
22600000000	39013
22700000000	39216
22800000000	39333
22900000000	39053
23000000000	39150
23100000000	39159
23200000000	38970
23300000000	38936
23400000000	38976
23500000000	38963
23600000000	39051
23700000000	38763
23800000000	39231
23900000000	39060
24000000000	38898
24100000000	38732
24200000000	39331
24300000000	39207
24400000000	39128
24500000000	39208
24600000000	39030
24700000000	38949
24800000000	39329
24900000000	38999
25000000000	39105
25100000000	39037
25200000000	38549
25300000000	39010
25400000000	39202
25500000000	38942
25600000000	38782
25700000000	39068
25800000000	38923
25900000000	39131
26000000000	39057
26100000000	38615
26200000000	38740
26300000000	39312
26400000000	39089
26500000000	38993
26600000000	38957
26700000000	38987
26800000000	38895
26900000000	39362
27000000000	39076
27100000000	38973
27200000000	38886
27300000000	39203
27400000000	39238
27500000000	39137
27600000000	39137
27700000000	38864
27800000000	39593
27900000000	39023
28000000000	39490
28100000000	38928
28200000000	38969
28300000000	39215
28400000000	39022
28500000000	38785
28600000000	39344
28700000000	39313
28800000000	39212
28900000000	38972
29000000000	39073
29100000000	39095
29200000000	39220
29300000000	39074
29400000000	39362
29500000000	39214
29600000000	39404
29700000000	38957
29800000000	39298
29900000000	38880
30000000000	39010
30100000000	39079
30200000000	39194
30300000000	39116
30400000000	39141
30500000000	39202
30600000000	38943
30700000000	38672
30800000000	39494
30900000000	39091
31000000000	39105
31100000000	39099
31200000000	38886
31300000000	38430
31400000000	39053
31500000000	38990
31600000000	39059
31700000000	38980
31800000000	38932
31900000000	39169
32000000000	38915
32100000000	38786
32200000000	38938
32300000000	38993
32400000000	39184
32500000000	39182
32600000000	39341
32700000000	39023
32800000000	38939
32900000000	38830
33000000000	39081
33100000000	38862
33200000000	38792
33300000000	39137
33400000000	39014
33500000000	39022
33600000000	39231
