"Time (ps)"	"Channel 2 - Counts per bin"
0	0
10000000000	0
20000000000	0
30000000000	0
40000000000	0
50000000000	0
60000000000	0
70000000000	0
80000000000	0
90000000000	0
100000000000	0
110000000000	0
120000000000	0
130000000000	0
140000000000	0
150000000000	0
160000000000	0
170000000000	0
180000000000	0
190000000000	0
200000000000	0
210000000000	0
220000000000	0
230000000000	0
240000000000	0
250000000000	0
260000000000	0
270000000000	0
280000000000	0
290000000000	0
300000000000	0
310000000000	0
320000000000	0
330000000000	0
340000000000	0
350000000000	0
360000000000	0
370000000000	0
380000000000	0
390000000000	0
400000000000	0
410000000000	0
420000000000	0
430000000000	0
440000000000	0
450000000000	0
460000000000	0
470000000000	49295
480000000000	48886
490000000000	49117
500000000000	48988
510000000000	48973
520000000000	49287
530000000000	48569
540000000000	49275
550000000000	48487
560000000000	48973
570000000000	48559
580000000000	48866
590000000000	48740
600000000000	48898
610000000000	48712
620000000000	48889
630000000000	49280
640000000000	48788
650000000000	49320
660000000000	48817
670000000000	49191
680000000000	48792
690000000000	48913
700000000000	49155
710000000000	49217
720000000000	48766
730000000000	49234
740000000000	48489
750000000000	49013
760000000000	48671
770000000000	49332
780000000000	49054
790000000000	48658
800000000000	49261
810000000000	49082
820000000000	48701
830000000000	49170
840000000000	48610
850000000000	48998
860000000000	49159
870000000000	49003
880000000000	49063
890000000000	49014
900000000000	49153
910000000000	49049
920000000000	49117
930000000000	49075
940000000000	49250
950000000000	48711
960000000000	49572
970000000000	48815
980000000000	49725
990000000000	49370
1000000000000	49040
1010000000000	48990
1020000000000	49483
1030000000000	49106
1040000000000	48995
1050000000000	49561
1060000000000	49658
1070000000000	49446
1080000000000	49174
1090000000000	49464
1100000000000	49015
1110000000000	48869
1120000000000	49315
1130000000000	48933
1140000000000	49124
1150000000000	49125
1160000000000	48597
1170000000000	49235
1180000000000	48906
1190000000000	48906
1200000000000	49255
1210000000000	48770
1220000000000	48942
1230000000000	48555
1240000000000	49664
1250000000000	48849
1260000000000	49379
1270000000000	48742
1280000000000	49315
1290000000000	49095
1300000000000	49209
1310000000000	48877
1320000000000	48940
1330000000000	49052
1340000000000	48902
1350000000000	49110
1360000000000	48984
1370000000000	48864
1380000000000	49402
1390000000000	49027
1400000000000	48842
1410000000000	49302
1420000000000	48443
1430000000000	49156
1440000000000	48521
1450000000000	49561
1460000000000	48770
1470000000000	48762
1480000000000	48900
1490000000000	48353
1500000000000	48699
1510000000000	48219
1520000000000	48459
1530000000000	48675
1540000000000	48576
1550000000000	48366
1560000000000	48856
1570000000000	49106
1580000000000	48715
1590000000000	49348
1600000000000	48539
1610000000000	49283
1620000000000	48548
1630000000000	49071
1640000000000	48892
1650000000000	48659
1660000000000	49211
1670000000000	49244
1680000000000	49175
1690000000000	49399
1700000000000	49221
1710000000000	48422
1720000000000	49426
1730000000000	48814
1740000000000	49286
1750000000000	49022
1760000000000	49199
1770000000000	48595
1780000000000	49099
1790000000000	48913
1800000000000	48957
1810000000000	48986
1820000000000	49016
1830000000000	49344
1840000000000	48981
1850000000000	49044
1860000000000	48530
1870000000000	48966
1880000000000	49557
1890000000000	48641
1900000000000	49417
1910000000000	48606
1920000000000	49143
1930000000000	48896
1940000000000	48976
1950000000000	49317
1960000000000	49043
1970000000000	49174
1980000000000	48690
1990000000000	49270
2000000000000	49157
2010000000000	49219
2020000000000	49063
2030000000000	49352
2040000000000	48563
2050000000000	49187
2060000000000	48883
2070000000000	49470
2080000000000	48917
2090000000000	49120
2100000000000	48992
2110000000000	49026
2120000000000	49139
2130000000000	48845
2140000000000	49414
2150000000000	48539
2160000000000	49745
2170000000000	48745
2180000000000	49122
2190000000000	48745
2200000000000	48832
2210000000000	48645
2220000000000	48807
2230000000000	49183
2240000000000	48679
2250000000000	49103
2260000000000	48582
2270000000000	48627
2280000000000	48106
2290000000000	49146
2300000000000	48766
2310000000000	48926
2320000000000	48907
2330000000000	48803
2340000000000	48566
2350000000000	48543
2360000000000	48620
2370000000000	49004
2380000000000	48497
2390000000000	49005
2400000000000	49237
2410000000000	48606
2420000000000	48712
2430000000000	48442
2440000000000	48369
2450000000000	48978
2460000000000	48910
2470000000000	49158
2480000000000	49079
2490000000000	49087
2500000000000	49015
2510000000000	49139
2520000000000	48576
2530000000000	48884
2540000000000	48585
2550000000000	49216
2560000000000	48539
2570000000000	49095
2580000000000	48662
2590000000000	48883
2600000000000	49142
2610000000000	48201
2620000000000	49009
2630000000000	48660
2640000000000	48953
2650000000000	48919
2660000000000	48793
2670000000000	48711
2680000000000	48770
2690000000000	49258
2700000000000	49047
2710000000000	48763
2720000000000	48873
2730000000000	49032
2740000000000	48971
2750000000000	48705
2760000000000	48772
2770000000000	48535
2780000000000	48840
2790000000000	49066
2800000000000	48901
2810000000000	48892
2820000000000	48469
2830000000000	48940
2840000000000	48634
2850000000000	48867
2860000000000	48943
2870000000000	48870
2880000000000	49023
2890000000000	48995
2900000000000	49044
2910000000000	48733
2920000000000	49065
2930000000000	48566
