"Time (ps)"	"Channel 2 - Counts per bin"
0	22333
10000000000	22303
20000000000	22589
30000000000	22301
40000000000	22188
50000000000	22609
60000000000	22407
70000000000	22448
80000000000	22419
90000000000	22261
100000000000	22422
110000000000	22257
120000000000	22387
130000000000	22465
140000000000	22173
150000000000	22427
160000000000	22447
170000000000	22416
180000000000	22290
190000000000	22205
200000000000	22734
210000000000	22219
220000000000	22133
230000000000	22268
240000000000	22304
250000000000	21902
260000000000	22569
270000000000	21896
280000000000	22440
290000000000	22156
300000000000	22413
310000000000	22282
320000000000	22422
330000000000	22359
340000000000	22349
350000000000	22455
360000000000	22328
370000000000	22313
380000000000	22540
390000000000	22534
400000000000	22348
410000000000	22272
420000000000	22533
430000000000	22057
440000000000	22480
450000000000	22460
460000000000	22624
470000000000	22649
480000000000	22541
490000000000	22406
500000000000	22512
510000000000	22542
520000000000	22698
530000000000	22215
540000000000	22295
550000000000	22659
560000000000	22383
570000000000	22437
580000000000	21975
590000000000	22616
600000000000	22031
610000000000	22398
620000000000	22019
630000000000	22652
640000000000	22108
650000000000	22303
660000000000	22273
670000000000	22192
680000000000	22508
690000000000	22165
700000000000	22491
710000000000	22156
720000000000	22403
730000000000	22226
740000000000	22612
750000000000	22180
760000000000	22541
770000000000	22351
780000000000	22333
790000000000	22322
800000000000	22354
810000000000	22088
820000000000	22228
830000000000	22557
840000000000	22387
850000000000	22285
860000000000	22362
870000000000	22252
880000000000	22623
890000000000	22114
900000000000	22476
910000000000	22348
920000000000	22553
930000000000	22331
940000000000	22177
950000000000	22304
960000000000	22265
970000000000	22603
980000000000	22283
990000000000	22373
1000000000000	22124
1010000000000	22429
1020000000000	22183
1030000000000	22159
1040000000000	22599
1050000000000	22475
1060000000000	22580
1070000000000	22278
1080000000000	22657
1090000000000	22331
1100000000000	22399
1110000000000	22526
1120000000000	22010
1130000000000	22309
1140000000000	22341
1150000000000	22146
1160000000000	21957
1170000000000	22505
1180000000000	21918
1190000000000	22410
1200000000000	22396
1210000000000	22528
1220000000000	22209
1230000000000	22544
1240000000000	22312
1250000000000	22225
1260000000000	22636
1270000000000	22231
1280000000000	22572
1290000000000	22308
1300000000000	22668
1310000000000	22519
1320000000000	22241
1330000000000	22589
1340000000000	22285
1350000000000	22410
1360000000000	22299
1370000000000	22466
1380000000000	22866
1390000000000	22429
1400000000000	22614
1410000000000	22539
1420000000000	22670
1430000000000	22539
1440000000000	22526
1450000000000	22647
1460000000000	22185
1470000000000	22575
1480000000000	22307
1490000000000	22493
1500000000000	22387
1510000000000	22240
1520000000000	22774
1530000000000	21896
