"Time (ps)"	"Counts per bin"
0	93660
100000000	94727
200000000	94422
300000000	94661
400000000	95201
500000000	95304
600000000	95438
700000000	95683
800000000	96420
900000000	96195
1000000000	96742
1100000000	96434
1200000000	96735
1300000000	96744
1400000000	97259
1500000000	96997
1600000000	97123
1700000000	96901
1800000000	97917
1900000000	97583
2000000000	98196
2100000000	97395
2200000000	97618
2300000000	97696
2400000000	98125
2500000000	98067
2600000000	98157
2700000000	98077
2800000000	97752
2900000000	97931
3000000000	97795
3100000000	98065
3200000000	98774
3300000000	99281
3400000000	98358
3500000000	98611
3600000000	98527
3700000000	98069
3800000000	98376
3900000000	98309
4000000000	98678
4100000000	97809
4200000000	97883
4300000000	98196
4400000000	98546
4500000000	99532
4600000000	98695
4700000000	98648
4800000000	98962
4900000000	99334
5000000000	99231
5100000000	99196
5200000000	99593
5300000000	99269
5400000000	99978
5500000000	99112
5600000000	99707
5700000000	99654
5800000000	99795
5900000000	99162
6000000000	100480
6100000000	99509
6200000000	99647
6300000000	99336
6400000000	99519
6500000000	99584
6600000000	99577
6700000000	99394
6800000000	99986
6900000000	99549
7000000000	99757
7100000000	99128
7200000000	100320
7300000000	100247
7400000000	99732
7500000000	100029
7600000000	99513
7700000000	99878
7800000000	100461
7900000000	100160
8000000000	99815
8100000000	100838
8200000000	100191
8300000000	100675
8400000000	100157
8500000000	101442
8600000000	100383
8700000000	100681
8800000000	101235
8900000000	100670
9000000000	100269
9100000000	100453
9200000000	100225
9300000000	100946
9400000000	100727
9500000000	101165
9600000000	100715
9700000000	100964
9800000000	100236
9900000000	100044
10000000000	100175
10100000000	100621
10200000000	100624
10300000000	100753
10400000000	101060
10500000000	100844
10600000000	100282
10700000000	100285
10800000000	101004
10900000000	100802
11000000000	100564
11100000000	100413
11200000000	100742
11300000000	100528
11400000000	100549
11500000000	100331
11600000000	101041
11700000000	101209
11800000000	100370
11900000000	100957
12000000000	100767
12100000000	100853
12200000000	100896
12300000000	100580
12400000000	101048
12500000000	100877
12600000000	100323
12700000000	100655
12800000000	100728
12900000000	100757
13000000000	100497
13100000000	100765
13200000000	100426
13300000000	100972
13400000000	100610
13500000000	101158
13600000000	101243
13700000000	100701
13800000000	100588
13900000000	101230
14000000000	101693
14100000000	100925
14200000000	101041
14300000000	100391
14400000000	101260
14500000000	100634
14600000000	101507
14700000000	101141
14800000000	101674
14900000000	101718
15000000000	100591
15100000000	100913
15200000000	101508
15300000000	101540
15400000000	101509
15500000000	101025
15600000000	100914
15700000000	100976
15800000000	100859
15900000000	100482
16000000000	100850
16100000000	100830
16200000000	101316
16300000000	101073
16400000000	101274
16500000000	101314
16600000000	100815
16700000000	101568
16800000000	101069
16900000000	101566
17000000000	101222
17100000000	100910
17200000000	101300
17300000000	102054
17400000000	100890
17500000000	100931
17600000000	101748
17700000000	101562
17800000000	101374
17900000000	101400
18000000000	101159
18100000000	101524
18200000000	100978
18300000000	100948
18400000000	101502
18500000000	101279
18600000000	100856
18700000000	101557
18800000000	101207
18900000000	101511
19000000000	100986
19100000000	101769
19200000000	101295
19300000000	101530
19400000000	101402
19500000000	101012
19600000000	101125
19700000000	101712
19800000000	101468
19900000000	101451
20000000000	101150
20100000000	101160
20200000000	101000
20300000000	101407
20400000000	101534
20500000000	101550
20600000000	101589
20700000000	101296
20800000000	102078
20900000000	101164
21000000000	101771
21100000000	101114
21200000000	101081
21300000000	101672
21400000000	101368
21500000000	101256
21600000000	101578
21700000000	101608
21800000000	101045
21900000000	101674
22000000000	101577
22100000000	101179
22200000000	101214
