"Time (ps)"	"Channel 2 - Counts per bin"
0	18896
10000000000	18894
20000000000	19030
30000000000	18822
40000000000	18582
50000000000	18950
60000000000	18903
70000000000	18904
80000000000	19100
90000000000	18873
100000000000	19215
110000000000	18983
120000000000	18930
130000000000	19098
140000000000	19071
150000000000	18927
160000000000	18967
170000000000	18803
180000000000	18684
190000000000	18758
200000000000	18688
210000000000	18901
220000000000	19200
230000000000	18964
240000000000	18880
250000000000	18964
260000000000	19080
270000000000	19112
280000000000	19141
290000000000	19011
300000000000	19009
310000000000	18979
320000000000	19258
330000000000	18870
340000000000	19141
350000000000	19169
360000000000	18919
370000000000	19046
380000000000	18912
390000000000	19131
400000000000	19212
410000000000	19158
420000000000	18892
430000000000	19055
440000000000	19009
450000000000	18935
460000000000	18901
470000000000	18898
480000000000	19179
490000000000	18733
500000000000	19085
510000000000	19094
520000000000	18983
530000000000	19078
540000000000	19150
550000000000	18736
560000000000	19056
570000000000	19262
580000000000	19138
590000000000	19250
600000000000	18979
610000000000	19012
620000000000	18994
630000000000	19229
640000000000	19241
650000000000	18700
660000000000	19187
670000000000	18890
680000000000	19083
690000000000	19111
700000000000	19161
710000000000	18932
720000000000	18997
730000000000	19024
740000000000	18983
750000000000	19040
760000000000	18817
770000000000	19153
780000000000	19184
790000000000	19193
800000000000	19254
810000000000	19024
820000000000	19050
830000000000	19134
840000000000	19125
850000000000	19182
860000000000	18969
870000000000	19082
880000000000	18966
890000000000	19516
900000000000	19273
910000000000	19213
920000000000	18810
930000000000	19126
940000000000	19136
950000000000	19196
960000000000	18952
970000000000	19215
980000000000	18830
990000000000	19135
1000000000000	19041
1010000000000	19115
1020000000000	19251
1030000000000	19077
1040000000000	18717
1050000000000	18834
1060000000000	18771
1070000000000	18857
1080000000000	18866
1090000000000	18785
1100000000000	19298
1110000000000	19036
1120000000000	19054
1130000000000	19165
1140000000000	18992
1150000000000	19084
1160000000000	18723
1170000000000	19229
1180000000000	19153
1190000000000	19186
1200000000000	19081
1210000000000	18797
1220000000000	18900
1230000000000	18637
1240000000000	19271
1250000000000	18917
1260000000000	19147
1270000000000	19063
1280000000000	19046
1290000000000	19176
1300000000000	18969
1310000000000	18893
1320000000000	18967
1330000000000	19291
1340000000000	19011
1350000000000	18890
1360000000000	18930
1370000000000	18776
1380000000000	19115
1390000000000	18879
1400000000000	19164
1410000000000	18919
1420000000000	19011
1430000000000	18945
1440000000000	19131
1450000000000	19107
1460000000000	19390
1470000000000	18689
1480000000000	19104
1490000000000	18664
1500000000000	18783
1510000000000	18886
1520000000000	18563
1530000000000	19063
1540000000000	19351
1550000000000	18916
1560000000000	19148
1570000000000	18883
1580000000000	18966
1590000000000	18962
1600000000000	19105
1610000000000	18573
1620000000000	19013
1630000000000	18775
1640000000000	18407
1650000000000	18842
1660000000000	18802
1670000000000	18822
1680000000000	18778
1690000000000	18788
1700000000000	18933
1710000000000	18978
1720000000000	19042
1730000000000	19074
1740000000000	19103
1750000000000	19028
1760000000000	19152
1770000000000	18933
1780000000000	19223
1790000000000	18811
1800000000000	19131
1810000000000	19100
1820000000000	18995
1830000000000	18945
1840000000000	18926
1850000000000	19139
1860000000000	18923
1870000000000	19081
1880000000000	18947
1890000000000	19126
1900000000000	18972
1910000000000	19188
1920000000000	18974
1930000000000	19211
1940000000000	19133
1950000000000	18995
1960000000000	18885
1970000000000	19172
1980000000000	18980
1990000000000	19114
2000000000000	18749
2010000000000	18751
2020000000000	18760
2030000000000	18801
2040000000000	18839
2050000000000	18862
2060000000000	18762
2070000000000	18809
2080000000000	19045
2090000000000	19322
2100000000000	18803
2110000000000	19041
2120000000000	18670
2130000000000	18921
2140000000000	19088
2150000000000	18993
2160000000000	18854
2170000000000	18935
2180000000000	18714
2190000000000	18987
2200000000000	19047
2210000000000	19420
2220000000000	18797
2230000000000	19004
2240000000000	18841
2250000000000	19070
2260000000000	18930
2270000000000	18728
2280000000000	18882
2290000000000	18990
2300000000000	18903
2310000000000	19069
2320000000000	18886
2330000000000	19174
2340000000000	19045
2350000000000	19023
2360000000000	18944
2370000000000	19035
2380000000000	18876
2390000000000	19255
2400000000000	19391
2410000000000	19081
2420000000000	19114
2430000000000	19182
2440000000000	18881
2450000000000	18868
2460000000000	18936
2470000000000	18813
2480000000000	19082
2490000000000	18808
2500000000000	19051
2510000000000	18675
2520000000000	18925
2530000000000	19124
2540000000000	18940
2550000000000	18950
2560000000000	19179
2570000000000	18971
2580000000000	18885
2590000000000	19169
2600000000000	18766
2610000000000	19046
2620000000000	18781
2630000000000	18843
2640000000000	18880
2650000000000	18700
2660000000000	18689
2670000000000	18940
2680000000000	19203
2690000000000	19028
2700000000000	19271
2710000000000	18956
2720000000000	18913
2730000000000	19206
2740000000000	19186
2750000000000	19070
2760000000000	19143
2770000000000	18907
2780000000000	19238
2790000000000	19158
2800000000000	19097
2810000000000	18938
2820000000000	19081
2830000000000	19055
2840000000000	19201
2850000000000	18946
2860000000000	18839
2870000000000	19201
2880000000000	19130
2890000000000	18963
2900000000000	18914
2910000000000	18869
2920000000000	18836
2930000000000	19022
2940000000000	18948
2950000000000	19086
2960000000000	19075
2970000000000	19182
2980000000000	19036
2990000000000	19016
3000000000000	19353
3010000000000	18949
3020000000000	19085
3030000000000	19085
3040000000000	19105
3050000000000	19134
3060000000000	19180
3070000000000	18479
3080000000000	19132
3090000000000	18973
3100000000000	18882
3110000000000	18999
3120000000000	18688
3130000000000	19265
3140000000000	18955
3150000000000	18753
3160000000000	18896
3170000000000	18782
3180000000000	18958
3190000000000	18935
3200000000000	18865
3210000000000	18652
3220000000000	18664
3230000000000	18630
3240000000000	18862
3250000000000	18885
3260000000000	19059
3270000000000	18958
3280000000000	19292
3290000000000	19009
3300000000000	18875
3310000000000	18936
3320000000000	18851
3330000000000	18936
3340000000000	19063
3350000000000	19158
3360000000000	18917
3370000000000	18925
3380000000000	18799
3390000000000	18994
3400000000000	18636
3410000000000	18923
3420000000000	19175
3430000000000	19292
3440000000000	18767
3450000000000	19274
3460000000000	18952
3470000000000	18989
3480000000000	19180
3490000000000	19248
3500000000000	18999
3510000000000	18990
3520000000000	18846
3530000000000	19334
3540000000000	19018
3550000000000	19174
3560000000000	18745
3570000000000	19056
3580000000000	19071
3590000000000	18984
3600000000000	19136
3610000000000	19098
3620000000000	18659
3630000000000	18911
3640000000000	18838
3650000000000	18968
3660000000000	18659
3670000000000	18581
3680000000000	18809
3690000000000	18750
3700000000000	19111
3710000000000	18786
3720000000000	18868
3730000000000	19346
3740000000000	19041
3750000000000	19237
3760000000000	18941
3770000000000	19111
3780000000000	18958
3790000000000	18700
3800000000000	18836
3810000000000	19113
3820000000000	18379
3830000000000	18366
3840000000000	19028
3850000000000	19009
3860000000000	18732
3870000000000	18894
3880000000000	18846
3890000000000	19369
3900000000000	18922
3910000000000	19298
3920000000000	18697
3930000000000	18991
3940000000000	18681
3950000000000	19084
3960000000000	18762
3970000000000	18743
3980000000000	19079
3990000000000	18463
4000000000000	18667
4010000000000	18966
4020000000000	19196
4030000000000	19101
4040000000000	18577
4050000000000	18552
4060000000000	18656
4070000000000	18401
4080000000000	18934
4090000000000	18460
4100000000000	18863
4110000000000	18690
4120000000000	18120
4130000000000	18703
4140000000000	18774
4150000000000	18747
4160000000000	18402
4170000000000	18801
4180000000000	18493
4190000000000	18500
4200000000000	18767
4210000000000	18701
4220000000000	18603
4230000000000	19135
4240000000000	18684
4250000000000	18727
4260000000000	18626
4270000000000	18640
4280000000000	18611
4290000000000	18541
4300000000000	18839
4310000000000	18504
4320000000000	18579
4330000000000	18546
4340000000000	18840
4350000000000	18359
4360000000000	18766
4370000000000	18381
4380000000000	18800
4390000000000	18883
4400000000000	19123
4410000000000	18673
4420000000000	19053
4430000000000	18774
4440000000000	19138
4450000000000	18431
4460000000000	18701
4470000000000	18687
4480000000000	18769
4490000000000	18746
4500000000000	19161
4510000000000	18647
4520000000000	18758
4530000000000	18701
4540000000000	19238
4550000000000	18908
4560000000000	18522
4570000000000	18983
4580000000000	18872
4590000000000	18968
4600000000000	18619
4610000000000	18506
4620000000000	18845
4630000000000	18698
4640000000000	18631
4650000000000	18582
4660000000000	18538
4670000000000	18625
4680000000000	18705
4690000000000	18506
4700000000000	19113
4710000000000	18520
4720000000000	19017
4730000000000	18866
4740000000000	18726
4750000000000	18908
4760000000000	18758
4770000000000	18658
4780000000000	18867
4790000000000	18597
4800000000000	19001
4810000000000	18743
4820000000000	18694
4830000000000	18929
4840000000000	18549
4850000000000	19047
4860000000000	18569
4870000000000	18550
4880000000000	18618
4890000000000	18753
4900000000000	18616
4910000000000	19114
4920000000000	18692
4930000000000	18608
4940000000000	19122
4950000000000	18329
4960000000000	18627
4970000000000	18824
4980000000000	18695
4990000000000	19363
5000000000000	18583
5010000000000	18481
5020000000000	18477
5030000000000	19006
5040000000000	18654
5050000000000	18602
5060000000000	18477
5070000000000	19032
5080000000000	18407
5090000000000	18903
5100000000000	18672
5110000000000	18627
5120000000000	18517
5130000000000	19066
5140000000000	18665
5150000000000	18840
5160000000000	18569
5170000000000	19240
5180000000000	18901
5190000000000	18869
5200000000000	19152
5210000000000	18960
5220000000000	18995
5230000000000	18359
5240000000000	18980
5250000000000	18806
5260000000000	19183
5270000000000	18583
5280000000000	19670
5290000000000	18459
5300000000000	18732
5310000000000	18071
5320000000000	18912
5330000000000	18703
5340000000000	18940
5350000000000	18608
5360000000000	19589
5370000000000	18410
5380000000000	18893
5390000000000	18232
5400000000000	19123
5410000000000	18727
5420000000000	18689
5430000000000	18553
5440000000000	18836
5450000000000	18297
5460000000000	19025
5470000000000	18444
5480000000000	18995
5490000000000	18707
5500000000000	18643
5510000000000	18664
5520000000000	19061
5530000000000	18418
5540000000000	18713
5550000000000	18433
5560000000000	19140
5570000000000	18591
5580000000000	18832
5590000000000	18908
5600000000000	18529
5610000000000	18599
5620000000000	18569
5630000000000	18509
5640000000000	18899
5650000000000	18746
5660000000000	18778
5670000000000	18745
5680000000000	19022
5690000000000	18660
5700000000000	18805
5710000000000	18657
5720000000000	19329
5730000000000	18827
5740000000000	18948
5750000000000	18897
5760000000000	18615
5770000000000	18799
5780000000000	18932
5790000000000	18659
5800000000000	18674
5810000000000	18897
5820000000000	18738
5830000000000	18764
5840000000000	18672
5850000000000	19313
5860000000000	18464
5870000000000	18643
5880000000000	18474
5890000000000	18975
5900000000000	18475
5910000000000	19050
5920000000000	18542
5930000000000	18951
5940000000000	18492
5950000000000	19151
5960000000000	18324
5970000000000	19027
5980000000000	18546
5990000000000	18764
6000000000000	18604
6010000000000	18888
6020000000000	18619
6030000000000	18962
6040000000000	18574
6050000000000	18542
6060000000000	18715
6070000000000	18868
6080000000000	18598
6090000000000	18906
6100000000000	18774
6110000000000	19025
6120000000000	18684
6130000000000	18513
6140000000000	18719
6150000000000	18505
6160000000000	18600
6170000000000	18762
6180000000000	18674
6190000000000	18440
6200000000000	18791
6210000000000	18588
6220000000000	18666
6230000000000	18886
6240000000000	18588
6250000000000	19204
6260000000000	18598
6270000000000	19303
6280000000000	18418
6290000000000	18823
6300000000000	18438
6310000000000	18527
6320000000000	18684
6330000000000	18601
6340000000000	18873
6350000000000	18952
6360000000000	18726
6370000000000	18921
6380000000000	18652
6390000000000	18488
6400000000000	18879
6410000000000	18800
6420000000000	18549
6430000000000	19000
